,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,torvalds/linux,v2.6.12-rc2,,FEATURE,17291,6719178,,,,,,,,,,,,,,,
1,torvalds/linux,v2.6.12-rc3,,FEATURE,17317,6738615,,,,,,,,,,,,,,,
2,torvalds/linux,v2.6.12-rc4,,FEATURE,17349,6756032,,,,,,,,,,,,,,,
3,torvalds/linux,v2.6.12-rc5,,FEATURE,17361,6759826,,,,,,,,,,,,,,,
4,torvalds/linux,v2.6.12-rc6,,FEATURE,17360,6777141,,,,,,4.0,340.0,11.0,77.0,1.0,1.0,136.0,2.0,28.0,-1.0
5,torvalds/linux,v2.6.12,,FEATURE,17360,6777355,,,,,,4.0,1853.0,11.0,77.0,1.0,2.0,986.0,3.0,30.0,-1.0
6,torvalds/linux,v2.6.13-rc2,,FEATURE,17740,6882620,,,,,,,,,,,,,,,
7,torvalds/linux,v2.6.13-rc1,,FEATURE,17741,6883748,,,,,,,,,,,12.0,1154.0,35.0,2167.0,-1.0
8,torvalds/linux,v2.6.13-rc3,,FEATURE,17826,6905760,,,,,,,,,,,,,,,
9,torvalds/linux,v2.6.11-tree,,FEATURE,67330,28164421,,,,,,,,,,,,,,,
10,torvalds/linux,v2.6.13-rc4,2005-07-28,FEATURE,18075,6982255,,,,,,,,,,,1.0,328.0,1.0,16.0,-1.0
11,torvalds/linux,v2.6.13-rc5,2005-08-01,FEATURE,18085,6985720,,,,,,,,,,,,,,,
12,torvalds/linux,v2.6.13-rc6,2005-08-07,FEATURE,18086,6987717,,,,,,,,,,,,,,,
13,torvalds/linux,v2.6.13-rc7,2005-08-23,FEATURE,18090,6988202,,,,,,,,,,,,,,,
14,torvalds/linux,v2.6.13,2005-08-28,FEATURE,18090,6989142,,,,,,,,,,,,,,,
15,torvalds/linux,v2.6.14-rc1,2005-09-12,FEATURE,18399,7109307,,,,,,,,,,,11.0,1675.0,44.0,788.0,-1.0
16,torvalds/linux,v2.6.14-rc2,2005-09-19,FEATURE,18417,7118250,,,,,,,,,,,1.0,187.0,18.0,87.0,-1.0
17,torvalds/linux,v2.6.14-rc3,2005-09-30,FEATURE,18414,7131954,,,,,,,,,,,,,,,
18,torvalds/linux,v2.6.14-rc4,2005-10-10,FEATURE,18422,7142803,,,,,,,,,,,,,,,
19,torvalds/linux,v2.6.14-rc5,2005-10-19,FEATURE,18433,7142578,,,,,,,,,,,,,,,
20,torvalds/linux,v2.6.14,2005-10-27,FEATURE,18434,7143490,,,,,,,,,,,,,,,
21,torvalds/linux,v2.6.15-rc1,2005-11-11,FEATURE,18815,7296809,,,,,,2.0,4021.0,3.0,29.0,2.0,2.0,2515.0,2.0,239.0,-1.0
22,torvalds/linux,v2.6.15-rc2,2005-11-19,FEATURE,18811,7289128,,,,,,,,,,,2.0,311.0,2.0,18.0,-1.0
23,torvalds/linux,v2.6.15-rc3,2005-11-28,FEATURE,18811,7288941,,,,,,,,,,,1.0,161.0,1.0,1.0,-1.0
24,torvalds/linux,v2.6.15-rc4,2005-11-30,FEATURE,18811,7290118,,,,,,,,,,,,,,,
25,torvalds/linux,v2.6.15-rc5,2005-12-03,FEATURE,18811,7288995,,,,,,,,,,,,,,,
26,torvalds/linux,v2.6.15-rc6,2005-12-18,FEATURE,18811,7290032,,,,,,,,,,,,,,,
27,torvalds/linux,v2.6.15-rc7,2005-12-24,FEATURE,18811,7289552,,,,,,,,,,,,,,,
28,torvalds/linux,v2.6.15,2006-01-02,FEATURE,18811,7290332,,,,,,,,,,,,,,,
29,torvalds/linux,v2.6.16-rc1,2006-01-16,FEATURE,19206,7452552,,,,,,,,,,,2.0,2038.0,2.0,20.0,-1.0
30,torvalds/linux,v2.6.16-rc2,2006-02-02,FEATURE,19238,7471141,,,,,,,,,,,2.0,370.0,2.0,146.0,-1.0
31,torvalds/linux,v2.6.16-rc3,2006-02-12,FEATURE,19247,7476717,,,,,,,,,,,,,,,
32,torvalds/linux,v2.6.16-rc4,2006-02-17,FEATURE,19252,7479732,,,,,,,,,,,1.0,124.0,2.0,33.0,-1.0
33,torvalds/linux,v2.6.16-rc5,2006-02-26,FEATURE,19250,7478033,,,,,,,,,,,,,,,
34,torvalds/linux,v2.6.16-rc6,2006-03-11,FEATURE,19250,7479888,,,,,,,,,,,1.0,127.0,2.0,11.0,-1.0
35,torvalds/linux,v2.6.16,2006-03-19,FEATURE,19251,7479609,,,,,,,,,,,,,,,
36,torvalds/linux,v2.6.17-rc1,2006-04-02,FEATURE,19575,7609925,,,,,,1.0,4193.0,9.0,43.0,1.0,13.0,2975.0,42.0,2144.0,-1.0
