,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,torvalds/linux,v2.6.12-rc2,,REFACTOR,17291,6719178,,,,,,,,,,,,,,,
1,torvalds/linux,v2.6.12-rc3,,REFACTOR,17317,6738615,,,,,,,,,,,,,,,
2,torvalds/linux,v2.6.12-rc4,,REFACTOR,17349,6756032,,,,,,,,,,,,,,,
3,torvalds/linux,v2.6.12-rc5,,REFACTOR,17361,6759826,,,,,,,,,,,,,,,
4,torvalds/linux,v2.6.12-rc6,,REFACTOR,17360,6777141,,,,,,,,,,,,,,,
5,torvalds/linux,v2.6.12,,REFACTOR,17360,6777355,,,,,,,,,,,,,,,
6,torvalds/linux,v2.6.13-rc2,,REFACTOR,17740,6882620,,,,,,,,,,,,,,,
7,torvalds/linux,v2.6.13-rc1,,REFACTOR,17741,6883748,,,,,,,,,,,,,,,
8,torvalds/linux,v2.6.13-rc3,,REFACTOR,17826,6905760,,,,,,,,,,,,,,,
9,torvalds/linux,v2.6.11-tree,,REFACTOR,67330,28164421,,,,,,,,,,,,,,,
10,torvalds/linux,v2.6.13-rc4,2005-07-28,REFACTOR,18075,6982255,,,,,,,,,,,1.0,328.0,2.0,115.0,-1.0
11,torvalds/linux,v2.6.13-rc5,2005-08-01,REFACTOR,18085,6985720,,,,,,,,,,,,,,,
12,torvalds/linux,v2.6.13-rc6,2005-08-07,REFACTOR,18086,6987717,,,,,,,,,,,,,,,
13,torvalds/linux,v2.6.13-rc7,2005-08-23,REFACTOR,18090,6988202,,,,,,,,,,,,,,,
14,torvalds/linux,v2.6.13,2005-08-28,REFACTOR,18090,6989142,,,,,,,,,,,,,,,
15,torvalds/linux,v2.6.14-rc1,2005-09-12,REFACTOR,18399,7109307,,,,,,,,,,,2.0,1684.0,38.0,305.0,-1.0
16,torvalds/linux,v2.6.14-rc2,2005-09-19,REFACTOR,18417,7118250,,,,,,,,,,,,,,,
17,torvalds/linux,v2.6.14-rc3,2005-09-30,REFACTOR,18414,7131954,,,,,,,,,,,,,,,
18,torvalds/linux,v2.6.14-rc4,2005-10-10,REFACTOR,18422,7142803,,,,,,,,,,,,,,,
19,torvalds/linux,v2.6.14-rc5,2005-10-19,REFACTOR,18433,7142578,,,,,,,,,,,,,,,
20,torvalds/linux,v2.6.14,2005-10-27,REFACTOR,18434,7143490,,,,,,,,,,,,,,,
21,torvalds/linux,v2.6.15-rc1,2005-11-11,REFACTOR,18815,7296809,,,,,,1.0,4025.0,1.0,7.0,1.0,,,,,
22,torvalds/linux,v2.6.15-rc2,2005-11-19,REFACTOR,18811,7289128,,,,,,,,,,,,,,,
23,torvalds/linux,v2.6.15-rc3,2005-11-28,REFACTOR,18811,7288941,,,,,,,,,,,,,,,
24,torvalds/linux,v2.6.15-rc4,2005-11-30,REFACTOR,18811,7290118,,,,,,,,,,,,,,,
25,torvalds/linux,v2.6.15-rc5,2005-12-03,REFACTOR,18811,7288995,,,,,,,,,,,,,,,
26,torvalds/linux,v2.6.15-rc6,2005-12-18,REFACTOR,18811,7290032,,,,,,,,,,,,,,,
27,torvalds/linux,v2.6.15-rc7,2005-12-24,REFACTOR,18811,7289552,,,,,,,,,,,,,,,
28,torvalds/linux,v2.6.15,2006-01-02,REFACTOR,18811,7290332,,,,,,,,,,,,,,,
29,torvalds/linux,v2.6.16-rc1,2006-01-16,REFACTOR,19206,7452552,,,,,,,,,,,1.0,2039.0,3.0,165.0,-1.0
30,torvalds/linux,v2.6.16-rc2,2006-02-02,REFACTOR,19238,7471141,,,,,,,,,,,,,,,
31,torvalds/linux,v2.6.16-rc3,2006-02-12,REFACTOR,19247,7476717,,,,,,,,,,,,,,,
32,torvalds/linux,v2.6.16-rc4,2006-02-17,REFACTOR,19252,7479732,,,,,,,,,,,,,,,
33,torvalds/linux,v2.6.16-rc5,2006-02-26,REFACTOR,19250,7478033,,,,,,,,,,,,,,,
34,torvalds/linux,v2.6.16-rc6,2006-03-11,REFACTOR,19250,7479888,,,,,,,,,,,,,,,
35,torvalds/linux,v2.6.16,2006-03-19,REFACTOR,19251,7479609,,,,,,,,,,,,,,,
36,torvalds/linux,v2.6.17-rc1,2006-04-02,REFACTOR,19575,7609925,,,,,,,,,,,8.0,2980.0,16.0,1966.0,-1.0
37,torvalds/linux,v2.6.17-rc2,2006-04-18,REFACTOR,19537,7576692,,,,,,,,,,,,,,,
38,torvalds/linux,v2.6.17-rc3,2006-04-26,REFACTOR,19539,7578535,,,,,,,,,,,,,,,
