,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,torvalds/linux,v2.6.12-rc2,,,,,,,,,,,,,,
1,torvalds/linux,v2.6.12-rc3,,SUPPORT,17317.0,6738615.0,9.0,324.0,43.0,1356.0,0.0,,,,,
2,torvalds/linux,v2.6.12-rc4,,SUPPORT,17349.0,6756032.0,17.0,713.0,65.0,1672.0,0.0,,,,,
3,torvalds/linux,v2.6.12-rc5,,SUPPORT,17361.0,6759826.0,8.0,235.0,28.0,2737.0,0.0,,,,,
4,torvalds/linux,v2.6.12-rc6,,SUPPORT,17360.0,6777141.0,8.0,331.0,26.0,1744.0,0.0,2.0,331.0,5.0,467.0,2.0
5,torvalds/linux,v2.6.12,,SUPPORT,17360.0,6777355.0,46.0,1780.0,168.0,7763.0,0.0,5.0,1780.0,10.0,719.0,2.0
6,torvalds/linux,v2.6.13-rc2,,SUPPORT,17740.0,6882620.0,2.0,216.0,10.0,1641.0,0.0,1.0,216.0,2.0,75.0,1.0
7,torvalds/linux,v2.6.13-rc1,,SUPPORT,17741.0,6883748.0,65.0,2115.0,453.0,49190.0,0.0,6.0,2115.0,23.0,1235.0,2.0
8,torvalds/linux,v2.6.13-rc3,,SUPPORT,17826.0,6905760.0,23.0,561.0,87.0,4479.0,0.0,4.0,561.0,19.0,159.0,1.0
9,torvalds/linux,v2.6.11-tree,,,,,,,,,,,,,,
10,torvalds/linux,v2.6.13-rc4,2005-07-28,SUPPORT,18075.0,6982255.0,6.0,589.0,14.0,1223.0,0.0,,,,,
11,torvalds/linux,v2.6.13-rc5,2005-08-01,SUPPORT,18085.0,6985720.0,8.0,212.0,27.0,1117.0,0.0,,,,,
12,torvalds/linux,v2.6.13-rc6,2005-08-07,SUPPORT,18086.0,6987717.0,1.0,118.0,2.0,157.0,0.0,,,,,
13,torvalds/linux,v2.6.13-rc7,2005-08-23,SUPPORT,18090.0,6988202.0,2.0,281.0,5.0,35.0,0.0,,,,,
14,torvalds/linux,v2.6.13,2005-08-28,,,,,,,,,,,,,
15,torvalds/linux,v2.6.14-rc1,2005-09-12,SUPPORT,18399.0,7109307.0,69.0,2534.0,270.0,24699.0,0.0,4.0,2534.0,10.0,300.0,2.0
16,torvalds/linux,v2.6.14-rc2,2005-09-19,SUPPORT,18417.0,7118250.0,4.0,343.0,10.0,921.0,0.0,,,,,
17,torvalds/linux,v2.6.14-rc3,2005-09-30,SUPPORT,18414.0,7131954.0,1.0,430.0,7.0,287.0,0.0,,,,,
18,torvalds/linux,v2.6.14-rc4,2005-10-10,SUPPORT,18422.0,7142803.0,4.0,200.0,7.0,108.0,0.0,1.0,200.0,4.0,93.0,1.0
19,torvalds/linux,v2.6.14-rc5,2005-10-19,,,,,,,,,,,,,
20,torvalds/linux,v2.6.14,2005-10-27,,,,,,,,,,,,,
21,torvalds/linux,v2.6.15-rc1,2005-11-11,SUPPORT,18815.0,7296809.0,92.0,3770.0,442.0,33562.0,0.0,31.0,3770.0,230.0,14871.0,4.0
22,torvalds/linux,v2.6.15-rc2,2005-11-19,SUPPORT,18811.0,7289128.0,4.0,516.0,5.0,315.0,0.0,2.0,516.0,3.0,226.0,1.0
23,torvalds/linux,v2.6.15-rc3,2005-11-28,SUPPORT,18811.0,7288941.0,2.0,221.0,6.0,126.0,0.0,,,,,
24,torvalds/linux,v2.6.15-rc4,2005-11-30,SUPPORT,18811.0,7290118.0,2.0,79.0,3.0,103.0,0.0,,,,,
25,torvalds/linux,v2.6.15-rc5,2005-12-03,SUPPORT,18811.0,7288995.0,1.0,137.0,2.0,5.0,0.0,,,,,
26,torvalds/linux,v2.6.15-rc6,2005-12-18,SUPPORT,18811.0,7290032.0,1.0,248.0,2.0,5.0,0.0,,,,,
27,torvalds/linux,v2.6.15-rc7,2005-12-24,,,,,,,,,,,,,
28,torvalds/linux,v2.6.15,2006-01-02,,,,,,,,,,,,,
29,torvalds/linux,v2.6.16-rc1,2006-01-16,SUPPORT,19206.0,7452552.0,54.0,3189.0,226.0,16787.0,0.0,5.0,3189.0,46.0,10788.0,3.0
30,torvalds/linux,v2.6.16-rc2,2006-02-02,SUPPORT,19238.0,7471141.0,18.0,831.0,85.0,5550.0,0.0,4.0,831.0,7.0,122.0,1.0
31,torvalds/linux,v2.6.16-rc3,2006-02-12,SUPPORT,19247.0,7476717.0,15.0,610.0,36.0,2529.0,0.0,4.0,610.0,9.0,35.0,1.0
32,torvalds/linux,v2.6.16-rc4,2006-02-17,SUPPORT,19252.0,7479732.0,1.0,246.0,1.0,2.0,0.0,,,,,
33,torvalds/linux,v2.6.16-rc5,2006-02-26,SUPPORT,19250.0,7478033.0,3.0,202.0,5.0,229.0,0.0,2.0,202.0,4.0,210.0,2.0
34,torvalds/linux,v2.6.16-rc6,2006-03-11,,,,,,,,,,,,,
35,torvalds/linux,v2.6.16,2006-03-19,SUPPORT,19251.0,7479609.0,1.0,108.0,2.0,13.0,0.0,1.0,108.0,2.0,13.0,1.0
36,torvalds/linux,v2.6.17-rc1,2006-04-02,SUPPORT,19575.0,7609925.0,38.0,3998.0,131.0,5125.0,0.0,5.0,3998.0,15.0,327.0,3.0
37,torvalds/linux,v2.6.17-rc2,2006-04-18,SUPPORT,19537.0,7576692.0,13.0,630.0,78.0,4399.0,0.0,1.0,630.0,51.0,3896.0,1.0
38,torvalds/linux,v2.6.17-rc3,2006-04-26,SUPPORT,19539.0,7578535.0,4.0,242.0,6.0,37.0,0.0,,,,,
39,torvalds/linux,v2.6.17-rc4,2006-05-11,SUPPORT,19543.0,7582313.0,6.0,425.0,20.0,908.0,0.0,,,,,
40,torvalds/linux,v2.6.17-rc5,2006-05-24,SUPPORT,19552.0,7586617.0,2.0,309.0,3.0,13.0,0.0,1.0,309.0,2.0,6.0,1.0
41,torvalds/linux,v2.6.17-rc6,2006-06-05,SUPPORT,19553.0,7587740.0,3.0,180.0,4.0,51.0,0.0,1.0,180.0,1.0,24.0,1.0
42,torvalds/linux,v2.6.17,2006-06-17,,,,,,,,,,,,,
43,torvalds/linux,v2.6.18-rc1,2006-07-05,SUPPORT,20177.0,7727406.0,79.0,4628.0,250.0,10789.0,0.0,9.0,4628.0,10.0,629.0,2.0
44,torvalds/linux,v2.6.18-rc2,2006-07-15,SUPPORT,20179.0,7735749.0,9.0,528.0,18.0,764.0,0.0,2.0,528.0,3.0,9.0,1.0
45,torvalds/linux,v2.6.18-rc3,2006-07-29,SUPPORT,20179.0,7736343.0,1.0,208.0,1.0,2.0,0.0,,,,,
46,torvalds/linux,v2.6.18-rc4,2006-08-06,SUPPORT,20181.0,7738343.0,2.0,341.0,2.0,116.0,0.0,,,,,
47,torvalds/linux,v2.6.18-rc5,2006-08-27,SUPPORT,20194.0,7749203.0,3.0,395.0,8.0,258.0,0.0,2.0,395.0,7.0,247.0,2.0
48,torvalds/linux,v2.6.18-rc6,2006-09-03,,,,,,,,,,,,,
49,torvalds/linux,v2.6.18-rc7,2006-09-12,,,,,,,,,,,,,
50,torvalds/linux,v2.6.18,2006-09-19,SUPPORT,20208.0,7752709.0,1.0,130.0,1.0,2.0,0.0,1.0,130.0,1.0,2.0,1.0
51,torvalds/linux,v2.6.19-rc1,2006-10-04,SUPPORT,20867.0,7937594.0,79.0,4721.0,224.0,11503.0,0.0,17.0,4721.0,32.0,3344.0,3.0
52,torvalds/linux,v2.6.19-rc2,2006-10-13,SUPPORT,20922.0,7965309.0,5.0,539.0,21.0,2690.0,0.0,1.0,539.0,2.0,67.0,1.0
53,torvalds/linux,v2.6.19-rc3,2006-10-23,SUPPORT,20926.0,7973540.0,12.0,630.0,28.0,828.0,0.0,7.0,630.0,14.0,634.0,2.0
54,torvalds/linux,v2.6.19-rc4,2006-10-30,SUPPORT,20930.0,7975511.0,2.0,242.0,2.0,71.0,0.0,,,,,
55,torvalds/linux,v2.6.19-rc5,2006-11-07,SUPPORT,20931.0,7974727.0,6.0,274.0,6.0,286.0,0.0,1.0,274.0,1.0,172.0,1.0
56,torvalds/linux,v2.6.19-rc6,2006-11-15,SUPPORT,20932.0,7975290.0,2.0,131.0,3.0,12.0,0.0,,,,,
57,torvalds/linux,v2.6.19,2006-11-29,SUPPORT,20936.0,7976075.0,1.0,209.0,1.0,1.0,0.0,1.0,209.0,1.0,1.0,1.0
58,torvalds/linux,v2.6.20-rc1,2006-12-13,SUPPORT,21276.0,8091441.0,70.0,3315.0,339.0,29412.0,0.0,16.0,3315.0,137.0,8349.0,4.0
59,torvalds/linux,v2.6.20-rc2,2006-12-23,SUPPORT,21275.0,8093014.0,2.0,399.0,3.0,86.0,0.0,,,,,
60,torvalds/linux,v2.6.20-rc3,2006-12-31,SUPPORT,21275.0,8092750.0,2.0,142.0,2.0,13.0,0.0,,,,,
61,torvalds/linux,v2.6.20-rc4,2007-01-06,,,,,,,,,,,,,
62,torvalds/linux,v2.6.20-rc5,2007-01-12,SUPPORT,21275.0,8096403.0,2.0,173.0,6.0,34.0,0.0,2.0,173.0,6.0,34.0,1.0
63,torvalds/linux,v2.6.20-rc6,2007-01-24,SUPPORT,21279.0,8101820.0,1.0,293.0,1.0,5.0,0.0,,,,,
64,torvalds/linux,v2.6.20-rc7,2007-01-30,SUPPORT,21280.0,8102105.0,1.0,192.0,3.0,7.0,0.0,1.0,192.0,3.0,7.0,1.0
65,torvalds/linux,v2.6.20,2007-02-04,SUPPORT,21280.0,8102601.0,1.0,62.0,1.0,3.0,0.0,,,,,
66,torvalds/linux,v2.6.21-rc1,2007-02-20,SUPPORT,21605.0,8237167.0,117.0,3050.0,365.0,36554.0,0.0,33.0,3050.0,135.0,14612.0,4.0
67,torvalds/linux,v2.6.21-rc2,2007-02-27,SUPPORT,21625.0,8245167.0,22.0,541.0,122.0,4849.0,0.0,2.0,541.0,57.0,310.0,1.0
68,torvalds/linux,v2.6.21-rc3,2007-03-06,SUPPORT,21620.0,8245295.0,3.0,400.0,9.0,210.0,0.0,,,,,
69,torvalds/linux,v2.6.21-rc4,2007-03-15,SUPPORT,21617.0,8244918.0,3.0,325.0,4.0,37.0,0.0,3.0,325.0,4.0,37.0,3.0
70,torvalds/linux,v2.6.21-rc5,2007-03-25,SUPPORT,21617.0,8245578.0,1.0,272.0,1.0,3.0,0.0,,,,,
71,torvalds/linux,v2.6.21-rc6,2007-04-07,SUPPORT,21613.0,8245845.0,1.0,275.0,1.0,69.0,0.0,,,,,
72,torvalds/linux,v2.6.21-rc7,2007-04-15,,,,,,,,,,,,,
73,torvalds/linux,v2.6.21,2007-04-25,SUPPORT,21614.0,8246798.0,2.0,123.0,3.0,96.0,0.0,,,,,
74,torvalds/linux,v2.6.22-rc1,2007-05-12,SUPPORT,22371.0,8457963.0,13.0,4667.0,47.0,3310.0,0.0,7.0,4667.0,17.0,1207.0,3.0
75,torvalds/linux,v2.6.22-rc2,2007-05-18,,,,,,,,,,,,,
76,torvalds/linux,v2.6.22-rc3,2007-05-25,,,,,,,,,,,,,
77,torvalds/linux,v2.6.22-rc4,2007-06-04,SUPPORT,22412.0,8498248.0,1.0,329.0,3.0,164.0,0.0,1.0,329.0,3.0,164.0,1.0
78,torvalds/linux,v2.6.22-rc5,2007-06-16,SUPPORT,22411.0,8499058.0,4.0,487.0,7.0,112.0,0.0,2.0,487.0,4.0,25.0,2.0
79,torvalds/linux,v2.6.22-rc6,2007-06-24,SUPPORT,22414.0,8500662.0,2.0,161.0,2.0,115.0,0.0,,,,,
80,torvalds/linux,v2.6.22-rc7,2007-07-01,SUPPORT,22414.0,8500000.0,1.0,106.0,2.0,10.0,0.0,,,,,
81,torvalds/linux,v2.6.22,2007-07-08,SUPPORT,22411.0,8499711.0,1.0,131.0,5.0,154.0,0.0,,,,,
82,torvalds/linux,v2.6.23-rc1,2007-07-22,SUPPORT,22727.0,8560455.0,66.0,4211.0,257.0,21094.0,0.0,4.0,4211.0,26.0,426.0,3.0
83,torvalds/linux,v2.6.23-rc2,2007-08-03,SUPPORT,22452.0,8523583.0,18.0,857.0,33.0,5618.0,0.0,,,,,
84,torvalds/linux,v2.6.23-rc3,2007-08-12,SUPPORT,22461.0,8525033.0,3.0,312.0,5.0,143.0,0.0,1.0,312.0,2.0,12.0,1.0
85,torvalds/linux,v2.6.23-rc4,2007-08-27,SUPPORT,22473.0,8523432.0,3.0,566.0,5.0,181.0,0.0,,,,,
86,torvalds/linux,v2.6.23-rc5,2007-08-31,,,,,,,,,,,,,
87,torvalds/linux,v2.6.23-rc6,2007-09-10,SUPPORT,22484.0,8522107.0,1.0,95.0,10.0,68.0,0.0,,,,,
88,torvalds/linux,v2.6.23-rc7,2007-09-19,,,,,,,,,,,,,
89,torvalds/linux,v2.6.23-rc8,2007-09-24,,,,,,,,,,,,,
90,torvalds/linux,v2.6.23-rc9,2007-10-01,,,,,,,,,,,,,
91,torvalds/linux,v2.6.23,2007-10-09,,,,,,,,,,,,,
92,torvalds/linux,v2.6.24-rc1,2007-10-23,SUPPORT,23073.0,8849335.0,41.0,6713.0,122.0,10688.0,0.0,18.0,6713.0,44.0,3797.0,4.0
93,torvalds/linux,v2.6.24-rc2,2007-11-06,SUPPORT,23081.0,8855580.0,3.0,758.0,4.0,6.0,0.0,2.0,758.0,3.0,4.0,1.0
94,torvalds/linux,v2.6.24-rc3,2007-11-16,,,,,,,,,,,,,
95,torvalds/linux,v2.6.24-rc4,2007-12-03,SUPPORT,23085.0,8859936.0,1.0,653.0,2.0,8.0,0.0,1.0,653.0,2.0,8.0,1.0
96,torvalds/linux,v2.6.24-rc5,2007-12-10,SUPPORT,23058.0,8856316.0,1.0,235.0,2.0,156.0,0.0,,,,,
97,torvalds/linux,v2.6.24-rc6,2007-12-20,SUPPORT,23059.0,8858215.0,1.0,321.0,1.0,22.0,0.0,,,,,
98,torvalds/linux,v2.6.24-rc7,2008-01-06,,,,,,,,,,,,,
99,torvalds/linux,v2.6.24-rc8,2008-01-15,,,,,,,,,,,,,
100,torvalds/linux,v2.6.24,2008-01-24,SUPPORT,23062.0,8859231.0,3.0,165.0,3.0,16.0,0.0,,,,,
101,torvalds/linux,v2.6.25-rc1,2008-02-10,SUPPORT,23757.0,9201527.0,150.0,9119.0,458.0,24239.0,1.0,51.0,9119.0,121.0,8166.0,7.0
102,torvalds/linux,v2.6.25-rc2,2008-02-15,SUPPORT,23771.0,9210173.0,5.0,340.0,21.0,1067.0,0.0,,,,,
103,torvalds/linux,v2.6.25-rc3,2008-02-24,SUPPORT,23778.0,9219861.0,5.0,624.0,12.0,220.0,0.0,,,,,
104,torvalds/linux,v2.6.25-rc4,2008-03-04,,,,,,,,,,,,,
105,torvalds/linux,v2.6.25-rc5,2008-03-09,,,,,,,,,,,,,
106,torvalds/linux,v2.6.25-rc6,2008-03-16,SUPPORT,23786.0,9226525.0,3.0,333.0,3.0,74.0,0.0,2.0,333.0,2.0,45.0,2.0
107,torvalds/linux,v2.6.25-rc7,2008-03-25,SUPPORT,23787.0,9228112.0,6.0,347.0,13.0,177.0,1.0,1.0,347.0,3.0,18.0,1.0
108,torvalds/linux,v2.6.25-rc8,2008-04-01,SUPPORT,23789.0,9230032.0,2.0,220.0,7.0,86.0,0.0,,,,,
109,torvalds/linux,v2.6.25-rc9,2008-04-11,SUPPORT,23810.0,9231422.0,2.0,293.0,2.0,26.0,0.0,,,,,
110,torvalds/linux,v2.6.25,2008-04-16,SUPPORT,23810.0,9233043.0,2.0,101.0,3.0,131.0,0.0,2.0,101.0,3.0,131.0,1.0
111,torvalds/linux,v2.6.26-rc1,2008-05-03,SUPPORT,24233.0,9373136.0,39.0,7112.0,235.0,18800.0,1.0,9.0,7112.0,129.0,14609.0,4.0
112,torvalds/linux,v2.6.26-rc2,2008-05-11,SUPPORT,24225.0,9376234.0,5.0,428.0,11.0,484.0,0.0,1.0,428.0,1.0,2.0,1.0
113,torvalds/linux,v2.6.26-rc3,2008-05-18,SUPPORT,24240.0,9388998.0,8.0,477.0,13.0,2439.0,1.0,4.0,477.0,5.0,148.0,2.0
114,torvalds/linux,v2.6.26-rc4,2008-05-26,SUPPORT,24248.0,9393672.0,7.0,494.0,13.0,518.0,1.0,3.0,494.0,4.0,9.0,3.0
115,torvalds/linux,v2.6.26-rc5,2008-06-04,SUPPORT,24250.0,9395059.0,2.0,293.0,3.0,537.0,0.0,2.0,293.0,3.0,537.0,1.0
116,torvalds/linux,v2.6.26-rc6,2008-06-12,SUPPORT,24252.0,9397189.0,5.0,345.0,9.0,239.0,0.0,5.0,345.0,9.0,239.0,4.0
117,torvalds/linux,v2.6.26-rc7,2008-06-20,SUPPORT,24254.0,9400934.0,11.0,296.0,15.0,238.0,1.0,5.0,296.0,7.0,89.0,4.0
118,torvalds/linux,v2.6.26-rc8,2008-06-24,,,,,,,,,,,,,
119,torvalds/linux,v2.6.26-rc9,2008-07-05,SUPPORT,24269.0,9409229.0,2.0,302.0,2.0,10.0,1.0,,,,,
120,torvalds/linux,v2.6.26,2008-07-13,,,,,,,,,,,,,
121,torvalds/linux,v2.6.27-rc1,2008-07-28,SUPPORT,24236.0,9533094.0,59.0,7659.0,242.0,17914.0,1.0,31.0,7659.0,152.0,13374.0,9.0
122,torvalds/linux,v2.6.27-rc2,2008-08-05,SUPPORT,24252.0,9549534.0,7.0,752.0,17.0,1112.0,0.0,1.0,752.0,2.0,53.0,1.0
123,torvalds/linux,v2.6.27-rc3,2008-08-12,SUPPORT,24297.0,9585369.0,5.0,503.0,11.0,233.0,1.0,1.0,503.0,1.0,1.0,1.0
124,torvalds/linux,v2.6.27-rc4,2008-08-20,SUPPORT,24330.0,9605097.0,2.0,641.0,3.0,127.0,1.0,,,,,
125,torvalds/linux,v2.6.27-rc5,2008-08-28,SUPPORT,24349.0,9626114.0,4.0,385.0,9.0,688.0,0.0,,,,,
126,torvalds/linux,v2.6.27-rc6,2008-09-09,SUPPORT,24347.0,9628841.0,1.0,398.0,1.0,10.0,1.0,,,,,
127,torvalds/linux,v2.6.27-rc7,2008-09-21,,,,,,,,,,,,,
128,torvalds/linux,v2.6.27-rc8,2008-09-29,SUPPORT,24351.0,9629711.0,1.0,157.0,2.0,6.0,0.0,1.0,157.0,2.0,6.0,1.0
129,torvalds/linux,v2.6.27-rc9,2008-10-06,,,,,,,,,,,,,
130,torvalds/linux,v2.6.27,2008-10-09,,,,,,,,,,,,,
131,torvalds/linux,v2.6.28-rc1,2008-10-23,SUPPORT,25213.0,10091755.0,66.0,7059.0,124.0,6353.0,1.0,49.0,7059.0,94.0,5295.0,6.0
132,torvalds/linux,v2.6.28-rc2,2008-10-26,SUPPORT,25213.0,10092765.0,3.0,19.0,4.0,46.0,1.0,,,,,
133,torvalds/linux,v2.6.28-rc3,2008-11-02,SUPPORT,25219.0,10094024.0,8.0,515.0,53.0,6317.0,0.0,6.0,515.0,47.0,6241.0,3.0
134,torvalds/linux,v2.6.28-rc4,2008-11-09,SUPPORT,25226.0,10098271.0,6.0,257.0,7.0,43.0,1.0,,,,,
135,torvalds/linux,v2.6.28-rc5,2008-11-15,,,,,,,,,,,,,
136,torvalds/linux,v2.6.28-rc6,2008-11-20,SUPPORT,25255.0,10110990.0,3.0,232.0,4.0,382.0,0.0,2.0,232.0,3.0,365.0,1.0
137,torvalds/linux,v2.6.28-rc7,2008-12-01,,,,,,,,,,,,,
138,torvalds/linux,v2.6.28-rc8,2008-12-10,,,,,,,,,,,,,
139,torvalds/linux,v2.6.28-rc9,2008-12-18,,,,,,,,,,,,,
140,torvalds/linux,v2.6.28,2008-12-24,,,,,,,,,,,,,
141,torvalds/linux,v2.6.29-rc1,2009-01-10,SUPPORT,26568.0,10868089.0,13.0,8826.0,62.0,4401.0,1.0,1.0,8826.0,10.0,178.0,1.0
142,torvalds/linux,v2.6.29-rc2,2009-01-16,SUPPORT,26631.0,10896862.0,1.0,595.0,1.0,1.0,0.0,1.0,595.0,1.0,1.0,1.0
143,torvalds/linux,v2.6.29-rc3,2009-01-28,SUPPORT,26686.0,10908230.0,3.0,463.0,4.0,19.0,0.0,,,,,
144,torvalds/linux,v2.6.29-rc4,2009-02-08,SUPPORT,26696.0,10913636.0,1.0,738.0,1.0,1.0,0.0,1.0,738.0,1.0,1.0,1.0
145,torvalds/linux,v2.6.29-rc5,2009-02-13,,,,,,,,,,,,,
146,torvalds/linux,v2.6.29-rc6,2009-02-22,SUPPORT,26698.0,10921790.0,1.0,321.0,1.0,25.0,0.0,1.0,321.0,1.0,25.0,1.0
147,torvalds/linux,v2.6.29-rc7,2009-03-03,SUPPORT,26712.0,10930577.0,4.0,325.0,13.0,2046.0,0.0,2.0,325.0,2.0,59.0,2.0
148,torvalds/linux,v2.6.29-rc8,2009-03-12,,,,,,,,,,,,,
149,torvalds/linux,v2.6.29,2009-03-23,,,,,,,,,,,,,
