,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,auth0/lock,v1.1.0,2013-11-06,,,,,,,,,,,,,,,,,,
1,auth0/lock,v1.1.1,2013-11-06,BUG,34.0,23694.0,,,,,,,,,,,2.0,3.0,7.0,22.0,-1.0
2,auth0/lock,v1.2.0,2013-11-07,,,,,,,,,,,,,,,,,,
3,auth0/lock,v1.3.0,2013-11-08,BUG,53.0,28031.0,,,,,,,,,,,2.0,5.0,29.0,3112.0,-1.0
4,auth0/lock,v1.3.1,2013-11-08,,,,,,,,,,,,,,,,,,
5,auth0/lock,v1.3.2,2013-11-08,,,,,,,,,,,,,,,,,,
6,auth0/lock,v1.3.3,2013-11-08,,,,,,,,,,,,,,,,,,
7,auth0/lock,v1.3.4,2013-11-08,,,,,,,,,,,,,,,,,,
8,auth0/lock,v1.3.5,2013-11-08,BUG,54.0,28428.0,,,,,,,,,,,1.0,2.0,7.0,16.0,-1.0
9,auth0/lock,v1.3.6,2013-11-10,,,,,,,,,,,,,,,,,,
10,auth0/lock,v1.3.7,2013-11-11,,,,,,,,,,,,,,,,,,
11,auth0/lock,v2.0.0,2013-11-12,,,,,,,,,,,,,,,,,,
12,auth0/lock,v2.0.1,2013-11-12,BUG,61.0,33136.0,,,,,,,,,,,1.0,6.0,13.0,198.0,-1.0
13,auth0/lock,v2.0.2,2013-11-13,BUG,61.0,33181.0,,,,,,,,,,,2.0,1.0,13.0,133.0,-1.0
14,auth0/lock,v2.0.3,2013-11-13,BUG,62.0,33217.0,,,,,,,,,,,2.0,1.0,14.0,254.0,-1.0
15,auth0/lock,v2.0.4,2013-11-13,BUG,63.0,33340.0,,,,,,,,,,,2.0,2.0,21.0,407.0,-1.0
16,auth0/lock,v2.0.5,2013-11-13,,,,,,,,,,,,,,,,,,
17,auth0/lock,v2.0.7,2013-11-13,,,,,,,,,,,,,,,,,,
18,auth0/lock,v2.0.6,2013-11-13,BUG,63.0,33388.0,,,,,,,,,,,1.0,2.0,6.0,92.0,-1.0
19,auth0/lock,v2.0.10,2013-11-14,BUG,64.0,25155.0,,,,,,,,,,,1.0,4.0,1.0,2.0,-1.0
20,auth0/lock,v2.0.11,2013-11-14,BUG,64.0,25332.0,,,,,,,,,,,3.0,3.0,16.0,352.0,-1.0
21,auth0/lock,v2.0.12,2013-11-14,,,,,,,,,,,,,,,,,,
22,auth0/lock,v2.0.13,2013-11-14,BUG,65.0,25477.0,,,,,,,,,,,1.0,4.0,1.0,36.0,-1.0
23,auth0/lock,v2.0.8,2013-11-14,BUG,63.0,33399.0,,,,,,,,,,,1.0,2.0,7.0,170.0,-1.0
