,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,josdejong/mathjs,v0.0.2,2013-02-16,RELEASE,28,3160,,,,,,,,,,,,,,,
1,josdejong/mathjs,v0.1.0,2013-02-18,RELEASE,60,5980,1.0,18.0,3.0,6.0,1.0,,,,,,,,,,
2,josdejong/mathjs,v0.2.0,2013-02-25,RELEASE,88,12985,2.0,18.0,5.0,22.0,2.0,,,,,,,,,,
3,josdejong/mathjs,v0.3.0,2013-03-09,RELEASE,92,14785,1.0,8.0,4.0,12.0,1.0,,,,,,,,,,
4,josdejong/mathjs,v0.4.0,2013-03-16,RELEASE,102,16845,1.0,23.0,5.0,23.0,1.0,,,,,,,,,,
5,josdejong/mathjs,v0.5.0,2013-04-06,RELEASE,130,23427,,,,,,,,,,,1.0,37.0,3.0,14.0,-1.0
6,josdejong/mathjs,v0.6.0,2013-04-13,RELEASE,205,22374,,,,,,,,,,,1.0,15.0,4.0,8.0,-1.0
7,josdejong/mathjs,v0.7.0,2013-04-20,RELEASE,214,24164,,,,,,,,,,,1.0,20.0,5.0,16.0,-1.0
8,josdejong/mathjs,v0.7.1,2013-04-27,RELEASE,216,24719,1.0,11.0,5.0,17.0,1.0,,,,,,,,,,
9,josdejong/mathjs,v0.7.2,2013-05-04,RELEASE,216,24773,1.0,3.0,6.0,37.0,1.0,,,,,,,,,,
10,josdejong/mathjs,v0.8.1,2013-05-10,RELEASE,280,26605,1.0,,6.0,18.0,1.0,,,,,,,,,,
11,josdejong/mathjs,v0.8.0,2013-05-10,RELEASE,280,26605,1.0,21.0,5.0,16.0,1.0,,,,,,,,,,
12,josdejong/mathjs,v0.8.2,2013-05-18,RELEASE,278,26895,1.0,5.0,5.0,10.0,1.0,,,,,,,,,,
13,josdejong/mathjs,v0.9.0,2013-05-29,RELEASE,288,28536,1.0,21.0,7.0,21.0,1.0,,,,,,,,,,
14,josdejong/mathjs,v0.9.1,2013-06-14,RELEASE,293,28045,1.0,8.0,7.0,26.0,1.0,,,,,,,,,,
15,josdejong/mathjs,v0.10.0,2013-07-08,RELEASE,314,30528,1.0,19.0,7.0,1951.0,1.0,,,,,,,,,,
16,josdejong/mathjs,v0.11.0,2013-07-23,RELEASE,319,30791,1.0,5.0,5.0,310.0,1.0,,,,,,,,,,
17,josdejong/mathjs,v0.11.1,2013-07-23,RELEASE,319,30798,1.0,1.0,5.0,13.0,1.0,,,,,,,,,,
18,josdejong/mathjs,v0.12.0,2013-08-22,RELEASE,342,36707,1.0,87.0,5.0,27.0,1.0,,,,,,,,,,
19,josdejong/mathjs,v0.12.1,2013-08-22,RELEASE,342,36710,1.0,2.0,4.0,8.0,1.0,,,,,,,,,,
20,josdejong/mathjs,v0.13.0,2013-09-03,RELEASE,347,37677,1.0,22.0,10.0,687.0,1.0,,,,,,,,,,
21,josdejong/mathjs,v0.14.0,2013-10-08,RELEASE,363,38298,1.0,25.0,6.0,960.0,1.0,,,,,,,,,,
22,josdejong/mathjs,v0.15.0,2013-10-26,RELEASE,368,39890,1.0,50.0,7.0,2894.0,1.0,,,,,,,,,,
23,josdejong/mathjs,v0.16.0,2013-11-28,RELEASE,380,46675,1.0,64.0,5.0,1407.0,1.0,,,,,,,,,,
24,josdejong/mathjs,v0.17.0,2013-12-12,RELEASE,379,46539,1.0,18.0,5.0,247.0,1.0,,,,,,,,,,
25,josdejong/mathjs,v0.17.1,2013-12-19,RELEASE,381,46774,1.0,4.0,5.0,613.0,1.0,,,,,,,,,,
26,josdejong/mathjs,v0.18.0,2014-01-18,RELEASE,404,48291,1.0,67.0,9.0,9962.0,1.0,,,,,,,,,,
27,josdejong/mathjs,v0.18.1,2014-02-15,RELEASE,405,49647,,,,,,,,,,,1.0,6.0,7.0,2142.0,-1.0
28,josdejong/mathjs,v0.19.0,2014-03-30,RELEASE,430,53893,,,,,,,,,,,1.0,8.0,6.0,13981.0,-1.0
29,josdejong/mathjs,v0.20.0,2014-04-16,RELEASE,446,61378,1.0,62.0,7.0,25049.0,1.0,,,,,,,,,,
30,josdejong/mathjs,v0.21.0,2014-04-24,RELEASE,464,63095,1.0,12.0,6.0,2244.0,1.0,,,,,,,,,,
31,josdejong/mathjs,v0.21.1,2014-05-13,RELEASE,466,60268,1.0,12.0,7.0,56.0,1.0,,,,,,,,,,
32,josdejong/mathjs,v0.22.0,2014-05-22,RELEASE,570,70902,1.0,40.0,9.0,303.0,1.0,,,,,,,,,,
33,josdejong/mathjs,v0.23.0,2014-06-10,RELEASE,595,72714,1.0,21.0,12.0,4573.0,1.0,,,,,,,,,,
34,josdejong/mathjs,v0.24.0,2014-06-20,RELEASE,596,73043,1.0,11.0,10.0,699.0,1.0,,,,,,,,,,
35,josdejong/mathjs,v0.24.1,2014-06-20,RELEASE,596,73049,1.0,,8.0,22.0,1.0,,,,,,,,,,
36,josdejong/mathjs,v0.25.0,2014-07-01,RELEASE,592,72336,1.0,34.0,9.0,2332.0,1.0,,,,,,,,,,
37,josdejong/mathjs,v0.26.0,2014-08-03,RELEASE,605,74809,1.0,29.0,12.0,6627.0,1.0,,,,,,,,,,
38,josdejong/mathjs,v0.27.0,2014-08-21,RELEASE,614,76057,1.0,24.0,12.0,1486.0,1.0,,,,,,,,,,
39,josdejong/mathjs,v1.0.0,2014-09-04,RELEASE,618,76652,,,,,,,,,,,1.0,8.0,9.0,284.0,-1.0
40,josdejong/mathjs,v1.0.1,2014-09-12,RELEASE,620,76764,1.0,7.0,8.0,24.0,1.0,,,,,,,,,,
41,josdejong/mathjs,v1.1.0,2014-11-15,RELEASE,638,80413,1.0,38.0,8.0,881.0,1.0,,,,,,,,,,
42,josdejong/mathjs,v1.1.1,2014-11-22,RELEASE,638,80457,1.0,20.0,10.0,48.0,1.0,,,,,,,,,,
43,josdejong/mathjs,v1.2.0,2014-12-25,RELEASE,688,87192,1.0,70.0,9.0,909.0,1.0,,,,,,,,,,
44,josdejong/mathjs,v1.3.0,2015-02-09,RELEASE,694,89440,1.0,52.0,47.0,5190.0,1.0,,,,,,,,,,
45,josdejong/mathjs,v1.4.0,2015-02-28,RELEASE,737,94463,1.0,53.0,32.0,17769.0,1.0,,,,,,,,,,
46,josdejong/mathjs,v1.5.0,2015-03-28,RELEASE,746,107846,1.0,116.0,15.0,18927.0,1.0,,,,,,,,,,
47,josdejong/mathjs,v1.5.1,2015-04-08,RELEASE,749,108223,1.0,8.0,9.0,1545.0,1.0,,,,,,,,,,
48,josdejong/mathjs,v1.5.2,2015-04-09,RELEASE,749,108370,1.0,4.0,8.0,128.0,1.0,,,,,,,,,,
49,josdejong/mathjs,v1.6.0,2015-04-22,RELEASE,751,109068,1.0,56.0,9.0,1458.0,1.0,,,,,,,,,,
50,josdejong/mathjs,v1.7.0,2015-05-31,RELEASE,777,111650,1.0,81.0,9.0,61098.0,1.0,,,,,,,,,,
51,josdejong/mathjs,v1.7.1,2015-07-12,RELEASE,777,111701,1.0,9.0,8.0,51.0,1.0,,,,,,,,,,
52,josdejong/mathjs,v2.0.0,2015-07-28,RELEASE,957,138712,,,,,,,,,,,1.0,250.0,8.0,70146.0,-1.0
53,josdejong/mathjs,v2.0.1,2015-07-29,RELEASE,957,138731,,,,,,,,,,,1.0,2.0,8.0,53.0,-1.0
54,josdejong/mathjs,v2.1.0,2015-08-11,RELEASE,967,142289,1.0,51.0,13.0,3916.0,1.0,,,,,,,,,,
55,josdejong/mathjs,v2.1.1,2015-08-12,RELEASE,967,142289,2.0,6.0,13.0,50.0,2.0,,,,,,,,,,
56,josdejong/mathjs,v2.2.0,2015-08-30,RELEASE,971,142748,,,,,,,,,,,1.0,9.0,19.0,2062.0,-1.0
57,josdejong/mathjs,v2.3.0,2015-09-19,RELEASE,983,144054,,,,,,,,,,,1.0,8.0,16.0,81948.0,-1.0
58,josdejong/mathjs,v2.4.0,2015-10-09,RELEASE,985,144845,1.0,17.0,9.0,475.0,1.0,,,,,,,,,,
59,josdejong/mathjs,v2.4.1,2015-10-29,RELEASE,986,144910,1.0,17.0,8.0,206.0,1.0,,,,,,,,,,
60,josdejong/mathjs,v2.4.2,2015-11-14,RELEASE,986,144915,1.0,3.0,8.0,45.0,1.0,,,,,,,,,,
61,josdejong/mathjs,v2.5.0,2015-12-05,RELEASE,985,145500,1.0,26.0,9.0,34998.0,1.0,,,,,,,,,,
62,josdejong/mathjs,v2.6.0,2016-01-08,RELEASE,985,146059,1.0,28.0,13.0,23243.0,1.0,,,,,,,,,,
