,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,josdejong/mathjs,v0.0.2,2013-02-16,UPGRADE,28,3160,,,,,,,,,,,,,,,
1,josdejong/mathjs,v0.1.0,2013-02-18,UPGRADE,60,5980,,,,,,,,,,,,,,,
2,josdejong/mathjs,v0.2.0,2013-02-25,UPGRADE,88,12985,,,,,,,,,,,,,,,
3,josdejong/mathjs,v0.3.0,2013-03-09,UPGRADE,92,14785,,,,,,,,,,,,,,,
4,josdejong/mathjs,v0.4.0,2013-03-16,UPGRADE,102,16845,,,,,,,,,,,,,,,
5,josdejong/mathjs,v0.5.0,2013-04-06,UPGRADE,130,23427,,,,,,,,,,,,,,,
6,josdejong/mathjs,v0.6.0,2013-04-13,UPGRADE,205,22374,,,,,,,,,,,,,,,
7,josdejong/mathjs,v0.7.0,2013-04-20,UPGRADE,214,24164,,,,,,,,,,,,,,,
8,josdejong/mathjs,v0.7.1,2013-04-27,UPGRADE,216,24719,,,,,,,,,,,,,,,
9,josdejong/mathjs,v0.7.2,2013-05-04,UPGRADE,216,24773,,,,,,,,,,,,,,,
10,josdejong/mathjs,v0.8.1,2013-05-10,UPGRADE,280,26605,,,,,,,,,,,,,,,
11,josdejong/mathjs,v0.8.0,2013-05-10,UPGRADE,280,26605,,,,,,,,,,,,,,,
12,josdejong/mathjs,v0.8.2,2013-05-18,UPGRADE,278,26895,,,,,,,,,,,,,,,
13,josdejong/mathjs,v0.9.0,2013-05-29,UPGRADE,288,28536,,,,,,,,,,,,,,,
14,josdejong/mathjs,v0.9.1,2013-06-14,UPGRADE,293,28045,,,,,,,,,,,,,,,
15,josdejong/mathjs,v0.10.0,2013-07-08,UPGRADE,314,30528,,,,,,,,,,,,,,,
16,josdejong/mathjs,v0.11.0,2013-07-23,UPGRADE,319,30791,,,,,,,,,,,,,,,
17,josdejong/mathjs,v0.11.1,2013-07-23,UPGRADE,319,30798,,,,,,,,,,,,,,,
18,josdejong/mathjs,v0.12.0,2013-08-22,UPGRADE,342,36707,,,,,,,,,,,,,,,
19,josdejong/mathjs,v0.12.1,2013-08-22,UPGRADE,342,36710,,,,,,,,,,,,,,,
20,josdejong/mathjs,v0.13.0,2013-09-03,UPGRADE,347,37677,,,,,,,,,,,,,,,
21,josdejong/mathjs,v0.14.0,2013-10-08,UPGRADE,363,38298,,,,,,,,,,,,,,,
22,josdejong/mathjs,v0.15.0,2013-10-26,UPGRADE,368,39890,,,,,,,,,,,,,,,
23,josdejong/mathjs,v0.16.0,2013-11-28,UPGRADE,380,46675,1.0,64.0,1.0,2.0,1.0,,,,,,,,,,
24,josdejong/mathjs,v0.17.0,2013-12-12,UPGRADE,379,46539,,,,,,,,,,,,,,,
25,josdejong/mathjs,v0.17.1,2013-12-19,UPGRADE,381,46774,,,,,,,,,,,,,,,
26,josdejong/mathjs,v0.18.0,2014-01-18,UPGRADE,404,48291,1.0,66.0,2.0,6.0,1.0,,,,,,1.0,21.0,1.0,6.0,-1.0
27,josdejong/mathjs,v0.18.1,2014-02-15,UPGRADE,405,49647,,,,,,,,,,,,,,,
28,josdejong/mathjs,v0.19.0,2014-03-30,UPGRADE,430,53893,,,,,,,,,,,,,,,
29,josdejong/mathjs,v0.20.0,2014-04-16,UPGRADE,446,61378,,,,,,,,,,,1.0,22.0,2.0,12.0,-1.0
30,josdejong/mathjs,v0.21.0,2014-04-24,UPGRADE,464,63095,,,,,,,,,,,,,,,
31,josdejong/mathjs,v0.21.1,2014-05-13,UPGRADE,466,60268,,,,,,,,,,,,,,,
32,josdejong/mathjs,v0.22.0,2014-05-22,UPGRADE,570,70902,,,,,,,,,,,,,,,
33,josdejong/mathjs,v0.23.0,2014-06-10,UPGRADE,595,72714,,,,,,,,,,,,,,,
34,josdejong/mathjs,v0.24.0,2014-06-20,UPGRADE,596,73043,,,,,,,,,,,,,,,
35,josdejong/mathjs,v0.24.1,2014-06-20,UPGRADE,596,73049,,,,,,,,,,,,,,,
36,josdejong/mathjs,v0.25.0,2014-07-01,UPGRADE,592,72336,1.0,34.0,2.0,27.0,1.0,,,,,,,,,,
37,josdejong/mathjs,v0.26.0,2014-08-03,UPGRADE,605,74809,,,,,,,,,,,,,,,
38,josdejong/mathjs,v0.27.0,2014-08-21,UPGRADE,614,76057,,,,,,,,,,,,,,,
39,josdejong/mathjs,v1.0.0,2014-09-04,UPGRADE,618,76652,,,,,,,,,,,,,,,
40,josdejong/mathjs,v1.0.1,2014-09-12,UPGRADE,620,76764,,,,,,,,,,,,,,,
41,josdejong/mathjs,v1.1.0,2014-11-15,UPGRADE,638,80413,,,,,,,,,,,,,,,
42,josdejong/mathjs,v1.1.1,2014-11-22,UPGRADE,638,80457,,,,,,,,,,,,,,,
43,josdejong/mathjs,v1.2.0,2014-12-25,UPGRADE,688,87192,1.0,70.0,5.0,10.0,1.0,,,,,,,,,,
44,josdejong/mathjs,v1.3.0,2015-02-09,UPGRADE,694,89440,,,,,,,,,,,,,,,
45,josdejong/mathjs,v1.4.0,2015-02-28,UPGRADE,737,94463,,,,,,,,,,,,,,,
46,josdejong/mathjs,v1.5.0,2015-03-28,UPGRADE,746,107846,,,,,,,,,,,,,,,
47,josdejong/mathjs,v1.5.1,2015-04-08,UPGRADE,749,108223,,,,,,,,,,,,,,,
48,josdejong/mathjs,v1.5.2,2015-04-09,UPGRADE,749,108370,,,,,,,,,,,,,,,
49,josdejong/mathjs,v1.6.0,2015-04-22,UPGRADE,751,109068,,,,,,,,,,,,,,,
50,josdejong/mathjs,v1.7.0,2015-05-31,UPGRADE,777,111650,,,,,,,,,,,,,,,
51,josdejong/mathjs,v1.7.1,2015-07-12,UPGRADE,777,111701,,,,,,,,,,,,,,,
52,josdejong/mathjs,v2.0.0,2015-07-28,UPGRADE,957,138712,6.0,485.0,37.0,466.0,1.0,,,,,,1.0,250.0,4.0,83.0,-1.0
53,josdejong/mathjs,v2.0.1,2015-07-29,UPGRADE,957,138731,,,,,,,,,,,,,,,
54,josdejong/mathjs,v2.1.0,2015-08-11,UPGRADE,967,142289,,,,,,,,,,,,,,,
55,josdejong/mathjs,v2.1.1,2015-08-12,UPGRADE,967,142289,,,,,,,,,,,,,,,
56,josdejong/mathjs,v2.2.0,2015-08-30,UPGRADE,971,142748,,,,,,,,,,,,,,,
57,josdejong/mathjs,v2.3.0,2015-09-19,UPGRADE,983,144054,1.0,39.0,2.0,7.0,1.0,,,,,,,,,,
58,josdejong/mathjs,v2.4.0,2015-10-09,UPGRADE,985,144845,,,,,,,,,,,,,,,
59,josdejong/mathjs,v2.4.1,2015-10-29,UPGRADE,986,144910,,,,,,,,,,,,,,,
60,josdejong/mathjs,v2.4.2,2015-11-14,UPGRADE,986,144915,,,,,,,,,,,,,,,
61,josdejong/mathjs,v2.5.0,2015-12-05,UPGRADE,985,145500,,,,,,,,,,,,,,,
62,josdejong/mathjs,v2.6.0,2016-01-08,UPGRADE,985,146059,,,,,,,,,,,,,,,
63,josdejong/mathjs,v2.7.0,2016-02-03,UPGRADE,985,146097,,,,,,,,,,,,,,,
64,josdejong/mathjs,v3.0.0,2016-03-04,UPGRADE,996,149525,3.0,113.0,5.0,44.0,1.0,,,,,,,,,,
65,josdejong/mathjs,v3.1.0,2016-03-19,UPGRADE,996,149761,,,,,,,,,,,,,,,
66,josdejong/mathjs,v3.1.1,2016-03-24,UPGRADE,997,149908,,,,,,,,,,,,,,,
67,josdejong/mathjs,v3.1.2,2016-03-24,UPGRADE,997,149913,,,,,,,,,,,,,,,
68,josdejong/mathjs,v3.1.3,2016-03-24,UPGRADE,997,149918,,,,,,,,,,,,,,,
69,josdejong/mathjs,v3.1.4,2016-04-03,UPGRADE,997,150103,,,,,,,,,,,,,,,
70,josdejong/mathjs,v3.2.0,2016-04-16,UPGRADE,997,150307,1.0,8.0,2.0,13.0,1.0,,,,,,,,,,
71,josdejong/mathjs,v3.2.1,2016-04-26,UPGRADE,997,150429,,,,,,,,,,,,,,,
72,josdejong/mathjs,v3.3.0,2016-07-05,UPGRADE,1000,151053,,,,,,,,,,,,,,,
73,josdejong/mathjs,v3.4.0,2016-08-07,UPGRADE,1011,153427,,,,,,,,,,,,,,,
74,josdejong/mathjs,v3.4.1,2016-08-08,UPGRADE,1011,153441,,,,,,,,,,,,,,,
75,josdejong/mathjs,v3.5.0,2016-09-07,UPGRADE,1011,153489,,,,,,,,,,,,,,,
76,josdejong/mathjs,v3.5.1,2016-09-12,UPGRADE,1011,153477,,,,,,,,,,,,,,,
77,josdejong/mathjs,v3.5.2,2016-09-20,UPGRADE,1011,153533,,,,,,,,,,,,,,,
78,josdejong/mathjs,v3.5.3,2016-09-21,UPGRADE,1011,153539,,,,,,,,,,,,,,,
79,josdejong/mathjs,v3.6.0,2016-10-21,UPGRADE,1017,154952,,,,,,,,,,,,,,,
80,josdejong/mathjs,v3.7.0,2016-11-05,UPGRADE,1017,155294,,,,,,,,,,,,,,,
81,josdejong/mathjs,v3.8.0,2016-11-18,UPGRADE,1019,155818,,,,,,,,,,,,,,,
82,josdejong/mathjs,v3.8.1,2016-12-15,UPGRADE,1023,156134,,,,,,,,,,,,,,,
