,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,apache/mesos,release-0.9.0-incubating-RC2,2012-03-29,DOCS,535,73272,,,,,,,,,,,,,,,
1,apache/mesos,release-0.9.0-incubating-RC3,2012-03-30,DOCS,534,73094,,,,,,,,,,,,,,,
2,apache/mesos,release-0.9.0-incubating-RC4,2012-04-07,DOCS,534,73161,,,,,,,,,,,,,,,
3,apache/mesos,release-0.9.0-incubating-RC5,2012-04-19,DOCS,535,73252,,,,,,,,,,,,,,,
4,apache/mesos,release-0.10.0-incubating-RC2,2012-12-11,DOCS,665,135655,,,,,,,,,,,,,,,
5,apache/mesos,0.10.0,2012-12-11,DOCS,665,135655,,,,,,,,,,,,,,,
6,apache/mesos,release-0.11.0-incubating-RC1,2013-03-07,DOCS,648,138303,,,,,,,,,,,1.0,147.0,2.0,19.0,-1.0
7,apache/mesos,release-0.11.0-incubating-RC2,2013-05-24,DOCS,650,138538,,,,,,,,,,,,,,,
8,apache/mesos,release-0.11.0-incubating-RC3,2013-05-28,DOCS,650,138546,,,,,,,,,,,,,,,
9,apache/mesos,0.11.0,2013-05-28,DOCS,650,138546,,,,,,,,,,,,,,,
10,apache/mesos,0.13.0-rc1,2013-06-07,DOCS,726,162992,,,,,,,,,,,,,,,
11,apache/mesos,0.12.0-rc1,2013-06-10,DOCS,668,152087,,,,,,,,,,,,,,,
12,apache/mesos,0.13.0-rc2,2013-06-11,DOCS,726,163307,,,,,,,,,,,,,,,
13,apache/mesos,0.12.0,2013-06-20,DOCS,668,152087,,,,,,,,,,,,,,,
14,apache/mesos,0.13.0-rc3,2013-07-01,DOCS,726,163338,,,,,,,,,,,,,,,
15,apache/mesos,0.13.0-rc4,2013-07-12,DOCS,726,163612,,,,,,,,,,,,,,,
16,apache/mesos,0.12.1-rc1,2013-07-17,DOCS,666,152133,,,,,,,,,,,,,,,
17,apache/mesos,0.12.1-rc3,2013-08-01,DOCS,672,152875,,,,,,,,,,,,,,,
18,apache/mesos,0.12.1,2013-08-01,DOCS,672,152875,,,,,,,,,,,,,,,
19,apache/mesos,0.12.1-rc2,2013-08-01,DOCS,672,152877,,,,,,,,,,,,,,,
20,apache/mesos,0.13.0-rc5,2013-08-05,DOCS,726,163686,,,,,,,,,,,,,,,
21,apache/mesos,0.13.0-rc6,2013-08-13,DOCS,726,163681,,,,,,,,,,,,,,,
22,apache/mesos,0.13.0-rc7,2013-08-14,DOCS,726,163753,,,,,,,,,,,,,,,
23,apache/mesos,0.14.0-rc1,2013-08-16,DOCS,708,157624,,,,,,,,,,,1.0,175.0,2.0,128.0,-1.0
24,apache/mesos,0.14.0-rc2,2013-08-26,DOCS,708,158685,,,,,,,,,,,,,,,
25,apache/mesos,0.13.0-rc8,2013-09-01,DOCS,730,164286,,,,,,,,,,,,,,,
26,apache/mesos,0.13.0,2013-09-01,DOCS,730,164286,,,,,,,,,,,,,,,
27,apache/mesos,0.14.0-rc3,2013-09-04,DOCS,708,158935,,,,,,,,,,,1.0,188.0,2.0,128.0,-1.0
28,apache/mesos,0.14.0-rc4,2013-09-19,DOCS,706,158922,,,,,,,,,,,1.0,,5.0,167.0,-1.0
29,apache/mesos,0.14.0-rc5,2013-10-07,DOCS,707,158989,,,,,,,,,,,,,,,
30,apache/mesos,0.14.0-rc6,2013-10-09,DOCS,707,158991,,,,,,,,,,,,,,,
31,apache/mesos,0.14.0,2013-10-09,DOCS,707,158991,,,,,,,,,,,,,,,
32,apache/mesos,0.14.1-rc1,2013-10-09,DOCS,707,159936,,,,,,,,,,,,,,,
33,apache/mesos,0.14.1,2013-10-09,DOCS,707,159936,,,,,,,,,,,,,,,
34,apache/mesos,0.14.2-rc1,2013-10-22,DOCS,707,159753,,,,,,,,,,,,,,,
35,apache/mesos,0.15.0-rc1,2013-10-28,DOCS,695,156115,1.0,132.0,5.0,159.0,1.0,2.0,132.0,32.0,1620.0,2.0,3.0,19.0,3.0,379.0,-1.0
36,apache/mesos,0.15.0-rc2,2013-10-28,DOCS,695,156115,,,,,,,,,,,,,,,
37,apache/mesos,0.14.2-rc2,2013-11-03,DOCS,707,159762,,,,,,,,,,,,,,,
38,apache/mesos,0.14.2,2013-11-03,DOCS,707,159762,,,,,,,,,,,1.0,40.0,5.0,167.0,-1.0
39,apache/mesos,0.15.0-rc3,2013-11-04,DOCS,695,156173,1.0,140.0,5.0,159.0,1.0,2.0,140.0,32.0,1620.0,2.0,3.0,27.0,3.0,379.0,-1.0
40,apache/mesos,0.15.0-rc4,2013-11-12,DOCS,695,156298,,,,,,,,,,,,,,,
41,apache/mesos,0.15.0-rc5,2013-11-25,DOCS,695,156717,,,,,,,,,,,,,,,
42,apache/mesos,0.15.0,2013-11-25,DOCS,695,156717,,,,,,,,,,,,,,,
43,apache/mesos,0.16.0-rc1,2013-12-03,DOCS,718,160635,,,,,,1.0,108.0,22.0,125.0,1.0,,,,,
44,apache/mesos,0.16.0-rc2,2013-12-04,DOCS,718,160637,,,,,,,,,,,,,,,
45,apache/mesos,0.16.0-rc3,2013-12-08,DOCS,718,160639,,,,,,,,,,,,,,,
46,apache/mesos,0.16.0-rc4,2014-01-22,DOCS,723,162102,,,,,,,,,,,,,,,
47,apache/mesos,0.16.0-rc5,2014-01-23,DOCS,723,162180,,,,,,,,,,,,,,,
48,apache/mesos,0.16.0,2014-01-23,DOCS,723,162180,,,,,,,,,,,,,,,
49,apache/mesos,0.17.0-rc1,2014-01-28,DOCS,756,176928,1.0,147.0,1.0,9.0,1.0,1.0,147.0,1.0,4.0,1.0,,,,,
50,apache/mesos,0.18.0-rc1,2014-02-13,DOCS,772,179648,,,,,,1.0,74.0,1.0,2.0,1.0,,,,,
51,apache/mesos,0.18.0-rc2,2014-02-19,DOCS,772,179839,,,,,,,,,,,,,,,
52,apache/mesos,0.17.0-rc2,2014-02-24,DOCS,756,177134,,,,,,,,,,,,,,,
53,apache/mesos,0.17.0,2014-02-24,DOCS,756,177134,,,,,,,,,,,,,,,
54,apache/mesos,0.18.0-rc3,2014-02-28,DOCS,772,180123,,,,,,1.0,86.0,1.0,2.0,1.0,,,,,
55,apache/mesos,0.18.0-rc4,2014-03-12,DOCS,773,180383,,,,,,,,,,,,,,,
56,apache/mesos,0.18.0-rc5,2014-03-25,DOCS,775,180867,,,,,,,,,,,,,,,
57,apache/mesos,0.18.0-rc6,2014-04-01,DOCS,775,180913,,,,,,,,,,,,,,,
58,apache/mesos,0.18.0,2014-04-01,DOCS,775,180913,,,,,,,,,,,,,,,
59,apache/mesos,0.18.1-rc1,2014-04-16,DOCS,775,180942,,,,,,,,,,,,,,,
60,apache/mesos,0.18.1-rc2,2014-04-29,DOCS,775,181176,,,,,,,,,,,,,,,
61,apache/mesos,0.18.1,2014-04-29,DOCS,775,181176,,,,,,,,,,,,,,,
62,apache/mesos,0.18.2-rc1,2014-05-13,DOCS,775,181184,,,,,,,,,,,,,,,
63,apache/mesos,0.18.2,2014-05-13,DOCS,775,181184,,,,,,,,,,,,,,,
64,apache/mesos,0.19.0-rc1,2014-05-29,DOCS,872,209553,2.0,515.0,3.0,445.0,2.0,2.0,515.0,2.0,34.0,2.0,1.0,42.0,1.0,2.0,-1.0
65,apache/mesos,0.19.0-rc2,2014-05-30,DOCS,872,209764,,,,,,,,,,,,,,,
66,apache/mesos,0.19.0-rc3,2014-06-04,DOCS,872,209787,,,,,,,,,,,,,,,
67,apache/mesos,0.19.0,2014-06-04,DOCS,872,209787,,,,,,,,,,,,,,,
68,apache/mesos,0.19.1-rc1,2014-07-14,DOCS,872,209828,,,,,,,,,,,,,,,
69,apache/mesos,0.19.1,2014-07-14,DOCS,872,209828,,,,,,,,,,,,,,,
70,apache/mesos,0.20.0-rc1,2014-08-16,DOCS,940,237234,4.0,401.0,8.0,294.0,4.0,4.0,407.0,5.0,26.0,4.0,,,,,
71,apache/mesos,0.20.0-rc2,2014-08-18,DOCS,941,237270,,,,,,,,,,,,,,,
72,apache/mesos,0.20.0,2014-08-18,DOCS,941,237270,,,,,,,,,,,,,,,
73,apache/mesos,0.20.1-rc2,2014-09-17,DOCS,941,238043,,,,,,,,,,,,,,,
74,apache/mesos,0.20.1-rc1,2014-09-17,DOCS,941,238043,,,,,,,,,,,,,,,
75,apache/mesos,0.20.1-rc3,2014-09-18,DOCS,941,238062,,,,,,,,,,,,,,,
76,apache/mesos,0.20.1,2014-09-18,DOCS,941,238062,,,,,,,,,,,,,,,
77,apache/mesos,0.21.0-rc1,2014-11-05,DOCS,990,250910,3.0,328.0,5.0,30.0,3.0,5.0,355.0,13.0,912.0,5.0,1.0,30.0,1.0,14.0,-1.0
78,apache/mesos,0.21.0-rc2,2014-11-10,DOCS,990,251041,,,,,,,,,,,,,,,
79,apache/mesos,0.21.0-rc3,2014-11-13,DOCS,990,251138,,,,,,,,,,,,,,,
80,apache/mesos,0.21.0,2014-11-13,DOCS,990,251138,,,,,,,,,,,,,,,
81,apache/mesos,0.21.1-rc1,2014-12-18,DOCS,990,252243,,,,,,,,,,,1.0,9.0,1.0,1730.0,-1.0
82,apache/mesos,0.21.1-rc2,2014-12-18,DOCS,990,252335,,,,,,,,,,,,,,,
