,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,apache/mesos,release-0.9.0-incubating-RC2,2012-03-29,UPGRADE,535,73272,,,,,,,,,,,,,,,
1,apache/mesos,release-0.9.0-incubating-RC3,2012-03-30,UPGRADE,534,73094,,,,,,,,,,,1.0,3.0,537.0,293233.0,-1.0
2,apache/mesos,release-0.9.0-incubating-RC4,2012-04-07,UPGRADE,534,73161,,,,,,,,,,,,,,,
3,apache/mesos,release-0.9.0-incubating-RC5,2012-04-19,UPGRADE,535,73252,,,,,,,,,,,,,,,
4,apache/mesos,release-0.10.0-incubating-RC2,2012-12-11,UPGRADE,665,135655,,,,,,,,,,,,,,,
5,apache/mesos,0.10.0,2012-12-11,UPGRADE,665,135655,,,,,,,,,,,4.0,221.0,4.0,89.0,-1.0
6,apache/mesos,release-0.11.0-incubating-RC1,2013-03-07,UPGRADE,648,138303,,,,,,,,,,,,,,,
7,apache/mesos,release-0.11.0-incubating-RC2,2013-05-24,UPGRADE,650,138538,,,,,,,,,,,,,,,
8,apache/mesos,release-0.11.0-incubating-RC3,2013-05-28,UPGRADE,650,138546,,,,,,,,,,,,,,,
9,apache/mesos,0.11.0,2013-05-28,UPGRADE,650,138546,,,,,,,,,,,,,,,
10,apache/mesos,0.13.0-rc1,2013-06-07,UPGRADE,726,162992,,,,,,,,,,,3.0,225.0,12.0,96.0,-1.0
11,apache/mesos,0.12.0-rc1,2013-06-10,UPGRADE,668,152087,,,,,,,,,,,1.0,8.0,3.0,212.0,-1.0
12,apache/mesos,0.13.0-rc2,2013-06-11,UPGRADE,726,163307,,,,,,,,,,,2.0,203.0,11.0,95.0,-1.0
13,apache/mesos,0.12.0,2013-06-20,UPGRADE,668,152087,,,,,,,,,,,1.0,8.0,3.0,212.0,-1.0
14,apache/mesos,0.13.0-rc3,2013-07-01,UPGRADE,726,163338,,,,,,,,,,,2.0,209.0,11.0,95.0,-1.0
15,apache/mesos,0.13.0-rc4,2013-07-12,UPGRADE,726,163612,,,,,,,,,,,,,,,
16,apache/mesos,0.12.1-rc1,2013-07-17,UPGRADE,666,152133,,,,,,,,,,,,,,,
17,apache/mesos,0.12.1-rc3,2013-08-01,UPGRADE,672,152875,,,,,,,,,,,,,,,
18,apache/mesos,0.12.1,2013-08-01,UPGRADE,672,152875,,,,,,,,,,,,,,,
19,apache/mesos,0.12.1-rc2,2013-08-01,UPGRADE,672,152877,,,,,,,,,,,2.0,36.0,17.0,361.0,-1.0
20,apache/mesos,0.13.0-rc5,2013-08-05,UPGRADE,726,163686,,,,,,,,,,,2.0,215.0,11.0,95.0,-1.0
21,apache/mesos,0.13.0-rc6,2013-08-13,UPGRADE,726,163681,,,,,,,,,,,,,,,
