,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,middleman/middleman,v0.1.1,2009-07-28,BUG,29,400,,,,,,,,,,,,,,,
1,middleman/middleman,v0.2.0,2009-07-28,BUG,29,411,,,,,,,,,,,,,,,
2,middleman/middleman,v0.2.1,2009-07-28,BUG,30,494,,,,,,,,,,,,,,,
3,middleman/middleman,v0.2.4,2009-07-28,BUG,30,548,,,,,,,,,,,1.0,2.0,2.0,18.0,-1.0
4,middleman/middleman,v0.2.2,2009-07-28,BUG,30,554,,,,,,,,,,,,,,,
5,middleman/middleman,v0.2.3,2009-07-28,BUG,30,556,,,,,,,,,,,,,,,
6,middleman/middleman,v0.2.5,2009-07-29,BUG,31,577,,,,,,,,,,,,,,,
7,middleman/middleman,v0.2.6,2009-07-29,BUG,32,596,,,,,,,,,,,,,,,
8,middleman/middleman,v0.2.7,2009-07-30,BUG,32,617,,,,,,,,,,,,,,,
9,middleman/middleman,v0.2.8,2009-07-31,BUG,34,645,,,,,,,,,,,,,,,
10,middleman/middleman,v0.2.9,2009-07-31,BUG,34,646,,,,,,,,,,,,,,,
11,middleman/middleman,v0.3.2,2009-08-04,BUG,33,645,,,,,,,,,,,,,,,
12,middleman/middleman,v0.3.0,2009-08-04,BUG,34,653,,,,,,,,,,,1.0,3.0,2.0,23.0,-1.0
13,middleman/middleman,v0.3.1,2009-08-04,BUG,34,656,,,,,,,,,,,1.0,2.0,1.0,19.0,-1.0
14,middleman/middleman,v0.3.3,2009-08-04,BUG,33,660,,,,,,,,,,,,,,,
15,middleman/middleman,v0.3.4,2009-08-05,BUG,33,660,,,,,,,,,,,,,,,
16,middleman/middleman,v0.3.5,2009-08-08,BUG,33,727,,,,,,,,,,,,,,,
17,middleman/middleman,v0.3.7,2009-08-09,BUG,33,709,,,,,,,,,,,,,,,
18,middleman/middleman,v0.3.6,2009-08-09,BUG,33,730,,,,,,,,,,,,,,,
19,middleman/middleman,v0.3.9,2009-08-11,BUG,33,711,,,,,,,,,,,1.0,2.0,1.0,2.0,-1.0
20,middleman/middleman,v0.3.8,2009-08-11,BUG,33,711,,,,,,,,,,,,,,,
21,middleman/middleman,v0.3.10,2009-08-11,BUG,33,718,,,,,,,,,,,1.0,2.0,2.0,13.0,-1.0
22,middleman/middleman,v0.4.0,2009-08-12,BUG,36,713,,,,,,,,,,,,,,,
23,middleman/middleman,v0.4.1,2009-08-12,BUG,89,3620,,,,,,,,,,,,,,,
24,middleman/middleman,v0.4.2,2009-09-04,BUG,89,3655,,,,,,,,,,,,,,,
25,middleman/middleman,v0.5.1,2009-09-17,BUG,90,3680,,,,,,,,,,,,,,,
26,middleman/middleman,v0.5.2,2009-09-17,BUG,90,3681,,,,,,,,,,,,,,,
27,middleman/middleman,v0.5.0,2009-09-17,BUG,90,3736,,,,,,,,,,,,,,,
28,middleman/middleman,v0.5.3,2009-09-18,BUG,90,3699,,,,,,,,,,,,,,,
29,middleman/middleman,v0.5.4,2009-09-19,BUG,90,3702,,,,,,,,,,,1.0,2.0,1.0,3.0,-1.0
30,middleman/middleman,v0.5.5,2009-09-21,BUG,91,3730,,,,,,,,,,,,,,,
31,middleman/middleman,v0.9.0,2009-09-29,BUG,48,1060,,,,,,,,,,,,,,,
32,middleman/middleman,v0.9.1,2009-09-29,BUG,48,1066,,,,,,,,,,,,,,,
33,middleman/middleman,v0.9.2,2009-09-30,BUG,48,1066,,,,,,,,,,,,,,,
34,middleman/middleman,v0.9.4,2009-09-30,BUG,48,1071,,,,,,,,,,,,,,,
35,middleman/middleman,v0.9.3,2009-09-30,BUG,48,1072,,,,,,,,,,,,,,,
36,middleman/middleman,v0.9.6,2009-10-01,BUG,47,1179,,,,,,,,,,,1.0,2.0,3.0,12.0,-1.0
37,middleman/middleman,v0.9.7,2009-10-01,BUG,50,1194,,,,,,,,,,,1.0,2.0,3.0,12.0,-1.0
38,middleman/middleman,v0.9.5,2009-10-01,BUG,50,1194,,,,,,,,,,,,,,,
39,middleman/middleman,v0.9.8,2009-10-06,BUG,51,1391,,,,,,,,,,,,,,,
40,middleman/middleman,v0.9.14,2009-10-08,BUG,50,1332,,,,,,,,,,,,,,,
41,middleman/middleman,v0.9.10,2009-10-08,BUG,51,1357,,,,,,,,,,,,,,,
42,middleman/middleman,v0.9.9,2009-10-08,BUG,51,1387,,,,,,,,,,,1.0,4.0,7.0,189.0,-1.0
43,middleman/middleman,v0.9.11,2009-10-08,BUG,52,1388,,,,,,,,,,,,,,,
44,middleman/middleman,v0.9.12,2009-10-08,BUG,52,1389,,,,,,,,,,,,,,,
45,middleman/middleman,v0.9.13,2009-10-08,BUG,52,1392,,,,,,,,,,,,,,,
46,middleman/middleman,v0.9.15,2009-10-09,BUG,50,1332,,,,,,,,,,,,,,,
