,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,middleman/middleman,v0.1.1,2009-07-28,OTHER,29.0,400.0,,,,,,,,,,,2.0,2.0,5.0,20.0,-1.0
1,middleman/middleman,v0.2.0,2009-07-28,OTHER,29.0,411.0,,,,,,,,,,,1.0,1.0,1.0,2.0,-1.0
2,middleman/middleman,v0.2.1,2009-07-28,OTHER,30.0,494.0,,,,,,,,,,,4.0,,5.0,95.0,-1.0
3,middleman/middleman,v0.2.4,2009-07-28,OTHER,30.0,548.0,,,,,,,,,,,2.0,1.0,2.0,4.0,-1.0
4,middleman/middleman,v0.2.2,2009-07-28,OTHER,30.0,554.0,,,,,,,,,,,3.0,,4.0,74.0,-1.0
5,middleman/middleman,v0.2.3,2009-07-28,OTHER,30.0,556.0,,,,,,,,,,,3.0,,4.0,40.0,-1.0
6,middleman/middleman,v0.2.5,2009-07-29,OTHER,31.0,577.0,,,,,,,,,,,3.0,,6.0,45.0,-1.0
7,middleman/middleman,v0.2.6,2009-07-29,OTHER,32.0,596.0,,,,,,,,,,,3.0,1.0,3.0,12.0,-1.0
8,middleman/middleman,v0.2.7,2009-07-30,OTHER,32.0,617.0,,,,,,,,,,,4.0,,5.0,33.0,-1.0
9,middleman/middleman,v0.2.8,2009-07-31,OTHER,34.0,645.0,,,,,,,,,,,3.0,,6.0,83.0,-1.0
10,middleman/middleman,v0.2.9,2009-07-31,OTHER,34.0,646.0,,,,,,,,,,,3.0,,3.0,7.0,-1.0
11,middleman/middleman,v0.3.2,2009-08-04,OTHER,33.0,645.0,,,,,,,,,,,4.0,,7.0,62.0,-1.0
12,middleman/middleman,v0.3.0,2009-08-04,OTHER,34.0,653.0,,,,,,,,,,,3.0,1.0,3.0,8.0,-1.0
13,middleman/middleman,v0.3.1,2009-08-04,OTHER,34.0,656.0,,,,,,,,,,,2.0,1.0,2.0,4.0,-1.0
14,middleman/middleman,v0.3.3,2009-08-04,OTHER,33.0,660.0,,,,,,,,,,,3.0,,4.0,93.0,-1.0
15,middleman/middleman,v0.3.4,2009-08-05,OTHER,33.0,660.0,,,,,,,,,,,3.0,,3.0,14.0,-1.0
16,middleman/middleman,v0.3.5,2009-08-08,OTHER,33.0,727.0,,,,,,,,,,,3.0,,3.0,75.0,-1.0
17,middleman/middleman,v0.3.7,2009-08-09,OTHER,33.0,709.0,,,,,,,,,,,3.0,,3.0,25.0,-1.0
18,middleman/middleman,v0.3.6,2009-08-09,OTHER,33.0,730.0,,,,,,,,,,,3.0,,4.0,119.0,-1.0
19,middleman/middleman,v0.3.9,2009-08-11,OTHER,33.0,711.0,,,,,,,,,,,2.0,1.0,2.0,4.0,-1.0
20,middleman/middleman,v0.3.8,2009-08-11,OTHER,33.0,711.0,,,,,,,,,,,3.0,,4.0,20.0,-1.0
21,middleman/middleman,v0.3.10,2009-08-11,OTHER,33.0,718.0,,,,,,,,,,,2.0,1.0,2.0,4.0,-1.0
22,middleman/middleman,v0.4.0,2009-08-12,OTHER,36.0,713.0,,,,,,,,,,,3.0,1.0,3.0,22.0,-1.0
23,middleman/middleman,v0.4.1,2009-08-12,OTHER,89.0,3620.0,,,,,,,,,,,4.0,,64.0,2917.0,-1.0
24,middleman/middleman,v0.4.2,2009-09-04,OTHER,89.0,3655.0,,,,,,,,,,,3.0,,5.0,43.0,-1.0
25,middleman/middleman,v0.5.1,2009-09-17,OTHER,90.0,3680.0,,,,,,,,,,,3.0,,5.0,76.0,-1.0
26,middleman/middleman,v0.5.2,2009-09-17,OTHER,90.0,3681.0,,,,,,,,,,,3.0,,3.0,5.0,-1.0
27,middleman/middleman,v0.5.0,2009-09-17,OTHER,90.0,3736.0,,,,,,,,,,,2.0,1.0,2.0,13.0,-1.0
28,middleman/middleman,v0.5.3,2009-09-18,OTHER,90.0,3699.0,,,,,,,,,,,2.0,1.0,2.0,6.0,-1.0
29,middleman/middleman,v0.5.4,2009-09-19,OTHER,90.0,3702.0,,,,,,,,,,,2.0,1.0,2.0,6.0,-1.0
30,middleman/middleman,v0.5.5,2009-09-21,OTHER,91.0,3730.0,,,,,,,,,,,5.0,,7.0,40.0,-1.0
31,middleman/middleman,v0.9.0,2009-09-29,OTHER,48.0,1060.0,,,,,,,,,,,7.0,2.0,160.0,3961.0,-1.0
32,middleman/middleman,v0.9.1,2009-09-29,OTHER,48.0,1066.0,,,,,,,,,,,3.0,,4.0,12.0,-1.0
33,middleman/middleman,v0.9.2,2009-09-30,OTHER,48.0,1066.0,,,,,,,,,,,3.0,,3.0,8.0,-1.0
34,middleman/middleman,v0.9.4,2009-09-30,OTHER,48.0,1071.0,,,,,,,,,,,4.0,,4.0,13.0,-1.0
35,middleman/middleman,v0.9.3,2009-09-30,OTHER,48.0,1072.0,,,,,,,,,,,3.0,,3.0,10.0,-1.0
36,middleman/middleman,v0.9.6,2009-10-01,OTHER,47.0,1179.0,,,,,,,,,,,2.0,1.0,2.0,7.0,-1.0
37,middleman/middleman,v0.9.7,2009-10-01,OTHER,50.0,1194.0,,,,,,,,,,,2.0,1.0,2.0,7.0,-1.0
38,middleman/middleman,v0.9.5,2009-10-01,OTHER,50.0,1194.0,,,,,,,,,,,4.0,1.0,11.0,116.0,-1.0
39,middleman/middleman,v0.9.8,2009-10-06,OTHER,51.0,1391.0,,,,,,,,,,,4.0,,14.0,271.0,-1.0
40,middleman/middleman,v0.9.14,2009-10-08,OTHER,50.0,1332.0,,,,,,,,,,,3.0,,8.0,76.0,-1.0
41,middleman/middleman,v0.9.10,2009-10-08,OTHER,51.0,1357.0,,,,,,,,,,,3.0,,4.0,42.0,-1.0
42,middleman/middleman,v0.9.9,2009-10-08,OTHER,51.0,1387.0,,,,,,,,,,,4.0,1.0,7.0,131.0,-1.0
43,middleman/middleman,v0.9.11,2009-10-08,OTHER,52.0,1388.0,,,,,,,,,,,3.0,,4.0,42.0,-1.0
44,middleman/middleman,v0.9.12,2009-10-08,OTHER,52.0,1389.0,,,,,,,,,,,3.0,,3.0,5.0,-1.0
45,middleman/middleman,v0.9.13,2009-10-08,OTHER,52.0,1392.0,,,,,,,,,,,2.0,1.0,2.0,4.0,-1.0
46,middleman/middleman,v0.9.15,2009-10-09,OTHER,50.0,1332.0,,,,,,,,,,,3.0,,3.0,14.0,-1.0
47,middleman/middleman,v0.9.17,2009-10-14,OTHER,50.0,1341.0,,,,,,,,,,,5.0,,8.0,27.0,-1.0
48,middleman/middleman,v0.9.18,2009-10-22,OTHER,52.0,1373.0,,,,,,,,,,,5.0,3.0,21.0,324.0,-1.0
49,middleman/middleman,v0.9.20,2009-10-22,OTHER,52.0,1390.0,,,,,,,,,,,2.0,,2.0,4.0,-1.0
50,middleman/middleman,v0.9.19,2009-10-22,OTHER,52.0,1390.0,,,,,,,,,,,6.0,,11.0,76.0,-1.0
51,middleman/middleman,v0.9.21,2009-10-28,OTHER,58.0,1761.0,,,,,,,,,,,6.0,4.0,12.0,436.0,-1.0
52,middleman/middleman,v0.9.23,2009-10-28,OTHER,58.0,1762.0,,,,,,,,,,,2.0,1.0,2.0,4.0,-1.0
53,middleman/middleman,v0.9.22,2009-10-28,OTHER,58.0,1762.0,,,,,,,,,,,2.0,1.0,2.0,4.0,-1.0
54,middleman/middleman,v0.10.0,2009-10-29,OTHER,58.0,1740.0,,,,,,,,,,,3.0,,4.0,90.0,-1.0
55,middleman/middleman,v0.10.1,2009-10-29,OTHER,58.0,1744.0,,,,,,,,,,,3.0,,5.0,62.0,-1.0
56,middleman/middleman,v0.10.2,2009-11-02,OTHER,58.0,1744.0,,,,,,,,,,,2.0,1.0,2.0,8.0,-1.0
57,middleman/middleman,v0.10.3,2009-11-02,OTHER,58.0,1761.0,,,,,,,,,,,2.0,1.0,2.0,4.0,-1.0
58,middleman/middleman,v0.10.4,2009-11-02,OTHER,58.0,1771.0,,,,,,,,,,,2.0,1.0,2.0,4.0,-1.0
59,middleman/middleman,v0.10.5,2009-11-02,OTHER,58.0,1788.0,,,,,,,,,,,3.0,,3.0,21.0,-1.0
60,middleman/middleman,v0.10.6,2009-11-03,OTHER,59.0,1824.0,,,,,,,,,,,3.0,,8.0,72.0,-1.0
61,middleman/middleman,v0.10.7,2009-11-03,OTHER,59.0,1850.0,,,,,,,,,,,2.0,1.0,2.0,5.0,-1.0
62,middleman/middleman,v0.10.8,2009-11-06,OTHER,65.0,1908.0,,,,,,,,,,,3.0,,12.0,84.0,-1.0
63,middleman/middleman,v0.10.9,2009-11-10,OTHER,65.0,1917.0,,,,,,,,,,,3.0,,4.0,17.0,-1.0
