,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,middleman/middleman,v0.1.1,2009-07-28,SUPPORT,29.0,400.0,,,,,,,,,,,2.0,2.0,10.0,62.0,-1.0
1,middleman/middleman,v0.2.0,2009-07-28,,,,,,,,,,,,,,,,,,
2,middleman/middleman,v0.2.1,2009-07-28,,,,,,,,,,,,,,,,,,
3,middleman/middleman,v0.2.4,2009-07-28,,,,,,,,,,,,,,,,,,
4,middleman/middleman,v0.2.2,2009-07-28,,,,,,,,,,,,,,,,,,
5,middleman/middleman,v0.2.3,2009-07-28,,,,,,,,,,,,,,,,,,
6,middleman/middleman,v0.2.5,2009-07-29,,,,,,,,,,,,,,,,,,
7,middleman/middleman,v0.2.6,2009-07-29,SUPPORT,32.0,596.0,,,,,,,,,,,1.0,3.0,3.0,14.0,-1.0
8,middleman/middleman,v0.2.7,2009-07-30,,,,,,,,,,,,,,,,,,
9,middleman/middleman,v0.2.8,2009-07-31,,,,,,,,,,,,,,,,,,
10,middleman/middleman,v0.2.9,2009-07-31,,,,,,,,,,,,,,,,,,
11,middleman/middleman,v0.3.2,2009-08-04,,,,,,,,,,,,,,,,,,
12,middleman/middleman,v0.3.0,2009-08-04,,,,,,,,,,,,,,,,,,
13,middleman/middleman,v0.3.1,2009-08-04,,,,,,,,,,,,,,,,,,
14,middleman/middleman,v0.3.3,2009-08-04,,,,,,,,,,,,,,,,,,
15,middleman/middleman,v0.3.4,2009-08-05,,,,,,,,,,,,,,,,,,
16,middleman/middleman,v0.3.5,2009-08-08,,,,,,,,,,,,,,,,,,
17,middleman/middleman,v0.3.7,2009-08-09,,,,,,,,,,,,,,,,,,
18,middleman/middleman,v0.3.6,2009-08-09,,,,,,,,,,,,,,,,,,
19,middleman/middleman,v0.3.9,2009-08-11,,,,,,,,,,,,,,,,,,
20,middleman/middleman,v0.3.8,2009-08-11,,,,,,,,,,,,,,,,,,
21,middleman/middleman,v0.3.10,2009-08-11,,,,,,,,,,,,,,,,,,
22,middleman/middleman,v0.4.0,2009-08-12,SUPPORT,36.0,713.0,,,,,,,,,,,1.0,3.0,5.0,33.0,-1.0
23,middleman/middleman,v0.4.1,2009-08-12,,,,,,,,,,,,,,,,,,
24,middleman/middleman,v0.4.2,2009-09-04,,,,,,,,,,,,,,,,,,
25,middleman/middleman,v0.5.1,2009-09-17,,,,,,,,,,,,,,,,,,
26,middleman/middleman,v0.5.2,2009-09-17,,,,,,,,,,,,,,,,,,
27,middleman/middleman,v0.5.0,2009-09-17,SUPPORT,90.0,3736.0,,,,,,,,,,,1.0,2.0,8.0,96.0,-1.0
28,middleman/middleman,v0.5.3,2009-09-18,SUPPORT,90.0,3699.0,,,,,,,,,,,1.0,2.0,2.0,42.0,-1.0
29,middleman/middleman,v0.5.4,2009-09-19,,,,,,,,,,,,,,,,,,
30,middleman/middleman,v0.5.5,2009-09-21,,,,,,,,,,,,,,,,,,
31,middleman/middleman,v0.9.0,2009-09-29,,,,,,,,,,,,,,,,,,
32,middleman/middleman,v0.9.1,2009-09-29,,,,,,,,,,,,,,,,,,
33,middleman/middleman,v0.9.2,2009-09-30,,,,,,,,,,,,,,,,,,
34,middleman/middleman,v0.9.4,2009-09-30,,,,,,,,,,,,,,,,,,
35,middleman/middleman,v0.9.3,2009-09-30,,,,,,,,,,,,,,,,,,
36,middleman/middleman,v0.9.6,2009-10-01,,,,,,,,,,,,,,,,,,
37,middleman/middleman,v0.9.7,2009-10-01,,,,,,,,,,,,,,,,,,
