,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,moby/moby,debian/0.1.1-1,2013-03-13,FEATURE,58,6916,,,,,,,,,,,,,,,
1,moby/moby,upstream/0.1.2,2013-03-16,FEATURE,63,7631,,,,,,,,,,,2.0,103.0,1.0,221.0,-1.0
2,moby/moby,0.0.3,2013-03-18,FEATURE,61,7594,,,,,,,,,,,,,,,
3,moby/moby,upstream/0.1.3,2013-03-19,FEATURE,61,7593,,,,,,,,,,,,,,,
4,moby/moby,v0.1.0,2013-03-25,FEATURE,59,7593,,,,,,,,,,,,,,,
5,moby/moby,upstream/0.1.4,2013-03-25,FEATURE,59,7647,,,,,,,,,,,3.0,164.0,8.0,816.0,-1.0
6,moby/moby,v0.1.1,2013-03-31,FEATURE,124,22574,,,,,,,,,,,2.0,212.0,,0.0,-1.0
7,moby/moby,v0.1.2,2013-04-03,FEATURE,130,23445,,,,,,,,,,,,,,,
8,moby/moby,v0.1.3,2013-04-08,FEATURE,155,23592,,,,,,,,,,,,,,,
9,moby/moby,v0.1.4,2013-04-09,FEATURE,157,24169,,,,,,,,,,,,,,,
10,moby/moby,v0.1.5,2013-04-17,FEATURE,177,25403,,,,,,,,,,,2.0,63.0,,0.0,-1.0
11,moby/moby,v0.1.6,2013-04-17,FEATURE,177,25406,,,,,,,,,,,,,,,
12,moby/moby,v0.1.7,2013-04-20,FEATURE,191,25843,,,,,,,,,,,1.0,35.0,,0.0,-1.0
13,moby/moby,v0.1.8,2013-04-22,FEATURE,194,26248,,,,,,,,,,,1.0,32.0,,0.0,-1.0
14,moby/moby,v0.2.0,2013-04-23,FEATURE,201,26669,,,,,,,,,,,,,,,
15,moby/moby,builder/1,2013-04-24,FEATURE,202,26926,,,,,,,,,,,,,,,
16,moby/moby,autorun/1,2013-04-25,FEATURE,197,26625,,,,,,,,,,,,,,,
17,moby/moby,v0.2.1,2013-05-01,FEATURE,199,26807,,,,,,,,,,,1.0,43.0,,0.0,-1.0
18,moby/moby,builder/2,2013-05-01,FEATURE,206,27158,,,,,,,,,,,,,,,
19,moby/moby,v0.2.2,2013-05-03,FEATURE,209,27617,,,,,,,,,,,,,,,
20,moby/moby,v0.3.0,2013-05-05,FEATURE,212,28019,,,,,,,,,,,1.0,53.0,2.0,317.0,-1.0
21,moby/moby,v0.3.1,2013-05-08,FEATURE,220,29199,,,,,,,,,,,,,,,
22,moby/moby,v0.3.2,2013-05-09,FEATURE,219,29178,,,,,,,,,,,,,,,
23,moby/moby,v0.3.3,2013-05-23,FEATURE,233,34857,,,,,,,,,,,2.0,244.0,,0.0,-1.0
24,moby/moby,v0.3.4,2013-05-30,FEATURE,246,35772,,,,,,,,,,,5.0,122.0,,0.0,-1.0
25,moby/moby,v0.4.0,2013-06-03,FEATURE,249,36142,,,,,,,,,,,3.0,65.0,,0.0,-1.0
26,moby/moby,v0.4.1,2013-06-17,FEATURE,254,40263,,,,,,,,,,,10.0,171.0,,0.0,-1.0
27,moby/moby,v0.4.2,2013-06-18,FEATURE,254,40279,,,,,,,,,,,,,,,
28,moby/moby,v0.4.3,2013-06-20,FEATURE,252,40354,,,,,,,,,,,3.0,80.0,,0.0,-1.0
29,moby/moby,v0.4.4,2013-06-20,FEATURE,252,40357,,,,,,,,,,,,,,,
30,moby/moby,v0.4.5,2013-06-21,FEATURE,250,41211,,,,,,,,,,,,,,,
31,moby/moby,v0.4.6,2013-06-22,FEATURE,250,41242,,,,,,,,,,,,,,,
32,moby/moby,v0.4.7,2013-06-29,FEATURE,263,43172,,,,,,,,,,,1.0,68.0,,0.0,-1.0
33,moby/moby,v0.4.8,2013-07-01,FEATURE,264,43430,,,,,,,,,,,,,,,
34,moby/moby,v0.5.0,2013-07-18,FEATURE,275,44600,,,,,,,,,,,4.0,190.0,,0.0,-1.0
35,moby/moby,v0.5.1,2013-07-31,FEATURE,273,46412,,,,,,,,,,,5.0,147.0,,0.0,-1.0
36,moby/moby,v0.5.2,2013-08-09,FEATURE,273,46469,,,,,,,,,,,,,,,
37,moby/moby,v0.5.3,2013-08-13,FEATURE,273,46498,,,,,,,,,,,,,,,
38,moby/moby,v0.6.0,2013-08-23,FEATURE,296,50547,,,,,,,,,,,5.0,374.0,,0.0,-1.0
39,moby/moby,v0.6.1,2013-08-23,FEATURE,296,50582,,,,,,,,,,,,,,,
40,moby/moby,v0.6.2,2013-09-17,FEATURE,549,123101,,,,,,,,,,,,,,,
41,moby/moby,v0.6.3,2013-09-23,FEATURE,550,123461,,,,,,,,,,,,,,,
42,moby/moby,v0.6.4,2013-10-16,FEATURE,530,120741,,,,,,,,,,,,,,,
43,moby/moby,v0.6.5,2013-10-30,FEATURE,525,125696,,,,,,,,,,,,,,,
44,moby/moby,v0.6.6,2013-11-06,FEATURE,539,127178,,,,,,,,,,,,,,,
45,moby/moby,v0.7.0-rc1,2013-11-21,FEATURE,562,124389,,,,,,,,,,,,,,,
