,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,moby/moby,debian/0.1.1-1,2013-03-13,,,,,,,,,,,,,,,,,,
1,moby/moby,upstream/0.1.2,2013-03-16,REFACTOR,63.0,7631.0,,,,,,,,,,,1.0,104.0,,0.0,-1.0
2,moby/moby,0.0.3,2013-03-18,,,,,,,,,,,,,,,,,,
3,moby/moby,upstream/0.1.3,2013-03-19,,,,,,,,,,,,,,,,,,
4,moby/moby,v0.1.0,2013-03-25,,,,,,,,,,,,,,,,,,
5,moby/moby,upstream/0.1.4,2013-03-25,,,,,,,,,,,,,,,,,,
6,moby/moby,v0.1.1,2013-03-31,,,,,,,,,,,,,,,,,,
7,moby/moby,v0.1.2,2013-04-03,REFACTOR,130.0,23445.0,,,,,,,,,,,1.0,72.0,2.0,191.0,-1.0
8,moby/moby,v0.1.3,2013-04-08,REFACTOR,155.0,23592.0,,,,,,,,,,,1.0,41.0,1.0,67.0,-1.0
9,moby/moby,v0.1.4,2013-04-09,,,,,,,,,,,,,,,,,,
10,moby/moby,v0.1.5,2013-04-17,,,,,,,,,,,,,,,,,,
11,moby/moby,v0.1.6,2013-04-17,,,,,,,,,,,,,,,,,,
12,moby/moby,v0.1.7,2013-04-20,,,,,,,,,,,,,,,,,,
13,moby/moby,v0.1.8,2013-04-22,,,,,,,,,,,,,,,,,,
14,moby/moby,v0.2.0,2013-04-23,,,,,,,,,,,,,,,,,,
15,moby/moby,builder/1,2013-04-24,,,,,,,,,,,,,,,,,,
16,moby/moby,autorun/1,2013-04-25,,,,,,,,,,,,,,,,,,
17,moby/moby,v0.2.1,2013-05-01,,,,,,,,,,,,,,,,,,
18,moby/moby,builder/2,2013-05-01,,,,,,,,,,,,,,,,,,
19,moby/moby,v0.2.2,2013-05-03,REFACTOR,209.0,27617.0,,,,,,,,,,,1.0,40.0,10.0,143.0,-1.0
20,moby/moby,v0.3.0,2013-05-05,,,,,,,,,,,,,,,,,,
21,moby/moby,v0.3.1,2013-05-08,,,,,,,,,,,,,,,,,,
22,moby/moby,v0.3.2,2013-05-09,,,,,,,,,,,,,,,,,,
23,moby/moby,v0.3.3,2013-05-23,REFACTOR,233.0,34857.0,,,,,,,,,,,9.0,237.0,11.0,2576.0,-1.0
24,moby/moby,v0.3.4,2013-05-30,,,,,,,,,,,,,,,,,,
25,moby/moby,v0.4.0,2013-06-03,,,,,,,,,,,,,,,,,,
26,moby/moby,v0.4.1,2013-06-17,REFACTOR,254.0,40263.0,,,,,,,,,,,1.0,180.0,1.0,106.0,-1.0
27,moby/moby,v0.4.2,2013-06-18,,,,,,,,,,,,,,,,,,
28,moby/moby,v0.4.3,2013-06-20,,,,,,,,,,,,,,,,,,
29,moby/moby,v0.4.4,2013-06-20,,,,,,,,,,,,,,,,,,
30,moby/moby,v0.4.5,2013-06-21,,,,,,,,,,,,,,,,,,
31,moby/moby,v0.4.6,2013-06-22,,,,,,,,,,,,,,,,,,
32,moby/moby,v0.4.7,2013-06-29,,,,,,,,,,,,,,,,,,
33,moby/moby,v0.4.8,2013-07-01,,,,,,,,,,,,,,,,,,
34,moby/moby,v0.5.0,2013-07-18,,,,,,,,,,,,,,,,,,
35,moby/moby,v0.5.1,2013-07-31,,,,,,,,,,,,,,,,,,
36,moby/moby,v0.5.2,2013-08-09,,,,,,,,,,,,,,,,,,
37,moby/moby,v0.5.3,2013-08-13,,,,,,,,,,,,,,,,,,
38,moby/moby,v0.6.0,2013-08-23,REFACTOR,296.0,50547.0,,,,,,,,,,,4.0,375.0,9.0,524.0,-1.0
39,moby/moby,v0.6.1,2013-08-23,,,,,,,,,,,,,,,,,,
40,moby/moby,v0.6.2,2013-09-17,REFACTOR,549.0,123101.0,,,,,,,,,,,1.0,339.0,2.0,34.0,-1.0
41,moby/moby,v0.6.3,2013-09-23,,,,,,,,,,,,,,,,,,
42,moby/moby,v0.6.4,2013-10-16,REFACTOR,530.0,120741.0,,,,,,,,,,,3.0,226.0,4.0,468.0,-1.0
43,moby/moby,v0.6.5,2013-10-30,REFACTOR,525.0,125696.0,,,,,,,,,,,4.0,172.0,6.0,314.0,-1.0
44,moby/moby,v0.6.6,2013-11-06,REFACTOR,539.0,127178.0,,,,,,,,,,,2.0,142.0,21.0,493.0,-1.0
45,moby/moby,v0.7.0-rc1,2013-11-21,REFACTOR,562.0,124389.0,,,,,,,,,,,3.0,28.0,22.0,1299.0,-1.0
46,moby/moby,v0.7.0-rc2,2013-11-21,,,,,,,,,,,,,,,,,,
47,moby/moby,v0.7.0-rc3,2013-11-21,REFACTOR,571.0,127044.0,,,,,,,,,,,3.0,38.0,22.0,1299.0,-1.0
48,moby/moby,v0.7.0-rc4,2013-11-21,REFACTOR,522.0,127368.0,,,,,,,,,,,1.0,23.0,1.0,40.0,-1.0
49,moby/moby,v0.6.7,2013-11-21,REFACTOR,554.0,131393.0,,,,,,,,,,,2.0,294.0,11.0,237.0,-1.0
50,moby/moby,v0.7.0-rc5,2013-11-21,,,,,,,,,,,,,,,,,,
51,moby/moby,v0.7.0-rc6,2013-11-21,,,,,,,,,,,,,,,,,,
52,moby/moby,v0.7.0-rc7,2013-11-21,REFACTOR,574.0,137120.0,,,,,,,,,,,5.0,379.0,,0.0,-1.0
53,moby/moby,v0.7.0,2013-11-26,REFACTOR,578.0,137699.0,,,,,,,,,,,14.0,1231.0,39.0,1466.0,-1.0
54,moby/moby,v0.7.1,2013-12-06,REFACTOR,605.0,142041.0,,,,,,,,,,,8.0,267.0,10.0,618.0,-1.0
55,moby/moby,v0.7.2,2013-12-16,REFACTOR,604.0,142300.0,,,,,,,,,,,2.0,178.0,1.0,61.0,-1.0
56,moby/moby,v0.7.3,2014-01-03,,,,,,,,,,,,,,,,,,
57,moby/moby,v0.7.4,2014-01-07,,,,,,,,,,,,,,,,,,
58,moby/moby,v0.7.5,2014-01-09,,,,,,,,,,,,,,,,,,
59,moby/moby,v0.7.6,2014-01-15,,,,,,,,,,,,,,,,,,
60,moby/moby,v0.8.0,2014-02-05,REFACTOR,663.0,152265.0,,,,,,,,,,,5.0,566.0,7.0,375.0,-1.0
61,moby/moby,v0.8.1,2014-02-18,REFACTOR,708.0,155834.0,,,,,,,,,,,1.0,240.0,4.0,117.0,-1.0
62,moby/moby,v0.9.0,2014-03-10,REFACTOR,765.0,161820.0,,,,,,,,,,,9.0,427.0,42.0,1575.0,-1.0
63,moby/moby,v0.9.1,2014-03-26,REFACTOR,768.0,162314.0,,,,,,,,,,,1.0,37.0,6.0,56.0,-1.0
64,moby/moby,v0.10.0,2014-04-09,REFACTOR,887.0,175741.0,,,,,,,,,,,3.0,619.0,11.0,98.0,-1.0
65,moby/moby,v0.11.0,2014-05-07,REFACTOR,1038.0,186848.0,,,,,,,,,,,13.0,648.0,30.0,1047.0,-1.0
66,moby/moby,v0.11.1,2014-05-07,REFACTOR,1038.0,186882.0,,,,,,,,,,,1.0,17.0,4.0,54.0,-1.0
67,moby/moby,v0.12.0,2014-06-06,REFACTOR,1150.0,195795.0,,,,,,,,,,,7.0,680.0,26.0,1011.0,-1.0
68,moby/moby,v1.0.0,2014-06-09,,,,,,,,,,,,,,,,,,
69,moby/moby,v1.0.1,2014-06-20,REFACTOR,1251.0,215257.0,,,,,,,,,,,2.0,215.0,4.0,249.0,-1.0
70,moby/moby,v1.1.0,2014-07-03,REFACTOR,1283.0,220330.0,,,,,,,,,,,4.0,288.0,16.0,2068.0,-1.0
71,moby/moby,v1.1.1,2014-07-09,,,,,,,,,,,,,,,,,,
72,moby/moby,v1.1.2,2014-07-23,,,,,,,,,,,,,,,,,,
73,moby/moby,v1.2.0,2014-08-21,REFACTOR,1361.0,227194.0,,,,,,,,,,,12.0,832.0,17.0,739.0,-1.0
74,moby/moby,v1.3.0,2014-10-16,REFACTOR,1499.0,246397.0,,,,,,,,,,,9.0,905.0,41.0,1121.0,-1.0
75,moby/moby,v1.3.1,2014-10-30,REFACTOR,1500.0,247334.0,,,,,,,,,,,1.0,18.0,4.0,53.0,-1.0
76,moby/moby,v1.3.2,2014-11-24,REFACTOR,1511.0,248673.0,,,,,,,,,,,1.0,27.0,6.0,108.0,-1.0
77,moby/moby,v1.3.3,2014-12-11,REFACTOR,1507.0,249825.0,,,,,,,,,,,1.0,19.0,8.0,300.0,-1.0
78,moby/moby,v1.4.0,2014-12-11,REFACTOR,1580.0,263971.0,,,,,,,,,,,7.0,962.0,38.0,1059.0,-1.0
79,moby/moby,v1.4.1,2014-12-16,,,,,,,,,,,,,,,,,,
80,moby/moby,v1.5.0-rc1,2015-01-22,REFACTOR,1664.0,279685.0,,,,,,,,,,,12.0,653.0,38.0,1736.0,-1.0
81,moby/moby,v1.5.0-rc2,2015-01-28,,,,,,,,,,,,,,,,,,
82,moby/moby,v1.5.0-rc3,2015-02-03,,,,,,,,,,,,,,,,,,
83,moby/moby,v1.5.0-rc4,2015-02-04,,,,,,,,,,,,,,,,,,
