,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,moby/moby,debian/0.1.1-1,2013-03-13,UPGRADE,58,6916,,,,,,,,,,,,,,,
1,moby/moby,upstream/0.1.2,2013-03-16,UPGRADE,63,7631,,,,,,,,,,,3.0,102.0,2.0,5.0,-1.0
2,moby/moby,0.0.3,2013-03-18,UPGRADE,61,7594,,,,,,,,,,,1.0,7.0,1.0,63.0,-1.0
3,moby/moby,upstream/0.1.3,2013-03-19,UPGRADE,61,7593,,,,,,,,,,,,,,,
4,moby/moby,v0.1.0,2013-03-25,UPGRADE,59,7593,,,,,,,,,,,,,,,
5,moby/moby,upstream/0.1.4,2013-03-25,UPGRADE,59,7647,,,,,,,,,,,,,,,
6,moby/moby,v0.1.1,2013-03-31,UPGRADE,124,22574,,,,,,,,,,,,,,,
7,moby/moby,v0.1.2,2013-04-03,UPGRADE,130,23445,,,,,,,,,,,,,,,
8,moby/moby,v0.1.3,2013-04-08,UPGRADE,155,23592,,,,,,,,,,,1.0,41.0,1.0,3.0,-1.0
9,moby/moby,v0.1.4,2013-04-09,UPGRADE,157,24169,,,,,,,,,,,,,,,
10,moby/moby,v0.1.5,2013-04-17,UPGRADE,177,25403,,,,,,,,,,,1.0,64.0,1.0,2.0,-1.0
11,moby/moby,v0.1.6,2013-04-17,UPGRADE,177,25406,,,,,,,,,,,,,,,
12,moby/moby,v0.1.7,2013-04-20,UPGRADE,191,25843,,,,,,,,,,,3.0,33.0,3.0,129.0,-1.0
13,moby/moby,v0.1.8,2013-04-22,UPGRADE,194,26248,,,,,,,,,,,1.0,32.0,1.0,6.0,-1.0
14,moby/moby,v0.2.0,2013-04-23,UPGRADE,201,26669,,,,,,,,,,,3.0,34.0,3.0,91.0,-1.0
15,moby/moby,builder/1,2013-04-24,UPGRADE,202,26926,,,,,,,,,,,,,,,
16,moby/moby,autorun/1,2013-04-25,UPGRADE,197,26625,,,,,,,,,,,,,,,
17,moby/moby,v0.2.1,2013-05-01,UPGRADE,199,26807,,,,,,,,,,,,,,,
18,moby/moby,builder/2,2013-05-01,UPGRADE,206,27158,,,,,,,,,,,,,,,
19,moby/moby,v0.2.2,2013-05-03,UPGRADE,209,27617,,,,,,,,,,,1.0,40.0,1.0,7.0,-1.0
20,moby/moby,v0.3.0,2013-05-05,UPGRADE,212,28019,,,,,,,,,,,,,,,
21,moby/moby,v0.3.1,2013-05-08,UPGRADE,220,29199,,,,,,,,,,,,,,,
22,moby/moby,v0.3.2,2013-05-09,UPGRADE,219,29178,,,,,,,,,,,,,,,
23,moby/moby,v0.3.3,2013-05-23,UPGRADE,233,34857,,,,,,,,,,,3.0,243.0,11.0,691.0,-1.0
24,moby/moby,v0.3.4,2013-05-30,UPGRADE,246,35772,,,,,,,,,,,2.0,125.0,2.0,7.0,-1.0
25,moby/moby,v0.4.0,2013-06-03,UPGRADE,249,36142,,,,,,,,,,,1.0,67.0,1.0,10.0,-1.0
26,moby/moby,v0.4.1,2013-06-17,UPGRADE,254,40263,,,,,,,,,,,2.0,179.0,2.0,13.0,-1.0
27,moby/moby,v0.4.2,2013-06-18,UPGRADE,254,40279,,,,,,,,,,,,,,,
28,moby/moby,v0.4.3,2013-06-20,UPGRADE,252,40354,,,,,,,,,,,2.0,81.0,4.0,17.0,-1.0
29,moby/moby,v0.4.4,2013-06-20,UPGRADE,252,40357,,,,,,,,,,,,,,,
30,moby/moby,v0.4.5,2013-06-21,UPGRADE,250,41211,,,,,,,,,,,1.0,80.0,1.0,3.0,-1.0
31,moby/moby,v0.4.6,2013-06-22,UPGRADE,250,41242,,,,,,,,,,,,,,,
32,moby/moby,v0.4.7,2013-06-29,UPGRADE,263,43172,,,,,,,,,,,,,,,
33,moby/moby,v0.4.8,2013-07-01,UPGRADE,264,43430,,,,,,,,,,,,,,,
34,moby/moby,v0.5.0,2013-07-18,UPGRADE,275,44600,,,,,,,,,,,1.0,193.0,1.0,3.0,-1.0
35,moby/moby,v0.5.1,2013-07-31,UPGRADE,273,46412,,,,,,,,,,,,,,,
36,moby/moby,v0.5.2,2013-08-09,UPGRADE,273,46469,,,,,,,,,,,,,,,
37,moby/moby,v0.5.3,2013-08-13,UPGRADE,273,46498,,,,,,,,,,,,,,,
38,moby/moby,v0.6.0,2013-08-23,UPGRADE,296,50547,,,,,,,,,,,9.0,370.0,10.0,130.0,-1.0
39,moby/moby,v0.6.1,2013-08-23,UPGRADE,296,50582,,,,,,,,,,,1.0,6.0,1.0,2.0,-1.0
40,moby/moby,v0.6.2,2013-09-17,UPGRADE,549,123101,,,,,,,,,,,15.0,325.0,15.0,144.0,-1.0
41,moby/moby,v0.6.3,2013-09-23,UPGRADE,550,123461,,,,,,,,,,,1.0,43.0,1.0,14.0,-1.0
42,moby/moby,v0.6.4,2013-10-16,UPGRADE,530,120741,,,,,,,,,,,3.0,226.0,5.0,244.0,-1.0
43,moby/moby,v0.6.5,2013-10-30,UPGRADE,525,125696,,,,,,,,,,,1.0,175.0,1.0,31.0,-1.0
44,moby/moby,v0.6.6,2013-11-06,UPGRADE,539,127178,,,,,,,,,,,,,,,
45,moby/moby,v0.7.0-rc1,2013-11-21,UPGRADE,562,124389,,,,,,,,,,,,,,,
46,moby/moby,v0.7.0-rc2,2013-11-21,UPGRADE,571,127014,,,,,,,,,,,,,,,
47,moby/moby,v0.7.0-rc3,2013-11-21,UPGRADE,571,127044,,,,,,,,,,,,,,,
48,moby/moby,v0.7.0-rc4,2013-11-21,UPGRADE,522,127368,,,,,,,,,,,,,,,
49,moby/moby,v0.6.7,2013-11-21,UPGRADE,554,131393,,,,,,,,,,,1.0,295.0,3.0,74.0,-1.0
50,moby/moby,v0.7.0-rc5,2013-11-21,UPGRADE,559,133946,,,,,,,,,,,,,,,
51,moby/moby,v0.7.0-rc6,2013-11-21,UPGRADE,571,135561,,,,,,,,,,,,,,,
52,moby/moby,v0.7.0-rc7,2013-11-21,UPGRADE,574,137120,,,,,,,,,,,,,,,
53,moby/moby,v0.7.0,2013-11-26,UPGRADE,578,137699,,,,,,,,,,,8.0,1237.0,11.0,376.0,-1.0
54,moby/moby,v0.7.1,2013-12-06,UPGRADE,605,142041,,,,,,,,,,,2.0,273.0,2.0,73.0,-1.0
55,moby/moby,v0.7.2,2013-12-16,UPGRADE,604,142300,,,,,,,,,,,4.0,176.0,3.0,18.0,-1.0
56,moby/moby,v0.7.3,2014-01-03,UPGRADE,620,144445,,,,,,,,,,,2.0,213.0,2.0,156.0,-1.0
57,moby/moby,v0.7.4,2014-01-07,UPGRADE,628,144887,,,,,,,,,,,1.0,74.0,,0.0,-1.0
58,moby/moby,v0.7.5,2014-01-09,UPGRADE,628,145069,,,,,,,,,,,,,,,
59,moby/moby,v0.7.6,2014-01-15,UPGRADE,628,145153,,,,,,,,,,,,,,,
60,moby/moby,v0.8.0,2014-02-05,UPGRADE,663,152265,,,,,,,,,,,5.0,566.0,20.0,123.0,-1.0
61,moby/moby,v0.8.1,2014-02-18,UPGRADE,708,155834,,,,,,,,,,,4.0,237.0,2.0,10.0,-1.0
62,moby/moby,v0.9.0,2014-03-10,UPGRADE,765,161820,,,,,,,,,,,2.0,434.0,1.0,2.0,-1.0
63,moby/moby,v0.9.1,2014-03-26,UPGRADE,768,162314,,,,,,,,,,,,,,,
64,moby/moby,v0.10.0,2014-04-09,UPGRADE,887,175741,,,,,,,,,,,9.0,613.0,9.0,182.0,-1.0
65,moby/moby,v0.11.0,2014-05-07,UPGRADE,1038,186848,,,,,,,,,,,5.0,656.0,3.0,43.0,-1.0
66,moby/moby,v0.11.1,2014-05-07,UPGRADE,1038,186882,,,,,,,,,,,,,,,
