,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,Automattic/mongoose,0.0.2,2010-07-09,FEATURE,22,2540,,,,,,,,,,,,,,,
1,Automattic/mongoose,0.0.3,2010-08-28,FEATURE,21,2680,,,,,,,,,,,,,,,
2,Automattic/mongoose,0.0.4,2010-12-20,FEATURE,21,2684,,,,,,,,,,,,,,,
3,Automattic/mongoose,0.0.5,2010-12-29,FEATURE,21,2684,,,,,,,,,,,,,,,
4,Automattic/mongoose,0.0.6,2011-02-02,FEATURE,22,2747,,,,,,,,,,,,,,,
5,Automattic/mongoose,1.0.1,2011-02-02,FEATURE,179,28496,,,,,,,,,,,,,,,
6,Automattic/mongoose,1.0.2,2011-02-02,FEATURE,180,28577,,,,,,,,,,,,,,,
7,Automattic/mongoose,1.0.3,2011-02-02,FEATURE,201,35632,,,,,,,,,,,,,,,
8,Automattic/mongoose,1.0.4,2011-02-02,FEATURE,202,35673,,,,,,,,,,,,,,,
9,Automattic/mongoose,1.0.5,2011-02-02,FEATURE,202,35965,,,,,,,,,,,,,,,
10,Automattic/mongoose,1.0.6,2011-02-03,FEATURE,202,36050,,,,,,,,,,,,,,,
11,Automattic/mongoose,1.0.7,2011-02-05,FEATURE,202,36146,,,,,,,,,,,,,,,
12,Automattic/mongoose,1.0.8,2011-02-09,FEATURE,202,36196,,,,,,,,,,,,,,,
13,Automattic/mongoose,1.0.9,2011-02-09,FEATURE,202,36216,,,,,,,,,,,,,,,
14,Automattic/mongoose,1.0.10,2011-02-11,FEATURE,202,36264,,,,,,,,,,,,,,,
15,Automattic/mongoose,1.0.11,2011-02-14,FEATURE,204,38196,,,,,,,,,,,,,,,
16,Automattic/mongoose,1.0.12,2011-02-14,FEATURE,205,38320,,,,,,,,,,,,,,,
17,Automattic/mongoose,1.0.13,2011-02-16,FEATURE,205,38386,,,,,,,,,,,,,,,
18,Automattic/mongoose,1.0.14,2011-02-17,FEATURE,205,38414,,,,,,,,,,,,,,,
19,Automattic/mongoose,1.0.15,2011-02-18,FEATURE,205,38430,,,,,,,,,,,,,,,
20,Automattic/mongoose,1.0.16,2011-02-18,FEATURE,205,38466,,,,,,,,,,,,,,,
21,Automattic/mongoose,1.1.0,2011-02-25,FEATURE,206,38682,,,,,,,,,,,,,,,
22,Automattic/mongoose,1.1.1,2011-03-01,FEATURE,206,38814,,,,,,,,,,,,,,,
23,Automattic/mongoose,1.1.2,2011-03-03,FEATURE,206,38982,,,,,,,,,,,,,,,
24,Automattic/mongoose,1.1.3,2011-03-04,FEATURE,206,39130,,,,,,,,,,,,,,,
25,Automattic/mongoose,1.1.4,2011-03-09,FEATURE,206,39360,,,,,,,,,,,,,,,
26,Automattic/mongoose,1.1.5,2011-03-14,FEATURE,206,39409,,,,,,,,,,,,,,,
27,Automattic/mongoose,1.1.6,2011-03-22,FEATURE,206,39605,,,,,,,,,,,,,,,
28,Automattic/mongoose,1.1.7,2011-03-22,FEATURE,206,39673,,,,,,,,,,,,,,,
29,Automattic/mongoose,1.1.8,2011-03-23,FEATURE,206,39682,,,,,,,,,,,,,,,
30,Automattic/mongoose,1.1.9,2011-03-23,FEATURE,206,39808,,,,,,,,,,,,,,,
31,Automattic/mongoose,1.1.10,2011-03-23,FEATURE,206,39814,,,,,,,,,,,,,,,
32,Automattic/mongoose,1.1.11,2011-03-25,FEATURE,206,39819,,,,,,,,,,,,,,,
33,Automattic/mongoose,1.1.12,2011-03-26,FEATURE,210,40485,,,,,,,,,,,,,,,
34,Automattic/mongoose,1.1.13,2011-03-26,FEATURE,210,40490,,,,,,,,,,,,,,,
35,Automattic/mongoose,1.1.14,2011-03-28,FEATURE,210,40504,,,,,,,,,,,,,,,
36,Automattic/mongoose,1.1.15,2011-03-28,FEATURE,210,40511,,,,,,,,,,,,,,,
37,Automattic/mongoose,1.1.16,2011-03-28,FEATURE,210,40529,,,,,,,,,,,,,,,
38,Automattic/mongoose,1.1.17,2011-03-30,FEATURE,210,40573,,,,,,,,,,,,,,,
39,Automattic/mongoose,1.1.18,2011-03-30,FEATURE,210,40582,,,,,,,,,,,,,,,
40,Automattic/mongoose,1.1.19,2011-03-31,FEATURE,210,40651,,,,,,,,,,,,,,,
41,Automattic/mongoose,1.1.20,2011-03-31,FEATURE,210,40662,,,,,,,,,,,,,,,
42,Automattic/mongoose,1.1.21,2011-03-31,FEATURE,210,40677,,,,,,,,,,,,,,,
43,Automattic/mongoose,1.1.22,2011-03-31,FEATURE,210,40707,,,,,,,,,,,,,,,
44,Automattic/mongoose,1.1.23,2011-04-01,FEATURE,210,40726,,,,,,,,,,,,,,,
45,Automattic/mongoose,1.1.25,2011-04-08,FEATURE,210,40855,,,,,,,,,,,,,,,
46,Automattic/mongoose,1.3.0,2011-04-19,FEATURE,210,41041,,,,,,,,,,,,,,,
47,Automattic/mongoose,1.3.1,2011-04-27,FEATURE,211,41712,,,,,,,,,,,,,,,
48,Automattic/mongoose,1.3.2,2011-04-27,FEATURE,211,41714,,,,,,,,,,,,,,,
49,Automattic/mongoose,1.3.3,2011-04-27,FEATURE,211,41759,,,,,,,,,,,,,,,
50,Automattic/mongoose,1.3.4,2011-05-17,FEATURE,213,42992,,,,,,,,,,,,,,,
51,Automattic/mongoose,1.3.5,2011-05-18,FEATURE,213,43130,,,,,,,,,,,,,,,
52,Automattic/mongoose,1.3.6,2011-05-19,FEATURE,213,43263,,,,,,,,,,,,,,,
53,Automattic/mongoose,1.3.7,2011-06-03,FEATURE,213,43436,,,,,,,,,,,,,,,
54,Automattic/mongoose,1.4.0,2011-06-10,FEATURE,213,43773,,,,,,,,,,,,,,,
55,Automattic/mongoose,1.5.0,2011-06-27,FEATURE,297,54182,,,,,,,,,,,,,,,
56,Automattic/mongoose,1.6.0,2011-07-07,FEATURE,303,55406,,,,,,,,,,,,,,,
57,Automattic/mongoose,1.7.2,2011-07-13,FEATURE,111,22354,,,,,,,,,,,,,,,
58,Automattic/mongoose,1.7.3,2011-07-16,FEATURE,111,22381,,,,,,,,,,,,,,,
59,Automattic/mongoose,1.7.4,2011-07-25,FEATURE,111,22518,,,,,,,,,,,,,,,
60,Automattic/mongoose,1.8.0,2011-08-04,FEATURE,111,22674,,,,,,,,,,,,,,,
61,Automattic/mongoose,1.8.1,2011-08-10,FEATURE,111,22844,,,,,,,,,,,,,,,
62,Automattic/mongoose,1.8.2,2011-08-17,FEATURE,111,23188,,,,,,,,,,,1.0,12.0,2.0,122.0,-1.0
63,Automattic/mongoose,1.8.3,2011-08-19,FEATURE,111,23202,,,,,,,,,,,,,,,
64,Automattic/mongoose,1.8.4,2011-08-21,FEATURE,111,23232,,,,,,,,,,,,,,,
