,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,NaturalNode/natural,v0.1.0,2012-03-16,DOCS,72,7126,,,,,,,,,,,,,,,
1,NaturalNode/natural,v0.1.1,2012-03-16,DOCS,76,7606,,,,,,,,,,,,,,,
2,NaturalNode/natural,v0.1.2,2012-03-16,DOCS,76,7616,,,,,,,,,,,,,,,
3,NaturalNode/natural,v0.1.4,2012-03-22,DOCS,78,7771,,,,,,,,,,,,,,,
4,NaturalNode/natural,v0.1.5,2012-03-23,DOCS,80,7906,,,,,,,,,,,,,,,
5,NaturalNode/natural,v0.1.6,2012-03-28,DOCS,80,7918,,,,,,,,,,,,,,,
6,NaturalNode/natural,v0.1.7,2012-04-01,DOCS,80,7929,,,,,,,,,,,,,,,
7,NaturalNode/natural,v1.0.8,2012-04-20,DOCS,80,7929,,,,,,,,,,,,,,,
8,NaturalNode/natural,v1.0.9,2012-05-02,DOCS,80,7935,,,,,,,,,,,,,,,
9,NaturalNode/natural,v0.1.10,2012-05-25,DOCS,85,8296,,,,,,,,,,,,,,,
10,NaturalNode/natural,v0.1.11,2012-06-04,DOCS,85,8207,,,,,,,,,,,,,,,
11,NaturalNode/natural,v0.0.12,2012-06-10,DOCS,85,8235,,,,,,,,,,,,,,,
12,NaturalNode/natural,v0.1.15,2012-07-28,DOCS,85,8256,,,,,,,,,,,,,,,
13,NaturalNode/natural,v0.1.18,2012-12-02,DOCS,111,12413,1.0,100.0,,0.0,1.0,,,,,,,,,,
14,NaturalNode/natural,v0.1.19,2013-01-05,DOCS,117,48431,,,,,,,,,,,,,,,
15,NaturalNode/natural,v0.1.21,2013-05-01,DOCS,117,48436,1.0,11.0,1.0,6.0,1.0,,,,,,,,,,
16,NaturalNode/natural,v0.1.22,2014-02-05,DOCS,117,48410,,,,,,,,,,,,,,,
17,NaturalNode/natural,v0.1.23,2014-02-05,DOCS,117,48421,,,,,,,,,,,,,,,
18,NaturalNode/natural,v0.1.24,2014-02-05,DOCS,117,48481,,,,,,,,,,,,,,,
19,NaturalNode/natural,v0.1.25,2014-02-05,DOCS,122,48751,,,,,,,,,,,,,,,
20,NaturalNode/natural,v0.1.26,2014-02-05,DOCS,126,49384,1.0,55.0,1.0,70.0,1.0,,,,,,1.0,16.0,3.0,90.0,-1.0
21,NaturalNode/natural,v0.5.1,2017-04-15,DOCS,199,446626,2.0,422.0,2.0,82.0,1.0,59.0,712.0,,0.0,1.0,5.0,163.0,8.0,198.0,-1.0
