,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,openstack/neutron,2011.3,2011-09-23,FEATURE,260,38726,,,,,,,,,,,,,,,
1,openstack/neutron,essex-2,2011-12-14,FEATURE,294,41824,,,,,,,,,,,,,,,
2,openstack/neutron,essex-3,2012-01-25,FEATURE,280,38762,,,,,,,,,,,,,,,
3,openstack/neutron,essex-4,2012-02-29,FEATURE,351,46811,,,,,,,,,,,,,,,
4,openstack/neutron,essex-rc1,2012-03-19,FEATURE,360,47138,,,,,,,,,,,,,,,
5,openstack/neutron,essex-rc2,2012-04-03,FEATURE,360,47167,,,,,,,,,,,,,,,
6,openstack/neutron,2012.1,2012-04-05,FEATURE,360,47167,,,,,,,,,,,,,,,
7,openstack/neutron,folsom-1,2012-05-24,FEATURE,374,50071,,,,,,,,,,,,,,,
8,openstack/neutron,folsom-2,2012-07-05,FEATURE,417,57502,,,,,,,,,,,,,,,
9,openstack/neutron,folsom-3,2012-08-17,FEATURE,519,75217,,,,,,,,,,,4.0,131.0,16.0,925.0,-1.0
10,openstack/neutron,folsom-rc1,2012-09-12,FEATURE,543,82230,,,,,,,,,,,,,,,
11,openstack/neutron,folsom-rc2,2012-09-21,FEATURE,544,81749,,,,,,,,,,,,,,,
12,openstack/neutron,folsom-rc3,2012-09-26,FEATURE,543,81751,,,,,,,,,,,,,,,
13,openstack/neutron,2012.2,2012-09-27,FEATURE,543,81751,,,,,,,,,,,,,,,
14,openstack/neutron,grizzly-1,2012-11-23,FEATURE,548,81994,,,,,,,,,,,,,,,
15,openstack/neutron,2012.2.1,2012-11-29,FEATURE,545,82939,,,,,,,,,,,,,,,
16,openstack/neutron,grizzly-2,2013-01-10,FEATURE,606,95017,,,,,,,,,,,,,,,
17,openstack/neutron,2012.2.3,2013-01-31,FEATURE,548,83417,,,,,,,,,,,,,,,
18,openstack/neutron,2013.1.g3,2013-02-22,FEATURE,700,125296,,,,,,,,,,,1.0,787.0,3.0,28.0,-1.0
19,openstack/neutron,2013.1.rc1,2013-03-14,FEATURE,739,132732,,,,,,,,,,,2.0,227.0,29.0,2387.0,-1.0
20,openstack/neutron,2013.1.rc2,2013-03-26,FEATURE,739,133512,,,,,,,,,,,,,,,
21,openstack/neutron,2013.1.rc3,2013-04-02,FEATURE,739,133709,,,,,,,,,,,,,,,
22,openstack/neutron,2013.1,2013-04-04,FEATURE,739,133709,,,,,,,,,,,,,,,
23,openstack/neutron,2012.2.4,2013-04-11,FEATURE,548,83572,,,,,,,,,,,,,,,
24,openstack/neutron,diablo-eol,2013-05-06,FEATURE,260,38726,,,,,,,,,,,,,,,
25,openstack/neutron,essex-eol,2013-05-06,FEATURE,360,47311,,,,,,,,,,,,,,,
26,openstack/neutron,2013.1.1,2013-05-10,FEATURE,739,134176,,,,,,,,,,,7.0,1574.0,48.0,3340.0,-1.0
27,openstack/neutron,2013.2.b1,2013-05-30,FEATURE,805,265789,,,,,,,,,,,2.0,382.0,4.0,554.0,-1.0
28,openstack/neutron,2013.1.2,2013-06-06,FEATURE,739,134500,,,,,,,,,,,,,,,
29,openstack/neutron,2013.2.b2,2013-07-18,FEATURE,850,309796,,,,,,,,,,,2.0,623.0,4.0,554.0,-1.0
30,openstack/neutron,2013.1.3,2013-08-08,FEATURE,739,135616,,,,,,,,,,,,,,,
31,openstack/neutron,2013.2.b3,2013-09-06,FEATURE,1089,667020,,,,,,,,,,,2.0,707.0,4.0,554.0,-1.0
