,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,openstack/neutron,2011.3,2011-09-23,REFACTOR,260,38726,,,,,,,,,,,,,,,
1,openstack/neutron,essex-2,2011-12-14,REFACTOR,294,41824,,,,,,,,,,,1.0,75.0,1.0,229.0,-1.0
2,openstack/neutron,essex-3,2012-01-25,REFACTOR,280,38762,,,,,,,,,,,1.0,36.0,1.0,229.0,-1.0
3,openstack/neutron,essex-4,2012-02-29,REFACTOR,351,46811,,,,,,,,,,,,,,,
4,openstack/neutron,essex-rc1,2012-03-19,REFACTOR,360,47138,,,,,,,,,,,,,,,
5,openstack/neutron,essex-rc2,2012-04-03,REFACTOR,360,47167,,,,,,,,,,,,,,,
6,openstack/neutron,2012.1,2012-04-05,REFACTOR,360,47167,,,,,,,,,,,,,,,
7,openstack/neutron,folsom-1,2012-05-24,REFACTOR,374,50071,,,,,,,,,,,,,,,
8,openstack/neutron,folsom-2,2012-07-05,REFACTOR,417,57502,,,,,,,,,,,,,,,
9,openstack/neutron,folsom-3,2012-08-17,REFACTOR,519,75217,,,,,,,,,,,1.0,134.0,2.0,53.0,-1.0
10,openstack/neutron,folsom-rc1,2012-09-12,REFACTOR,543,82230,,,,,,,,,,,,,,,
11,openstack/neutron,folsom-rc2,2012-09-21,REFACTOR,544,81749,,,,,,,,,,,,,,,
12,openstack/neutron,folsom-rc3,2012-09-26,REFACTOR,543,81751,,,,,,,,,,,,,,,
13,openstack/neutron,2012.2,2012-09-27,REFACTOR,543,81751,,,,,,,,,,,,,,,
14,openstack/neutron,grizzly-1,2012-11-23,REFACTOR,548,81994,,,,,,,,,,,,,,,
15,openstack/neutron,2012.2.1,2012-11-29,REFACTOR,545,82939,,,,,,,,,,,,,,,
16,openstack/neutron,grizzly-2,2013-01-10,REFACTOR,606,95017,,,,,,,,,,,5.0,457.0,14.0,610.0,-1.0
17,openstack/neutron,2012.2.3,2013-01-31,REFACTOR,548,83417,,,,,,,,,,,,,,,
18,openstack/neutron,2013.1.g3,2013-02-22,REFACTOR,700,125296,,,,,,,,,,,7.0,781.0,19.0,658.0,-1.0
19,openstack/neutron,2013.1.rc1,2013-03-14,REFACTOR,739,132732,,,,,,,,,,,2.0,227.0,2.0,413.0,-1.0
20,openstack/neutron,2013.1.rc2,2013-03-26,REFACTOR,739,133512,,,,,,,,,,,,,,,
21,openstack/neutron,2013.1.rc3,2013-04-02,REFACTOR,739,133709,,,,,,,,,,,,,,,
22,openstack/neutron,2013.1,2013-04-04,REFACTOR,739,133709,,,,,,,,,,,,,,,
23,openstack/neutron,2012.2.4,2013-04-11,REFACTOR,548,83572,,,,,,,,,,,,,,,
24,openstack/neutron,diablo-eol,2013-05-06,REFACTOR,260,38726,,,,,,,,,,,,,,,
25,openstack/neutron,essex-eol,2013-05-06,REFACTOR,360,47311,,,,,,,,,,,1.0,183.0,1.0,229.0,-1.0
26,openstack/neutron,2013.1.1,2013-05-10,REFACTOR,739,134176,,,,,,,,,,,10.0,1571.0,23.0,1124.0,-1.0
27,openstack/neutron,2013.2.b1,2013-05-30,REFACTOR,805,265789,,,,,,,,,,,2.0,382.0,2.0,43.0,-1.0
28,openstack/neutron,2013.1.2,2013-06-06,REFACTOR,739,134500,,,,,,,,,,,,,,,
29,openstack/neutron,2013.2.b2,2013-07-18,REFACTOR,850,309796,,,,,,2.0,833.0,8.0,568.0,1.0,4.0,621.0,4.0,337.0,-1.0
30,openstack/neutron,2013.1.3,2013-08-08,REFACTOR,739,135616,,,,,,,,,,,,,,,
31,openstack/neutron,2013.2.b3,2013-09-06,REFACTOR,1089,667020,,,,,,21.0,1907.0,59.0,3742.0,5.0,7.0,702.0,10.0,1754.0,-1.0
32,openstack/neutron,2013.2.rc1,2013-10-03,REFACTOR,1143,800378,,,,,,,,,,,,,,,
33,openstack/neutron,2013.2.rc2,2013-10-12,REFACTOR,1144,801123,,,,,,,,,,,,,,,
34,openstack/neutron,2013.2.rc3,2013-10-16,REFACTOR,1144,801174,,,,,,,,,,,,,,,
35,openstack/neutron,2013.1.4,2013-10-17,REFACTOR,740,136158,,,,,,,,,,,,,,,
36,openstack/neutron,2013.2,2013-10-17,REFACTOR,1144,801174,,,,,,,,,,,,,,,
37,openstack/neutron,folsom-eol,2013-11-19,REFACTOR,548,83572,,,,,,,,,,,,,,,
38,openstack/neutron,2014.1.b1,2013-12-05,REFACTOR,1178,978767,,,,,,24.0,4517.0,59.0,3742.0,5.0,16.0,1793.0,31.0,2825.0,-1.0
39,openstack/neutron,2013.2.1,2013-12-14,REFACTOR,1144,801571,,,,,,3.0,236.0,,0.0,1.0,,,,,
40,openstack/neutron,2014.1.b2,2014-01-23,REFACTOR,1212,1028577,,,,,,3.0,1441.0,,0.0,1.0,,,,,
41,openstack/neutron,2013.2.2,2014-02-13,REFACTOR,1148,801965,,,,,,3.0,301.0,,0.0,1.0,,,,,
42,openstack/neutron,2014.1.b3,2014-03-06,REFACTOR,1366,1191930,,,,,,12.0,2475.0,123.0,4992.0,1.0,,,,,
43,openstack/neutron,2013.1.5,2014-03-20,REFACTOR,740,136260,,,,,,,,,,,,,,,
44,openstack/neutron,grizzly-eol,2014-03-29,REFACTOR,740,136260,,,,,,,,,,,,,,,
45,openstack/neutron,2014.1.rc1,2014-04-01,REFACTOR,1452,1388972,,,,,,36.0,5821.0,182.0,8734.0,5.0,7.0,763.0,10.0,1754.0,-1.0
46,openstack/neutron,2013.2.3,2014-04-03,REFACTOR,1156,802940,,,,,,3.0,415.0,,0.0,1.0,,,,,
47,openstack/neutron,2014.1.rc2,2014-04-09,REFACTOR,1452,1319430,,,,,,15.0,3417.0,123.0,4992.0,1.0,,,,,
48,openstack/neutron,2014.1,2014-04-17,REFACTOR,1452,1319430,,,,,,,,,,,,,,,
49,openstack/neutron,2014.1.1,2014-06-07,REFACTOR,1453,1320185,,,,,,,,,,,,,,,
50,openstack/neutron,2014.2.b1,2014-06-12,REFACTOR,1448,282922,,,,,,10.0,1304.0,7.0,1407.0,3.0,2.0,166.0,23.0,205.0,-1.0
51,openstack/neutron,2014.2.b2,2014-07-23,REFACTOR,1474,283908,,,,,,3.0,869.0,,0.0,1.0,,,,,
52,openstack/neutron,2014.1.2,2014-08-07,REFACTOR,1454,1322551,,,,,,,,,,,,,,,
53,openstack/neutron,2014.2.b3,2014-09-04,REFACTOR,1598,309103,,,,,,28.0,3114.0,20.0,2382.0,5.0,17.0,380.0,78.0,3512.0,-1.0
54,openstack/neutron,2013.2.4,2014-09-20,REFACTOR,1163,805877,,,,,,9.0,655.0,6.0,90.0,1.0,,,,,
55,openstack/neutron,havana-eol,2014-09-30,REFACTOR,1163,805877,,,,,,,,,,,,,,,
56,openstack/neutron,2014.1.3,2014-10-02,REFACTOR,1459,1323822,,,,,,15.0,4022.0,123.0,4992.0,1.0,,,,,
57,openstack/neutron,2014.2.rc1,2014-10-03,REFACTOR,1539,308890,,,,,,34.0,3651.0,20.0,2382.0,5.0,17.0,428.0,78.0,3512.0,-1.0
58,openstack/neutron,2014.2.rc2,2014-10-10,REFACTOR,1514,287794,,,,,,,,,,,,,,,
59,openstack/neutron,2014.2.rc3,2014-10-14,REFACTOR,1514,287765,,,,,,,,,,,,,,,
60,openstack/neutron,2014.2,2014-10-16,REFACTOR,1514,287765,,,,,,,,,,,,,,,
61,openstack/neutron,2014.2.1,2014-12-04,REFACTOR,1514,288455,,,,,,,,,,,,,,,
62,openstack/neutron,2015.1.0b1,2014-12-18,REFACTOR,1372,260311,,,,,,26.0,1757.0,5.0,1039.0,4.0,,,,,
63,openstack/neutron,2015.1.0b2,2015-02-05,REFACTOR,1359,254765,,,,,,30.0,1375.0,17.0,771.0,3.0,,,,,
64,openstack/neutron,2014.2.2,2015-02-05,REFACTOR,1516,289693,,,,,,,,,,,,,,,
65,openstack/neutron,2014.1.4,2015-03-13,REFACTOR,1462,1325205,,,,,,,,,,,,,,,
66,openstack/neutron,2015.1.0b3,2015-03-19,REFACTOR,1249,207581,,,,,,118.0,8230.0,76.0,5444.0,12.0,19.0,546.0,96.0,4295.0,-1.0
67,openstack/neutron,2015.1.0rc1,2015-04-09,REFACTOR,1311,213548,,,,,,6.0,677.0,,0.0,1.0,,,,,
68,openstack/neutron,2014.2.3,2015-04-09,REFACTOR,1516,290306,,,,,,,,,,,,,,,
69,openstack/neutron,2015.1.0rc2,2015-04-23,REFACTOR,1302,205347,,,,,,90.0,5288.0,56.0,3062.0,9.0,2.0,123.0,18.0,783.0,-1.0
70,openstack/neutron,2015.1.0rc3,2015-04-28,REFACTOR,1302,205359,,,,,,,,,,,,,,,
71,openstack/neutron,2015.1.0,2015-04-30,REFACTOR,1302,205359,,,,,,,,,,,,,,,
72,openstack/neutron,7.0.0a0,2015-06-17,REFACTOR,1199,197187,,,,,,56.0,1776.0,65.0,1853.0,8.0,1.0,10.0,2.0,39.0,-1.0
73,openstack/neutron,2014.1.5,2015-06-19,REFACTOR,1462,1325331,,,,,,,,,,,,,,,
74,openstack/neutron,7.0.0.0b1,2015-06-24,REFACTOR,1202,197695,,,,,,183.0,11018.0,141.0,7297.0,18.0,20.0,576.0,98.0,4334.0,-1.0
75,openstack/neutron,icehouse-eol,2015-07-02,REFACTOR,1462,1325331,,,,,,,,,,,,,,,
76,openstack/neutron,7.0.0.0b2,2015-07-29,REFACTOR,1211,199449,,,,,,186.0,11931.0,141.0,7297.0,18.0,22.0,677.0,102.0,4445.0,-1.0
77,openstack/neutron,2015.1.1,2015-07-29,REFACTOR,1303,207008,,,,,,,,,,,,,,,
78,openstack/neutron,7.0.0.0b3,2015-09-03,REFACTOR,1263,213886,,,,,,62.0,4578.0,65.0,1853.0,8.0,5.0,394.0,8.0,264.0,-1.0
79,openstack/neutron,7.0.0.0rc1,2015-09-25,REFACTOR,1261,243804,,,,,,4.0,625.0,4.0,431.0,2.0,2.0,133.0,8.0,305.0,-1.0
80,openstack/neutron,7.0.0.0rc2,2015-10-08,REFACTOR,1260,244043,,,,,,,,,,,,,,,
81,openstack/neutron,2015.1.2,2015-10-13,REFACTOR,1308,208393,,,,,,,,,,,,,,,
82,openstack/neutron,7.0.0.0rc3,2015-10-14,REFACTOR,1260,244039,,,,,,66.0,5263.0,69.0,2284.0,9.0,7.0,527.0,16.0,569.0,-1.0
83,openstack/neutron,7.0.0,2015-10-15,REFACTOR,1260,244039,,,,,,,,,,,,,,,
84,openstack/neutron,2014.2.4,2015-11-19,REFACTOR,1521,292756,,,,,,3.0,712.0,,0.0,1.0,,,,,
85,openstack/neutron,8.0.0.0b1,2015-12-03,REFACTOR,1213,236015,,,,,,174.0,12327.0,134.0,5523.0,17.0,11.0,765.0,38.0,1639.0,-1.0
86,openstack/neutron,7.0.1,2015-12-07,REFACTOR,1279,245558,,,,,,,,,,,,,,,
87,openstack/neutron,juno-eol,2015-12-07,REFACTOR,1521,292756,,,,,,3.0,712.0,,0.0,1.0,,,,,
88,openstack/neutron,8.0.0.0b2,2016-01-19,REFACTOR,1149,234165,,,,,,187.0,13453.0,149.0,6287.0,19.0,11.0,777.0,38.0,1639.0,-1.0
89,openstack/neutron,2015.1.3,2016-01-21,REFACTOR,1308,209270,,,,,,,,,,,,,,,
90,openstack/neutron,7.0.2,2016-01-27,REFACTOR,1280,246808,,,,,,66.0,5876.0,69.0,2284.0,9.0,7.0,533.0,16.0,569.0,-1.0
91,openstack/neutron,7.0.3,2016-02-10,REFACTOR,1284,247849,,,,,,,,,,,,,,,
92,openstack/neutron,8.0.0.0b3,2016-03-03,REFACTOR,1280,254046,,,,,,42.0,4173.0,59.0,5409.0,9.0,2.0,136.0,4.0,287.0,-1.0
93,openstack/neutron,8.0.0.0rc1,2016-03-16,REFACTOR,1311,264852,,,,,,,,,,,,,,,
94,openstack/neutron,8.0.0.0rc2,2016-03-25,REFACTOR,1317,269218,,,,,,,,,,,,,,,
95,openstack/neutron,7.0.4,2016-03-29,REFACTOR,1290,249185,,,,,,,,,,,,,,,
96,openstack/neutron,8.0.0.0rc3,2016-03-31,REFACTOR,1320,276416,,,,,,42.0,4744.0,59.0,5409.0,9.0,2.0,136.0,4.0,287.0,-1.0
97,openstack/neutron,8.0.0,2016-04-07,REFACTOR,1320,276416,,,,,,,,,,,,,,,
98,openstack/neutron,8.1.0,2016-05-09,REFACTOR,1325,278004,,,,,,,,,,,,,,,
99,openstack/neutron,2015.1.4,2016-05-10,REFACTOR,1311,210588,,,,,,,,,,,,,,,
100,openstack/neutron,kilo-eol,2016-05-11,REFACTOR,1311,210588,,,,,,,,,,,,,,,
101,openstack/neutron,7.1.0,2016-06-01,REFACTOR,1296,252114,,,,,,4.0,1344.0,3.0,52.0,2.0,,,,,
102,openstack/neutron,8.1.1,2016-06-01,REFACTOR,1321,271841,,,,,,108.0,10334.0,128.0,7693.0,15.0,9.0,671.0,20.0,856.0,-1.0
103,openstack/neutron,9.0.0.0b1,2016-06-03,REFACTOR,1372,281014,,,,,,60.0,6665.0,77.0,6251.0,11.0,2.0,187.0,4.0,287.0,-1.0
104,openstack/neutron,7.1.1,2016-06-09,REFACTOR,1296,252078,,,,,,4.0,1386.0,3.0,52.0,2.0,,,,,
105,openstack/neutron,8.1.2,2016-06-09,REFACTOR,1321,272171,,,,,,42.0,5202.0,59.0,5409.0,9.0,2.0,146.0,4.0,287.0,-1.0
106,openstack/neutron,9.0.0.0b2,2016-07-13,REFACTOR,1401,273059,,,,,,38.0,2735.0,34.0,1286.0,6.0,,,,,
107,openstack/neutron,7.1.2,2016-08-25,REFACTOR,1297,253228,,,,,,4.0,1586.0,3.0,52.0,2.0,,,,,
108,openstack/neutron,8.2.0,2016-08-29,REFACTOR,1327,272762,,,,,,45.0,5439.0,59.0,5409.0,9.0,3.0,156.0,10.0,423.0,-1.0
109,openstack/neutron,9.0.0.0b3,2016-09-01,REFACTOR,1570,286309,,,,,,84.0,4339.0,54.0,1945.0,8.0,2.0,103.0,12.0,253.0,-1.0
