,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,openstack/neutron,2011.3,2011-09-23,,,,,,,,,,,,,,,,,,
1,openstack/neutron,essex-2,2011-12-14,SUPPORT,294.0,41824.0,,,,,,,,,,,1.0,75.0,6.0,96.0,-1.0
2,openstack/neutron,essex-3,2012-01-25,SUPPORT,280.0,38762.0,,,,,,,,,,,1.0,36.0,4.0,38.0,-1.0
3,openstack/neutron,essex-4,2012-02-29,,,,,,,,,,,,,,,,,,
4,openstack/neutron,essex-rc1,2012-03-19,,,,,,,,,,,,,,,,,,
5,openstack/neutron,essex-rc2,2012-04-03,,,,,,,,,,,,,,,,,,
6,openstack/neutron,2012.1,2012-04-05,,,,,,,,,,,,,,,,,,
7,openstack/neutron,folsom-1,2012-05-24,,,,,,,,,,,,,,,,,,
8,openstack/neutron,folsom-2,2012-07-05,SUPPORT,417.0,57502.0,,,,,,,,,,,5.0,83.0,40.0,3085.0,-1.0
9,openstack/neutron,folsom-3,2012-08-17,SUPPORT,519.0,75217.0,,,,,,,,,,,17.0,118.0,147.0,13238.0,-1.0
10,openstack/neutron,folsom-rc1,2012-09-12,SUPPORT,543.0,82230.0,,,,,,,,,,,11.0,191.0,45.0,3113.0,-1.0
11,openstack/neutron,folsom-rc2,2012-09-21,,,,,,,,,,,,,,,,,,
12,openstack/neutron,folsom-rc3,2012-09-26,,,,,,,,,,,,,,,,,,
13,openstack/neutron,2012.2,2012-09-27,,,,,,,,,,,,,,,,,,
14,openstack/neutron,grizzly-1,2012-11-23,SUPPORT,548.0,81994.0,,,,,,,,,,,17.0,236.0,30.0,847.0,-1.0
15,openstack/neutron,2012.2.1,2012-11-29,SUPPORT,545.0,82939.0,,,,,,,,,,,5.0,109.0,4.0,92.0,-1.0
16,openstack/neutron,grizzly-2,2013-01-10,SUPPORT,606.0,95017.0,,,,,,,,,,,30.0,432.0,108.0,6075.0,-1.0
17,openstack/neutron,2012.2.3,2013-01-31,SUPPORT,548.0,83417.0,,,,,,,,,,,5.0,146.0,4.0,92.0,-1.0
18,openstack/neutron,2013.1.g3,2013-02-22,SUPPORT,700.0,125296.0,,,,,,,,,,,66.0,722.0,316.0,21838.0,-1.0
19,openstack/neutron,2013.1.rc1,2013-03-14,SUPPORT,739.0,132732.0,,,,,,,,,,,12.0,217.0,21.0,588.0,-1.0
20,openstack/neutron,2013.1.rc2,2013-03-26,SUPPORT,739.0,133512.0,,,,,,,,,,,4.0,69.0,5.0,64.0,-1.0
21,openstack/neutron,2013.1.rc3,2013-04-02,,,,,,,,,,,,,,,,,,
22,openstack/neutron,2013.1,2013-04-04,,,,,,,,,,,,,,,,,,
23,openstack/neutron,2012.2.4,2013-04-11,SUPPORT,548.0,83572.0,,,,,,,,,,,5.0,165.0,4.0,92.0,-1.0
24,openstack/neutron,diablo-eol,2013-05-06,,,,,,,,,,,,,,,,,,
