,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,openstack/neutron,2011.3,2011-09-23,UPGRADE,260,38726,,,,,,,,,,,,,,,
1,openstack/neutron,essex-2,2011-12-14,UPGRADE,294,41824,,,,,,,,,,,,,,,
2,openstack/neutron,essex-3,2012-01-25,UPGRADE,280,38762,,,,,,,,,,,3.0,34.0,2.0,9.0,-1.0
3,openstack/neutron,essex-4,2012-02-29,UPGRADE,351,46811,,,,,,,,,,,,,,,
4,openstack/neutron,essex-rc1,2012-03-19,UPGRADE,360,47138,,,,,,,,,,,,,,,
5,openstack/neutron,essex-rc2,2012-04-03,UPGRADE,360,47167,,,,,,,,,,,,,,,
6,openstack/neutron,2012.1,2012-04-05,UPGRADE,360,47167,,,,,,,,,,,,,,,
7,openstack/neutron,folsom-1,2012-05-24,UPGRADE,374,50071,,,,,,,,,,,,,,,
8,openstack/neutron,folsom-2,2012-07-05,UPGRADE,417,57502,,,,,,,,,,,,,,,
9,openstack/neutron,folsom-3,2012-08-17,UPGRADE,519,75217,,,,,,,,,,,,,,,
10,openstack/neutron,folsom-rc1,2012-09-12,UPGRADE,543,82230,,,,,,,,,,,,,,,
11,openstack/neutron,folsom-rc2,2012-09-21,UPGRADE,544,81749,,,,,,,,,,,,,,,
12,openstack/neutron,folsom-rc3,2012-09-26,UPGRADE,543,81751,,,,,,,,,,,,,,,
13,openstack/neutron,2012.2,2012-09-27,UPGRADE,543,81751,,,,,,,,,,,,,,,
14,openstack/neutron,grizzly-1,2012-11-23,UPGRADE,548,81994,,,,,,,,,,,,,,,
15,openstack/neutron,2012.2.1,2012-11-29,UPGRADE,545,82939,,,,,,,,,,,,,,,
16,openstack/neutron,grizzly-2,2013-01-10,UPGRADE,606,95017,,,,,,,,,,,2.0,460.0,1.0,2.0,-1.0
17,openstack/neutron,2012.2.3,2013-01-31,UPGRADE,548,83417,,,,,,,,,,,,,,,
18,openstack/neutron,2013.1.g3,2013-02-22,UPGRADE,700,125296,,,,,,,,,,,6.0,782.0,5.0,333.0,-1.0
19,openstack/neutron,2013.1.rc1,2013-03-14,UPGRADE,739,132732,,,,,,,,,,,,,,,
20,openstack/neutron,2013.1.rc2,2013-03-26,UPGRADE,739,133512,,,,,,,,,,,,,,,
21,openstack/neutron,2013.1.rc3,2013-04-02,UPGRADE,739,133709,,,,,,,,,,,,,,,
22,openstack/neutron,2013.1,2013-04-04,UPGRADE,739,133709,,,,,,,,,,,,,,,
23,openstack/neutron,2012.2.4,2013-04-11,UPGRADE,548,83572,,,,,,,,,,,,,,,
