,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,danialfarid/ng-file-upload,v0.1.4,2013-10-15,OTHER,36,884,,,,,,,,,,,11.0,1.0,9.0,35.0,-1.0
1,danialfarid/ng-file-upload,1.0.0,2013-10-15,OTHER,37,1240,,,,,,,,,,,3.0,,3.0,21.0,-1.0
2,danialfarid/ng-file-upload,1.0.2,2013-10-16,OTHER,38,1230,,,,,,,,,,,5.0,,8.0,141.0,-1.0
3,danialfarid/ng-file-upload,1.0.1,2013-10-16,OTHER,38,1241,,,,,,,,,,,7.0,,13.0,361.0,-1.0
4,danialfarid/ng-file-upload,1.1.0,2013-10-28,OTHER,43,4021,,,,,,,,,,,36.0,1.0,40.0,695.0,-1.0
5,danialfarid/ng-file-upload,1.1.1,2013-10-28,OTHER,43,4053,,,,,,,,,,,5.0,,4.0,8.0,-1.0
6,danialfarid/ng-file-upload,1.1.2,2013-11-05,OTHER,43,4139,,,,,,,,,,,5.0,,16.0,206.0,-1.0
7,danialfarid/ng-file-upload,1.1.3,2013-11-08,OTHER,43,4135,,,,,,,,,,,14.0,1.0,12.0,69.0,-1.0
8,danialfarid/ng-file-upload,1.1.4,2013-11-08,OTHER,43,4143,,,,,,,,,,,2.0,,2.0,8.0,-1.0
9,danialfarid/ng-file-upload,1.1.5,2013-11-15,OTHER,44,4200,,,,,,,,,,,17.0,,53.0,383.0,-1.0
10,danialfarid/ng-file-upload,1.1.6,2013-11-19,OTHER,44,4216,,,,,,,,,,,7.0,1.0,6.0,52.0,-1.0
11,danialfarid/ng-file-upload,1.1.7,2013-11-19,OTHER,46,4248,,,,,,,,,,,21.0,,21.0,80.0,-1.0
12,danialfarid/ng-file-upload,1.1.8,2013-11-21,OTHER,46,4248,,,,,,,,,,,9.0,,9.0,20.0,-1.0
13,danialfarid/ng-file-upload,1.1.9,2013-11-27,OTHER,49,4398,,,,,,,,,,,4.0,,26.0,394.0,-1.0
14,danialfarid/ng-file-upload,1.1.10,2013-12-03,OTHER,49,4466,,,,,,,,,,,2.0,,2.0,4.0,-1.0
15,danialfarid/ng-file-upload,1.1.11,2013-12-13,OTHER,52,4525,,,,,,,,,,,12.0,,30.0,160.0,-1.0
16,danialfarid/ng-file-upload,1.2.1,2013-12-30,OTHER,55,4744,,,,,,,,,,,,,,,
17,danialfarid/ng-file-upload,1.2.2,2013-12-31,OTHER,54,4748,,,,,,,,,,,1.0,,2.0,19.0,-1.0
18,danialfarid/ng-file-upload,1.2.3,2013-12-31,OTHER,54,4750,,,,,,,,,,,1.0,1.0,,0.0,-1.0
19,danialfarid/ng-file-upload,1.2.4,2014-01-17,OTHER,54,4777,,,,,,,,,,,6.0,,4.0,38.0,-1.0
20,danialfarid/ng-file-upload,1.2.5,2014-01-22,OTHER,54,4780,,,,,,,,,,,1.0,,1.0,8.0,-1.0
21,danialfarid/ng-file-upload,1.2.7,2014-02-03,OTHER,54,6175,,,,,,,,,,,4.0,,11.0,28.0,-1.0
22,danialfarid/ng-file-upload,1.2.8,2014-02-19,OTHER,51,6175,,,,,,,,,,,13.0,,18.0,145.0,-1.0
23,danialfarid/ng-file-upload,1.2.9,2014-03-12,OTHER,51,6194,,,,,,,,,,,5.0,,4.0,9.0,-1.0
24,danialfarid/ng-file-upload,1.2.10,2014-03-24,OTHER,37,6231,,,,,,,,,,,13.0,,40.0,301.0,-1.0
25,danialfarid/ng-file-upload,1.2.11,2014-03-26,OTHER,37,6230,,,,,,,,,,,3.0,,2.0,3.0,-1.0
26,danialfarid/ng-file-upload,1.3.0,2014-03-27,OTHER,37,6290,,,,,,,,,,,1.0,,1.0,3.0,-1.0
27,danialfarid/ng-file-upload,1.3.1,2014-03-27,OTHER,37,6307,,,,,,,,,,,4.0,,3.0,19.0,-1.0
28,danialfarid/ng-file-upload,1.4.0,2014-05-08,OTHER,37,6457,,,,,,,,,,,11.0,1.0,8.0,56.0,-1.0
29,danialfarid/ng-file-upload,1.5.0,2014-07-07,OTHER,38,6588,,,,,,,,,,,10.0,,17.0,234.0,-1.0
30,danialfarid/ng-file-upload,1.5.1,2014-07-13,OTHER,40,6614,,,,,,,,,,,4.0,,6.0,37.0,-1.0
31,danialfarid/ng-file-upload,1.6.0,2014-07-20,OTHER,41,6710,,,,,,,,,,,1.0,1.0,,0.0,-1.0
32,danialfarid/ng-file-upload,1.6.1,2014-07-21,OTHER,41,6730,,,,,,,,,,,11.0,,10.0,63.0,-1.0
33,danialfarid/ng-file-upload,1.6.2,2014-07-27,OTHER,40,6651,,,,,,,,,,,3.0,,2.0,8.0,-1.0
34,danialfarid/ng-file-upload,1.6.3,2014-07-28,OTHER,40,6678,,,,,,,,,,,1.0,,1.0,3.0,-1.0
35,danialfarid/ng-file-upload,1.6.4,2014-07-29,OTHER,40,6663,,,,,,,,,,,,,,,
36,danialfarid/ng-file-upload,1.6.5,2014-08-01,OTHER,40,6669,,,,,,,,,,,9.0,,8.0,53.0,-1.0
37,danialfarid/ng-file-upload,1.6.6,2014-09-13,OTHER,40,6726,,,,,,,,,,,8.0,1.0,6.0,39.0,-1.0
38,danialfarid/ng-file-upload,1.6.7,2014-09-22,OTHER,40,6772,,,,,,,,,,,3.0,,2.0,4.0,-1.0
39,danialfarid/ng-file-upload,1.6.8,2014-09-23,OTHER,41,7036,,,,,,,,,,,2.0,,2.0,3.0,-1.0
40,danialfarid/ng-file-upload,1.6.9,2014-09-24,OTHER,41,7040,,,,,,,,,,,4.0,1.0,6.0,12.0,-1.0
41,danialfarid/ng-file-upload,1.6.10,2014-09-25,OTHER,41,7078,,,,,,,,,,,3.0,,2.0,8.0,-1.0
42,danialfarid/ng-file-upload,1.6.12,2014-09-25,OTHER,41,7079,,,,,,,,,,,,,,,
43,danialfarid/ng-file-upload,1.6.11,2014-09-25,OTHER,41,7079,,,,,,,,,,,2.0,,1.0,2.0,-1.0
44,danialfarid/ng-file-upload,2.0.0,2014-11-29,OTHER,47,9305,,,,,,,,,,,23.0,,45.0,3909.0,-1.0
45,danialfarid/ng-file-upload,2.0.2,2014-12-01,OTHER,47,9313,,,,,,,,,,,,,,,
46,danialfarid/ng-file-upload,2.0.1,2014-12-01,OTHER,47,9313,,,,,,,,,,,4.0,1.0,12.0,76.0,-1.0
47,danialfarid/ng-file-upload,2.0.3,2014-12-04,OTHER,47,9336,,,,,,,,,,,,,,,
48,danialfarid/ng-file-upload,2.0.4,2014-12-05,OTHER,47,9383,,,,,,,,,,,2.0,,1.0,7.0,-1.0
49,danialfarid/ng-file-upload,2.0.5,2014-12-12,OTHER,47,9383,,,,,,,,,,,4.0,,2.0,12.0,-1.0
50,danialfarid/ng-file-upload,2.1.0,2015-01-06,OTHER,47,9421,,,,,,,,,,,15.0,1.0,11.0,54.0,-1.0
51,danialfarid/ng-file-upload,2.1.1,2015-01-06,OTHER,47,9461,,,,,,,,,,,,,,,
52,danialfarid/ng-file-upload,2.1.2,2015-01-24,OTHER,47,9338,,,,,,,,,,,6.0,,3.0,6.0,-1.0
53,danialfarid/ng-file-upload,2.2.0,2015-01-24,OTHER,47,9477,,,,,,,,,,,3.0,,2.0,183.0,-1.0
54,danialfarid/ng-file-upload,2.2.2,2015-01-24,OTHER,47,9508,,,,,,,,,,,,,,,
55,danialfarid/ng-file-upload,2.2.1,2015-01-24,OTHER,47,9508,,,,,,,,,,,2.0,,1.0,3.0,-1.0
56,danialfarid/ng-file-upload,3.0.0,2015-02-03,OTHER,48,9737,,,,,,,,,,,11.0,1.0,10.0,185.0,-1.0
57,danialfarid/ng-file-upload,3.0.0-corrupted,2015-02-04,OTHER,48,9737,,,,,,,,,,,2.0,,2.0,4.0,-1.0
58,danialfarid/ng-file-upload,3.0.1,2015-02-04,OTHER,47,9884,,,,,,,,,,,1.0,,,0.0,-1.0
59,danialfarid/ng-file-upload,3.0.2,2015-02-06,OTHER,47,9898,,,,,,,,,,,4.0,,3.0,6.0,-1.0
60,danialfarid/ng-file-upload,3.0.3,2015-02-11,OTHER,47,9907,,,,,,,,,,,11.0,,9.0,61.0,-1.0
61,danialfarid/ng-file-upload,3.0.4,2015-02-13,OTHER,47,9907,,,,,,,,,,,,,,,
62,danialfarid/ng-file-upload,3.0.7,2015-02-17,OTHER,47,9852,,,,,,,,,,,,,,,
63,danialfarid/ng-file-upload,3.0.6,2015-02-17,OTHER,47,9872,,,,,,,,,,,,,,,
64,danialfarid/ng-file-upload,3.0.5,2015-02-17,OTHER,47,9876,,,,,,,,,,,4.0,,3.0,12.0,-1.0
65,danialfarid/ng-file-upload,3.1.0,2015-03-01,OTHER,47,9885,,,,,,,,,,,4.0,1.0,1.0,1.0,-1.0
66,danialfarid/ng-file-upload,3.1.1,2015-03-02,OTHER,47,9882,,,,,,,,,,,2.0,,1.0,7.0,-1.0
67,danialfarid/ng-file-upload,3.1.2,2015-03-04,OTHER,47,9882,,,,,,,,,,,,,,,
68,danialfarid/ng-file-upload,3.2.1,2015-03-11,OTHER,53,10197,2.0,3.0,2.0,4.0,1.0,,,,,,,,,,
69,danialfarid/ng-file-upload,3.2.2,2015-03-11,OTHER,54,10226,,,,,,,,,,,1.0,2.0,1.0,2.0,-1.0
70,danialfarid/ng-file-upload,3.2.4,2015-03-12,OTHER,54,10222,3.0,2.0,3.0,6.0,1.0,,,,,,,,,,
71,danialfarid/ng-file-upload,3.2.3,2015-03-12,OTHER,54,10228,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,
72,danialfarid/ng-file-upload,3.3.0,2015-04-13,OTHER,56,14720,4.0,5.0,2.0,16.0,1.0,,,,,,2.0,1.0,2.0,6.0,-1.0
73,danialfarid/ng-file-upload,3.3.1,2015-04-13,OTHER,56,14720,,,,,,,,,,,,,,,
74,danialfarid/ng-file-upload,3.3.2,2015-04-15,OTHER,56,14716,1.0,3.0,,0.0,1.0,,,,,,,,,,
75,danialfarid/ng-file-upload,3.3.3,2015-04-16,OTHER,56,14716,,,,,,,,,,,,,,,
76,danialfarid/ng-file-upload,3.3.4,2015-04-20,OTHER,56,14722,,,,,,,,,,,,,,,
77,danialfarid/ng-file-upload,4.0.0,2015-04-23,OTHER,59,16724,,,,,,,,,,,,,,,
78,danialfarid/ng-file-upload,4.0.3,2015-04-24,OTHER,53,14790,2.0,1.0,1.0,5.0,1.0,,,,,,1.0,1.0,1.0,2.0,-1.0
79,danialfarid/ng-file-upload,4.0.1,2015-04-24,OTHER,59,16728,2.0,1.0,2.0,106.0,1.0,,,,,,,,,,
80,danialfarid/ng-file-upload,4.0.2,2015-04-24,OTHER,59,16728,,,,,,,,,,,,,,,
81,danialfarid/ng-file-upload,4.0.4,2015-04-27,OTHER,53,14795,5.0,1.0,4.0,11.0,1.0,,,,,,1.0,,1.0,6.0,-1.0
82,danialfarid/ng-file-upload,4.1.0,2015-04-30,OTHER,53,14807,1.0,,1.0,11.0,1.0,,,,,,,,,,
83,danialfarid/ng-file-upload,4.1.2,2015-05-03,OTHER,53,14799,,,,,,,,,,,,,,,
84,danialfarid/ng-file-upload,4.1.1-pre,2015-05-03,OTHER,53,14799,,,,,,,,,,,,,,,
85,danialfarid/ng-file-upload,4.1.1,2015-05-03,OTHER,53,14799,,,,,,,,,,,,,,,
86,danialfarid/ng-file-upload,4.1.3,2015-05-04,OTHER,53,14799,1.0,2.0,,0.0,1.0,,,,,,,,,,
87,danialfarid/ng-file-upload,4.1.4,2015-05-07,OTHER,53,14807,,,,,,,,,,,,,,,
88,danialfarid/ng-file-upload,4.2.0,2015-05-08,OTHER,57,28423,,,,,,,,,,,,,,,
89,danialfarid/ng-file-upload,4.2.1,2015-05-14,OTHER,53,14950,3.0,1.0,3.0,18.0,1.0,,,,,,,,,,
90,danialfarid/ng-file-upload,4.2.2,2015-05-25,OTHER,53,14988,6.0,3.0,4.0,40.0,1.0,,,,,,1.0,1.0,4.0,4.0,-1.0
91,danialfarid/ng-file-upload,4.2.3,2015-05-25,OTHER,53,15016,1.0,2.0,,0.0,1.0,,,,,,,,,,
92,danialfarid/ng-file-upload,4.2.4,2015-05-25,OTHER,53,15024,,,,,,,,,,,,,,,
93,danialfarid/ng-file-upload,5.0.0,2015-06-04,OTHER,61,20740,4.0,1.0,2.0,6.0,1.0,,,,,,5.0,,6.0,49.0,-1.0
94,danialfarid/ng-file-upload,5.0.1,2015-06-05,OTHER,61,20774,5.0,3.0,3.0,31.0,1.0,,,,,,,,,,
95,danialfarid/ng-file-upload,5.0.3,2015-06-08,OTHER,61,20773,,,,,,,,,,,,,,,
96,danialfarid/ng-file-upload,5.0.2,2015-06-08,OTHER,61,20773,,,,,,,,,,,,,,,
97,danialfarid/ng-file-upload,5.0.4,2015-06-10,OTHER,61,20778,,,,,,,,,,,,,,,
98,danialfarid/ng-file-upload,5.0.5,2015-06-12,OTHER,61,20788,1.0,1.0,,0.0,1.0,,,,,,1.0,,1.0,2.0,-1.0
99,danialfarid/ng-file-upload,5.0.6,2015-06-15,OTHER,61,20778,,,,,,,,,,,,,,,
100,danialfarid/ng-file-upload,5.0.7,2015-06-16,OTHER,61,20763,,,,,,,,,,,,,,,
101,danialfarid/ng-file-upload,5.0.9,2015-06-18,OTHER,61,20750,,,,,,,,,,,,,,,
102,danialfarid/ng-file-upload,5.0.8,2015-06-18,OTHER,61,20758,,,,,,,,,,,,,,,
103,danialfarid/ng-file-upload,5.1.0,2015-07-28,OTHER,63,21286,16.0,2.0,10.0,48.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,12.0,137.0,-1.0
104,danialfarid/ng-file-upload,5.2.0,2015-07-29,OTHER,63,21345,4.0,,4.0,22.0,1.0,,,,,,,,,,
105,danialfarid/ng-file-upload,6.0.0,2015-07-29,OTHER,63,21350,1.0,1.0,,0.0,1.0,,,,,,,,,,
106,danialfarid/ng-file-upload,6.0.1,2015-07-29,OTHER,63,21376,4.0,1.0,4.0,33.0,1.0,,,,,,,,,,
107,danialfarid/ng-file-upload,6.0.2,2015-07-29,OTHER,63,21396,,,,,,,,,,,,,,,
108,danialfarid/ng-file-upload,6.0.3,2015-08-03,OTHER,63,21557,8.0,1.0,8.0,24.0,1.0,,,,,,2.0,,1.0,3.0,-1.0
109,danialfarid/ng-file-upload,6.0.4,2015-08-06,OTHER,63,21533,7.0,1.0,7.0,316.0,1.0,,,,,,,,,,
110,danialfarid/ng-file-upload,6.1.0,2015-08-12,OTHER,64,21569,4.0,3.0,1.0,2.0,1.0,,,,,,1.0,2.0,2.0,6.0,-1.0
111,danialfarid/ng-file-upload,6.1.1,2015-08-13,OTHER,64,21585,1.0,1.0,1.0,4.0,1.0,,,,,,,,,,
112,danialfarid/ng-file-upload,6.1.2,2015-08-14,OTHER,64,21590,,,,,,,,,,,,,,,
113,danialfarid/ng-file-upload,6.2.0,2015-08-14,OTHER,65,22290,,,,,,,,,,,,,,,
114,danialfarid/ng-file-upload,6.2.1,2015-08-15,OTHER,65,22319,2.0,1.0,2.0,65.0,1.0,,,,,,,,,,
115,danialfarid/ng-file-upload,7.0.0,2015-08-18,OTHER,66,23005,1.0,,1.0,119.0,1.0,,,,,,,,,,
116,danialfarid/ng-file-upload,7.0.1,2015-08-18,OTHER,66,23020,,,,,,,,,,,,,,,
117,danialfarid/ng-file-upload,7.0.2,2015-08-19,OTHER,67,23122,,,,,,,,,,,,,,,
118,danialfarid/ng-file-upload,7.0.3,2015-08-19,OTHER,67,23167,,,,,,,,,,,,,,,
119,danialfarid/ng-file-upload,7.0.6,2015-08-19,OTHER,67,23168,3.0,2.0,3.0,10.0,1.0,,,,,,,,,,
120,danialfarid/ng-file-upload,7.0.4,2015-08-19,OTHER,67,23193,2.0,1.0,2.0,14.0,1.0,,,,,,,,,,
121,danialfarid/ng-file-upload,7.0.5,2015-08-19,OTHER,67,23198,1.0,1.0,1.0,4.0,1.0,,,,,,,,,,
122,danialfarid/ng-file-upload,7.0.7,2015-08-20,OTHER,67,23225,,,,,,,,,,,,,,,
123,danialfarid/ng-file-upload,7.0.9,2015-08-20,OTHER,67,23477,,,,,,,,,,,,,,,
124,danialfarid/ng-file-upload,7.0.8,2015-08-20,OTHER,67,23477,,,,,,,,,,,,,,,
125,danialfarid/ng-file-upload,7.0.10,2015-08-21,OTHER,67,23542,1.0,3.0,,0.0,1.0,,,,,,2.0,,2.0,5.0,-1.0
126,danialfarid/ng-file-upload,7.0.11,2015-08-25,OTHER,67,23622,3.0,3.0,2.0,4.0,1.0,,,,,,,,,,
127,danialfarid/ng-file-upload,7.0.12,2015-08-25,OTHER,67,23622,,,,,,,,,,,,,,,
128,danialfarid/ng-file-upload,7.0.11-corrupted,2015-08-25,OTHER,67,23622,,,,,,,,,,,,,,,
129,danialfarid/ng-file-upload,7.0.13,2015-08-26,OTHER,67,23622,3.0,2.0,2.0,4.0,1.0,,,,,,,,,,
130,danialfarid/ng-file-upload,7.0.14,2015-08-27,OTHER,67,23786,5.0,1.0,5.0,75.0,1.0,,,,,,,,,,
131,danialfarid/ng-file-upload,7.0.15,2015-08-27,OTHER,67,23796,,,,,,,,,,,,,,,
132,danialfarid/ng-file-upload,7.0.17,2015-09-02,OTHER,67,23918,1.0,2.0,1.0,4.0,1.0,,,,,,,,,,
133,danialfarid/ng-file-upload,7.0.16,2015-09-02,OTHER,67,23928,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,
134,danialfarid/ng-file-upload,7.1.0,2015-09-11,OTHER,67,23918,,,,,,,,,,,,,,,
135,danialfarid/ng-file-upload,7.2.0,2015-09-12,OTHER,67,23997,,,,,,,,,,,,,,,
136,danialfarid/ng-file-upload,7.2.1,2015-09-13,OTHER,68,24531,3.0,1.0,3.0,6.0,1.0,,,,,,,,,,
