,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,nightwatchjs/nightwatch,v0.3.0,2014-02-11,,,,,,,,,,,,,,,,,,
1,nightwatchjs/nightwatch,v0.3.1,2014-02-11,,,,,,,,,,,,,,,,,,
2,nightwatchjs/nightwatch,v0.3.3,2014-02-15,,,,,,,,,,,,,,,,,,
3,nightwatchjs/nightwatch,v0.3.2,2014-02-15,,,,,,,,,,,,,,,,,,
4,nightwatchjs/nightwatch,v0.3.4,2014-02-21,BUG,84.0,5348.0,,,,,,,,,,,4.0,5.0,4.0,490.0,-1.0
5,nightwatchjs/nightwatch,v0.3.5,2014-02-21,BUG,84.0,5364.0,,,,,,,,,,,2.0,,3.0,46.0,-1.0
6,nightwatchjs/nightwatch,v0.3.6,2014-02-24,BUG,85.0,5417.0,,,,,,,,,,,3.0,4.0,10.0,238.0,-1.0
7,nightwatchjs/nightwatch,v0.3.7,2014-02-25,BUG,85.0,5417.0,,,,,,,,,,,1.0,,1.0,6.0,-1.0
8,nightwatchjs/nightwatch,v0.4.2,2014-03-17,BUG,101.0,8519.0,,,,,,,,,,,1.0,,1.0,2.0,-1.0
9,nightwatchjs/nightwatch,v0.4.1,2014-03-17,,,,,,,,,,,,,,,,,,
10,nightwatchjs/nightwatch,v0.4.0,2014-03-17,BUG,102.0,8528.0,,,,,,,,,,,16.0,5.0,37.0,424.0,-1.0
11,nightwatchjs/nightwatch,v0.4.4,2014-03-17,BUG,103.0,8609.0,,,,,,,,,,,1.0,,1.0,4.0,-1.0
12,nightwatchjs/nightwatch,v0.4.3,2014-03-17,,,,,,,,,,,,,,,,,,
13,nightwatchjs/nightwatch,v0.4.5,2014-03-18,BUG,103.0,8616.0,,,,,,,,,,,1.0,2.0,2.0,26.0,-1.0
14,nightwatchjs/nightwatch,v0.4.6,2014-03-21,BUG,103.0,8624.0,,,,,,,,,,,2.0,,2.0,25.0,-1.0
15,nightwatchjs/nightwatch,v0.4.7,2014-03-21,BUG,103.0,8672.0,,,,,,,,,,,3.0,,6.0,60.0,-1.0
16,nightwatchjs/nightwatch,v0.4.8,2014-03-29,BUG,109.0,9150.0,,,,,,,,,,,3.0,7.0,26.0,948.0,-1.0
17,nightwatchjs/nightwatch,v0.4.9,2014-04-02,BUG,112.0,9283.0,,,,,,,,,,,3.0,4.0,3.0,10.0,-1.0
18,nightwatchjs/nightwatch,v0.4.10,2014-04-03,BUG,112.0,9304.0,,,,,,,,,,,1.0,,4.0,55.0,-1.0
19,nightwatchjs/nightwatch,v0.4.11,2014-04-05,BUG,112.0,9306.0,,,,,,,,,,,1.0,,1.0,18.0,-1.0
20,nightwatchjs/nightwatch,v0.4.12,2014-04-07,,,,,,,,,,,,,,,,,,
21,nightwatchjs/nightwatch,v0.4.13,2014-04-09,,,,,,,,,,,,,,,,,,
22,nightwatchjs/nightwatch,v0.4.14,2014-04-24,BUG,118.0,9838.0,,,,,,,,,,,5.0,3.0,51.0,513.0,-1.0
23,nightwatchjs/nightwatch,v0.4.15,2014-05-05,BUG,121.0,10082.0,,,,,,,,,,,3.0,3.0,5.0,66.0,-1.0
24,nightwatchjs/nightwatch,v0.4.16,2014-05-16,BUG,121.0,10117.0,,,,,,,,,,,4.0,10.0,6.0,57.0,-1.0
25,nightwatchjs/nightwatch,v0.4.17,2014-05-22,BUG,121.0,10123.0,,,,,,,,,,,4.0,,3.0,20.0,-1.0
26,nightwatchjs/nightwatch,v0.5.1,2014-05-26,BUG,129.0,11253.0,,,,,,,,,,,5.0,8.0,9.0,373.0,-1.0
27,nightwatchjs/nightwatch,v0.5.2,2014-05-27,,,,,,,,,,,,,,,,,,
28,nightwatchjs/nightwatch,v0.5.3,2014-05-29,BUG,129.0,11251.0,,,,,,,,,,,1.0,,3.0,10.0,-1.0
29,nightwatchjs/nightwatch,v0.5.4,2014-06-04,,,,,,,,,,,,,,,,,,
30,nightwatchjs/nightwatch,v0.5.6,2014-06-05,BUG,129.0,11251.0,,,,,,,,,,,1.0,,1.0,8.0,-1.0
31,nightwatchjs/nightwatch,v0.5.5,2014-06-05,,,,,,,,,,,,,,,,,,
32,nightwatchjs/nightwatch,v0.5.7,2014-06-16,BUG,131.0,11407.0,,,,,,,,,,,4.0,9.0,8.0,87.0,-1.0
33,nightwatchjs/nightwatch,v0.5.8,2014-06-19,BUG,130.0,11407.0,,,,,,,,,,,1.0,,2.0,4.0,-1.0
34,nightwatchjs/nightwatch,v0.5.9,2014-07-07,BUG,132.0,11642.0,,,,,,,,,,,7.0,4.0,19.0,231.0,-1.0
35,nightwatchjs/nightwatch,v0.5.10,2014-07-09,BUG,134.0,11719.0,,,,,,,,,,,2.0,,8.0,163.0,-1.0
36,nightwatchjs/nightwatch,v0.5.11,2014-07-20,BUG,134.0,11790.0,,,,,,,,,,,2.0,4.0,3.0,22.0,-1.0
37,nightwatchjs/nightwatch,v0.5.12,2014-07-31,BUG,136.0,11965.0,,,,,,,,,,,4.0,,8.0,89.0,-1.0
38,nightwatchjs/nightwatch,v0.5.13,2014-08-01,,,,,,,,,,,,,,,,,,
39,nightwatchjs/nightwatch,v0.5.16,2014-08-18,,,,,,,,,,,,,,,,,,
40,nightwatchjs/nightwatch,v0.5.15,2014-08-18,BUG,139.0,12338.0,,,,,,,,,,,1.0,,2.0,13.0,-1.0
41,nightwatchjs/nightwatch,v0.5.14,2014-08-18,BUG,139.0,12345.0,,,,,,,,,,,4.0,9.0,3.0,9.0,-1.0
42,nightwatchjs/nightwatch,v0.5.18,2014-08-19,BUG,139.0,12338.0,,,,,,,,,,,3.0,,2.0,10.0,-1.0
43,nightwatchjs/nightwatch,v0.5.17,2014-08-19,,,,,,,,,,,,,,,,,,
44,nightwatchjs/nightwatch,v0.5.19,2014-08-25,BUG,139.0,12381.0,,,,,,,,,,,1.0,,3.0,47.0,-1.0
45,nightwatchjs/nightwatch,v0.5.21,2014-08-28,BUG,140.0,12509.0,,,,,,,,,,,1.0,,1.0,20.0,-1.0
46,nightwatchjs/nightwatch,v0.5.20,2014-08-28,,,,,,,,,,,,,,,,,,
47,nightwatchjs/nightwatch,v0.5.22,2014-09-08,,,,,,,,,,,,,,,,,,
48,nightwatchjs/nightwatch,v0.5.23,2014-09-11,BUG,140.0,12609.0,,,,,,,,,,,2.0,,3.0,43.0,-1.0
49,nightwatchjs/nightwatch,v0.5.24,2014-09-14,BUG,140.0,12645.0,,,,,,,,,,,2.0,,2.0,204.0,-1.0
50,nightwatchjs/nightwatch,v0.5.25,2014-09-16,,,,,,,,,,,,,,,,,,
51,nightwatchjs/nightwatch,v0.5.26,2014-09-17,BUG,141.0,12736.0,,,,,,,,,,,1.0,,4.0,26.0,-1.0
52,nightwatchjs/nightwatch,v0.5.27,2014-09-21,BUG,141.0,12736.0,,,,,,,,,,,1.0,,3.0,6.0,-1.0
53,nightwatchjs/nightwatch,v0.5.28,2014-09-22,BUG,141.0,12738.0,,,,,,,,,,,1.0,,1.0,8.0,-1.0
54,nightwatchjs/nightwatch,v0.5.29,2014-10-03,BUG,145.0,12870.0,,,,,,,,,,,1.0,,1.0,4.0,-1.0
55,nightwatchjs/nightwatch,v0.5.30,2014-10-12,,,,,,,,,,,,,,,,,,
56,nightwatchjs/nightwatch,v0.5.31,2014-10-13,BUG,149.0,13079.0,,,,,,,,,,,1.0,1.0,1.0,4.0,-1.0
57,nightwatchjs/nightwatch,v0.5.32,2014-10-26,BUG,149.0,13252.0,,,,,,,,,,,3.0,1.0,4.0,134.0,-1.0
58,nightwatchjs/nightwatch,v0.5.33,2014-11-06,BUG,150.0,13333.0,,,,,,,,,,,3.0,1.0,4.0,25.0,-1.0
59,nightwatchjs/nightwatch,v0.5.34,2014-11-22,,,,,,,,,,,,,,,,,,
60,nightwatchjs/nightwatch,v0.5.35,2014-12-03,,,,,,,,,,,,,,,,,,
61,nightwatchjs/nightwatch,v0.5.36,2015-01-05,,,,,,,,,,,,,,,,,,
62,nightwatchjs/nightwatch,v0.6.0,2015-04-04,BUG,170.0,14865.0,,,,,,,,,,,8.0,3.0,87.0,1211.0,-1.0
63,nightwatchjs/nightwatch,v0.6.1,2015-04-07,BUG,171.0,14911.0,,,,,,,,,,,1.0,,2.0,23.0,-1.0
64,nightwatchjs/nightwatch,v0.6.2,2015-04-10,BUG,171.0,14911.0,,,,,,,,,,,2.0,,1.0,2.0,-1.0
65,nightwatchjs/nightwatch,v0.6.3,2015-04-10,BUG,171.0,14912.0,,,,,,,,,,,2.0,,1.0,3.0,-1.0
66,nightwatchjs/nightwatch,v0.6.4,2015-04-16,BUG,172.0,14994.0,,,,,,,,,,,2.0,,4.0,129.0,-1.0
67,nightwatchjs/nightwatch,v0.6.5,2015-04-23,BUG,172.0,15352.0,,,,,,,,,,,9.0,7.0,10.0,190.0,-1.0
68,nightwatchjs/nightwatch,v0.6.6,2015-04-24,BUG,172.0,15386.0,,,,,,,,,,,1.0,,1.0,8.0,-1.0
69,nightwatchjs/nightwatch,v0.6.7,2015-04-28,BUG,172.0,15389.0,,,,,,,,,,,1.0,,4.0,13.0,-1.0
70,nightwatchjs/nightwatch,v0.6.8,2015-05-09,BUG,172.0,15401.0,,,,,,,,,,,1.0,,2.0,18.0,-1.0
71,nightwatchjs/nightwatch,v0.6.9,2015-05-14,BUG,172.0,15418.0,,,,,,,,,,,2.0,,6.0,35.0,-1.0
72,nightwatchjs/nightwatch,v0.6.10,2015-05-15,BUG,172.0,15417.0,,,,,,,,,,,1.0,,2.0,13.0,-1.0
73,nightwatchjs/nightwatch,v0.6.11,2015-05-18,BUG,172.0,15418.0,,,,,,,,,,,1.0,,1.0,3.0,-1.0
74,nightwatchjs/nightwatch,v0.6.12,2015-05-20,,,,,,,,,,,,,,,,,,
75,nightwatchjs/nightwatch,v0.6.13,2015-05-28,BUG,172.0,15549.0,,,,,,,,,,,1.0,1.0,1.0,2.0,-1.0
76,nightwatchjs/nightwatch,v0.6.14,2015-06-11,BUG,172.0,15565.0,,,,,,,,,,,1.0,,3.0,96.0,-1.0
77,nightwatchjs/nightwatch,v0.6.15,2015-06-14,BUG,172.0,15573.0,,,,,,,,,,,1.0,,1.0,8.0,-1.0
78,nightwatchjs/nightwatch,v0.7.0,2015-06-21,BUG,217.0,20914.0,2.0,43.0,26.0,1057.0,2.0,,,,,,12.0,10.0,64.0,2009.0,-1.0
79,nightwatchjs/nightwatch,v0.7.1,2015-06-22,,,,,,,,,,,,,,,,,,
