,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,nightwatchjs/nightwatch,v0.3.0,2014-02-11,DOCS,82,5181,,,,,,,,,,,,,,,
1,nightwatchjs/nightwatch,v0.3.1,2014-02-11,DOCS,82,5183,,,,,,,,,,,,,,,
2,nightwatchjs/nightwatch,v0.3.3,2014-02-15,DOCS,82,5210,,,,,,,,,,,,,,,
3,nightwatchjs/nightwatch,v0.3.2,2014-02-15,DOCS,82,5214,,,,,,,,,,,,,,,
4,nightwatchjs/nightwatch,v0.3.4,2014-02-21,DOCS,84,5348,,,,,,,,,,,,,,,
5,nightwatchjs/nightwatch,v0.3.5,2014-02-21,DOCS,84,5364,,,,,,,,,,,,,,,
6,nightwatchjs/nightwatch,v0.3.6,2014-02-24,DOCS,85,5417,,,,,,,,,,,,,,,
7,nightwatchjs/nightwatch,v0.3.7,2014-02-25,DOCS,85,5417,,,,,,,,,,,,,,,
8,nightwatchjs/nightwatch,v0.4.2,2014-03-17,DOCS,101,8519,,,,,,,,,,,,,,,
9,nightwatchjs/nightwatch,v0.4.1,2014-03-17,DOCS,101,8519,,,,,,,,,,,,,,,
10,nightwatchjs/nightwatch,v0.4.0,2014-03-17,DOCS,102,8528,,,,,,,,,,,2.0,11.0,12.0,720.0,-1.0
11,nightwatchjs/nightwatch,v0.4.4,2014-03-17,DOCS,103,8609,,,,,,,,,,,,,,,
12,nightwatchjs/nightwatch,v0.4.3,2014-03-17,DOCS,103,8609,,,,,,,,,,,,,,,
13,nightwatchjs/nightwatch,v0.4.5,2014-03-18,DOCS,103,8616,,,,,,,,,,,,,,,
14,nightwatchjs/nightwatch,v0.4.6,2014-03-21,DOCS,103,8624,,,,,,,,,,,,,,,
15,nightwatchjs/nightwatch,v0.4.7,2014-03-21,DOCS,103,8672,,,,,,,,,,,,,,,
16,nightwatchjs/nightwatch,v0.4.8,2014-03-29,DOCS,109,9150,,,,,,,,,,,,,,,
17,nightwatchjs/nightwatch,v0.4.9,2014-04-02,DOCS,112,9283,,,,,,,,,,,1.0,4.0,6.0,26.0,-1.0
18,nightwatchjs/nightwatch,v0.4.10,2014-04-03,DOCS,112,9304,,,,,,,,,,,1.0,,1.0,2.0,-1.0
19,nightwatchjs/nightwatch,v0.4.11,2014-04-05,DOCS,112,9306,,,,,,,,,,,,,,,
20,nightwatchjs/nightwatch,v0.4.12,2014-04-07,DOCS,113,9441,,,,,,,,,,,,,,,
21,nightwatchjs/nightwatch,v0.4.13,2014-04-09,DOCS,113,9441,,,,,,,,,,,,,,,
22,nightwatchjs/nightwatch,v0.4.14,2014-04-24,DOCS,118,9838,,,,,,,,,,,,,,,
23,nightwatchjs/nightwatch,v0.4.15,2014-05-05,DOCS,121,10082,,,,,,,,,,,,,,,
