,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,NixOS/nixpkgs,0.1,2003-06-03,OTHER,42,596,,,,,,,,,,,7.0,1.0,36.0,256.0,-1.0
1,NixOS/nixpkgs,backups/freebsd-losser@34171,2003-08-06,OTHER,77,1250,,,,,,,,,,,33.0,11.0,229.0,1886.0,-1.0
2,NixOS/nixpkgs,0.2,2003-08-25,OTHER,162,2244,,,,,,,,,,,46.0,5.0,174.0,1598.0,-1.0
3,NixOS/nixpkgs,0.3,2003-08-28,OTHER,173,2487,,,,,,,,,,,9.0,3.0,37.0,322.0,-1.0
4,NixOS/nixpkgs,backups/logistics@34171,2003-09-24,OTHER,192,3159,,,,,,,,,,,12.0,3.0,41.0,709.0,-1.0
5,NixOS/nixpkgs,0.4,2003-11-13,OTHER,333,5860,,,,,,,,,,,27.0,12.0,227.0,3545.0,-1.0
6,NixOS/nixpkgs,backups/martin@828,2004-03-09,OTHER,323,6556,,,,,,,,,,,92.0,27.0,520.0,6887.0,-1.0
7,NixOS/nixpkgs,backups/0.5-release@989,2004-04-27,OTHER,307,6820,,,,,,,,,,,,,,,
8,NixOS/nixpkgs,0.5,2004-04-27,OTHER,307,6820,,,,,,,,,,,51.0,26.0,730.0,6231.0,-1.0
9,NixOS/nixpkgs,backups/0.5.1-release@996,2004-05-03,OTHER,308,6849,,,,,,,,,,,,,,,
10,NixOS/nixpkgs,backups/0.5-stable@34171,2004-05-03,OTHER,308,6849,,,,,,,,,,,2.0,,10.0,77.0,-1.0
11,NixOS/nixpkgs,0.5.1,2004-05-03,OTHER,308,6849,,,,,,,,,,,1.0,,1.0,2.0,-1.0
12,NixOS/nixpkgs,backups/martin2@34171,2004-05-12,OTHER,309,5957,,,,,,,,,,,2.0,,7.0,59.0,-1.0
13,NixOS/nixpkgs,backups/0.6-release@1775,2004-11-14,OTHER,511,12949,,,,,,,,,,,,,,,
14,NixOS/nixpkgs,0.6,2004-11-14,OTHER,511,12949,,,,,,,,,,,279.0,79.0,1402.0,19623.0,-1.0
15,NixOS/nixpkgs,backups/nixos-pkgs@34170,2005-01-20,OTHER,520,13171,,,,,,,,,,,28.0,8.0,50.0,610.0,-1.0
16,NixOS/nixpkgs,backups/one-click@2549,2005-03-10,OTHER,538,13992,,,,,,,,,,,93.0,24.0,524.0,3793.0,-1.0
17,NixOS/nixpkgs,backups/0.7-release@2398,2005-03-14,OTHER,586,15403,,,,,,,,,,,,,,,
18,NixOS/nixpkgs,0.7,2005-03-14,OTHER,586,15403,,,,,,,,,,,45.0,8.0,174.0,1809.0,-1.0
19,NixOS/nixpkgs,backups/0.8-release@2530,2005-04-11,OTHER,588,15432,,,,,,,,,,,,,,,
20,NixOS/nixpkgs,0.8,2005-04-11,OTHER,588,15432,,,,,,,,,,,27.0,4.0,93.0,528.0,-1.0
21,NixOS/nixpkgs,backups/0.9-release@4651,2006-01-31,OTHER,991,36332,,,,,,,,,,,,,,,
22,NixOS/nixpkgs,0.9,2006-01-31,OTHER,991,36332,,,,,,,,,,,533.0,115.0,1827.0,29663.0,-1.0
23,NixOS/nixpkgs,backups/usability@34170,2006-03-23,OTHER,1016,36802,,,,,,,,,,,35.0,1.0,95.0,1106.0,-1.0
24,NixOS/nixpkgs,backups/0.10-release@6725,2006-10-12,OTHER,1185,54827,,,,,,,,,,,,,,,
25,NixOS/nixpkgs,0.10,2006-10-12,OTHER,1185,54827,,,,,,,,,,,497.0,129.0,1348.0,32977.0,-1.0
26,NixOS/nixpkgs,backups/0.11-release@9315,2007-09-11,OTHER,1383,104859,,,,,,,,,,,,,,,
27,NixOS/nixpkgs,0.11,2007-09-11,OTHER,1383,104859,,,,,,,,,,,774.0,211.0,2213.0,87011.0,-1.0
28,NixOS/nixpkgs,backups/stdenv-updates@10965,2008-02-21,OTHER,1681,149335,,,,,,,,,,,413.0,112.0,1569.0,50137.0,-1.0
29,NixOS/nixpkgs,backups/master@10848,2008-02-23,OTHER,1720,152477,,,,,,,,,,,393.0,113.0,969.0,32501.0,-1.0
30,NixOS/nixpkgs,backups/stdenv-updates-merge@10849,2008-02-25,OTHER,1737,150355,,,,,,,,,,,298.0,65.0,1306.0,35155.0,-1.0
31,NixOS/nixpkgs,backups/stdenv-updates@12144,2008-06-12,OTHER,1780,152859,,,,,,,,,,,88.0,29.0,261.0,6193.0,-1.0
32,NixOS/nixpkgs,backups/0.12-release@15293,2009-04-24,OTHER,2455,173033,,,,,,,,,,,,,,,
33,NixOS/nixpkgs,0.12,2009-04-24,OTHER,2455,173033,,,,,,,,,,,1762.0,490.0,3802.0,115528.0,-1.0
34,NixOS/nixpkgs,backups/stdenv-updates@15332,2009-04-26,OTHER,2407,170197,,,,,,,,,,,185.0,59.0,407.0,6516.0,-1.0
35,NixOS/nixpkgs,backups/armv5tel-linux@18007,2009-10-28,OTHER,2792,224763,,,,,,,,,,,1006.0,355.0,2231.0,53185.0,-1.0
36,NixOS/nixpkgs,backups/xorg-7.5@18179,2009-11-04,OTHER,2748,178194,,,,,,,,,,,348.0,96.0,920.0,63106.0,-1.0
37,NixOS/nixpkgs,backups/stdenv-updates@18281,2009-11-07,OTHER,2804,182097,,,,,,,,,,,133.0,56.0,234.0,4869.0,-1.0
38,NixOS/nixpkgs,backups/stdenv-updates2@18282,2009-11-08,OTHER,2805,182132,,,,,,,,,,,5.0,,18.0,30.0,-1.0
39,NixOS/nixpkgs,backups/stdenv-updates2@18273,2009-11-08,OTHER,2799,182132,,,,,,,,,,,3.0,1.0,67.0,3330.0,-1.0
40,NixOS/nixpkgs,backups/x86_64-darwin@34171,2009-12-02,OTHER,2779,179923,,,,,,,,,,,104.0,38.0,269.0,5004.0,-1.0
41,NixOS/nixpkgs,backups/kernel-config@19023,2009-12-16,OTHER,2774,139620,,,,,,,,,,,50.0,13.0,123.0,44380.0,-1.0
42,NixOS/nixpkgs,0.13,2010-02-05,OTHER,2899,146278,,,,,,,,,,,351.0,83.0,644.0,12586.0,-1.0
43,NixOS/nixpkgs,backups/stdenv-updates@19858,2010-02-05,OTHER,2955,151849,,,,,,,,,,,176.0,72.0,456.0,12665.0,-1.0
44,NixOS/nixpkgs,backups/mass-update-01@31456,2010-05-03,OTHER,3098,272255,,,,,,,,,,,591.0,214.0,1444.0,142495.0,-1.0
45,NixOS/nixpkgs,backups/multitask-builds@34175,2010-06-19,OTHER,3205,277425,,,,,,,,,,,484.0,161.0,863.0,18360.0,-1.0
46,NixOS/nixpkgs,backups/x-updates@22736,2010-07-25,OTHER,3290,280490,1.0,58.0,2.0,42.0,1.0,1.0,58.0,1.0,1.0,1.0,204.0,57.0,390.0,6955.0,-1.0
47,NixOS/nixpkgs,backups/parallel-building-merger@34171,2010-08-06,OTHER,3293,165321,,,,,,,,,,,117.0,40.0,514.0,15007.0,-1.0
48,NixOS/nixpkgs,backups/stdenv-bootstrap-20100825@23426,2010-08-24,OTHER,3383,170007,,,,,,,,,,,237.0,73.0,520.0,6776.0,-1.0
49,NixOS/nixpkgs,backups/cve-2010-3856@34170,2010-11-30,OTHER,3665,181507,,,,,,,,,,,831.0,230.0,1596.0,35216.0,-1.0
50,NixOS/nixpkgs,backups/x-updates@26704,2011-03-15,OTHER,3948,193464,,,,,,,,,,,642.0,189.0,1374.0,26215.0,-1.0
51,NixOS/nixpkgs,backups/modular-python@26697,2011-04-05,OTHER,4042,197527,,,,,,,,,,,226.0,38.0,597.0,9483.0,-1.0
52,NixOS/nixpkgs,backups/stdenv-ada@26758,2011-04-06,OTHER,4037,196975,,,,,,,,,,,6.0,1.0,22.0,254.0,-1.0
53,NixOS/nixpkgs,backups/kde-4.7@34170,2011-08-03,OTHER,4268,208165,271.0,184.0,366.0,4704.0,11.0,85.0,184.0,151.0,1686.0,4.0,496.0,97.0,1016.0,18978.0,-1.0
54,NixOS/nixpkgs,backups/udev-173@28837,2011-08-18,OTHER,4422,213786,337.0,59.0,1264.0,13044.0,7.0,24.0,59.0,87.0,1515.0,1.0,1.0,,4.0,122.0,-1.0
55,NixOS/nixpkgs,backups/darwin-updates@34176,2011-08-31,OTHER,4466,215910,164.0,29.0,327.0,34634.0,10.0,16.0,29.0,19.0,287.0,1.0,2.0,4.0,1.0,2.0,-1.0
56,NixOS/nixpkgs,backups/pure-python@34174,2011-10-14,OTHER,4565,222828,366.0,95.0,548.0,9046.0,11.0,39.0,95.0,66.0,975.0,3.0,,,,,
57,NixOS/nixpkgs,backups/multiple-outputs-sandbox@34172,2011-11-06,OTHER,4609,223223,207.0,26.0,294.0,5725.0,10.0,28.0,26.0,40.0,688.0,3.0,,,,,
58,NixOS/nixpkgs,backups/drop-kde4.5@30929,2011-12-16,OTHER,4549,222249,312.0,88.0,416.0,6897.0,10.0,59.0,88.0,96.0,1292.0,3.0,95.0,17.0,253.0,5670.0,-1.0
59,NixOS/nixpkgs,backups/darwin-without-xcode@34172,2012-01-15,OTHER,4772,227513,240.0,57.0,324.0,4119.0,9.0,11.0,57.0,28.0,490.0,3.0,1.0,,5.0,58.0,-1.0
60,NixOS/nixpkgs,backups/glib-2.30@32938,2012-02-05,OTHER,4834,228862,215.0,61.0,319.0,2952.0,7.0,52.0,61.0,79.0,1328.0,4.0,16.0,,25.0,305.0,-1.0
61,NixOS/nixpkgs,backups/libpng15@32782,2012-03-04,OTHER,4895,231385,281.0,89.0,409.0,4824.0,9.0,29.0,89.0,51.0,836.0,3.0,70.0,3.0,605.0,3154.0,-1.0
62,NixOS/nixpkgs,backups/stdenv-updates@32824,2012-03-06,OTHER,4898,230266,19.0,71.0,35.0,275.0,4.0,3.0,71.0,3.0,10.0,1.0,148.0,63.0,1042.0,8040.0,-1.0
63,NixOS/nixpkgs,backups/kmod-MODULE_DIR@33576,2012-03-26,OTHER,4937,231651,149.0,82.0,867.0,7032.0,11.0,26.0,82.0,37.0,281.0,4.0,1.0,,15.0,293.0,-1.0
64,NixOS/nixpkgs,backups/glib-2.30-take2@33502,2012-03-31,OTHER,4947,232251,25.0,19.0,49.0,441.0,7.0,2.0,19.0,2.0,23.0,1.0,32.0,5.0,60.0,634.0,-1.0
65,NixOS/nixpkgs,backups/kmod-no-lib-modules@34172,2012-04-04,OTHER,4956,232630,25.0,14.0,81.0,541.0,7.0,,,,,,4.0,,4.0,38.0,-1.0
66,NixOS/nixpkgs,backups/stdenv-updates@34093,2012-05-10,OTHER,5004,234445,155.0,79.0,464.0,5424.0,11.0,52.0,79.0,103.0,1508.0,3.0,14.0,1.0,17.0,153.0,-1.0
67,NixOS/nixpkgs,0.14,2012-06-04,OTHER,5042,236382,32.0,50.0,86.0,747.0,7.0,3.0,50.0,8.0,650.0,3.0,100.0,40.0,188.0,2188.0,-1.0
68,NixOS/nixpkgs,binary,2013-02-04,OTHER,5418,245439,1351.0,720.0,2042.0,34888.0,23.0,70.0,720.0,159.0,3386.0,9.0,1837.0,374.0,2566.0,53500.0,-1.0
69,NixOS/nixpkgs,last-glibc-2.13,2013-03-07,OTHER,5524,259794,358.0,154.0,462.0,9358.0,15.0,8.0,154.0,25.0,407.0,2.0,141.0,52.0,211.0,1940.0,-1.0
70,NixOS/nixpkgs,v192,2015-09-22,OTHER,9026,802693,20109.0,9622.0,35689.0,1205374.0,148.0,487.0,9607.0,1328.0,24595.0,129.0,14525.0,3793.0,25990.0,606516.0,-1.0
71,NixOS/nixpkgs,15.09,2015-10-01,OTHER,9027,1307921,319.0,178.0,931.0,59743.0,17.0,1.0,178.0,2.0,31.0,1.0,43.0,30.0,73.0,1671.0,-1.0
72,NixOS/nixpkgs,15.09-beta,2015-10-04,OTHER,8975,790617,,,,,,,,,,,,,,,
73,NixOS/nixpkgs,v206,2015-10-20,OTHER,9372,1367011,1324.0,548.0,2406.0,101988.0,56.0,121.0,547.0,259.0,3892.0,43.0,819.0,212.0,1581.0,709284.0,-1.0
74,NixOS/nixpkgs,16.03-beta,2016-03-01,OTHER,9953,1723366,3769.0,1367.0,6310.0,553024.0,80.0,263.0,1367.0,389.0,11603.0,60.0,1976.0,396.0,5064.0,283744.0,-1.0
75,NixOS/nixpkgs,16.03,2016-03-31,OTHER,9973,1778211,259.0,172.0,596.0,75826.0,21.0,,,,,,44.0,16.0,226.0,3864.0,-1.0
76,NixOS/nixpkgs,release-16.03-start,2016-05-10,OTHER,9951,1723240,,,,,,,,,,,,,,,
77,NixOS/nixpkgs,black@2016-05-13,2016-05-13,OTHER,10320,1924126,2456.0,1138.0,3565.0,215395.0,71.0,174.0,1138.0,350.0,51671.0,55.0,1485.0,378.0,3408.0,111636.0,-1.0
78,NixOS/nixpkgs,16.09-beta,2016-09-01,OTHER,10952,1193763,3062.0,1412.0,7350.0,288464.0,76.0,35500.0,7118.0,2274.0,45645.0,55.0,2097.0,400.0,5495.0,296568.0,-1.0
79,NixOS/nixpkgs,16.09,2016-10-02,OTHER,10985,1189264,382.0,229.0,828.0,90583.0,27.0,297.0,867.0,2.0,6.0,2.0,16.0,17.0,43.0,22983.0,-1.0
80,NixOS/nixpkgs,17.03-beta,2017-02-27,OTHER,11703,1277782,3684.0,2076.0,6394.0,228523.0,78.0,108275.0,16170.0,4986.0,140545.0,73.0,3718.0,729.0,6007.0,296699.0,-1.0
81,NixOS/nixpkgs,17.03,2017-03-30,OTHER,11611,1281268,583.0,232.0,1002.0,30142.0,29.0,308.0,290.0,383.0,7777.0,3.0,32.0,3.0,143.0,4047.0,-1.0
82,NixOS/nixpkgs,17.09-beta,2017-08-30,OTHER,13140,1355492,3979.0,2356.0,7140.0,243284.0,73.0,124672.0,20512.0,4266.0,203863.0,47.0,3560.0,826.0,6835.0,317952.0,-1.0
