,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,nodejs/node,v0.0.2,2009-05-31,OTHER,1047,360609,,,,,,,,,,,9.0,3.0,10.0,247.0,-1.0
1,nodejs/node,v0.0.3,2009-06-11,OTHER,1072,367329,,,,,,,,,,,22.0,17.0,37.0,420.0,-1.0
2,nodejs/node,v0.0.4,2009-06-12,OTHER,1072,367520,,,,,,,,,,,3.0,2.0,9.0,93.0,-1.0
3,nodejs/node,v0.0.5,2009-06-18,OTHER,1075,372373,,,,,,,,,,,12.0,10.0,25.0,496.0,-1.0
4,nodejs/node,v0.0.6,2009-06-24,OTHER,1087,374589,,,,,,,,,,,21.0,15.0,226.0,1095.0,-1.0
5,nodejs/node,v0.1.0,2009-06-30,OTHER,1116,426671,,,,,,,,,,,22.0,10.0,115.0,2773.0,-1.0
6,nodejs/node,v0.1.1,2009-07-27,OTHER,1142,434295,,,,,,,,,,,29.0,16.0,81.0,1904.0,-1.0
7,nodejs/node,v0.1.2,2009-08-01,OTHER,1192,449602,,,,,,,,,,,7.0,4.0,59.0,9898.0,-1.0
8,nodejs/node,v0.1.3,2009-08-06,OTHER,1200,451449,,,,,,,,,,,6.0,7.0,12.0,439.0,-1.0
9,nodejs/node,v0.1.4,2009-08-13,OTHER,1204,458337,,,,,,,,,,,8.0,13.0,15.0,161.0,-1.0
10,nodejs/node,v0.1.5,2009-08-21,OTHER,1219,464797,,,,,,,,,,,5.0,7.0,20.0,181.0,-1.0
11,nodejs/node,v0.1.6,2009-08-22,OTHER,1219,464767,,,,,,,,,,,1.0,1.0,4.0,62.0,-1.0
12,nodejs/node,v0.1.7,2009-08-27,OTHER,1223,465626,,,,,,,,,,,18.0,8.0,152.0,3426.0,-1.0
13,nodejs/node,v0.1.8,2009-09-04,OTHER,1230,470296,,,,,,,,,,,19.0,10.0,56.0,1385.0,-1.0
14,nodejs/node,v0.1.9,2009-09-05,OTHER,1231,470367,,,,,,,,,,,3.0,1.0,7.0,48.0,-1.0
15,nodejs/node,v0.1.10,2009-09-11,OTHER,1244,476469,,,,,,,,,,,22.0,5.0,64.0,4871.0,-1.0
