,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,openstack/nova,2011.1rc1,2011-02-02,BUG,395,88137,,,,,,35.0,2494.0,83.0,1234.0,35.0,649.0,2285.0,1063.0,16877.0,-1.0
1,openstack/nova,2011.2gamma1,2011-04-08,BUG,608,147006,,,,,,24.0,1926.0,86.0,818.0,24.0,485.0,1834.0,722.0,11434.0,-1.0
2,openstack/nova,2011.2rc1,2011-04-14,BUG,614,147509,,,,,,,,,,,17.0,57.0,12.0,49.0,-1.0
3,openstack/nova,2011.2,2011-04-15,BUG,614,147509,,,,,,,,,,,,,,,
4,openstack/nova,diablo-1,2011-06-01,BUG,650,153657,,,,,,5.0,748.0,12.0,192.0,5.0,174.0,718.0,217.0,2531.0,-1.0
5,openstack/nova,diablo-2,2011-06-29,BUG,681,160437,,,,,,8.0,625.0,12.0,48.0,8.0,164.0,607.0,241.0,5121.0,-1.0
6,openstack/nova,diablo-3,2011-07-27,BUG,711,184073,,,,,,1.0,805.0,3.0,22.0,1.0,206.0,777.0,300.0,3949.0,-1.0
7,openstack/nova,diablo-4,2011-08-25,BUG,752,195417,,,,,,13.0,973.0,28.0,422.0,13.0,312.0,945.0,436.0,7834.0,-1.0
8,openstack/nova,2011.3,2011-09-22,BUG,806,207367,,,,,,,,,,,182.0,437.0,217.0,2712.0,-1.0
9,openstack/nova,essex-1,2011-11-09,BUG,711,215014,,,,,,91.0,827.0,57.0,843.0,91.0,116.0,540.0,120.0,2354.0,-1.0
10,openstack/nova,essex-2,2011-12-15,BUG,767,229968,,,,,,212.0,605.0,217.0,1826.0,212.0,3.0,9.0,7.0,67.0,-1.0
11,openstack/nova,2011.3.1,2012-01-19,BUG,810,208750,,,,,,,,,,,124.0,146.0,137.0,1647.0,-1.0
12,openstack/nova,essex-3,2012-01-26,BUG,856,252296,,,,,,502.0,2172.0,438.0,7248.0,502.0,143.0,621.0,149.0,2642.0,-1.0
13,openstack/nova,essex-4,2012-03-01,BUG,905,366104,,,,,,182.0,790.0,161.0,4845.0,182.0,126.0,274.0,129.0,2320.0,-1.0
14,openstack/nova,essex-rc1,2012-03-20,BUG,893,356377,,,,,,80.0,485.0,202.0,837.0,80.0,80.0,231.0,238.0,4355.0,-1.0
15,openstack/nova,essex-rc2,2012-04-02,BUG,894,360399,,,,,,65.0,150.0,70.0,1498.0,65.0,,,,,
16,openstack/nova,essex-rc3,2012-04-04,BUG,894,360518,,,,,,,,,,,,,,,
17,openstack/nova,essex-rc4,2012-04-04,BUG,893,360703,,,,,,4.0,5.0,8.0,108.0,4.0,,,,,
18,openstack/nova,2012.1,2012-04-05,BUG,893,360703,,,,,,,,,,,,,,,
19,openstack/nova,folsom-1,2012-05-24,BUG,778,333426,,,,,,228.0,1285.0,151.0,8016.0,228.0,27.0,100.0,41.0,1006.0,-1.0
20,openstack/nova,2012.1.1,2012-06-22,BUG,895,361707,,,,,,106.0,255.0,107.0,1994.0,106.0,15.0,22.0,25.0,278.0,-1.0
21,openstack/nova,folsom-2,2012-07-05,BUG,821,343615,,,,,,244.0,1845.0,153.0,8021.0,244.0,115.0,465.0,165.0,2037.0,-1.0
22,openstack/nova,2012.1.2,2012-08-10,BUG,895,362113,,,,,,132.0,335.0,121.0,2074.0,132.0,28.0,39.0,40.0,439.0,-1.0
23,openstack/nova,folsom-3,2012-08-17,BUG,833,351528,,,,,,393.0,3028.0,224.0,8979.0,393.0,204.0,988.0,278.0,3735.0,-1.0
24,openstack/nova,folsom-rc1,2012-09-20,BUG,1414,429479,,,,,,181.0,916.0,200.0,6297.0,181.0,49.0,229.0,67.0,1046.0,-1.0
25,openstack/nova,folsom-rc2,2012-09-25,BUG,1454,421764,,,,,,22.0,53.0,15.0,199.0,22.0,,,,,
26,openstack/nova,folsom-rc3,2012-09-26,BUG,1454,421812,,,,,,12.0,5.0,10.0,266.0,12.0,,,,,
27,openstack/nova,2012.2,2012-09-27,BUG,1454,421812,,,,,,,,,,,,,,,
28,openstack/nova,2012.1.3,2012-10-12,BUG,895,362396,,,,,,154.0,374.0,160.0,2660.0,154.0,28.0,40.0,40.0,439.0,-1.0
29,openstack/nova,grizzly-1,2012-11-23,BUG,1718,410464,,,,,,660.0,5012.0,418.0,13638.0,660.0,396.0,1829.0,531.0,8376.0,-1.0
30,openstack/nova,2012.2.1,2012-11-29,BUG,1454,423772,,,,,,76.0,226.0,104.0,3999.0,76.0,39.0,105.0,42.0,698.0,-1.0
31,openstack/nova,2012.2.2,2012-12-13,BUG,1454,423819,,,,,,,,,,,1.0,3.0,1.0,3.0,-1.0
32,openstack/nova,grizzly-2,2013-01-10,BUG,2107,438712,,,,,,113.0,1866.0,60.0,1636.0,113.0,273.0,1358.0,387.0,7293.0,-1.0
33,openstack/nova,2012.2.3,2013-01-31,BUG,1455,424114,,,,,,95.0,257.0,115.0,4133.0,95.0,45.0,117.0,49.0,800.0,-1.0
34,openstack/nova,2013.1.g3,2013-02-22,BUG,2322,484145,3.0,2528.0,3.0,38.0,3.0,430.0,3718.0,396.0,4640.0,430.0,374.0,1675.0,753.0,12603.0,-1.0
35,openstack/nova,2013.1.rc1,2013-03-20,BUG,2400,492262,1.0,412.0,1.0,70.0,1.0,328.0,962.0,400.0,6448.0,328.0,18.0,33.0,31.0,693.0,-1.0
36,openstack/nova,2013.1.rc2,2013-03-30,BUG,2412,492836,1.0,34.0,2.0,10.0,1.0,26.0,83.0,158.0,902.0,26.0,,,,,
37,openstack/nova,2013.1,2013-04-04,BUG,2412,492836,,,,,,,,,,,,,,,
38,openstack/nova,2012.2.4,2013-04-11,BUG,1455,424968,,,,,,111.0,321.0,156.0,4971.0,111.0,55.0,135.0,62.0,938.0,-1.0
39,openstack/nova,diablo-eol,2013-05-06,BUG,816,210557,,,,,,7.0,173.0,12.0,90.0,7.0,130.0,151.0,142.0,1670.0,-1.0
40,openstack/nova,essex-eol,2013-05-06,BUG,895,362696,,,,,,922.0,3824.0,989.0,15882.0,922.0,370.0,1162.0,548.0,9625.0,-1.0
41,openstack/nova,2013.1.1,2013-05-09,BUG,2412,493735,5.0,5324.0,6.0,118.0,5.0,1373.0,8809.0,1356.0,24478.0,1373.0,649.0,2950.0,1133.0,18121.0,-1.0
42,openstack/nova,2013.2.b1,2013-05-30,BUG,2580,707752,1.0,745.0,7.0,34.0,1.0,251.0,1471.0,313.0,4292.0,251.0,35.0,216.0,30.0,766.0,-1.0
43,openstack/nova,2013.1.2,2013-06-06,BUG,2414,494313,1.0,161.0,2.0,10.0,1.0,109.0,352.0,235.0,2268.0,109.0,8.0,35.0,8.0,88.0,-1.0
44,openstack/nova,2013.2.b2,2013-07-18,BUG,2786,824162,7.0,1781.0,15.0,82.0,7.0,643.0,3721.0,940.0,9517.0,643.0,47.0,319.0,53.0,1112.0,-1.0
45,openstack/nova,2013.1.3,2013-08-08,BUG,2416,496294,1.0,238.0,2.0,10.0,1.0,163.0,528.0,280.0,3396.0,163.0,8.0,35.0,8.0,88.0,-1.0
46,openstack/nova,2013.2.b3,2013-09-06,BUG,3055,918960,14.0,2827.0,37.0,858.0,14.0,1250.0,6217.0,1494.0,18695.0,1250.0,59.0,362.0,79.0,1428.0,-1.0
47,openstack/nova,2013.2.rc1,2013-10-03,BUG,3703,1052107,3.0,366.0,8.0,118.0,3.0,307.0,795.0,257.0,3502.0,307.0,13.0,59.0,28.0,325.0,-1.0
48,openstack/nova,2013.2.rc2,2013-10-12,BUG,3705,1052738,,,,,,21.0,51.0,33.0,600.0,21.0,,,,,
49,openstack/nova,2013.1.4,2013-10-17,BUG,2417,497708,1.0,272.0,2.0,10.0,1.0,202.0,604.0,307.0,3987.0,202.0,11.0,36.0,17.0,285.0,-1.0
50,openstack/nova,2013.2,2013-10-17,BUG,3705,1052738,,,,,,,,,,,,,,,
51,openstack/nova,folsom-eol,2013-11-19,BUG,1455,425141,,,,,,115.0,358.0,162.0,5125.0,115.0,55.0,139.0,62.0,938.0,-1.0
52,openstack/nova,2014.1.b1,2013-12-05,BUG,4074,1223574,22.0,6980.0,50.0,1092.0,22.0,2810.0,13727.0,2981.0,39622.0,2810.0,465.0,2136.0,891.0,15049.0,-1.0
53,openstack/nova,2013.2.1,2013-12-14,BUG,3709,1054179,,,,,,90.0,157.0,64.0,1306.0,90.0,,,,,
54,openstack/nova,2014.1.b2,2014-01-23,BUG,4000,1253362,1.0,1325.0,1.0,8.0,1.0,685.0,3226.0,617.0,9245.0,685.0,1.0,8.0,,0.0,-1.0
55,openstack/nova,2013.2.2,2014-02-13,BUG,3710,1055201,,,,,,125.0,238.0,89.0,1737.0,125.0,1.0,1.0,2.0,52.0,-1.0
56,openstack/nova,2014.1.b3,2014-03-06,BUG,3592,1298703,11.0,2177.0,25.0,527.0,11.0,1097.0,5234.0,1007.0,14507.0,1097.0,7.0,53.0,29.0,261.0,-1.0
