,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,openstack/nova,2011.1rc1,2011-02-02,,,,,,,,,,,,,
1,openstack/nova,2011.2gamma1,2011-04-08,,,,,,,,,,,,,
2,openstack/nova,2011.2rc1,2011-04-14,,,,,,,,,,,,,
3,openstack/nova,2011.2,2011-04-15,,,,,,,,,,,,,
4,openstack/nova,diablo-1,2011-06-01,,,,,,,,,,,,,
5,openstack/nova,diablo-2,2011-06-29,,,,,,,,,,,,,
6,openstack/nova,diablo-3,2011-07-27,,,,,,,,,,,,,
7,openstack/nova,diablo-4,2011-08-25,,,,,,,,,,,,,
8,openstack/nova,2011.3,2011-09-22,,,,,,,,,,,,,
9,openstack/nova,essex-1,2011-11-09,,,,,,,,,,,,,
10,openstack/nova,essex-2,2011-12-15,,,,,,,,,,,,,
11,openstack/nova,2011.3.1,2012-01-19,,,,,,,,,,,,,
12,openstack/nova,essex-3,2012-01-26,,,,,,,,,,,,,
13,openstack/nova,essex-4,2012-03-01,,,,,,,,,,,,,
14,openstack/nova,essex-rc1,2012-03-20,,,,,,,,,,,,,
15,openstack/nova,essex-rc2,2012-04-02,,,,,,,,,,,,,
16,openstack/nova,essex-rc3,2012-04-04,RELEASE,894.0,360518.0,2.0,10.0,2.0,27.0,0.0,5.0,24.0,4.0,54.0,2.0
17,openstack/nova,essex-rc4,2012-04-04,,,,,,,,,,,,,
18,openstack/nova,2012.1,2012-04-05,,,,,,,,,,,,,
19,openstack/nova,folsom-1,2012-05-24,RELEASE,778.0,333426.0,2.0,716.0,2.0,27.0,0.0,5.0,1547.0,4.0,54.0,2.0
20,openstack/nova,2012.1.1,2012-06-22,RELEASE,895.0,361707.0,2.0,175.0,2.0,27.0,0.0,5.0,373.0,4.0,54.0,2.0
21,openstack/nova,folsom-2,2012-07-05,RELEASE,821.0,343615.0,2.0,1252.0,2.0,27.0,0.0,5.0,2212.0,4.0,54.0,2.0
22,openstack/nova,2012.1.2,2012-08-10,RELEASE,895.0,362113.0,2.0,240.0,2.0,27.0,0.0,5.0,493.0,4.0,54.0,2.0
23,openstack/nova,folsom-3,2012-08-17,RELEASE,833.0,351528.0,2.0,2178.0,2.0,27.0,0.0,5.0,3639.0,4.0,54.0,2.0
24,openstack/nova,folsom-rc1,2012-09-20,,,,,,,,,,,,,
25,openstack/nova,folsom-rc2,2012-09-25,,,,,,,,,,,,,
26,openstack/nova,folsom-rc3,2012-09-26,,,,,,,,,,,,,
27,openstack/nova,2012.2,2012-09-27,,,,,,,,,,,,,
28,openstack/nova,2012.1.3,2012-10-12,RELEASE,895.0,362396.0,2.0,268.0,2.0,27.0,0.0,5.0,555.0,4.0,54.0,2.0
29,openstack/nova,grizzly-1,2012-11-23,RELEASE,1718.0,410464.0,2.0,3796.0,2.0,27.0,0.0,5.0,6099.0,4.0,54.0,2.0
30,openstack/nova,2012.2.1,2012-11-29,,,,,,,,,,,,,
31,openstack/nova,2012.2.2,2012-12-13,,,,,,,,,,,,,
32,openstack/nova,grizzly-2,2013-01-10,,,,,,,,,,,,,
33,openstack/nova,2012.2.3,2013-01-31,,,,,,,,,,,,,
34,openstack/nova,2013.1.g3,2013-02-22,,,,,,,,,,,,,
35,openstack/nova,2013.1.rc1,2013-03-20,RELEASE,2400.0,492262.0,2.0,569.0,1.0,2.0,0.0,7.0,1317.0,4.0,8.0,2.0
36,openstack/nova,2013.1.rc2,2013-03-30,,,,,,,,,,,,,
37,openstack/nova,2013.1,2013-04-04,,,,,,,,,,,,,
38,openstack/nova,2012.2.4,2013-04-11,,,,,,,,,,,,,
39,openstack/nova,diablo-eol,2013-05-06,,,,,,,,,,,,,
40,openstack/nova,essex-eol,2013-05-06,RELEASE,895.0,362696.0,2.0,3177.0,2.0,27.0,0.0,5.0,5164.0,4.0,54.0,2.0
41,openstack/nova,2013.1.1,2013-05-09,RELEASE,2412.0,493735.0,4.0,6562.0,3.0,29.0,0.0,12.0,10889.0,8.0,62.0,3.0
42,openstack/nova,2013.2.b1,2013-05-30,,,,,,,,,,,,,
43,openstack/nova,2013.1.2,2013-06-06,,,,,,,,,,,,,
44,openstack/nova,2013.2.b2,2013-07-18,,,,,,,,,,,,,
45,openstack/nova,2013.1.3,2013-08-08,,,,,,,,,,,,,
46,openstack/nova,2013.2.b3,2013-09-06,RELEASE,3055.0,918960.0,2.0,3430.0,3.0,5.0,0.0,6.0,7586.0,9.0,15.0,2.0
47,openstack/nova,2013.2.rc1,2013-10-03,,,,,,,,,,,,,
48,openstack/nova,2013.2.rc2,2013-10-12,,,,,,,,,,,,,
49,openstack/nova,2013.1.4,2013-10-17,,,,,,,,,,,,,
50,openstack/nova,2013.2,2013-10-17,,,,,,,,,,,,,
51,openstack/nova,folsom-eol,2013-11-19,,,,,,,,,,,,,
