,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,openstack/nova,2011.1rc1,2011-02-02,SUPPORT,395,88137,,,,,,,,,,,60.0,2874.0,135.0,6553.0,-1.0
1,openstack/nova,2011.2gamma1,2011-04-08,SUPPORT,608,147006,1.0,2330.0,1.0,10.0,1.0,1.0,2376.0,1.0,10.0,1.0,58.0,2261.0,138.0,90174.0,-1.0
2,openstack/nova,2011.2rc1,2011-04-14,SUPPORT,614,147509,,,,,,,,,,,,,,,
3,openstack/nova,2011.2,2011-04-15,SUPPORT,614,147509,,,,,,,,,,,,,,,
4,openstack/nova,diablo-1,2011-06-01,SUPPORT,650,153657,,,,,,2.0,899.0,3.0,138.0,1.0,28.0,864.0,59.0,1622.0,-1.0
5,openstack/nova,diablo-2,2011-06-29,SUPPORT,681,160437,,,,,,,,,,,17.0,754.0,33.0,683.0,-1.0
6,openstack/nova,diablo-3,2011-07-27,SUPPORT,711,184073,,,,,,,,,,,14.0,969.0,22.0,676.0,-1.0
7,openstack/nova,diablo-4,2011-08-25,SUPPORT,752,195417,,,,,,,,,,,16.0,1241.0,33.0,798.0,-1.0
8,openstack/nova,2011.3,2011-09-22,SUPPORT,806,207367,,,,,,,,,,,6.0,613.0,12.0,328.0,-1.0
9,openstack/nova,essex-1,2011-11-09,SUPPORT,711,215014,,,,,,10.0,1023.0,30.0,1269.0,4.0,8.0,648.0,25.0,840.0,-1.0
10,openstack/nova,essex-2,2011-12-15,SUPPORT,767,229968,,,,,,18.0,813.0,28.0,1771.0,6.0,,,,,
11,openstack/nova,2011.3.1,2012-01-19,SUPPORT,810,208750,,,,,,,,,,,3.0,267.0,1.0,1.0,-1.0
12,openstack/nova,essex-3,2012-01-26,SUPPORT,856,252296,,,,,,62.0,2775.0,151.0,10226.0,9.0,14.0,750.0,48.0,1823.0,-1.0
13,openstack/nova,essex-4,2012-03-01,SUPPORT,905,366104,,,,,,37.0,1058.0,58.0,4757.0,10.0,11.0,389.0,24.0,865.0,-1.0
14,openstack/nova,essex-rc1,2012-03-20,SUPPORT,893,356377,,,,,,5.0,642.0,6.0,146.0,2.0,2.0,309.0,2.0,13.0,-1.0
15,openstack/nova,essex-rc2,2012-04-02,SUPPORT,894,360399,,,,,,,,,,,,,,,
16,openstack/nova,essex-rc3,2012-04-04,SUPPORT,894,360518,,,,,,,,,,,,,,,
17,openstack/nova,essex-rc4,2012-04-04,SUPPORT,893,360703,,,,,,,,,,,,,,,
18,openstack/nova,2012.1,2012-04-05,SUPPORT,893,360703,,,,,,,,,,,,,,,
19,openstack/nova,folsom-1,2012-05-24,SUPPORT,778,333426,,,,,,21.0,1530.0,126.0,2450.0,5.0,1.0,126.0,,0.0,-1.0
20,openstack/nova,2012.1.1,2012-06-22,SUPPORT,895,361707,,,,,,,,,,,,,,,
21,openstack/nova,folsom-2,2012-07-05,SUPPORT,821,343615,,,,,,27.0,2181.0,129.0,2525.0,6.0,9.0,571.0,22.0,895.0,-1.0
22,openstack/nova,2012.1.2,2012-08-10,SUPPORT,895,362113,,,,,,,,,,,,,,,
23,openstack/nova,folsom-3,2012-08-17,SUPPORT,833,351528,,,,,,32.0,3587.0,133.0,2731.0,7.0,25.0,1167.0,63.0,3811.0,-1.0
24,openstack/nova,folsom-rc1,2012-09-20,SUPPORT,1414,429479,,,,,,8.0,1142.0,4.0,304.0,2.0,3.0,275.0,4.0,51.0,-1.0
25,openstack/nova,folsom-rc2,2012-09-25,SUPPORT,1454,421764,,,,,,,,,,,,,,,
26,openstack/nova,folsom-rc3,2012-09-26,SUPPORT,1454,421812,,,,,,,,,,,,,,,
27,openstack/nova,2012.2,2012-09-27,SUPPORT,1454,421812,,,,,,,,,,,,,,,
28,openstack/nova,2012.1.3,2012-10-12,SUPPORT,895,362396,,,,,,,,,,,,,,,
29,openstack/nova,grizzly-1,2012-11-23,SUPPORT,1718,410464,,,,,,44.0,6014.0,140.0,3215.0,9.0,46.0,2179.0,355.0,6137.0,-1.0
30,openstack/nova,2012.2.1,2012-11-29,SUPPORT,1454,423772,,,,,,,,,,,3.0,141.0,4.0,130.0,-1.0
31,openstack/nova,2012.2.2,2012-12-13,SUPPORT,1454,423819,,,,,,,,,,,,,,,
32,openstack/nova,grizzly-2,2013-01-10,SUPPORT,2107,438712,,,,,,4.0,2216.0,3.0,180.0,2.0,42.0,1589.0,604.0,4299.0,-1.0
33,openstack/nova,2012.2.3,2013-01-31,SUPPORT,1455,424114,,,,,,,,,,,3.0,159.0,4.0,130.0,-1.0
34,openstack/nova,2013.1.g3,2013-02-22,SUPPORT,2322,484145,,,,,,119.0,4367.0,171.0,7902.0,14.0,54.0,1995.0,633.0,5224.0,-1.0
35,openstack/nova,2013.1.rc1,2013-03-20,SUPPORT,2400,492262,,,,,,6.0,1316.0,9.0,141.0,2.0,2.0,49.0,3.0,12.0,-1.0
36,openstack/nova,2013.1.rc2,2013-03-30,SUPPORT,2412,492836,,,,,,,,,,,,,,,
37,openstack/nova,2013.1,2013-04-04,SUPPORT,2412,492836,,,,,,,,,,,,,,,
38,openstack/nova,2012.2.4,2013-04-11,SUPPORT,1455,424968,,,,,,,,,,,3.0,187.0,4.0,130.0,-1.0
39,openstack/nova,diablo-eol,2013-05-06,SUPPORT,816,210557,,,,,,,,,,,3.0,278.0,1.0,1.0,-1.0
40,openstack/nova,essex-eol,2013-05-06,SUPPORT,895,362696,,,,,,104.0,5037.0,215.0,15129.0,17.0,27.0,1505.0,74.0,2701.0,-1.0
41,openstack/nova,2013.1.1,2013-05-09,SUPPORT,2412,493735,,,,,,167.0,10641.0,321.0,11126.0,21.0,84.0,3515.0,703.0,9098.0,-1.0
42,openstack/nova,2013.2.b1,2013-05-30,SUPPORT,2580,707752,,,,,,43.0,1733.0,51.0,1987.0,8.0,2.0,249.0,2.0,22.0,-1.0
43,openstack/nova,2013.1.2,2013-06-06,SUPPORT,2414,494313,,,,,,11.0,461.0,10.0,390.0,3.0,,,,,
44,openstack/nova,2013.2.b2,2013-07-18,SUPPORT,2786,824162,2.0,2069.0,3.0,17.0,1.0,123.0,4330.0,214.0,9251.0,16.0,2.0,364.0,2.0,22.0,-1.0
45,openstack/nova,2013.1.3,2013-08-08,SUPPORT,2416,496294,,,,,,14.0,690.0,10.0,390.0,3.0,,,,,
46,openstack/nova,2013.2.b3,2013-09-06,SUPPORT,3055,918960,2.0,3305.0,3.0,17.0,1.0,293.0,7282.0,694.0,28245.0,32.0,4.0,417.0,5.0,78.0,-1.0
47,openstack/nova,2013.2.rc1,2013-10-03,SUPPORT,3703,1052107,,,,,,8.0,1126.0,60.0,1788.0,2.0,,,,,
48,openstack/nova,2013.2.rc2,2013-10-12,SUPPORT,3705,1052738,,,,,,6.0,67.0,3.0,36.0,2.0,,,,,
49,openstack/nova,2013.1.4,2013-10-17,SUPPORT,2417,497708,,,,,,14.0,812.0,10.0,390.0,3.0,,,,,
50,openstack/nova,2013.2,2013-10-17,SUPPORT,3705,1052738,,,,,,,,,,,,,,,
51,openstack/nova,folsom-eol,2013-11-19,SUPPORT,1455,425141,,,,,,,,,,,3.0,191.0,4.0,130.0,-1.0
52,openstack/nova,2014.1.b1,2013-12-05,SUPPORT,4074,1223574,2.0,8410.0,3.0,17.0,1.0,458.0,16610.0,962.0,38613.0,47.0,60.0,2541.0,641.0,5314.0,-1.0
53,openstack/nova,2013.2.1,2013-12-14,SUPPORT,3709,1054179,,,,,,6.0,257.0,3.0,36.0,2.0,,,,,
54,openstack/nova,2014.1.b2,2014-01-23,SUPPORT,4000,1253362,,,,,,65.0,3875.0,143.0,3346.0,8.0,,,,,
55,openstack/nova,2013.2.2,2014-02-13,SUPPORT,3710,1055201,,,,,,6.0,376.0,3.0,36.0,2.0,1.0,1.0,1.0,4.0,-1.0
56,openstack/nova,2014.1.b3,2014-03-06,SUPPORT,3592,1298703,,,,,,181.0,6201.0,361.0,9491.0,16.0,,,,,
57,openstack/nova,2013.1.5,2014-03-20,SUPPORT,2417,498238,,,,,,14.0,901.0,10.0,390.0,3.0,,,,,
58,openstack/nova,grizzly-eol,2014-03-29,SUPPORT,2417,498238,,,,,,,,,,,,,,,
59,openstack/nova,2014.1.rc1,2014-03-31,SUPPORT,3648,1393056,4.0,6852.0,24.0,1100.0,1.0,520.0,15742.0,1216.0,42680.0,48.0,4.0,553.0,5.0,78.0,-1.0
60,openstack/nova,2013.2.3,2014-04-03,SUPPORT,3710,1056420,,,,,,6.0,518.0,3.0,36.0,2.0,1.0,1.0,1.0,4.0,-1.0
61,openstack/nova,2014.1.rc2,2014-04-09,SUPPORT,3648,1313352,2.0,3053.0,21.0,1083.0,1.0,228.0,7380.0,471.0,12779.0,20.0,,,,,
62,openstack/nova,2014.1,2014-04-17,SUPPORT,3648,1313352,,,,,,,,,,,,,,,
63,openstack/nova,2014.1.1,2014-06-05,SUPPORT,3649,1313852,,,,,,,,,,,,,,,
64,openstack/nova,2014.2.b1,2014-06-11,SUPPORT,3649,443720,,,,,,37.0,1863.0,43.0,433.0,7.0,1.0,229.0,,0.0,-1.0
65,openstack/nova,2014.2.b2,2014-07-23,SUPPORT,3735,452368,,,,,,85.0,2098.0,118.0,5984.0,7.0,,,,,
66,openstack/nova,2014.1.2,2014-08-07,SUPPORT,3665,1315798,,,,,,12.0,371.0,9.0,132.0,2.0,,,,,
67,openstack/nova,2014.2.b3,2014-09-05,SUPPORT,3846,466077,,,,,,194.0,6194.0,270.0,9597.0,17.0,7.0,516.0,13.0,356.0,-1.0
68,openstack/nova,2013.2.4,2014-09-20,SUPPORT,3710,1058046,,,,,,6.0,764.0,3.0,36.0,2.0,1.0,48.0,1.0,4.0,-1.0
69,openstack/nova,havana-eol,2014-09-30,SUPPORT,3710,1058046,,,,,,,,,,,,,,,
70,openstack/nova,2014.2.rc1,2014-10-01,SUPPORT,3934,478729,4.0,6344.0,25.0,2459.0,2.0,450.0,14673.0,765.0,26971.0,37.0,26.0,764.0,114.0,3883.0,-1.0
71,openstack/nova,2014.1.3,2014-10-02,SUPPORT,3670,1317575,,,,,,18.0,611.0,12.0,156.0,3.0,,,,,
72,openstack/nova,2014.2.rc2,2014-10-10,SUPPORT,3927,474637,2.0,3323.0,4.0,1376.0,1.0,237.0,7380.0,309.0,14402.0,22.0,26.0,702.0,114.0,3883.0,-1.0
73,openstack/nova,2014.2,2014-10-16,SUPPORT,3927,474637,,,,,,,,,,,,,,,
74,openstack/nova,2014.2.1,2014-12-04,SUPPORT,3926,474853,,,,,,9.0,97.0,21.0,360.0,2.0,,,,,
75,openstack/nova,2015.1.0b1,2014-12-18,SUPPORT,4139,496252,3.0,1471.0,15.0,285.0,2.0,109.0,3145.0,177.0,2527.0,11.0,14.0,377.0,69.0,1668.0,-1.0
76,openstack/nova,2014.2.2,2015-02-05,SUPPORT,3927,475552,,,,,,12.0,193.0,24.0,540.0,3.0,,,,,
77,openstack/nova,2015.1.0b2,2015-02-05,SUPPORT,3231,481793,3.0,2280.0,15.0,285.0,2.0,194.0,5114.0,5549.0,120416.0,16.0,14.0,388.0,69.0,1668.0,-1.0
78,openstack/nova,2014.1.4,2015-03-13,SUPPORT,3671,1318920,,,,,,23.0,815.0,16.0,252.0,4.0,2.0,25.0,1.0,19.0,-1.0
79,openstack/nova,2015.1.0b3,2015-03-20,SUPPORT,3008,487237,6.0,6680.0,21.0,1683.0,2.0,499.0,15129.0,5922.0,136688.0,38.0,40.0,1105.0,183.0,5551.0,-1.0
80,openstack/nova,2014.2.3,2015-04-09,SUPPORT,3927,476539,,,,,,16.0,347.0,29.0,686.0,4.0,,,,,
81,openstack/nova,2015.1.0rc1,2015-04-10,SUPPORT,2868,489207,4.0,3676.0,17.0,307.0,2.0,272.0,8525.0,5618.0,122351.0,24.0,14.0,416.0,69.0,1668.0,-1.0
82,openstack/nova,2015.1.0rc2,2015-04-23,SUPPORT,2862,480583,,,,,,,,,,,,,,,
83,openstack/nova,2015.1.0rc3,2015-04-28,SUPPORT,2862,480630,,,,,,,,,,,,,,,
84,openstack/nova,2015.1.0,2015-04-30,SUPPORT,2862,480630,,,,,,,,,,,,,,,
85,openstack/nova,12.0.0a0,2015-06-17,SUPPORT,2557,471273,2.0,905.0,82.0,3203.0,2.0,90.0,2185.0,352.0,8681.0,11.0,4.0,31.0,6.0,102.0,-1.0
