,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,openstack/nova,2011.1rc1,2011-02-02,UPGRADE,395,88137,,,,,,,,,,,20.0,2914.0,114.0,4592.0,-1.0
1,openstack/nova,2011.2gamma1,2011-04-08,UPGRADE,608,147006,,,,,,,,,,,6.0,2313.0,16.0,73.0,-1.0
2,openstack/nova,2011.2rc1,2011-04-14,UPGRADE,614,147509,,,,,,,,,,,2.0,72.0,2.0,30.0,-1.0
3,openstack/nova,2011.2,2011-04-15,UPGRADE,614,147509,,,,,,,,,,,,,,,
4,openstack/nova,diablo-1,2011-06-01,UPGRADE,650,153657,,,,,,,,,,,6.0,886.0,7.0,22.0,-1.0
5,openstack/nova,diablo-2,2011-06-29,UPGRADE,681,160437,,,,,,,,,,,2.0,769.0,1.0,8.0,-1.0
6,openstack/nova,diablo-3,2011-07-27,UPGRADE,711,184073,,,,,,,,,,,,,,,
7,openstack/nova,diablo-4,2011-08-25,UPGRADE,752,195417,,,,,,,,,,,3.0,1254.0,1.0,30.0,-1.0
8,openstack/nova,2011.3,2011-09-22,UPGRADE,806,207367,,,,,,,,,,,1.0,618.0,1.0,4.0,-1.0
9,openstack/nova,essex-1,2011-11-09,UPGRADE,711,215014,1.0,836.0,1.0,3.0,1.0,6.0,1028.0,3.0,9.0,2.0,8.0,648.0,6.0,92.0,-1.0
10,openstack/nova,essex-2,2011-12-15,UPGRADE,767,229968,,,,,,7.0,823.0,4.0,36.0,2.0,,,,,
11,openstack/nova,2011.3.1,2012-01-19,UPGRADE,810,208750,,,,,,,,,,,,,,,
12,openstack/nova,essex-3,2012-01-26,UPGRADE,856,252296,3.0,1727.0,3.0,14.0,1.0,27.0,2817.0,17.0,84.0,4.0,8.0,756.0,6.0,92.0,-1.0
13,openstack/nova,essex-4,2012-03-01,UPGRADE,905,366104,,,,,,,,,,,,,,,
14,openstack/nova,essex-rc1,2012-03-20,UPGRADE,893,356377,,,,,,,,,,,,,,,
15,openstack/nova,essex-rc2,2012-04-02,UPGRADE,894,360399,,,,,,,,,,,,,,,
16,openstack/nova,essex-rc3,2012-04-04,UPGRADE,894,360518,,,,,,,,,,,,,,,
17,openstack/nova,essex-rc4,2012-04-04,UPGRADE,893,360703,,,,,,,,,,,,,,,
18,openstack/nova,2012.1,2012-04-05,UPGRADE,893,360703,,,,,,,,,,,,,,,
19,openstack/nova,folsom-1,2012-05-24,UPGRADE,778,333426,,,,,,,,,,,,,,,
20,openstack/nova,2012.1.1,2012-06-22,UPGRADE,895,361707,,,,,,,,,,,,,,,
21,openstack/nova,folsom-2,2012-07-05,UPGRADE,821,343615,,,,,,,,,,,,,,,
22,openstack/nova,2012.1.2,2012-08-10,UPGRADE,895,362113,,,,,,,,,,,,,,,
