,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,npm/npm,v0.0.2,2010-02-28,BUG,22,1131,,,,,,,,,,,,,,,
1,npm/npm,v0.0.3,2010-03-01,BUG,25,1288,,,,,,,,,,,5.0,16.0,5.0,29.0,-1.0
2,npm/npm,v0.0.4,2010-03-05,BUG,25,1699,,,,,,,,,,,4.0,50.0,5.0,49.0,-1.0
3,npm/npm,v0.0.5,2010-03-21,BUG,29,2066,,,,,,,,,,,,,,,
4,npm/npm,v0.0.6,2010-03-25,BUG,35,2788,,,,,,,,,,,,,,,
5,npm/npm,v0.0.7,2010-05-02,BUG,56,3411,,,,,,,,,,,5.0,90.0,5.0,160.0,-1.0
6,npm/npm,v0.1.0,2010-05-03,BUG,57,3468,,,,,,,,,,,1.0,16.0,1.0,10.0,-1.0
7,npm/npm,v0.1.1,2010-05-03,BUG,57,3476,,,,,,,,,,,1.0,4.0,1.0,2.0,-1.0
8,npm/npm,v0.1.2,2010-05-03,BUG,76,4826,,,,,,,,,,,,,,,
9,npm/npm,v0.1.3,2010-05-05,BUG,77,4788,,,,,,,,,,,1.0,22.0,4.0,20.0,-1.0
10,npm/npm,v0.1.4,2010-05-05,BUG,77,4884,,,,,,,,,,,1.0,6.0,1.0,3.0,-1.0
11,npm/npm,v0.1.5,2010-05-05,BUG,77,4892,,,,,,,,,,,,,,,
12,npm/npm,v0.1.6,2010-05-10,BUG,81,5239,,,,,,,,,,,2.0,26.0,2.0,73.0,-1.0
13,npm/npm,v0.1.7,2010-05-10,BUG,81,5243,,,,,,,,,,,1.0,1.0,1.0,6.0,-1.0
14,npm/npm,v0.1.8,2010-05-11,BUG,92,5482,,,,,,,,,,,1.0,14.0,1.0,7.0,-1.0
15,npm/npm,v0.1.9,2010-05-13,BUG,92,5540,,,,,,,,,,,1.0,10.0,1.0,73.0,-1.0
16,npm/npm,v0.1.10,2010-05-14,BUG,96,6379,,,,,,,,,,,1.0,18.0,1.0,1.0,-1.0
17,npm/npm,v0.1.11,2010-05-19,BUG,96,6458,,,,,,,,,,,3.0,21.0,3.0,18.0,-1.0
18,npm/npm,v0.1.13,2010-05-26,BUG,96,6508,,,,,,,,,,,1.0,1.0,1.0,4.0,-1.0
19,npm/npm,v0.1.12,2010-05-26,BUG,96,6508,,,,,,,,,,,,,,,
20,npm/npm,v0.1.15,2010-06-08,BUG,105,6571,,,,,,,,,,,1.0,1.0,1.0,2.0,-1.0
21,npm/npm,v0.1.14,2010-06-08,BUG,105,6571,,,,,,,,,,,1.0,20.0,1.0,4.0,-1.0
22,npm/npm,v0.1.16,2010-06-10,BUG,105,6609,,,,,,,,,,,3.0,10.0,5.0,30.0,-1.0
23,npm/npm,v0.1.17,2010-06-16,BUG,106,6677,,,,,,,,,,,1.0,10.0,1.0,2.0,-1.0
24,npm/npm,v0.1.18,2010-07-03,BUG,114,6983,,,,,,,,,,,6.0,16.0,10.0,442.0,-1.0
25,npm/npm,v0.1.19,2010-07-06,BUG,124,7280,,,,,,,,,,,4.0,38.0,7.0,130.0,-1.0
26,npm/npm,v0.1.20,2010-07-19,BUG,129,7406,,,,,,,,,,,7.0,39.0,7.0,509.0,-1.0
27,npm/npm,v0.1.21,2010-07-30,BUG,132,7815,,,,,,,,,,,28.0,120.0,39.0,1018.0,-1.0
