,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,npm/npm,v0.0.2,2010-02-28,OTHER,22.0,1131.0,,,,,,,,,,,52.0,10.0,61.0,1493.0,-1.0
1,npm/npm,v0.0.3,2010-03-01,OTHER,25.0,1288.0,,,,,,,,,,,13.0,8.0,21.0,167.0,-1.0
2,npm/npm,v0.0.4,2010-03-05,OTHER,25.0,1699.0,,,,,,,,,,,35.0,19.0,42.0,402.0,-1.0
3,npm/npm,v0.0.5,2010-03-21,OTHER,29.0,2066.0,,,,,,,,,,,24.0,5.0,39.0,802.0,-1.0
4,npm/npm,v0.0.6,2010-03-25,OTHER,35.0,2788.0,,,,,,,,,,,31.0,3.0,60.0,949.0,-1.0
5,npm/npm,v0.0.7,2010-05-02,OTHER,56.0,3411.0,,,,,,,,,,,54.0,41.0,93.0,2748.0,-1.0
6,npm/npm,v0.1.0,2010-05-03,OTHER,57.0,3468.0,,,,,,,,,,,13.0,4.0,13.0,100.0,-1.0
7,npm/npm,v0.1.1,2010-05-03,OTHER,57.0,3476.0,,,,,,,,,,,3.0,2.0,3.0,66.0,-1.0
8,npm/npm,v0.1.2,2010-05-03,OTHER,76.0,4826.0,,,,,,,,,,,3.0,2.0,4.0,20.0,-1.0
9,npm/npm,v0.1.3,2010-05-05,OTHER,77.0,4788.0,,,,,,,,,,,19.0,4.0,22.0,374.0,-1.0
10,npm/npm,v0.1.4,2010-05-05,OTHER,77.0,4884.0,,,,,,,,,,,4.0,3.0,5.0,35.0,-1.0
11,npm/npm,v0.1.5,2010-05-05,OTHER,77.0,4892.0,,,,,,,,,,,5.0,,6.0,18.0,-1.0
12,npm/npm,v0.1.6,2010-05-10,OTHER,81.0,5239.0,,,,,,,,,,,20.0,8.0,29.0,554.0,-1.0
13,npm/npm,v0.1.7,2010-05-10,OTHER,81.0,5243.0,,,,,,,,,,,1.0,1.0,3.0,6.0,-1.0
14,npm/npm,v0.1.8,2010-05-11,OTHER,92.0,5482.0,,,,,,,,,,,9.0,6.0,9.0,43.0,-1.0
15,npm/npm,v0.1.9,2010-05-13,OTHER,92.0,5540.0,,,,,,,,,,,8.0,3.0,12.0,75.0,-1.0
16,npm/npm,v0.1.10,2010-05-14,OTHER,96.0,6379.0,,,,,,,,,,,11.0,8.0,19.0,483.0,-1.0
17,npm/npm,v0.1.11,2010-05-19,OTHER,96.0,6458.0,,,,,,,,,,,17.0,7.0,18.0,148.0,-1.0
18,npm/npm,v0.1.13,2010-05-26,OTHER,96.0,6508.0,,,,,,,,,,,1.0,1.0,2.0,4.0,-1.0
19,npm/npm,v0.1.12,2010-05-26,OTHER,96.0,6508.0,,,,,,,,,,,5.0,3.0,6.0,83.0,-1.0
20,npm/npm,v0.1.15,2010-06-08,OTHER,105.0,6571.0,,,,,,,,,,,1.0,1.0,3.0,6.0,-1.0
21,npm/npm,v0.1.14,2010-06-08,OTHER,105.0,6571.0,,,,,,,,,,,18.0,3.0,37.0,1235.0,-1.0
22,npm/npm,v0.1.16,2010-06-10,OTHER,105.0,6609.0,,,,,,,,,,,9.0,4.0,13.0,58.0,-1.0
23,npm/npm,v0.1.17,2010-06-16,OTHER,106.0,6677.0,,,,,,,,,,,8.0,3.0,13.0,104.0,-1.0
24,npm/npm,v0.1.18,2010-07-03,OTHER,114.0,6983.0,,,,,,,,,,,12.0,10.0,25.0,287.0,-1.0
25,npm/npm,v0.1.19,2010-07-06,OTHER,124.0,7280.0,,,,,,,,,,,30.0,12.0,66.0,1389.0,-1.0
26,npm/npm,v0.1.20,2010-07-19,OTHER,129.0,7406.0,,,,,,,,,,,33.0,13.0,48.0,514.0,-1.0
27,npm/npm,v0.1.21,2010-07-30,OTHER,132.0,7815.0,,,,,,,,,,,103.0,45.0,164.0,2717.0,-1.0
28,npm/npm,v0.1.22,2010-07-31,,,,,,,,,,,,,,,,,,
29,npm/npm,v0.1.23,2010-08-07,OTHER,139.0,8769.0,,,,,,,,,,,57.0,21.0,78.0,1480.0,-1.0
30,npm/npm,v0.1.24,2010-08-10,OTHER,142.0,8797.0,,,,,,,,,,,18.0,7.0,24.0,245.0,-1.0
31,npm/npm,v0.1.25,2010-08-10,OTHER,142.0,8800.0,,,,,,,,,,,2.0,1.0,2.0,11.0,-1.0
