,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,npm/npm,v0.0.2,2010-02-28,RELEASE,22,1131,,,,,,,,,,,,,,,
1,npm/npm,v0.0.3,2010-03-01,RELEASE,25,1288,,,,,,,,,,,,,,,
2,npm/npm,v0.0.4,2010-03-05,RELEASE,25,1699,,,,,,,,,,,,,,,
3,npm/npm,v0.0.5,2010-03-21,RELEASE,29,2066,,,,,,,,,,,,,,,
4,npm/npm,v0.0.6,2010-03-25,RELEASE,35,2788,,,,,,,,,,,,,,,
5,npm/npm,v0.0.7,2010-05-02,RELEASE,56,3411,,,,,,,,,,,,,,,
6,npm/npm,v0.1.0,2010-05-03,RELEASE,57,3468,,,,,,,,,,,,,,,
7,npm/npm,v0.1.1,2010-05-03,RELEASE,57,3476,,,,,,,,,,,,,,,
8,npm/npm,v0.1.2,2010-05-03,RELEASE,76,4826,,,,,,,,,,,,,,,
9,npm/npm,v0.1.3,2010-05-05,RELEASE,77,4788,,,,,,,,,,,,,,,
10,npm/npm,v0.1.4,2010-05-05,RELEASE,77,4884,,,,,,,,,,,,,,,
11,npm/npm,v0.1.5,2010-05-05,RELEASE,77,4892,,,,,,,,,,,,,,,
12,npm/npm,v0.1.6,2010-05-10,RELEASE,81,5239,,,,,,,,,,,,,,,
13,npm/npm,v0.1.7,2010-05-10,RELEASE,81,5243,,,,,,,,,,,,,,,
14,npm/npm,v0.1.8,2010-05-11,RELEASE,92,5482,,,,,,,,,,,,,,,
15,npm/npm,v0.1.9,2010-05-13,RELEASE,92,5540,,,,,,,,,,,,,,,
16,npm/npm,v0.1.10,2010-05-14,RELEASE,96,6379,,,,,,,,,,,,,,,
17,npm/npm,v0.1.11,2010-05-19,RELEASE,96,6458,,,,,,,,,,,,,,,
18,npm/npm,v0.1.13,2010-05-26,RELEASE,96,6508,,,,,,,,,,,,,,,
19,npm/npm,v0.1.12,2010-05-26,RELEASE,96,6508,,,,,,,,,,,,,,,
20,npm/npm,v0.1.15,2010-06-08,RELEASE,105,6571,,,,,,,,,,,,,,,
21,npm/npm,v0.1.14,2010-06-08,RELEASE,105,6571,,,,,,,,,,,,,,,
22,npm/npm,v0.1.16,2010-06-10,RELEASE,105,6609,,,,,,,,,,,,,,,
23,npm/npm,v0.1.17,2010-06-16,RELEASE,106,6677,,,,,,,,,,,,,,,
24,npm/npm,v0.1.18,2010-07-03,RELEASE,114,6983,,,,,,,,,,,,,,,
25,npm/npm,v0.1.19,2010-07-06,RELEASE,124,7280,,,,,,,,,,,,,,,
26,npm/npm,v0.1.20,2010-07-19,RELEASE,129,7406,,,,,,,,,,,,,,,
27,npm/npm,v0.1.21,2010-07-30,RELEASE,132,7815,,,,,,,,,,,,,,,
28,npm/npm,v0.1.22,2010-07-31,RELEASE,132,7815,,,,,,,,,,,,,,,
29,npm/npm,v0.1.23,2010-08-07,RELEASE,139,8769,,,,,,,,,,,,,,,
30,npm/npm,v0.1.24,2010-08-10,RELEASE,142,8797,,,,,,,,,,,,,,,
31,npm/npm,v0.1.25,2010-08-10,RELEASE,142,8800,,,,,,,,,,,,,,,
32,npm/npm,v0.1.26,2010-08-22,RELEASE,143,9152,,,,,,,,,,,,,,,
33,npm/npm,v0.1.27,2010-08-25,RELEASE,155,10235,,,,,,,,,,,,,,,
34,npm/npm,0.1.27,2010-08-25,RELEASE,155,10235,,,,,,,,,,,,,,,
35,npm/npm,v0.1.27-1,2010-08-26,RELEASE,155,10244,,,,,,,,,,,,,,,
36,npm/npm,v0.1.27-2,2010-08-26,RELEASE,155,10245,,,,,,,,,,,,,,,
37,npm/npm,v0.1.27-3,2010-08-26,RELEASE,155,10248,,,,,,,,,,,,,,,
38,npm/npm,v0.1.27-4,2010-08-26,RELEASE,155,10251,,,,,,,,,,,,,,,
