,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,dotnet/orleans,v1.0.1,2015-02-09,,,,,,,,,,,,,,,,,,
1,dotnet/orleans,v1.0.3_NuGets,2015-02-27,BUG,904.0,134305.0,5.0,88.0,8.0,27.0,5.0,1.0,88.0,,0.0,1.0,7.0,42.0,31.0,349.0,-1.0
2,dotnet/orleans,Vsix-Templates-NuGet,2015-03-21,BUG,1001.0,170670.0,10.0,108.0,7.0,57.0,10.0,,,,,,12.0,55.0,29.0,326.0,-1.0
3,dotnet/orleans,Template-NuGets-Restructure,2015-03-21,,,,,,,,,,,,,,,,,,
4,dotnet/orleans,PostBuild.cmd,2015-03-23,,,,,,,,,,,,,,,,,,
5,dotnet/orleans,v1.0.5.corrected,2015-03-30,,,,,,,,,,,,,,,,,,
6,dotnet/orleans,v1.0.5,2015-03-30,,,,,,,,,,,,,,,,,,
7,dotnet/orleans,v1.0.7,2015-05-15,BUG,1037.0,172761.0,13.0,190.0,2.0,10.0,13.0,,,,,,20.0,103.0,399.0,1761.0,-1.0
8,dotnet/orleans,v1.0.8,2015-05-26,BUG,1049.0,173531.0,3.0,54.0,2.0,8.0,3.0,,,,,,4.0,25.0,8.0,53.0,-1.0
9,dotnet/orleans,orleans_1.0.8_baseline,2015-06-19,,,,,,,,,,,,,,,,,,
10,dotnet/orleans,v1.0.9,2015-07-09,BUG,1114.0,184709.0,14.0,210.0,1.0,3.0,14.0,3.0,210.0,3.0,8.0,3.0,26.0,102.0,86.0,967.0,-1.0
11,dotnet/orleans,geo-merge-baseline,2015-08-18,BUG,1181.0,188661.0,12.0,134.0,22.0,385.0,12.0,2.0,134.0,2.0,4.0,2.0,12.0,48.0,46.0,777.0,-1.0
12,dotnet/orleans,v1.0.10,2015-09-22,BUG,1195.0,189534.0,11.0,163.0,6.0,221.0,11.0,3.0,163.0,38.0,87.0,3.0,12.0,80.0,30.0,337.0,-1.0
13,dotnet/orleans,v1.1.0-beta1,2015-11-03,BUG,1255.0,196615.0,13.0,211.0,23.0,555.0,13.0,2.0,209.0,2.0,16.0,2.0,21.0,106.0,108.0,1188.0,-1.0
14,dotnet/orleans,v1.1.0-beta2,2015-12-02,BUG,1379.0,210700.0,7.0,123.0,1.0,1.0,7.0,3.0,123.0,5.0,61.0,3.0,12.0,68.0,45.0,2587.0,-1.0
15,dotnet/orleans,1.1.0,2015-12-10,,,,1.0,5.0,66.0,595.0,1.0,,,,,,,,,,
16,dotnet/orleans,v1.1.0,2015-12-14,,,,,,,,,,,,,,,,,,
17,dotnet/orleans,1.1.0-VSIX,2015-12-17,,,,,,,,,,,,,,,,,,
18,dotnet/orleans,v1.1.1,2016-01-11,,,,,,,,,,,,,,,,,,
19,dotnet/orleans,v1.1.2,2016-01-19,BUG,1381.0,211358.0,,,,,,,,,,,7.0,13.0,25.0,492.0,-1.0
20,dotnet/orleans,v1.1.3,2016-03-09,BUG,1379.0,211465.0,4.0,16.0,7.0,170.0,4.0,,,,,,3.0,8.0,16.0,68.0,-1.0
