,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,dotnet/orleans,v1.0.1,2015-02-09,RELEASE,853,129442,,,,,,,,,,,,,,,
1,dotnet/orleans,v1.0.3_NuGets,2015-02-27,RELEASE,904,134305,,,,,,,,,,,2.0,47.0,13.0,994.0,-1.0
2,dotnet/orleans,Vsix-Templates-NuGet,2015-03-21,RELEASE,1001,170670,,,,,,,,,,,,,,,
3,dotnet/orleans,Template-NuGets-Restructure,2015-03-21,RELEASE,1003,170925,,,,,,,,,,,,,,,
4,dotnet/orleans,PostBuild.cmd,2015-03-23,RELEASE,1001,170670,,,,,,,,,,,,,,,
5,dotnet/orleans,v1.0.5.corrected,2015-03-30,RELEASE,1001,170670,,,,,,,,,,,,,,,
6,dotnet/orleans,v1.0.5,2015-03-30,RELEASE,1001,170670,,,,,,,,,,,,,,,
7,dotnet/orleans,v1.0.7,2015-05-15,RELEASE,1037,172761,,,,,,,,,,,,,,,
8,dotnet/orleans,v1.0.8,2015-05-26,RELEASE,1049,173531,,,,,,,,,,,,,,,
9,dotnet/orleans,orleans_1.0.8_baseline,2015-06-19,RELEASE,1049,173531,,,,,,,,,,,,,,,
10,dotnet/orleans,v1.0.9,2015-07-09,RELEASE,1114,184709,,,,,,,,,,,,,,,
11,dotnet/orleans,geo-merge-baseline,2015-08-18,RELEASE,1181,188661,,,,,,,,,,,,,,,
12,dotnet/orleans,v1.0.10,2015-09-22,RELEASE,1195,189534,,,,,,,,,,,,,,,
13,dotnet/orleans,v1.1.0-beta1,2015-11-03,RELEASE,1255,196615,,,,,,,,,,,,,,,
14,dotnet/orleans,v1.1.0-beta2,2015-12-02,RELEASE,1379,210700,,,,,,,,,,,,,,,
15,dotnet/orleans,1.1.0,2015-12-10,RELEASE,1379,210548,1.0,5.0,1.0,2.0,1.0,,,,,,,,,,
16,dotnet/orleans,v1.1.0,2015-12-14,RELEASE,1379,210548,,,,,,,,,,,,,,,
17,dotnet/orleans,1.1.0-VSIX,2015-12-17,RELEASE,1375,210464,,,,,,,,,,,,,,,
18,dotnet/orleans,v1.1.1,2016-01-11,RELEASE,1375,210521,,,,,,,,,,,1.0,1.0,3.0,14.0,-1.0
19,dotnet/orleans,v1.1.2,2016-01-19,RELEASE,1381,211358,,,,,,,,,,,1.0,19.0,3.0,10.0,-1.0
20,dotnet/orleans,v1.1.3,2016-03-09,RELEASE,1379,211465,,,,,,,,,,,,,,,
21,dotnet/orleans,v1.2.0-beta,2016-04-18,RELEASE,1767,240507,,,,,,,,,,,1.0,344.0,3.0,6.0,-1.0
22,dotnet/orleans,v1.2.0-beta-vsix,2016-04-28,RELEASE,1767,240507,,,,,,,,,,,,,,,
23,dotnet/orleans,v1.2.0,2016-05-02,RELEASE,1768,240614,,,,,,,,,,,,,,,
24,dotnet/orleans,orleans-query-fork,2016-05-04,RELEASE,1736,238708,,,,,,,,,,,,,,,
25,dotnet/orleans,v1.2.1,2016-05-18,RELEASE,1768,240709,,,,,,,,,,,,,,,
26,dotnet/orleans,1.2.2,2016-06-07,RELEASE,1770,240970,,,,,,,,,,,,,,,
27,dotnet/orleans,v1.2.2,2016-06-14,RELEASE,1770,240970,,,,,,,,,,,,,,,
28,dotnet/orleans,v1.2.3,2016-07-11,RELEASE,1780,242699,,,,,,,,,,,,,,,
29,dotnet/orleans,v1.3.0-beta1,2016-07-27,RELEASE,1784,245758,1.0,264.0,2.0,44.0,1.0,,,,,,,,,,
