,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,jgm/pandoc,1.0.0.1,2008-09-14,BUG,186,39170,,,,,,,,,,,,,,,
1,jgm/pandoc,1.2.1,2009-07-18,BUG,205,40915,,,,,,,,,,,19.0,131.0,31.0,663.0,-1.0
2,jgm/pandoc,1.3,2009-12-11,BUG,207,42012,,,,,,,,,,,7.0,56.0,14.0,140.0,-1.0
3,jgm/pandoc,1.5,2010-03-20,BUG,181,43133,,,,,,,,,,,22.0,242.0,40.0,854.0,-1.0
4,jgm/pandoc,1.5.0.1,2010-03-21,BUG,181,43142,,,,,,,,,,,2.0,2.0,2.0,12.0,-1.0
5,jgm/pandoc,1.5.1,2010-03-23,BUG,181,43195,,,,,,,,,,,1.0,17.0,3.0,52.0,-1.0
6,jgm/pandoc,1.5.1.1,2010-03-29,BUG,181,43205,,,,,,,,,,,1.0,2.0,1.0,67.0,-1.0
7,jgm/pandoc,1.6,2010-07-24,BUG,191,43593,,,,,,,,,,,2.0,101.0,2.0,8.0,-1.0
8,jgm/pandoc,1.8,2011-01-30,BUG,229,50592,1.0,381.0,1.0,8.0,1.0,,,,,,56.0,362.0,88.0,1264.0,-1.0
9,jgm/pandoc,1.8.0.1,2011-01-31,BUG,229,50609,,,,,,,,,,,1.0,3.0,1.0,2.0,-1.0
10,jgm/pandoc,1.8.0.3,2011-02-05,BUG,229,49943,,,,,,,,,,,4.0,23.0,7.0,36.0,-1.0
11,jgm/pandoc,1.8.1,2011-02-13,BUG,229,49993,,,,,,,,,,,2.0,11.0,2.0,19.0,-1.0
12,jgm/pandoc,1.8.1.1,2011-02-13,BUG,229,50000,,,,,,,,,,,1.0,1.0,1.0,4.0,-1.0
13,jgm/pandoc,1.8.1.2,2011-07-16,BUG,230,50354,,,,,,,,,,,7.0,46.0,11.0,143.0,-1.0
14,jgm/pandoc,1.8.2,2011-07-30,BUG,217,50960,,,,,,,,,,,7.0,71.0,10.0,432.0,-1.0
15,jgm/pandoc,1.8.2.1,2011-08-01,BUG,217,50971,,,,,,,,,,,,,,,
16,jgm/pandoc,1.9,2012-02-05,BUG,226,55002,1.0,344.0,1.0,7.0,1.0,,,,,,46.0,325.0,60.0,766.0,-1.0
