,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,jgm/pandoc,1.0.0.1,2008-09-14,REFACTOR,186,39170,,,,,,,,,,,,,,,
1,jgm/pandoc,1.2.1,2009-07-18,REFACTOR,205,40915,,,,,,,,,,,,,,,
2,jgm/pandoc,1.3,2009-12-11,REFACTOR,207,42012,,,,,,,,,,,,,,,
3,jgm/pandoc,1.5,2010-03-20,REFACTOR,181,43133,,,,,,,,,,,2.0,262.0,7.0,118.0,-1.0
4,jgm/pandoc,1.5.0.1,2010-03-21,REFACTOR,181,43142,,,,,,,,,,,,,,,
5,jgm/pandoc,1.5.1,2010-03-23,REFACTOR,181,43195,,,,,,,,,,,,,,,
6,jgm/pandoc,1.5.1.1,2010-03-29,REFACTOR,181,43205,,,,,,,,,,,,,,,
7,jgm/pandoc,1.6,2010-07-24,REFACTOR,191,43593,,,,,,,,,,,1.0,102.0,3.0,192.0,-1.0
8,jgm/pandoc,1.8,2011-01-30,REFACTOR,229,50592,,,,,,,,,,,3.0,415.0,8.0,209.0,-1.0
9,jgm/pandoc,1.8.0.1,2011-01-31,REFACTOR,229,50609,,,,,,,,,,,,,,,
10,jgm/pandoc,1.8.0.3,2011-02-05,REFACTOR,229,49943,,,,,,,,,,,1.0,26.0,1.0,5.0,-1.0
11,jgm/pandoc,1.8.1,2011-02-13,REFACTOR,229,49993,,,,,,,,,,,,,,,
12,jgm/pandoc,1.8.1.1,2011-02-13,REFACTOR,229,50000,,,,,,,,,,,,,,,
13,jgm/pandoc,1.8.1.2,2011-07-16,REFACTOR,230,50354,,,,,,,,,,,,,,,
14,jgm/pandoc,1.8.2,2011-07-30,REFACTOR,217,50960,,,,,,,,,,,,,,,
15,jgm/pandoc,1.8.2.1,2011-08-01,REFACTOR,217,50971,,,,,,,,,,,,,,,
16,jgm/pandoc,1.9,2012-02-05,REFACTOR,226,55002,,,,,,,,,,,1.0,370.0,1.0,89.0,-1.0
