,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,Unitech/pm2,v0.4.8,2013-06-27,OTHER,53.0,2648.0,3.0,3.0,1.0,3.0,1.0,,,,,
1,Unitech/pm2,0.4.11,2013-06-27,OTHER,53.0,2651.0,1.0,,1.0,4.0,1.0,,,,,
2,Unitech/pm2,0.4.10,2013-06-27,OTHER,53.0,2651.0,1.0,1.0,2.0,6.0,1.0,,,,,
3,Unitech/pm2,v0.5.5,2013-08-20,OTHER,61.0,3199.0,31.0,16.0,75.0,770.0,1.0,,,,,
4,Unitech/pm2,v0.5.6,2013-09-08,OTHER,62.0,3369.0,3.0,1.0,7.0,268.0,1.0,,,,,
5,Unitech/pm2,v0.5.7,2013-10-15,OTHER,63.0,3406.0,7.0,1.0,13.0,88.0,1.0,,,,,
6,Unitech/pm2,0.6.7,2013-11-13,OTHER,82.0,4497.0,40.0,15.0,139.0,4423.0,1.0,,,,,
7,Unitech/pm2,0.7.0,2014-01-11,OTHER,104.0,6293.0,81.0,29.0,108.0,1751.0,2.0,4.0,29.0,,0.0,1.0
8,Unitech/pm2,0.7.2,2014-01-30,OTHER,120.0,7237.0,21.0,11.0,42.0,1510.0,2.0,2.0,11.0,,0.0,1.0
9,Unitech/pm2,0.7.5,2014-02-02,OTHER,120.0,7255.0,3.0,3.0,4.0,10.0,1.0,,,,,
10,Unitech/pm2,0.7.7,2014-02-05,OTHER,122.0,7281.0,8.0,1.0,13.0,126.0,1.0,,,,,
11,Unitech/pm2,0.7.8,2014-03-06,OTHER,121.0,7316.0,11.0,4.0,16.0,165.0,1.0,,,,,
12,Unitech/pm2,0.8.0,2014-04-14,OTHER,126.0,8434.0,48.0,27.0,67.0,2513.0,3.0,7.0,27.0,12.0,260.0,2.0
13,Unitech/pm2,0.8.1,2014-04-15,OTHER,127.0,9678.0,10.0,9.0,13.0,3633.0,1.0,,,,,
14,Unitech/pm2,0.8.2,2014-05-05,OTHER,128.0,9718.0,2.0,5.0,,0.0,1.0,,,,,
15,Unitech/pm2,0.8.4,2014-05-10,,,,,,,,,,,,,
16,Unitech/pm2,0.8.9,2014-05-16,OTHER,136.0,9330.0,1.0,1.0,1.0,6.0,1.0,,,,,
17,Unitech/pm2,0.8.7,2014-05-16,OTHER,136.0,9330.0,26.0,6.0,62.0,751.0,2.0,1.0,6.0,1.0,2.0,1.0
18,Unitech/pm2,0.9.0,2014-06-23,OTHER,154.0,12111.0,56.0,36.0,96.0,3515.0,2.0,12.0,36.0,11.0,134.0,3.0
19,Unitech/pm2,0.9.1,2014-06-25,OTHER,154.0,12166.0,4.0,1.0,8.0,135.0,2.0,1.0,1.0,1.0,2.0,1.0
20,Unitech/pm2,0.9.2,2014-07-11,OTHER,161.0,12544.0,24.0,10.0,41.0,2024.0,2.0,9.0,10.0,3.0,11.0,2.0
21,Unitech/pm2,0.9.3,2014-07-29,OTHER,165.0,12764.0,17.0,12.0,33.0,263.0,3.0,9.0,12.0,2.0,7.0,2.0
22,Unitech/pm2,0.9.4,2014-07-29,,,,,,,,,,,,,
23,Unitech/pm2,0.9.5,2014-07-29,,,,,,,,,,,,,
24,Unitech/pm2,0.10.3,2014-08-24,OTHER,187.0,13665.0,1.0,,2.0,4.0,1.0,,,,,
25,Unitech/pm2,0.10.2,2014-08-24,OTHER,187.0,13665.0,75.0,54.0,129.0,1795.0,4.0,11.0,55.0,6.0,37.0,3.0
26,Unitech/pm2,0.10.4,2014-08-29,OTHER,188.0,13708.0,11.0,3.0,13.0,123.0,4.0,2.0,3.0,2.0,11.0,2.0
