,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,NetEase/pomelo,v0.2.3,2012-12-26,OTHER,79,9895,,,,,,,,,,,3.0,,4.0,82.0,-1.0
1,NetEase/pomelo,v0.2.4,2013-01-04,OTHER,80,9901,,,,,,,,,,,1.0,5.0,1.0,2.0,-1.0
2,NetEase/pomelo,v0.2.5,2013-02-28,OTHER,104,12008,16.0,23.0,47.0,1668.0,16.0,1.0,23.0,1.0,2.0,1.0,7.0,1.0,12.0,284.0,-1.0
3,NetEase/pomelo,v0.3.1,2013-03-07,OTHER,117,8880,42.0,22.0,73.0,1221.0,42.0,,,,,,,,,,
4,NetEase/pomelo,v0.3.2,2013-03-11,OTHER,119,10568,2.0,,2.0,6.0,2.0,,,,,,,,,,
5,NetEase/pomelo,v0.3.3,2013-03-12,OTHER,119,10655,3.0,2.0,8.0,139.0,3.0,,,,,,,,,,
6,NetEase/pomelo,v0.3.4,2013-03-19,OTHER,119,10678,1.0,4.0,,0.0,1.0,,,,,,,,,,
7,NetEase/pomelo,0.3.5,2013-03-25,OTHER,119,10682,1.0,2.0,2.0,6.0,1.0,,,,,,,,,,
8,NetEase/pomelo,v0.3.5,2013-03-25,OTHER,119,10682,,,,,,,,,,,,,,,
9,NetEase/pomelo,v0.3.6,2013-04-09,OTHER,120,11039,6.0,7.0,4.0,13.0,6.0,,,,,,1.0,2.0,,0.0,-1.0
10,NetEase/pomelo,v0.3.7,2013-04-16,OTHER,120,11093,3.0,3.0,4.0,102.0,3.0,,,,,,,,,,
11,NetEase/pomelo,v0.3.8,2013-05-06,OTHER,120,11112,1.0,2.0,2.0,28.0,1.0,,,,,,,,,,
12,NetEase/pomelo,v0.3.9,2013-05-08,OTHER,120,11131,,,,,,,,,,,,,,,
13,NetEase/pomelo,v0.3.10,2013-05-20,OTHER,120,11124,2.0,3.0,2.0,148.0,2.0,,,,,,,,,,
14,NetEase/pomelo,v0.4.1,2013-05-28,OTHER,123,11578,19.0,20.0,39.0,1064.0,19.0,,,,,,,,,,
15,NetEase/pomelo,v0.4.2,2013-06-05,OTHER,123,11617,2.0,3.0,2.0,52.0,2.0,,,,,,,,,,
16,NetEase/pomelo,v0.4.3,2013-06-13,OTHER,123,11624,4.0,2.0,2.0,13.0,4.0,,,,,,,,,,
17,NetEase/pomelo,v0.4.4,2013-07-03,OTHER,123,11643,2.0,9.0,,0.0,2.0,,,,,,,,,,
