,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,NetEase/pomelo,v0.2.3,2012-12-26,,,,,,,,,,,,,
1,NetEase/pomelo,v0.2.4,2013-01-04,,,,,,,,,,,,,
2,NetEase/pomelo,v0.2.5,2013-02-28,UPGRADE,104.0,12008.0,1.0,60.0,1.0,41.0,1.0,,,,,
3,NetEase/pomelo,v0.3.1,2013-03-07,UPGRADE,117.0,8880.0,1.0,74.0,1.0,2.0,1.0,,,,,
4,NetEase/pomelo,v0.3.2,2013-03-11,,,,,,,,,,,,,
5,NetEase/pomelo,v0.3.3,2013-03-12,,,,,,,,,,,,,
6,NetEase/pomelo,v0.3.4,2013-03-19,,,,,,,,,,,,,
7,NetEase/pomelo,0.3.5,2013-03-25,UPGRADE,119.0,10682.0,1.0,2.0,1.0,2.0,1.0,,,,,
8,NetEase/pomelo,v0.3.5,2013-03-25,,,,,,,,,,,,,
9,NetEase/pomelo,v0.3.6,2013-04-09,,,,,,,,,,,,,
10,NetEase/pomelo,v0.3.7,2013-04-16,UPGRADE,120.0,11093.0,1.0,5.0,2.0,10.0,1.0,,,,,
11,NetEase/pomelo,v0.3.8,2013-05-06,,,,,,,,,,,,,
12,NetEase/pomelo,v0.3.9,2013-05-08,UPGRADE,120.0,11131.0,1.0,1.0,2.0,9.0,1.0,,,,,
13,NetEase/pomelo,v0.3.10,2013-05-20,UPGRADE,120.0,11124.0,2.0,3.0,3.0,13.0,1.0,,,,,
14,NetEase/pomelo,v0.4.1,2013-05-28,UPGRADE,123.0,11578.0,1.0,41.0,2.0,8.0,1.0,,,,,
15,NetEase/pomelo,v0.4.2,2013-06-05,UPGRADE,123.0,11617.0,1.0,5.0,2.0,10.0,1.0,,,,,
16,NetEase/pomelo,v0.4.3,2013-06-13,UPGRADE,123.0,11624.0,1.0,5.0,2.0,8.0,1.0,,,,,
17,NetEase/pomelo,v0.4.4,2013-07-03,UPGRADE,123.0,11643.0,2.0,13.0,1.0,2.0,1.0,,,,,
18,NetEase/pomelo,v0.4.5,2013-07-03,,,,,,,,,,,,,
19,NetEase/pomelo,v0.5.0,2013-07-16,UPGRADE,128.0,12534.0,1.0,34.0,1.0,10.0,1.0,,,,,
20,NetEase/pomelo,v0.5.1,2013-07-19,,,,,,,,,,,,,
21,NetEase/pomelo,v0.5.2,2013-07-23,,,,,,,,,,,,,
22,NetEase/pomelo,v0.5.3,2013-07-25,,,,,,,,,,,,,
23,NetEase/pomelo,v0.5.4,2013-07-25,,,,,,,,,,,,,
24,NetEase/pomelo,v0.5.5,2013-08-09,UPGRADE,129.0,12914.0,1.0,5.0,2.0,8.0,0.0,,,,,
25,NetEase/pomelo,v0.6.0,2013-08-26,,,,,,,,,,,,,
26,NetEase/pomelo,v0.6.1,2013-09-02,,,,,,,,,,,,,
27,NetEase/pomelo,v0.6.2,2013-09-05,UPGRADE,130.0,16814.0,1.0,3.0,2.0,8.0,0.0,,,,,
28,NetEase/pomelo,v0.6.3,2013-09-10,UPGRADE,130.0,16844.0,1.0,10.0,2.0,8.0,0.0,,,,,
29,NetEase/pomelo,v0.6.4,2013-09-30,UPGRADE,131.0,16873.0,1.0,8.0,2.0,8.0,0.0,,,,,
30,NetEase/pomelo,v0.6.5,2013-09-30,,,,,,,,,,,,,
31,NetEase/pomelo,v0.6.6,2013-10-12,UPGRADE,131.0,16909.0,1.0,2.0,3.0,37.0,0.0,,,,,
32,NetEase/pomelo,v0.6.7,2013-10-14,UPGRADE,131.0,16913.0,1.0,1.0,2.0,6.0,0.0,,,,,
33,NetEase/pomelo,v0.7.0,2013-11-06,UPGRADE,133.0,17691.0,2.0,40.0,2.0,4.0,1.0,,,,,
34,NetEase/pomelo,v0.7.1,2013-11-11,UPGRADE,133.0,17701.0,1.0,2.0,2.0,7.0,1.0,,,,,
35,NetEase/pomelo,v0.7.2,2013-11-14,UPGRADE,133.0,17748.0,1.0,6.0,2.0,9.0,1.0,,,,,
36,NetEase/pomelo,v0.7.3,2013-11-15,UPGRADE,133.0,17751.0,1.0,1.0,2.0,6.0,1.0,,,,,
37,NetEase/pomelo,v0.7.4,2013-11-21,,,,,,,,,,,,,
38,NetEase/pomelo,v0.7.5,2013-11-27,UPGRADE,133.0,17799.0,1.0,4.0,2.0,8.0,1.0,,,,,
39,NetEase/pomelo,v0.7.6,2013-12-03,UPGRADE,133.0,17804.0,1.0,,2.0,11.0,1.0,,,,,
40,NetEase/pomelo,v0.6.11,2013-12-05,UPGRADE,132.0,17120.0,1.0,10.0,2.0,7.0,1.0,,,,,
41,NetEase/pomelo,v0.7.7,2013-12-16,UPGRADE,133.0,17809.0,10.0,59.0,15.0,51.0,1.0,,,,,
