,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,facebook/react,v0.3.3,2013-06-20,DOCS,339,44133,11.0,139.0,10.0,230.0,4.0,5.0,136.0,9.0,138.0,1.0,9.0,82.0,21.0,341.0,-1.0
1,facebook/react,v0.4.0,2013-07-17,DOCS,387,50646,15.0,376.0,297.0,104243.0,2.0,8.0,365.0,128.0,50700.0,1.0,4.0,118.0,10.0,136.0,-1.0
2,facebook/react,v0.4.1,2013-07-26,DOCS,390,50914,,,,,,,,,,,,,,,
3,facebook/react,v0.5.0,2013-10-16,DOCS,460,56754,9.0,247.0,10.0,262.0,3.0,5.0,240.0,8.0,252.0,1.0,4.0,85.0,24.0,953.0,-1.0
4,facebook/react,v0.5.1,2013-10-29,DOCS,460,58064,4.0,10.0,5.0,135.0,1.0,4.0,10.0,5.0,135.0,1.0,,,,,
5,facebook/react,v0.4.2,2013-12-17,DOCS,417,51985,7.0,49.0,26.0,965.0,1.0,7.0,49.0,26.0,965.0,1.0,,,,,
6,facebook/react,v0.5.2,2013-12-18,DOCS,492,59073,27.0,289.0,50.0,1043.0,4.0,19.0,279.0,44.0,1007.0,1.0,4.0,85.0,24.0,953.0,-1.0
7,facebook/react,v0.8.0,2013-12-19,DOCS,513,60133,1.0,73.0,2.0,0.0,1.0,1.0,73.0,2.0,0.0,1.0,,,,,
8,facebook/react,v0.9.0-rc1,2014-02-16,DOCS,597,67383,45.0,994.0,27.0,577.0,6.0,18.0,932.0,15.0,243.0,3.0,45.0,491.0,96.0,783.0,-1.0
9,facebook/react,v0.9.0,2014-02-19,DOCS,603,70382,4.0,42.0,,0.0,2.0,2.0,41.0,,0.0,1.0,3.0,21.0,5.0,139.0,-1.0
10,facebook/react,v0.10.0-rc1,2014-03-18,DOCS,605,69023,2.0,124.0,1.0,4.0,2.0,2.0,119.0,1.0,4.0,2.0,7.0,33.0,20.0,397.0,-1.0
11,facebook/react,v0.10.0,2014-03-21,DOCS,609,71153,,,,,,,,,,,1.0,7.0,1.0,9.0,-1.0
12,facebook/react,v0.11.0-rc1,2014-07-12,DOCS,669,75839,26.0,512.0,18.0,181.0,7.0,12.0,472.0,12.0,184.0,3.0,15.0,161.0,22.0,265.0,-1.0
13,facebook/react,v0.11.0,2014-07-17,DOCS,678,79156,6.0,20.0,3.0,14.0,2.0,6.0,20.0,3.0,14.0,2.0,4.0,4.0,13.0,181.0,-1.0
