,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,facebook/react,v0.3.3,2013-06-20,OTHER,339,44133,45.0,58.0,41.0,525.0,8.0,20.0,56.0,25.0,257.0,1.0,56.0,35.0,89.0,1206.0,-1.0
1,facebook/react,v0.4.0,2013-07-17,OTHER,387,50646,206.0,102.0,603.0,36069.0,7.0,139.0,100.0,532.0,34609.0,3.0,86.0,36.0,200.0,4598.0,-1.0
2,facebook/react,v0.4.1,2013-07-26,OTHER,390,50914,29.0,23.0,61.0,1841.0,1.0,30.0,23.0,62.0,1843.0,2.0,15.0,7.0,13.0,106.0,-1.0
3,facebook/react,v0.5.0,2013-10-16,OTHER,460,56754,123.0,78.0,213.0,8551.0,8.0,101.0,76.0,207.0,8502.0,2.0,59.0,30.0,144.0,4236.0,-1.0
4,facebook/react,v0.5.1,2013-10-29,OTHER,460,58064,5.0,9.0,10.0,1353.0,1.0,5.0,9.0,10.0,1353.0,1.0,,,,,
5,facebook/react,v0.4.2,2013-12-17,OTHER,417,51985,31.0,25.0,45.0,759.0,1.0,31.0,25.0,45.0,759.0,1.0,,,,,
6,facebook/react,v0.5.2,2013-12-18,OTHER,492,59073,151.0,110.0,276.0,11781.0,8.0,123.0,106.0,246.0,10546.0,2.0,59.0,30.0,144.0,4236.0,-1.0
7,facebook/react,v0.8.0,2013-12-19,OTHER,513,60133,16.0,20.0,33.0,1193.0,1.0,16.0,20.0,33.0,1193.0,1.0,38.0,12.0,69.0,1701.0,-1.0
8,facebook/react,v0.9.0-rc1,2014-02-16,OTHER,597,67383,397.0,339.0,484.0,14690.0,13.0,213.0,317.0,443.0,12487.0,8.0,341.0,195.0,685.0,29472.0,-1.0
9,facebook/react,v0.9.0,2014-02-19,OTHER,603,70382,19.0,15.0,247.0,628.0,6.0,12.0,15.0,243.0,620.0,2.0,15.0,9.0,17.0,2664.0,-1.0
10,facebook/react,v0.10.0-rc1,2014-03-18,OTHER,605,69023,74.0,37.0,187.0,3050.0,8.0,55.0,36.0,184.0,3046.0,3.0,22.0,18.0,48.0,1874.0,-1.0
11,facebook/react,v0.10.0,2014-03-21,OTHER,609,71153,2.0,4.0,,0.0,2.0,1.0,4.0,,0.0,1.0,5.0,3.0,10.0,2125.0,-1.0
12,facebook/react,v0.11.0-rc1,2014-07-12,OTHER,669,75839,262.0,165.0,247.0,7067.0,11.0,193.0,157.0,258.0,7072.0,15.0,107.0,69.0,197.0,7776.0,-1.0
13,facebook/react,v0.11.0,2014-07-17,OTHER,678,79156,12.0,15.0,12.0,3138.0,2.0,12.0,15.0,12.0,3138.0,2.0,3.0,5.0,5.0,217.0,-1.0
14,facebook/react,v0.11.1,2014-07-25,OTHER,680,79396,10.0,7.0,15.0,139.0,2.0,10.0,7.0,15.0,139.0,2.0,,,,,
15,facebook/react,v0.11.2,2014-09-16,OTHER,690,79420,54.0,21.0,259.0,7797.0,3.0,34.0,19.0,221.0,6951.0,2.0,2.0,,2.0,28.0,-1.0
16,facebook/react,v0.12.0-rc1,2014-10-16,OTHER,704,74551,250.0,104.0,700.0,12785.0,22.0,176.0,100.0,589.0,10513.0,16.0,89.0,32.0,208.0,6032.0,-1.0
17,facebook/react,v0.12.0,2014-10-28,OTHER,717,79334,22.0,19.0,44.0,4327.0,4.0,17.0,19.0,39.0,4031.0,3.0,6.0,7.0,52.0,217.0,-1.0
18,facebook/react,v0.12.1,2014-11-18,OTHER,720,79473,19.0,4.0,31.0,16389.0,4.0,9.0,4.0,13.0,43.0,2.0,1.0,1.0,1.0,1247.0,-1.0
19,facebook/react,v0.12.2,2014-12-18,OTHER,726,79923,38.0,8.0,50.0,681.0,3.0,30.0,8.0,41.0,413.0,1.0,,,,,
20,facebook/react,v0.13.0-rc1,2015-02-22,OTHER,783,84284,356.0,192.0,559.0,10501.0,15.0,230.0,192.0,386.0,3548.0,19.0,184.0,89.0,863.0,17529.0,-1.0
21,facebook/react,v0.13.0-rc2,2015-03-03,OTHER,788,85179,17.0,18.0,12.0,345.0,3.0,14.0,18.0,12.0,118.0,3.0,8.0,8.0,16.0,531.0,-1.0
22,facebook/react,v0.13.0,2015-03-10,OTHER,795,90647,33.0,26.0,34.0,5277.0,5.0,36.0,25.0,40.0,5421.0,3.0,8.0,8.0,11.0,141.0,-1.0
23,facebook/react,v0.13.1,2015-03-16,OTHER,796,90756,12.0,2.0,21.0,132.0,1.0,12.0,2.0,21.0,132.0,1.0,,,,,
24,facebook/react,v0.13.2,2015-04-18,OTHER,875,132190,36.0,17.0,110.0,2868.0,3.0,30.0,17.0,94.0,2624.0,2.0,19.0,2.0,31.0,832.0,-1.0
25,facebook/react,v0.13.3,2015-05-08,OTHER,879,132601,20.0,9.0,189.0,1320.0,1.0,20.0,9.0,189.0,1320.0,1.0,2.0,,5.0,123.0,-1.0
26,facebook/react,v0.14.0-beta1,2015-07-03,OTHER,900,138394,388.0,219.0,419.0,6542.0,14.0,375.0,215.0,433.0,10742.0,24.0,220.0,100.0,1249.0,20664.0,-1.0
27,facebook/react,v0.14.0-beta2,2015-07-30,OTHER,839,131801,65.0,59.0,71.0,2492.0,5.0,61.0,60.0,128.0,3432.0,14.0,86.0,26.0,127.0,2128.0,-1.0
28,facebook/react,v0.14.0-beta3,2015-08-03,OTHER,837,131831,3.0,1.0,5.0,14.0,2.0,3.0,1.0,9.0,60.0,2.0,8.0,,14.0,72.0,-1.0
29,facebook/react,v0.14.0-rc1,2015-09-10,OTHER,864,134924,62.0,64.0,77.0,1303.0,4.0,62.0,65.0,85.0,1381.0,4.0,126.0,45.0,229.0,6115.0,-1.0
30,facebook/react,v0.14.0,2015-10-07,OTHER,911,136105,86.0,59.0,216.0,28204.0,6.0,81.0,58.0,108.0,12888.0,10.0,36.0,20.0,73.0,1666.0,-1.0
31,facebook/react,v0.14.1,2015-10-28,OTHER,921,137910,41.0,11.0,115.0,1129.0,4.0,38.0,11.0,110.0,931.0,2.0,,,,,
32,facebook/react,v0.14.2,2015-11-02,OTHER,923,138020,11.0,,23.0,877.0,1.0,11.0,,23.0,877.0,1.0,6.0,,7.0,72.0,-1.0
33,facebook/react,v0.14.3,2015-11-18,OTHER,930,145167,23.0,7.0,99.0,8110.0,1.0,23.0,7.0,99.0,8110.0,1.0,1.0,1.0,1.0,16.0,-1.0
34,facebook/react,v0.14.4,2015-12-29,OTHER,936,145519,40.0,11.0,93.0,1162.0,3.0,38.0,11.0,91.0,1138.0,2.0,,,,,
35,facebook/react,v0.14.5,2015-12-29,OTHER,938,145572,7.0,1.0,20.0,144.0,1.0,7.0,1.0,20.0,144.0,1.0,,,,,
36,facebook/react,v0.14.6,2016-01-06,OTHER,939,145578,1.0,1.0,4.0,8.0,1.0,1.0,1.0,4.0,8.0,1.0,3.0,1.0,14.0,44.0,-1.0
37,facebook/react,v0.14.7,2016-01-28,OTHER,953,146866,18.0,7.0,26.0,338.0,2.0,25.0,7.0,45.0,431.0,3.0,2.0,,8.0,32.0,-1.0
38,facebook/react,v15.0.0-rc.1,2016-03-07,OTHER,970,154385,379.0,240.0,286.0,6038.0,9.0,265.0,238.0,398.0,8872.0,24.0,214.0,113.0,931.0,17939.0,-1.0
39,facebook/react,v15.0.0-rc.2,2016-03-17,OTHER,978,155130,21.0,21.0,17.0,144.0,5.0,8.0,20.0,3.0,108.0,2.0,16.0,13.0,26.0,1778.0,-1.0
40,facebook/react,v0.14.8,2016-03-29,OTHER,974,147946,179.0,53.0,460.0,21682.0,6.0,170.0,53.0,437.0,21365.0,3.0,13.0,2.0,31.0,170.0,-1.0
41,facebook/react,v15.0.0,2016-04-08,OTHER,985,165615,481.0,319.0,367.0,13809.0,9.0,295.0,305.0,429.0,15785.0,26.0,251.0,148.0,1047.0,20833.0,-1.0
42,facebook/react,v15.0.1,2016-04-08,OTHER,988,166522,8.0,3.0,21.0,428.0,1.0,8.0,3.0,21.0,428.0,1.0,2.0,,2.0,90.0,-1.0
43,facebook/react,v15.0.2,2016-04-29,OTHER,1033,168802,34.0,8.0,120.0,6325.0,3.0,32.0,8.0,118.0,6313.0,2.0,1.0,,1.0,4.0,-1.0
44,facebook/react,v15.1.0,2016-05-20,OTHER,1035,173891,38.0,15.0,194.0,9489.0,1.0,38.0,13.0,194.0,9489.0,1.0,3.0,,7.0,24.0,-1.0
45,facebook/react,v15.2.0,2016-07-01,OTHER,1077,183240,36.0,51.0,99.0,13473.0,3.0,36.0,51.0,99.0,13473.0,3.0,54.0,24.0,349.0,7983.0,-1.0
46,facebook/react,v15.2.1,2016-07-08,OTHER,1091,186281,7.0,9.0,21.0,3326.0,1.0,7.0,9.0,21.0,3326.0,1.0,30.0,8.0,115.0,5947.0,-1.0
47,facebook/react,v15.3.0,2016-07-29,OTHER,1114,190336,47.0,20.0,364.0,35089.0,2.0,39.0,18.0,356.0,33503.0,1.0,3.0,,10.0,50.0,-1.0
48,facebook/react,v15.3.1,2016-08-19,OTHER,1114,191468,38.0,20.0,174.0,12111.0,1.0,38.0,20.0,174.0,12111.0,1.0,1.0,,1.0,5.0,-1.0
49,facebook/react,15.3.1,2016-09-09,OTHER,212,69682,,,,,,,,,,,1.0,,212.0,69682.0,-1.0
50,facebook/react,v15.3.2,2016-09-19,OTHER,1118,192450,3133.0,2036.0,5599.0,222001.0,48.0,2315.0,1973.0,5212.0,198728.0,113.0,1819.0,919.0,5777.0,142719.0,-1.0
51,facebook/react,v15.4.0-rc.3,2016-10-14,OTHER,1144,195305,105.0,37.0,484.0,14058.0,4.0,83.0,33.0,434.0,11450.0,2.0,,,,,
52,facebook/react,v15.4.0,2016-11-16,OTHER,963,167456,78.0,70.0,142.0,25349.0,3.0,5.0,37.0,12.0,20577.0,1.0,,,,,
53,facebook/react,v15.4.1,2016-11-22,OTHER,966,170397,29.0,16.0,45.0,44442.0,3.0,11.0,11.0,21.0,43790.0,2.0,1.0,,,0.0,-1.0
54,facebook/react,v15.4.2,2017-01-06,OTHER,1002,171378,46.0,34.0,75.0,3734.0,2.0,2.0,19.0,1.0,2.0,1.0,2.0,3.0,7.0,110.0,-1.0
55,facebook/react,v16.0.0-alpha.3,2017-02-23,OTHER,1104,206922,719.0,680.0,1786.0,113329.0,17.0,13641.0,6946.0,45678.0,1483946.0,12.0,434.0,194.0,1472.0,82211.0,-1.0
56,facebook/react,v16.0.0-alpha.4,2017-03-13,OTHER,1130,209137,22.0,35.0,77.0,939.0,5.0,1123.0,673.0,17591.0,117141.0,2.0,21.0,15.0,92.0,4035.0,-1.0
57,facebook/react,15.3.2,2017-03-16,OTHER,1064,162021,233.0,139.0,1070.0,81629.0,4.0,221.0,135.0,1058.0,80021.0,3.0,101.0,35.0,497.0,16924.0,-1.0
58,facebook/react,v15.5.0,2017-04-07,OTHER,1106,205750,379.0,229.0,1051.0,124575.0,9.0,128.0,151.0,576.0,84526.0,4.0,10.0,8.0,87.0,8371.0,-1.0
59,facebook/react,v15.5.4,2017-05-01,OTHER,1100,201916,24.0,3.0,76.0,5724.0,3.0,63.0,60.0,69.0,315.0,2.0,,,,,
60,facebook/react,v15.5.1,2017-05-01,OTHER,1107,206892,7.0,2.0,16.0,332.0,3.0,1.0,2.0,2.0,42.0,1.0,,,,,
61,facebook/react,v15.5.3,2017-05-01,OTHER,1108,206897,1.0,,7.0,22.0,1.0,,,,,,,,,,
62,facebook/react,v15.5.2,2017-05-01,OTHER,1108,206897,2.0,,8.0,29.0,1.0,,,,,,,,,,
63,facebook/react,v15.6.0,2017-06-13,OTHER,1091,165663,142.0,113.0,332.0,106488.0,2.0,649.0,370.0,18526.0,1120174.0,1.0,10.0,12.0,31.0,295.0,-1.0
64,facebook/react,v15.6.1,2017-06-15,OTHER,1076,168875,50.0,16.0,258.0,4986.0,2.0,472.0,68.0,5192.0,542092.0,1.0,,,,,
65,facebook/react,16.0.0-beta.1,2017-07-26,OTHER,1196,186266,946.0,929.0,2774.0,215579.0,18.0,23339.0,12139.0,135674.0,5093438.0,12.0,498.0,228.0,1708.0,92629.0,-1.0
66,facebook/react,16.0.0-beta.3,2017-08-03,OTHER,1207,187950,25.0,25.0,101.0,2338.0,2.0,1181.0,539.0,3608.0,154577.0,2.0,,,,,
67,facebook/react,16.0.0-beta.4,2017-08-08,OTHER,1213,188607,5.0,9.0,212.0,1198.0,2.0,237.0,180.0,421.0,7637.0,2.0,,,,,
68,facebook/react,16.0.0-beta.5,2017-08-08,OTHER,1212,188684,1.0,2.0,9.0,118.0,1.0,1.0,118.0,9.0,118.0,1.0,,,,,
69,facebook/react,v16.0.0-rc.1,2017-09-06,OTHER,1222,213529,28.0,31.0,115.0,13192.0,5.0,2126.0,898.0,9029.0,2030375.0,2.0,5.0,2.0,13.0,275.0,-1.0
70,facebook/react,v16.0.0-rc.2,2017-09-06,OTHER,1222,213531,1.0,,1.0,6.0,1.0,59.0,,59.0,236.0,1.0,1.0,,7.0,14.0,-1.0
71,facebook/react,v15.6.2,2017-09-25,OTHER,1075,168578,909.0,523.0,3551.0,329128.0,13.0,1718.0,914.0,25609.0,1831390.0,7.0,114.0,53.0,599.0,25483.0,-1.0
72,facebook/react,v16.0.0,2017-09-26,OTHER,1225,213345,1035.0,1012.0,3294.0,233452.0,19.0,27534.0,14295.0,150276.0,7327568.0,12.0,515.0,232.0,2187.0,97802.0,-1.0
