,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,facebook/react,v0.3.3,2013-06-20,,,,,,,,,,,,,,,,,,
1,facebook/react,v0.4.0,2013-07-17,REFACTOR,387.0,50646.0,2.0,392.0,3.0,476.0,2.0,2.0,381.0,3.0,476.0,2.0,1.0,121.0,1.0,219.0,-1.0
2,facebook/react,v0.4.1,2013-07-26,,,,,,,,,,,,,,,,,,
3,facebook/react,v0.5.0,2013-10-16,,,,1.0,259.0,5.0,303.0,1.0,1.0,251.0,5.0,303.0,1.0,,,,,
4,facebook/react,v0.5.1,2013-10-29,,,,,,,,,,,,,,,,,,
5,facebook/react,v0.4.2,2013-12-17,,,,,,,,,,,,,,,,,,
6,facebook/react,v0.5.2,2013-12-18,,,,1.0,319.0,5.0,303.0,1.0,1.0,306.0,5.0,303.0,1.0,,,,,
7,facebook/react,v0.8.0,2013-12-19,,,,,,,,,,,,,,,,,,
8,facebook/react,v0.9.0-rc1,2014-02-16,REFACTOR,597.0,67383.0,1.0,1080.0,1.0,22.0,1.0,1.0,1007.0,1.0,22.0,1.0,4.0,532.0,5.0,581.0,-1.0
9,facebook/react,v0.9.0,2014-02-19,,,,,,,,,,,,,,,,,,
10,facebook/react,v0.10.0-rc1,2014-03-18,,,,1.0,132.0,3.0,514.0,1.0,1.0,127.0,3.0,514.0,1.0,,,,,
11,facebook/react,v0.10.0,2014-03-21,,,,,,,,,,,,,,,,,,
12,facebook/react,v0.11.0-rc1,2014-07-12,REFACTOR,669.0,75839.0,,,,,,,,,,,1.0,175.0,1.0,2.0,-1.0
13,facebook/react,v0.11.0,2014-07-17,,,,,,,,,,,,,,,,,,
14,facebook/react,v0.11.1,2014-07-25,,,,,,,,,,,,,,,,,,
15,facebook/react,v0.11.2,2014-09-16,,,,,,,,,,,,,,,,,,
16,facebook/react,v0.12.0-rc1,2014-10-16,,,,,,,,,,,,,,,,,,
17,facebook/react,v0.12.0,2014-10-28,,,,,,,,,,,,,,,,,,
18,facebook/react,v0.12.1,2014-11-18,,,,,,,,,,,,,,,,,,
19,facebook/react,v0.12.2,2014-12-18,,,,,,,,,,,,,,,,,,
20,facebook/react,v0.13.0-rc1,2015-02-22,REFACTOR,783.0,84284.0,1.0,759.0,,0.0,1.0,,,,,,1.0,272.0,5.0,293.0,-1.0
21,facebook/react,v0.13.0-rc2,2015-03-03,,,,,,,,,,,,,,,,,,
22,facebook/react,v0.13.0,2015-03-10,,,,,,,,,,,,,,,,,,
23,facebook/react,v0.13.1,2015-03-16,,,,,,,,,,,,,,,,,,
24,facebook/react,v0.13.2,2015-04-18,,,,,,,,,,,,,,,,,,
25,facebook/react,v0.13.3,2015-05-08,,,,,,,,,,,,,,,,,,
26,facebook/react,v0.14.0-beta1,2015-07-03,,,,,,,,,,,,,,,,,,
27,facebook/react,v0.14.0-beta2,2015-07-30,,,,,,,,,,,,,,,,,,
28,facebook/react,v0.14.0-beta3,2015-08-03,,,,,,,,,,,,,,,,,,
29,facebook/react,v0.14.0-rc1,2015-09-10,REFACTOR,864.0,134924.0,,,,,,,,,,,1.0,170.0,9.0,204.0,-1.0
30,facebook/react,v0.14.0,2015-10-07,,,,,,,,,,,,,,,,,,
31,facebook/react,v0.14.1,2015-10-28,,,,,,,,,,,,,,,,,,
32,facebook/react,v0.14.2,2015-11-02,,,,,,,,,,,,,,,,,,
33,facebook/react,v0.14.3,2015-11-18,,,,,,,,,,,,,,,,,,
34,facebook/react,v0.14.4,2015-12-29,,,,,,,,,,,,,,,,,,
35,facebook/react,v0.14.5,2015-12-29,,,,,,,,,,,,,,,,,,
36,facebook/react,v0.14.6,2016-01-06,,,,,,,,,,,,,,,,,,
37,facebook/react,v0.14.7,2016-01-28,,,,,,,,,,,,,,,,,,
38,facebook/react,v15.0.0-rc.1,2016-03-07,,,,,,,,,,,,,,,,,,
39,facebook/react,v15.0.0-rc.2,2016-03-17,,,,,,,,,,,,,,,,,,
40,facebook/react,v0.14.8,2016-03-29,,,,,,,,,,,,,,,,,,
41,facebook/react,v15.0.0,2016-04-08,,,,,,,,,,,,,,,,,,
42,facebook/react,v15.0.1,2016-04-08,,,,,,,,,,,,,,,,,,
43,facebook/react,v15.0.2,2016-04-29,,,,,,,,,,,,,,,,,,
44,facebook/react,v15.1.0,2016-05-20,,,,,,,,,,,,,,,,,,
45,facebook/react,v15.2.0,2016-07-01,,,,,,,,,,,,,,,,,,
46,facebook/react,v15.2.1,2016-07-08,,,,,,,,,,,,,,,,,,
47,facebook/react,v15.3.0,2016-07-29,,,,,,,,,,,,,,,,,,
48,facebook/react,v15.3.1,2016-08-19,,,,,,,,,,,,,,,,,,
49,facebook/react,15.3.1,2016-09-09,,,,,,,,,,,,,,,,,,
50,facebook/react,v15.3.2,2016-09-19,REFACTOR,1118.0,192450.0,6.0,7207.0,12.0,1315.0,6.0,5.0,6943.0,12.0,1315.0,5.0,8.0,2730.0,21.0,1299.0,-1.0
51,facebook/react,v15.4.0-rc.3,2016-10-14,,,,2.0,140.0,13.0,1007.0,2.0,2.0,125.0,13.0,1007.0,2.0,,,,,
52,facebook/react,v15.4.0,2016-11-16,,,,,,,,,,,,,,,,,,
53,facebook/react,v15.4.1,2016-11-22,,,,,,,,,,,,,,,,,,
54,facebook/react,v15.4.2,2017-01-06,,,,2.0,80.0,2.0,38.0,2.0,,,,,,,,,,
55,facebook/react,v16.0.0-alpha.3,2017-02-23,REFACTOR,1104.0,206922.0,6.0,2056.0,8.0,594.0,6.0,118.0,21284.0,,0.0,118.0,3.0,625.0,7.0,612.0,-1.0
56,facebook/react,v16.0.0-alpha.4,2017-03-13,REFACTOR,1130.0,209137.0,,,,,,59.0,1772.0,,0.0,59.0,2.0,34.0,10.0,988.0,-1.0
57,facebook/react,15.3.2,2017-03-16,,,,,,,,,,,,,,,,,,
58,facebook/react,v15.5.0,2017-04-07,,,,4.0,614.0,15.0,1045.0,4.0,2.0,426.0,13.0,1007.0,2.0,,,,,
59,facebook/react,v15.5.4,2017-05-01,,,,,,,,,,,,,,,,,,
60,facebook/react,v15.5.1,2017-05-01,,,,,,,,,,,,,,,,,,
61,facebook/react,v15.5.3,2017-05-01,,,,,,,,,,,,,,,,,,
62,facebook/react,v15.5.2,2017-05-01,,,,,,,,,,,,,,,,,,
63,facebook/react,v15.6.0,2017-06-13,,,,,,,,,,,,,,,,,,
64,facebook/react,v15.6.1,2017-06-15,,,,,,,,,,,,,,,,,,
65,facebook/react,16.0.0-beta.1,2017-07-26,REFACTOR,1196.0,186266.0,6.0,2757.0,8.0,594.0,6.0,177.0,36318.0,,0.0,177.0,5.0,721.0,17.0,1600.0,-1.0
66,facebook/react,16.0.0-beta.3,2017-08-03,,,,,,,,,,,,,,,,,,
67,facebook/react,16.0.0-beta.4,2017-08-08,,,,,,,,,,,,,,,,,,
68,facebook/react,16.0.0-beta.5,2017-08-08,,,,,,,,,,,,,,,,,,
69,facebook/react,v16.0.0-rc.1,2017-09-06,,,,1.0,99.0,1.0,21.0,1.0,,,,,,,,,,
70,facebook/react,v16.0.0-rc.2,2017-09-06,,,,,,,,,,,,,,,,,,
