,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,facebook/react,v0.3.3,2013-06-20,RELEASE,339.0,44133.0,,,,,,,,,,,2.0,89.0,318.0,43125.0,-1.0
1,facebook/react,v0.4.0,2013-07-17,RELEASE,387.0,50646.0,,,,,,,,,,,1.0,121.0,1.0,12.0,-1.0
2,facebook/react,v0.4.1,2013-07-26,,,,,,,,,,,,,,,,,,
3,facebook/react,v0.5.0,2013-10-16,,,,2.0,258.0,10.0,151.0,2.0,2.0,250.0,10.0,151.0,2.0,,,,,
4,facebook/react,v0.5.1,2013-10-29,,,,,,,,,,,,,,,,,,
5,facebook/react,v0.4.2,2013-12-17,,,,,,,,,,,,,,,,,,
6,facebook/react,v0.5.2,2013-12-18,,,,2.0,318.0,10.0,151.0,2.0,2.0,305.0,10.0,151.0,2.0,,,,,
7,facebook/react,v0.8.0,2013-12-19,,,,,,,,,,,,,,,,,,
8,facebook/react,v0.9.0-rc1,2014-02-16,,,,3.0,1082.0,8.0,230.0,3.0,3.0,1009.0,8.0,230.0,3.0,,,,,
9,facebook/react,v0.9.0,2014-02-19,,,,1.0,48.0,2.0,132.0,1.0,1.0,47.0,2.0,132.0,1.0,,,,,
10,facebook/react,v0.10.0-rc1,2014-03-18,,,,,,,,,,,,,,,,,,
11,facebook/react,v0.10.0,2014-03-21,,,,,,,,,,,,,,,,,,
12,facebook/react,v0.11.0-rc1,2014-07-12,,,,1.0,553.0,6.0,126.0,1.0,1.0,507.0,6.0,126.0,1.0,,,,,
13,facebook/react,v0.11.0,2014-07-17,,,,,,,,,,,,,,,,,,
14,facebook/react,v0.11.1,2014-07-25,,,,1.0,16.0,6.0,210.0,1.0,1.0,16.0,6.0,210.0,1.0,,,,,
15,facebook/react,v0.11.2,2014-09-16,,,,1.0,76.0,6.0,97.0,1.0,1.0,64.0,6.0,97.0,1.0,,,,,
16,facebook/react,v0.12.0-rc1,2014-10-16,,,,3.0,456.0,17.0,382.0,3.0,3.0,423.0,17.0,382.0,3.0,,,,,
17,facebook/react,v0.12.0,2014-10-28,,,,1.0,47.0,2.0,150.0,1.0,1.0,45.0,2.0,150.0,1.0,,,,,
18,facebook/react,v0.12.1,2014-11-18,,,,,,,,,,,,,,,,,,
19,facebook/react,v0.12.2,2014-12-18,,,,1.0,45.0,,0.0,1.0,1.0,42.0,,0.0,1.0,,,,,
20,facebook/react,v0.13.0-rc1,2015-02-22,,,,,,,,,,,,,,,,,,
21,facebook/react,v0.13.0-rc2,2015-03-03,,,,1.0,43.0,1.0,2.0,1.0,1.0,43.0,1.0,2.0,1.0,,,,,
22,facebook/react,v0.13.0,2015-03-10,,,,,,,,,,,,,,,,,,
23,facebook/react,v0.13.1,2015-03-16,,,,,,,,,,,,,,,,,,
24,facebook/react,v0.13.2,2015-04-18,,,,1.0,71.0,45.0,5061.0,1.0,1.0,68.0,45.0,5061.0,1.0,,,,,
25,facebook/react,v0.13.3,2015-05-08,,,,,,,,,,,,,,,,,,
26,facebook/react,v0.14.0-beta1,2015-07-03,RELEASE,900.0,138394.0,3.0,910.0,,0.0,3.0,1.0,897.0,,0.0,1.0,1.0,319.0,1.0,22.0,-1.0
27,facebook/react,v0.14.0-beta2,2015-07-30,,,,,,,,,,,,,,,,,,
28,facebook/react,v0.14.0-beta3,2015-08-03,,,,,,,,,,,,,,,,,,
29,facebook/react,v0.14.0-rc1,2015-09-10,,,,1.0,252.0,1.0,1.0,1.0,2.0,254.0,3.0,51.0,2.0,,,,,
30,facebook/react,v0.14.0,2015-10-07,,,,,,,,,,,,,,,,,,
31,facebook/react,v0.14.1,2015-10-28,,,,1.0,51.0,1.0,2.0,1.0,1.0,50.0,1.0,2.0,1.0,,,,,
32,facebook/react,v0.14.2,2015-11-02,,,,,,,,,,,,,,,,,,
33,facebook/react,v0.14.3,2015-11-18,RELEASE,930.0,145167.0,,,,,,,,,,,1.0,1.0,5.0,58.0,-1.0
34,facebook/react,v0.14.4,2015-12-29,,,,,,,,,,,,,,,,,,
35,facebook/react,v0.14.5,2015-12-29,,,,,,,,,,,,,,,,,,
36,facebook/react,v0.14.6,2016-01-06,,,,,,,,,,,,,,,,,,
37,facebook/react,v0.14.7,2016-01-28,,,,,,,,,1.0,33.0,3.0,40.0,1.0,,,,,
38,facebook/react,v15.0.0-rc.1,2016-03-07,RELEASE,970.0,154385.0,6.0,846.0,9.0,805.0,6.0,7.0,840.0,10.0,812.0,7.0,4.0,323.0,11.0,257.0,-1.0
39,facebook/react,v15.0.0-rc.2,2016-03-17,,,,,,,,,,,,,,,,,,
40,facebook/react,v0.14.8,2016-03-29,RELEASE,974.0,147946.0,1.0,250.0,1.0,2.0,1.0,2.0,243.0,4.0,42.0,2.0,1.0,14.0,5.0,58.0,-1.0
41,facebook/react,v15.0.0,2016-04-08,RELEASE,985.0,165615.0,9.0,1063.0,12.0,15986.0,9.0,8.0,1017.0,11.0,15991.0,8.0,4.0,395.0,11.0,257.0,-1.0
42,facebook/react,v15.0.1,2016-04-08,,,,,,,,,,,,,,,,,,
43,facebook/react,v15.0.2,2016-04-29,,,,,,,,,,,,,,,,,,
44,facebook/react,v15.1.0,2016-05-20,,,,,,,,,,,,,,,,,,
45,facebook/react,v15.2.0,2016-07-01,,,,,,,,,,,,,,,,,,
46,facebook/react,v15.2.1,2016-07-08,,,,,,,,,,,,,,,,,,
47,facebook/react,v15.3.0,2016-07-29,,,,,,,,,,,,,,,,,,
48,facebook/react,v15.3.1,2016-08-19,,,,,,,,,,,,,,,,,,
49,facebook/react,15.3.1,2016-09-09,,,,,,,,,,,,,,,,,,
50,facebook/react,v15.3.2,2016-09-19,RELEASE,1118.0,192450.0,24.0,7187.0,56.0,17067.0,24.0,22.0,6925.0,57.0,17122.0,22.0,8.0,2730.0,331.0,43416.0,-1.0
51,facebook/react,v15.4.0-rc.3,2016-10-14,,,,,,,,,,,,,,,,,,
52,facebook/react,v15.4.0,2016-11-16,,,,,,,,,,,,,,,,,,
53,facebook/react,v15.4.1,2016-11-22,,,,,,,,,,,,,,,,,,
54,facebook/react,v15.4.2,2017-01-06,,,,2.0,80.0,2.0,22.0,2.0,,,,,,,,,,
55,facebook/react,v16.0.0-alpha.3,2017-02-23,,,,6.0,2059.0,26.0,1632.0,6.0,118.0,21287.0,118.0,25783.0,118.0,,,,,
56,facebook/react,v16.0.0-alpha.4,2017-03-13,,,,,,,,,59.0,1774.0,59.0,531.0,59.0,,,,,
57,facebook/react,15.3.2,2017-03-16,,,,1.0,473.0,1.0,15179.0,1.0,1.0,463.0,1.0,15179.0,1.0,,,,,
58,facebook/react,v15.5.0,2017-04-07,,,,5.0,613.0,8.0,2127.0,5.0,3.0,425.0,6.0,2105.0,3.0,,,,,
59,facebook/react,v15.5.4,2017-05-01,,,,,,,,,,,,,,,,,,
60,facebook/react,v15.5.1,2017-05-01,,,,,,,,,,,,,,,,,,
61,facebook/react,v15.5.3,2017-05-01,,,,,,,,,,,,,,,,,,
