,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,facebook/react,v0.3.3,2013-06-20,SUPPORT,339.0,44133.0,1.0,152.0,2.0,8.0,1.0,,,,,
1,facebook/react,v0.4.0,2013-07-17,SUPPORT,387.0,50646.0,2.0,376.0,3.0,226.0,1.0,,,,,
2,facebook/react,v0.4.1,2013-07-26,,,,,,,,,,,,,
3,facebook/react,v0.5.0,2013-10-16,SUPPORT,460.0,56754.0,2.0,248.0,7.0,54.0,1.0,,,,,
4,facebook/react,v0.5.1,2013-10-29,,,,,,,,,,,,,
5,facebook/react,v0.4.2,2013-12-17,SUPPORT,417.0,51985.0,1.0,55.0,1.0,6.0,1.0,,,,,
6,facebook/react,v0.5.2,2013-12-18,SUPPORT,492.0,59073.0,2.0,303.0,7.0,54.0,1.0,,,,,
7,facebook/react,v0.8.0,2013-12-19,SUPPORT,513.0,60133.0,1.0,70.0,1.0,16.0,1.0,,,,,
8,facebook/react,v0.9.0-rc1,2014-02-16,SUPPORT,597.0,67383.0,10.0,989.0,16.0,638.0,3.0,,,,,
9,facebook/react,v0.9.0,2014-02-19,,,,,,,,,,,,,
10,facebook/react,v0.10.0-rc1,2014-03-18,,,,,,,,,,,,,
11,facebook/react,v0.10.0,2014-03-21,,,,,,,,,,,,,
12,facebook/react,v0.11.0-rc1,2014-07-12,SUPPORT,669.0,75839.0,9.0,491.0,15.0,350.0,1.0,3.0,491.0,5.0,54.0,3.0
13,facebook/react,v0.11.0,2014-07-17,,,,,,,,,,,,,
14,facebook/react,v0.11.1,2014-07-25,,,,,,,,,,,,,
15,facebook/react,v0.11.2,2014-09-16,SUPPORT,690.0,79420.0,1.0,64.0,3.0,75.0,1.0,,,,,
16,facebook/react,v0.12.0-rc1,2014-10-16,SUPPORT,704.0,74551.0,2.0,417.0,5.0,79.0,1.0,1.0,417.0,2.0,3.0,1.0
17,facebook/react,v0.12.0,2014-10-28,,,,,,,,,,,,,
18,facebook/react,v0.12.1,2014-11-18,,,,,,,,,,,,,
19,facebook/react,v0.12.2,2014-12-18,,,,,,,,,,,,,
20,facebook/react,v0.13.0-rc1,2015-02-22,SUPPORT,783.0,84284.0,1.0,723.0,4.0,321.0,0.0,1.0,726.0,4.0,321.0,1.0
21,facebook/react,v0.13.0-rc2,2015-03-03,,,,,,,,,,,,,
22,facebook/react,v0.13.0,2015-03-10,,,,,,,,,,,,,
23,facebook/react,v0.13.1,2015-03-16,,,,,,,,,,,,,
24,facebook/react,v0.13.2,2015-04-18,,,,,,,,,,,,,
25,facebook/react,v0.13.3,2015-05-08,SUPPORT,879.0,132601.0,2.0,29.0,5.0,31.0,1.0,,,,,
26,facebook/react,v0.14.0-beta1,2015-07-03,SUPPORT,900.0,138394.0,6.0,886.0,16.0,272.0,4.0,,,,,
27,facebook/react,v0.14.0-beta2,2015-07-30,,,,,,,,,,,,,
28,facebook/react,v0.14.0-beta3,2015-08-03,,,,,,,,,,,,,
29,facebook/react,v0.14.0-rc1,2015-09-10,SUPPORT,864.0,134924.0,1.0,250.0,1.0,2.0,1.0,,,,,
30,facebook/react,v0.14.0,2015-10-07,SUPPORT,911.0,136105.0,1.0,192.0,2.0,45.0,1.0,,,,,
31,facebook/react,v0.14.1,2015-10-28,,,,,,,,,,,,,
32,facebook/react,v0.14.2,2015-11-02,,,,,,,,,,,,,
33,facebook/react,v0.14.3,2015-11-18,,,,,,,,,,,,,
34,facebook/react,v0.14.4,2015-12-29,,,,,,,,,,,,,
35,facebook/react,v0.14.5,2015-12-29,,,,,,,,,,,,,
36,facebook/react,v0.14.6,2016-01-06,,,,,,,,,,,,,
37,facebook/react,v0.14.7,2016-01-28,,,,,,,,,,,,,
38,facebook/react,v15.0.0-rc.1,2016-03-07,SUPPORT,970.0,154385.0,5.0,825.0,18.0,160.0,3.0,1.0,829.0,12.0,93.0,1.0
39,facebook/react,v15.0.0-rc.2,2016-03-17,,,,,,,,,,,,,
40,facebook/react,v0.14.8,2016-03-29,,,,,,,,,,,,,
41,facebook/react,v15.0.0,2016-04-08,SUPPORT,985.0,165615.0,5.0,1002.0,18.0,160.0,3.0,1.0,1007.0,12.0,93.0,1.0
42,facebook/react,v15.0.1,2016-04-08,,,,,,,,,,,,,
43,facebook/react,v15.0.2,2016-04-29,,,,,,,,,,,,,
44,facebook/react,v15.1.0,2016-05-20,SUPPORT,1035.0,173891.0,1.0,53.0,2.0,43.0,1.0,,,,,
45,facebook/react,v15.2.0,2016-07-01,SUPPORT,1077.0,183240.0,2.0,137.0,2.0,9.0,1.0,,,,,
46,facebook/react,v15.2.1,2016-07-08,,,,,,,,,,,,,
47,facebook/react,v15.3.0,2016-07-29,,,,,,,,,,,,,
48,facebook/react,v15.3.1,2016-08-19,,,,,,,,,,,,,
49,facebook/react,15.3.1,2016-09-09,,,,,,,,,,,,,
50,facebook/react,v15.3.2,2016-09-19,SUPPORT,1118.0,192450.0,43.0,6805.0,92.0,2203.0,7.0,6.0,6817.0,23.0,471.0,6.0
51,facebook/react,v15.4.0-rc.3,2016-10-14,,,,,,,,,,,,,
52,facebook/react,v15.4.0,2016-11-16,SUPPORT,963.0,167456.0,1.0,78.0,1.0,2.0,1.0,,,,,
53,facebook/react,v15.4.1,2016-11-22,SUPPORT,966.0,170397.0,1.0,31.0,1.0,4.0,1.0,,,,,
54,facebook/react,v15.4.2,2017-01-06,,,,,,,,,,,,,
55,facebook/react,v16.0.0-alpha.3,2017-02-23,SUPPORT,1104.0,206922.0,21.0,1753.0,72.0,4772.0,9.0,110.0,8760.0,880.0,93808.0,1.0
56,facebook/react,v16.0.0-alpha.4,2017-03-13,SUPPORT,1130.0,209137.0,2.0,91.0,3.0,32.0,1.0,22.0,700.0,44.0,660.0,1.0
57,facebook/react,15.3.2,2017-03-16,SUPPORT,1064.0,162021.0,4.0,457.0,5.0,56.0,1.0,,,,,
58,facebook/react,v15.5.0,2017-04-07,SUPPORT,1106.0,205750.0,4.0,424.0,94.0,10007.0,2.0,,,,,
59,facebook/react,v15.5.4,2017-05-01,,,,,,,,,,,,,
60,facebook/react,v15.5.1,2017-05-01,,,,,,,,,,,,,
61,facebook/react,v15.5.3,2017-05-01,,,,,,,,,,,,,
62,facebook/react,v15.5.2,2017-05-01,,,,,,,,,,,,,
63,facebook/react,v15.6.0,2017-06-13,,,,,,,,,,,,,
64,facebook/react,v15.6.1,2017-06-15,,,,,,,,,,,,,
65,facebook/react,16.0.0-beta.1,2017-07-26,SUPPORT,1196.0,186266.0,30.0,2339.0,101.0,5515.0,9.0,198.0,14512.0,1276.0,108680.0,1.0
66,facebook/react,16.0.0-beta.3,2017-08-03,,,,,,,,,,,,,
67,facebook/react,16.0.0-beta.4,2017-08-08,,,,,,,,,,,,,
68,facebook/react,16.0.0-beta.5,2017-08-08,,,,,,,,,,,,,
69,facebook/react,v16.0.0-rc.1,2017-09-06,,,,,,,,,,,,,
70,facebook/react,v16.0.0-rc.2,2017-09-06,,,,,,,,,,,,,
71,facebook/react,v15.6.2,2017-09-25,SUPPORT,1075.0,168578.0,8.0,1207.0,99.0,10063.0,3.0,,,,,
72,facebook/react,v16.0.0,2017-09-26,SUPPORT,1225.0,213345.0,31.0,2552.0,108.0,6039.0,9.0,220.0,16951.0,1430.0,120208.0,1.0
73,facebook/react,16.1.0-beta,2017-11-02,SUPPORT,727.0,176579.0,1.0,265.0,2.0,32.0,1.0,,,,,
74,facebook/react,16.1.0-beta.1,2017-11-07,SUPPORT,729.0,176863.0,1.0,37.0,2.0,57.0,0.0,22.0,352.0,44.0,1254.0,1.0
75,facebook/react,16.1.0-rc,2017-11-08,,,,,,,,,,,,,
76,facebook/react,16.1.0,2017-11-09,,,,,,,,,,,,,
77,facebook/react,v16.1.0,2017-11-09,,,,,,,,,,,,,
78,facebook/react,v16.1.1,2017-11-13,SUPPORT,731.0,178194.0,1.0,19.0,1.0,2.0,1.0,,,,,
