,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,kennethreitz/requests,v0.2.1,2011-02-14,OTHER,19,1967,,,,,,,,,,,15.0,11.0,23.0,764.0,-1.0
1,kennethreitz/requests,v0.2.2,2011-02-14,OTHER,20,2028,,,,,,,,,,,13.0,7.0,16.0,167.0,-1.0
2,kennethreitz/requests,v0.2.3,2011-02-15,OTHER,20,2074,,,,,,,,,,,9.0,3.0,9.0,64.0,-1.0
3,kennethreitz/requests,v0.2.4,2011-02-19,OTHER,21,2085,,,,,,,,,,,15.0,15.0,19.0,834.0,-1.0
4,kennethreitz/requests,v0.3.0,2011-02-25,OTHER,23,2242,,,,,,,,,,,26.0,11.0,33.0,927.0,-1.0
5,kennethreitz/requests,v0.3.1,2011-04-01,OTHER,23,2296,,,,,,,,,,,11.0,5.0,10.0,52.0,-1.0
6,kennethreitz/requests,v0.3.2,2011-04-15,OTHER,23,2336,,,,,,,,,,,4.0,7.0,4.0,51.0,-1.0
7,kennethreitz/requests,v0.3.3,2011-05-12,OTHER,24,2757,,,,,,,,,,,14.0,6.0,13.0,499.0,-1.0
8,kennethreitz/requests,v0.4.0,2011-05-14,OTHER,28,2632,,,,,,,,,,,11.0,3.0,11.0,430.0,-1.0
9,kennethreitz/requests,v0.3.4,2011-05-14,OTHER,28,2881,,,,,,,,,,,7.0,7.0,7.0,46.0,-1.0
10,kennethreitz/requests,v0.4.1,2011-05-22,OTHER,50,4204,,,,,,,,,,,49.0,22.0,75.0,1905.0,-1.0
11,kennethreitz/requests,v0.5.0,2011-06-21,OTHER,50,4452,,,,,,,,,,,34.0,21.0,30.0,417.0,-1.0
12,kennethreitz/requests,v0.5.1,2011-07-23,OTHER,53,6856,,,,,,,,,,,26.0,14.0,30.0,2448.0,-1.0
13,kennethreitz/requests,v0.6.0,2011-08-17,OTHER,67,7673,,,,,,,,,,,79.0,26.0,89.0,971.0,-1.0
14,kennethreitz/requests,v0.6.1,2011-08-20,OTHER,68,7739,,,,,,6.0,10.0,4.0,15.0,1.0,19.0,7.0,14.0,105.0,-1.0
15,kennethreitz/requests,v0.6.2,2011-10-09,OTHER,68,7765,1.0,,2.0,9.0,1.0,,,,,,4.0,,4.0,29.0,-1.0
16,kennethreitz/requests,v0.6.3,2011-10-13,OTHER,69,7946,,,,,,,,,,,12.0,8.0,14.0,165.0,-1.0
17,kennethreitz/requests,v0.6.4,2011-10-13,OTHER,59,8072,,,,,,,,,,,51.0,20.0,61.0,791.0,-1.0
18,kennethreitz/requests,v0.6.5,2011-10-19,OTHER,61,8173,,,,,,,,,,,20.0,9.0,23.0,249.0,-1.0
19,kennethreitz/requests,v0.6.6,2011-10-19,OTHER,61,8211,,,,,,,,,,,3.0,1.0,4.0,20.0,-1.0
20,kennethreitz/requests,v0.7.0,2011-10-22,OTHER,60,8290,,,,,,,,,,,48.0,11.0,45.0,770.0,-1.0
21,kennethreitz/requests,v0.7.1,2011-10-23,OTHER,61,8339,,,,,,,,,,,19.0,6.0,22.0,662.0,-1.0
22,kennethreitz/requests,v0.7.3,2011-10-23,OTHER,61,8341,,,,,,,,,,,5.0,1.0,4.0,34.0,-1.0
23,kennethreitz/requests,v0.7.2,2011-10-23,OTHER,61,8345,,,,,,,,,,,1.0,1.0,2.0,10.0,-1.0
24,kennethreitz/requests,v0.7.4,2011-10-26,OTHER,61,8351,,,,,,,,,,,6.0,2.0,7.0,31.0,-1.0
25,kennethreitz/requests,v0.7.5,2011-11-04,OTHER,61,8425,,,,,,,,,,,17.0,8.0,17.0,143.0,-1.0
26,kennethreitz/requests,v0.7.6,2011-11-07,OTHER,61,8435,,,,,,,,,,,9.0,,8.0,24.0,-1.0
27,kennethreitz/requests,v0.8.0,2011-11-13,OTHER,67,9586,97.0,72.0,150.0,4917.0,1.0,8.0,72.0,34.0,485.0,3.0,96.0,29.0,142.0,5759.0,-1.0
28,kennethreitz/requests,v0.8.1,2011-11-15,OTHER,67,9621,,,,,,,,,,,15.0,3.0,11.0,90.0,-1.0
29,kennethreitz/requests,v0.8.2,2011-11-19,OTHER,70,10864,,,,,,,,,,,24.0,7.0,25.0,1401.0,-1.0
30,kennethreitz/requests,v0.8.3,2011-11-27,OTHER,70,10935,,,,,,,,,,,17.0,2.0,21.0,217.0,-1.0
31,kennethreitz/requests,v0.8.4,2011-12-11,OTHER,70,10976,,,,,,,,,,,17.0,6.0,14.0,69.0,-1.0
32,kennethreitz/requests,v0.8.5,2011-12-14,OTHER,70,11037,,,,,,,,,,,11.0,1.0,12.0,76.0,-1.0
33,kennethreitz/requests,v0.8.6,2011-12-18,OTHER,70,11093,,,,,,,,,,,8.0,2.0,8.0,78.0,-1.0
34,kennethreitz/requests,v0.8.7,2011-12-24,OTHER,70,11188,,,,,,,,,,,10.0,7.0,9.0,115.0,-1.0
35,kennethreitz/requests,v0.8.8,2011-12-28,OTHER,73,11352,,,,,,,,,,,24.0,5.0,12.0,134.0,-1.0
36,kennethreitz/requests,v0.8.9,2011-12-28,OTHER,73,11360,,,,,,,,,,,4.0,,5.0,14.0,-1.0
37,kennethreitz/requests,v0.9.0,2011-12-28,OTHER,73,11367,,,,,,,,,,,3.0,,4.0,17.0,-1.0
38,kennethreitz/requests,v0.9.1,2012-01-06,OTHER,73,11373,,,,,,,,,,,10.0,3.0,18.0,126.0,-1.0
39,kennethreitz/requests,v0.9.3,2012-01-18,OTHER,73,11469,,,,,,,,,,,5.0,,5.0,18.0,-1.0
40,kennethreitz/requests,v0.9.2,2012-01-18,OTHER,73,11484,,,,,,,,,,,33.0,9.0,24.0,264.0,-1.0
41,kennethreitz/requests,v0.10.0,2012-01-21,OTHER,73,11610,,,,,,,,,,,34.0,3.0,29.0,312.0,-1.0
42,kennethreitz/requests,v0.10.1,2012-01-23,OTHER,76,12233,1.0,4.0,6.0,62.0,1.0,,,,,,28.0,4.0,66.0,1427.0,-1.0
43,kennethreitz/requests,v0.10.2,2012-02-15,OTHER,77,12434,22.0,29.0,15.0,263.0,2.0,7.0,29.0,10.0,76.0,3.0,29.0,13.0,29.0,181.0,-1.0
