,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,dotnet/roslyn,Oss.Scan.2015.03.13,2015-03-23,BUG,10530,4178367,36.0,238.0,59.0,2145.0,16.0,4.0,238.0,72.0,1116.0,2.0,16.0,92.0,81.0,4217.0,-1.0
1,dotnet/roslyn,VS.Tools.X86.Managed.V45.1.0.150513.2,2015-04-30,BUG,10606,4208021,114.0,740.0,108.0,3616.0,24.0,2.0,740.0,7.0,247.0,2.0,91.0,327.0,336.0,9592.0,-1.0
2,dotnet/roslyn,toolset_1,2015-04-30,BUG,10606,4208021,,,,,,,,,,,,,,,
3,dotnet/roslyn,VS.Toolset.Roslyn.1.1.0-beta1-20150727-01,2015-07-27,BUG,10781,4264510,236.0,1381.0,855.0,96736.0,27.0,2.0,1378.0,2.0,76.0,2.0,140.0,613.0,1280.0,17351.0,-1.0
4,dotnet/roslyn,toolset_2,2015-07-27,BUG,10781,4264510,,,,,,,,,,,,,,,
5,dotnet/roslyn,toolset_1_1,2015-08-03,BUG,10606,4208021,,,,,,,,,,,,,,,
6,dotnet/roslyn,NetFx.Toolset.150729,2015-08-03,BUG,10606,4208021,,,,,,,,,,,,,,,
7,dotnet/roslyn,toolset_3,2015-08-26,BUG,10441,4220419,292.0,1995.0,936.0,99041.0,30.0,4.0,1993.0,5.0,133.0,4.0,181.0,824.0,1372.0,19172.0,-1.0
8,dotnet/roslyn,Visual.Studio.2015.Update.1.CTP,2015-10-09,BUG,10645,4312637,69.0,716.0,101.0,1679.0,17.0,,,,,,52.0,345.0,206.0,9037.0,-1.0
9,dotnet/roslyn,Visual.Studio.2015.Update.1.RC,2015-10-19,BUG,10783,4416010,108.0,696.0,417.0,8832.0,20.0,15.0,695.0,45.0,1218.0,3.0,68.0,229.0,192.0,4710.0,-1.0
10,dotnet/roslyn,Visual-Studio-2015-CTP-5,2015-11-19,BUG,5404,2933122,,,,,,,,,,,128.0,277.0,860.0,22320.0,-1.0
11,dotnet/roslyn,Visual-Studio-2015-CTP-6,2015-11-19,BUG,6629,3091803,29.0,235.0,278.0,8422.0,12.0,,,,,,50.0,103.0,298.0,16022.0,-1.0
12,dotnet/roslyn,Visual-Studio-2015-Preview,2015-11-19,BUG,6605,3451163,,,,,,,,,,,20.0,33.0,87.0,2089.0,-1.0
13,dotnet/roslyn,Visual-Studio-2015-RC,2015-11-19,BUG,10537,4185481,205.0,1329.0,553.0,12191.0,26.0,18.0,1329.0,9.0,193.0,4.0,136.0,567.0,421.0,16168.0,-1.0
14,dotnet/roslyn,Visual-Studio-2015,2015-11-19,BUG,10667,4251170,289.0,1639.0,424.0,31849.0,27.0,7.0,1639.0,79.0,1363.0,4.0,187.0,727.0,739.0,20544.0,-1.0
15,dotnet/roslyn,version-1.0.0,2015-11-19,BUG,10667,4251170,,,,,,,,,,,,,,,
16,dotnet/roslyn,Visual-Studio-2015-Update-1-CTP,2015-11-19,BUG,10645,4312637,202.0,1952.0,738.0,72685.0,28.0,3.0,1950.0,5.0,133.0,3.0,149.0,825.0,1244.0,18975.0,-1.0
17,dotnet/roslyn,Visual-Studio-2015-Update-1-RC,2015-11-19,BUG,10783,4416010,108.0,696.0,417.0,8832.0,20.0,15.0,695.0,45.0,1218.0,3.0,68.0,229.0,192.0,4710.0,-1.0
18,dotnet/roslyn,version-1.0.0-beta1-20141031-01,2015-11-30,BUG,6605,3451163,,,,,,,,,,,20.0,33.0,87.0,2089.0,-1.0
19,dotnet/roslyn,version-1.1.0,2015-11-30,BUG,10831,4441443,27.0,274.0,14.0,1269.0,10.0,,,,,,27.0,109.0,87.0,2317.0,-1.0
20,dotnet/roslyn,version-1.1.0-rc1-20151109-01,2015-11-30,BUG,10831,4441443,,,,,,,,,,,,,,,
21,dotnet/roslyn,Visual-Studio-2015-Update-1,2015-11-30,BUG,10831,4441443,,,,,,,,,,,,,,,
22,dotnet/roslyn,version-1.1.1,2015-12-03,BUG,10831,4441490,851.0,6288.0,2424.0,135248.0,35.0,43.0,6285.0,138.0,2907.0,11.0,728.0,2795.0,3725.0,95919.0,-1.0
23,dotnet/roslyn,version-1.2.0-beta,2015-12-15,BUG,10959,4501677,68.0,1183.0,68.0,1907.0,20.0,15.0,1181.0,19.0,1973.0,4.0,114.0,639.0,370.0,19044.0,-1.0
24,dotnet/roslyn,version-1.2.0-beta-20151211-01,2015-12-15,BUG,10959,4501677,,,,,,,,,,,,,,,
25,dotnet/roslyn,version-1.2.0-beta1-20160108-01,2016-01-07,BUG,10992,4492814,50.0,459.0,27.0,690.0,16.0,2.0,459.0,2.0,13.0,2.0,39.0,239.0,92.0,2651.0,-1.0
26,dotnet/roslyn,toolset_5,2016-02-05,BUG,11097,4523019,21.0,420.0,4.0,10.0,13.0,1.0,420.0,3.0,78.0,1.0,44.0,236.0,249.0,2568.0,-1.0
27,dotnet/roslyn,Visual-Studio-2015-Update-2-RC,2016-03-07,BUG,11156,4536899,43.0,375.0,40.0,893.0,13.0,,,,,,45.0,188.0,167.0,5434.0,-1.0
28,dotnet/roslyn,Visual-Studio-2015-Update-2,2016-03-31,BUG,11215,4550445,37.0,210.0,4.0,73.0,12.0,,,,,,25.0,116.0,331.0,5531.0,-1.0
29,dotnet/roslyn,version-1.2.0,2016-03-31,BUG,11215,4550445,,,,,,,,,,,1.0,,2.0,46.0,-1.0
30,dotnet/roslyn,version-1.2.1,2016-03-31,BUG,11215,4550579,1.0,2.0,,0.0,1.0,,,,,,2.0,1.0,3.0,88.0,-1.0
31,dotnet/roslyn,Visual-Studio-2015-Update-2-Micro-Update-1,2016-03-31,BUG,11215,4550579,1.0,2.0,,0.0,1.0,,,,,,2.0,1.0,3.0,88.0,-1.0
32,dotnet/roslyn,version-2.0.0-beta1,2016-03-31,BUG,11500,4624852,58.0,941.0,130.0,4841.0,15.0,,,,,,56.0,440.0,338.0,18834.0,-1.0
33,dotnet/roslyn,Visual-Studio-15-Preview,2016-03-31,BUG,11500,4624852,58.0,941.0,130.0,4841.0,15.0,,,,,,56.0,440.0,338.0,18834.0,-1.0
34,dotnet/roslyn,version-1.3.0-beta1-20160429-01,2016-04-29,BUG,11201,4396281,58.0,575.0,54.0,2623.0,16.0,,,,,,53.0,270.0,149.0,4857.0,-1.0
35,dotnet/roslyn,version-1.2.2,2016-05-23,BUG,11215,4550757,,,,,,,,,,,2.0,3.0,3.0,88.0,-1.0
36,dotnet/roslyn,Visual-Studio-2015-Update-2-Micro-Update-3,2016-05-23,BUG,11215,4550757,,,,,,,,,,,,,,,
37,dotnet/roslyn,Visual-Studio-2015-Update-3,2016-06-27,BUG,11302,4419553,142.0,1429.0,190.0,7251.0,26.0,65.0,1561.0,15.0,338.0,4.0,130.0,704.0,462.0,9527.0,-1.0
38,dotnet/roslyn,version-1.3.1,2016-06-27,BUG,11302,4419553,,,,,,,,,,,,,,,
39,dotnet/roslyn,version-1.3.2,2016-06-27,BUG,11302,4419566,,,,,,,,,,,,,,,
40,dotnet/roslyn,Visual-Studio-2015-Update-3-Micro-Update-1,2016-06-27,BUG,11302,4419566,,,,,,,,,,,1.0,6.0,,0.0,-1.0
41,dotnet/roslyn,version-1.3.0,2016-06-29,BUG,11303,4419529,,,,,,,,,,,,,,,
42,dotnet/roslyn,Visual-Studio-15-Preview-3,2016-07-12,BUG,11523,4508006,96.0,1602.0,240.0,7831.0,21.0,60.0,1660.0,3.0,130.0,2.0,101.0,685.0,601.0,33909.0,-1.0
43,dotnet/roslyn,version-2.0.0-beta3,2016-07-12,BUG,11523,4508006,,,,,,,,,,,,,,,
44,dotnet/roslyn,Visual-Studio-15-Preview-4,2016-08-23,BUG,11662,4539258,25.0,704.0,96.0,898.0,10.0,1085.0,6456.0,770.0,8911.0,3.0,49.0,386.0,304.0,4741.0,-1.0
45,dotnet/roslyn,version-2.0.0-beta4,2016-08-23,BUG,11662,4539258,,,,,,,,,,,,,,,
46,dotnet/roslyn,Visual-Studio-15-Preview-5,2016-10-05,BUG,11960,4504709,38.0,1746.0,72.0,1014.0,18.0,2662.0,21719.0,2572.0,65123.0,3.0,144.0,1029.0,404.0,133107.0,-1.0
47,dotnet/roslyn,version-2.0.0-beta5,2016-10-05,BUG,11960,4504709,,,,,,,,,,,,,,,
48,dotnet/roslyn,Visual-Studio-2017-RC,2016-11-16,BUG,11916,4540626,12.0,1092.0,42.0,523.0,6.0,3068.0,17506.0,3658.0,151040.0,1.0,84.0,636.0,168.0,3583.0,-1.0
49,dotnet/roslyn,version-2.0.0-rc,2016-11-16,BUG,11916,4540626,,,,,,,,,,,,,,,
50,dotnet/roslyn,Visual-Studio-2017-RC2,2016-12-12,BUG,12084,4620753,25.0,897.0,82.0,1554.0,7.0,3658.0,12613.0,708.0,17287.0,1.0,140.0,603.0,625.0,9013.0,-1.0
51,dotnet/roslyn,version-2.0.0-rc2,2016-12-12,BUG,12084,4620753,,,,,,,,,,,,,,,
52,dotnet/roslyn,version-2.0.0-rc3,2017-01-30,BUG,12135,4637921,34.0,1346.0,465.0,5676.0,7.0,4486.0,16890.0,2075.0,117430.0,2.0,119.0,898.0,379.0,13232.0,-1.0
53,dotnet/roslyn,Visual-Studio-2017-RC3,2017-01-30,BUG,12135,4637921,,,,,,,,,,,,,,,
54,dotnet/roslyn,version-2.0.0-rc4,2017-02-07,BUG,12153,4647744,6.0,223.0,9.0,78.0,2.0,1122.0,4167.0,237.0,5926.0,2.0,22.0,110.0,36.0,479.0,-1.0
55,dotnet/roslyn,Visual-Studio-2017-RC4,2017-02-07,BUG,12153,4647744,,,,,,,,,,,,,,,
56,dotnet/roslyn,version-2.0.0,2017-03-07,BUG,12153,4652592,,,,,,177.0,440.0,,0.0,1.0,6.0,23.0,8.0,185.0,-1.0
57,dotnet/roslyn,Visual-Studio-2017,2017-03-07,BUG,12153,4652592,,,,,,,,,,,,,,,
58,dotnet/roslyn,version-2.1.0,2017-04-28,BUG,12156,4652731,,,,,,236.0,1081.0,,0.0,1.0,1.0,18.0,1.0,3.0,-1.0
59,dotnet/roslyn,version-2.2.0,2017-05-10,BUG,12156,4653174,,,,,,118.0,539.0,,0.0,1.0,1.0,7.0,1.0,19.0,-1.0
60,dotnet/roslyn,version-2.3.0-beta1,2017-05-10,BUG,12610,5040900,62.0,2482.0,191.0,5427.0,13.0,5373.0,36933.0,6859.0,257148.0,3.0,230.0,1499.0,439.0,9923.0,-1.0
61,dotnet/roslyn,Visual-Studio-2017-Version-15.1,2017-05-11,BUG,12156,4652731,,,,,,,,,,,,,,,
62,dotnet/roslyn,Visual-Studio-2017-Version-15.2,2017-05-11,BUG,12156,4653174,,,,,,118.0,539.0,,0.0,1.0,1.0,7.0,1.0,19.0,-1.0
63,dotnet/roslyn,Visual-Studio-2017-Preview-Version-15.3,2017-05-11,BUG,12610,5040900,62.0,2482.0,191.0,5427.0,13.0,5373.0,36933.0,6859.0,257148.0,3.0,230.0,1499.0,439.0,9923.0,-1.0
