,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,dotnet/roslyn,Oss.Scan.2015.03.13,2015-03-23,OTHER,10530.0,4178367.0,137.0,79.0,1053.0,138121.0,23.0,15.0,79.0,149.0,3379.0,2.0
1,dotnet/roslyn,VS.Tools.X86.Managed.V45.1.0.150513.2,2015-04-30,OTHER,10606.0,4208021.0,368.0,308.0,998.0,21713.0,27.0,1.0,308.0,5.0,665.0,1.0
2,dotnet/roslyn,toolset_1,2015-04-30,,,,,,,,,,,,,
3,dotnet/roslyn,VS.Toolset.Roslyn.1.1.0-beta1-20150727-01,2015-07-27,OTHER,10781.0,4264510.0,702.0,545.0,1959.0,55888.0,31.0,12.0,542.0,22.0,1187.0,7.0
4,dotnet/roslyn,toolset_2,2015-07-27,,,,,,,,,,,,,
5,dotnet/roslyn,toolset_1_1,2015-08-03,,,,,,,,,,,,,
6,dotnet/roslyn,NetFx.Toolset.150729,2015-08-03,,,,,,,,,,,,,
7,dotnet/roslyn,toolset_3,2015-08-26,OTHER,10441.0,4220419.0,1043.0,750.0,3297.0,135561.0,33.0,12.0,748.0,22.0,1187.0,7.0
8,dotnet/roslyn,Visual.Studio.2015.Update.1.CTP,2015-10-09,OTHER,10645.0,4312637.0,325.0,217.0,1306.0,92715.0,23.0,1.0,217.0,3.0,46.0,1.0
9,dotnet/roslyn,Visual.Studio.2015.Update.1.RC,2015-10-19,OTHER,10783.0,4416010.0,402.0,310.0,1563.0,140899.0,27.0,18.0,310.0,15.0,374.0,5.0
10,dotnet/roslyn,Visual-Studio-2015-CTP-5,2015-11-19,,,,,,,,,,,,,
11,dotnet/roslyn,Visual-Studio-2015-CTP-6,2015-11-19,OTHER,6629.0,3091803.0,110.0,139.0,7060.0,72955.0,18.0,6.0,139.0,113.0,5102.0,2.0
12,dotnet/roslyn,Visual-Studio-2015-Preview,2015-11-19,,,,,,,,,,,,,
13,dotnet/roslyn,Visual-Studio-2015-RC,2015-11-19,OTHER,10537.0,4185481.0,669.0,564.0,6703.0,956258.0,30.0,26.0,565.0,93.0,1594.0,11.0
14,dotnet/roslyn,Visual-Studio-2015,2015-11-19,OTHER,10667.0,4251170.0,832.0,689.0,2835.0,153995.0,28.0,22.0,689.0,166.0,5068.0,6.0
15,dotnet/roslyn,version-1.0.0,2015-11-19,,,,,,,,,,,,,
16,dotnet/roslyn,Visual-Studio-2015-Update-1-CTP,2015-11-19,OTHER,10645.0,4312637.0,986.0,630.0,3590.0,200870.0,32.0,5.0,628.0,9.0,108.0,4.0
17,dotnet/roslyn,Visual-Studio-2015-Update-1-RC,2015-11-19,OTHER,10783.0,4416010.0,402.0,310.0,1563.0,140899.0,27.0,18.0,310.0,15.0,374.0,5.0
18,dotnet/roslyn,version-1.0.0-beta1-20141031-01,2015-11-30,,,,,,,,,,,,,
19,dotnet/roslyn,version-1.1.0,2015-11-30,OTHER,10831.0,4441443.0,131.0,111.0,352.0,6949.0,22.0,,,,,
20,dotnet/roslyn,version-1.1.0-rc1-20151109-01,2015-11-30,,,,,,,,,,,,,
21,dotnet/roslyn,Visual-Studio-2015-Update-1,2015-11-30,,,,,,,,,,,,,
22,dotnet/roslyn,version-1.1.1,2015-12-03,OTHER,10831.0,4441490.0,3063.0,2581.0,21298.0,1210025.0,35.0,77.0,2580.0,396.0,12246.0,23.0
23,dotnet/roslyn,version-1.2.0-beta,2015-12-15,OTHER,10959.0,4501677.0,475.0,497.0,1382.0,54964.0,26.0,7.0,497.0,9.0,147.0,5.0
24,dotnet/roslyn,version-1.2.0-beta-20151211-01,2015-12-15,,,,,,,,,,,,,
25,dotnet/roslyn,version-1.2.0-beta1-20160108-01,2016-01-07,OTHER,10992.0,4492814.0,178.0,205.0,387.0,39263.0,24.0,2.0,205.0,10.0,27.0,1.0
26,dotnet/roslyn,toolset_5,2016-02-05,OTHER,11097.0,4523019.0,163.0,128.0,1523.0,42023.0,22.0,2.0,128.0,,0.0,1.0
27,dotnet/roslyn,Visual-Studio-2015-Update-2-RC,2016-03-07,OTHER,11156.0,4536899.0,166.0,144.0,505.0,7860.0,28.0,1.0,143.0,,0.0,1.0
28,dotnet/roslyn,version-1.2.0,2016-03-31,OTHER,11215.0,4550445.0,1.0,1.0,,0.0,1.0,,,,,
29,dotnet/roslyn,Visual-Studio-2015-Update-2,2016-03-31,OTHER,11215.0,4550445.0,83.0,92.0,276.0,8382.0,18.0,,,,,
30,dotnet/roslyn,version-1.2.1,2016-03-31,OTHER,11215.0,4550579.0,1.0,4.0,,0.0,1.0,,,,,
31,dotnet/roslyn,Visual-Studio-2015-Update-2-Micro-Update-1,2016-03-31,OTHER,11215.0,4550579.0,1.0,4.0,,0.0,1.0,,,,,
32,dotnet/roslyn,version-2.0.0-beta1,2016-03-31,OTHER,11500.0,4624852.0,416.0,283.0,1379.0,271472.0,27.0,,,,,
33,dotnet/roslyn,Visual-Studio-15-Preview,2016-03-31,OTHER,11500.0,4624852.0,416.0,283.0,1379.0,271472.0,27.0,,,,,
34,dotnet/roslyn,version-1.3.0-beta1-20160429-01,2016-04-29,OTHER,11201.0,4396281.0,256.0,230.0,517.0,233203.0,29.0,3.0,230.0,13.0,70.0,2.0
35,dotnet/roslyn,version-1.2.2,2016-05-23,OTHER,11215.0,4550757.0,5.0,2.0,11.0,103.0,3.0,,,,,
36,dotnet/roslyn,Visual-Studio-2015-Update-2-Micro-Update-3,2016-05-23,,,,,,,,,,,,,
37,dotnet/roslyn,Visual-Studio-2015-Update-3,2016-06-27,OTHER,11302.0,4419553.0,628.0,496.0,2028.0,482812.0,37.0,88.0,517.0,15.0,132.0,6.0
38,dotnet/roslyn,version-1.3.1,2016-06-27,,,,,,,,,,,,,
39,dotnet/roslyn,Visual-Studio-2015-Update-3-Micro-Update-1,2016-06-27,OTHER,11302.0,4419566.0,3.0,1.0,1.0,318.0,3.0,,,,,
40,dotnet/roslyn,version-1.3.2,2016-06-27,,,,,,,,,,,,,
41,dotnet/roslyn,version-1.3.0,2016-06-29,,,,,,,,,,,,,
42,dotnet/roslyn,Visual-Studio-15-Preview-3,2016-07-12,OTHER,11523.0,4508006.0,771.0,505.0,3275.0,275452.0,30.0,25.0,526.0,11.0,104.0,3.0
43,dotnet/roslyn,version-2.0.0-beta3,2016-07-12,,,,,,,,,,,,,
44,dotnet/roslyn,Visual-Studio-15-Preview-4,2016-08-23,OTHER,11662.0,4539258.0,255.0,217.0,675.0,28237.0,25.0,1967.0,854.0,2728.0,168982.0,2.0
45,dotnet/roslyn,version-2.0.0-beta4,2016-08-23,,,,,,,,,,,,,
46,dotnet/roslyn,Visual-Studio-15-Preview-5,2016-10-05,OTHER,11960.0,4504709.0,601.0,542.0,2831.0,67975.0,24.0,6955.0,2095.0,12358.0,471753.0,6.0
47,dotnet/roslyn,version-2.0.0-beta5,2016-10-05,,,,,,,,,,,,,
48,dotnet/roslyn,Visual-Studio-2017-RC,2016-11-16,OTHER,11916.0,4540626.0,390.0,327.0,1310.0,47088.0,13.0,5610.0,2007.0,17160.0,787776.0,1.0
49,dotnet/roslyn,version-2.0.0-rc,2016-11-16,,,,,,,,,,,,,
50,dotnet/roslyn,Visual-Studio-2017-RC2,2016-12-12,OTHER,12084.0,4620753.0,263.0,386.0,887.0,26505.0,13.0,4026.0,2087.0,3718.0,171094.0,1.0
51,dotnet/roslyn,version-2.0.0-rc2,2016-12-12,,,,,,,,,,,,,
52,dotnet/roslyn,version-2.0.0-rc3,2017-01-30,OTHER,12135.0,4637921.0,396.0,399.0,1848.0,38275.0,17.0,5330.0,2541.0,5281.0,234728.0,4.0
53,dotnet/roslyn,Visual-Studio-2017-RC3,2017-01-30,,,,,,,,,,,,,
54,dotnet/roslyn,version-2.0.0-rc4,2017-02-07,OTHER,12153.0,4647744.0,103.0,75.0,219.0,5593.0,12.0,1388.0,579.0,1345.0,66759.0,2.0
55,dotnet/roslyn,Visual-Studio-2017-RC4,2017-02-07,,,,,,,,,,,,,
56,dotnet/roslyn,version-2.0.0,2017-03-07,OTHER,12153.0,4652592.0,8.0,19.0,6.0,65.0,3.0,110.0,124.0,,0.0,1.0
57,dotnet/roslyn,Visual-Studio-2017,2017-03-07,,,,,,,,,,,,,
58,dotnet/roslyn,version-2.1.0,2017-04-28,OTHER,12156.0,4652731.0,18.0,9.0,8.0,30.0,1.0,374.0,114.0,22.0,66.0,1.0
59,dotnet/roslyn,version-2.2.0,2017-05-10,OTHER,12156.0,4653174.0,10.0,5.0,3.0,8.0,1.0,198.0,47.0,44.0,110.0,1.0
60,dotnet/roslyn,version-2.3.0-beta1,2017-05-10,OTHER,12610.0,5040900.0,792.0,920.0,1529.0,350532.0,25.0,10751.0,5056.0,9231.0,273929.0,5.0
61,dotnet/roslyn,Visual-Studio-2017-Version-15.1,2017-05-11,,,,,,,,,,,,,
62,dotnet/roslyn,Visual-Studio-2017-Version-15.2,2017-05-11,OTHER,12156.0,4653174.0,10.0,5.0,3.0,8.0,1.0,198.0,47.0,44.0,110.0,1.0
63,dotnet/roslyn,Visual-Studio-2017-Preview-Version-15.3,2017-05-11,OTHER,12610.0,5040900.0,792.0,920.0,1529.0,350532.0,25.0,10751.0,5056.0,9231.0,273929.0,5.0
64,dotnet/roslyn,Visual-Studio-2017-Preview-2-Version-15.3,2017-06-15,OTHER,12501.0,5072880.0,190.0,292.0,968.0,30158.0,12.0,2491.0,1846.0,8410.0,421402.0,3.0
65,dotnet/roslyn,version-2.3.0-beta2,2017-06-15,,,,,,,,,,,,,
66,dotnet/roslyn,Visual-Studio-2017-Preview-3-Version-15.3,2017-06-27,OTHER,12525.0,5080460.0,92.0,153.0,163.0,3132.0,8.0,1475.0,1266.0,2289.0,30010.0,2.0
67,dotnet/roslyn,version-2.3.0-beta3,2017-06-27,,,,,,,,,,,,,
68,dotnet/roslyn,version-2.3.2-beta1,2017-08-14,OTHER,12534.0,5083343.0,44.0,65.0,30.0,1118.0,4.0,858.0,695.0,506.0,20746.0,1.0
69,dotnet/roslyn,Visual-Studio-2017-Version-15.3,2017-08-14,,,,,,,,,,,,,
70,dotnet/roslyn,Visual-Studio-2017-Version-15.3.2,2017-09-28,OTHER,12534.0,5083768.0,5.0,2.0,2.0,233.0,1.0,88.0,2.0,,0.0,1.0
71,dotnet/roslyn,version-2.3.2,2017-09-28,,,,,,,,,,,,,
72,dotnet/roslyn,Visual-Studio-2017-Version-15.3.4,2017-09-28,OTHER,12534.0,5083813.0,1.0,,,0.0,0.0,,,,,
73,dotnet/roslyn,version-2.3.4,2017-09-28,,,,,,,,,,,,,
74,dotnet/roslyn,Visual-Studio-2017-Version-15.3.5,2017-09-28,OTHER,12534.0,5083921.0,1.0,,,0.0,0.0,,,,,
75,dotnet/roslyn,version-2.3.5,2017-09-28,,,,,,,,,,,,,
76,dotnet/roslyn,Visual-Studio-2017-Preview-1-Version-15.4,2017-09-28,,,,,,,,,,,,,
77,dotnet/roslyn,Visual-Studio-2017-Preview-2-Version-15.4,2017-09-28,OTHER,12550.0,5084403.0,24.0,7.0,64.0,1634.0,2.0,396.0,49.0,132.0,1474.0,1.0
78,dotnet/roslyn,Visual-Studio-2017-Preview-3-Version-15.4,2017-09-28,OTHER,12550.0,5084565.0,4.0,4.0,4.0,50.0,0.0,88.0,46.0,88.0,1100.0,1.0
79,dotnet/roslyn,Visual-Studio-2017-Version-15.4,2017-10-11,OTHER,12550.0,5084690.0,16.0,7.0,7.0,293.0,2.0,308.0,49.0,88.0,1100.0,1.0
80,dotnet/roslyn,version-2.4.0,2017-10-11,,,,,,,,,,,,,
81,dotnet/roslyn,Visual-Studio-2017-Version-15.5,2017-12-05,OTHER,12716.0,5226991.0,961.0,1428.0,4656.0,186397.0,33.0,13942.0,8337.0,55873.0,2569820.0,5.0
82,dotnet/roslyn,version-2.6.0-beta3,2017-12-05,,,,,,,,,,,,,
83,dotnet/roslyn,version-2.7.0-beta3,2018-03-07,OTHER,12983.0,5602980.0,429.0,417.0,1958.0,415272.0,23.0,6380.0,3000.0,12782.0,423456.0,1.0
84,dotnet/roslyn,Visual-Studio-2017-Version-15.6,2018-03-07,,,,,,,,,,,,,
85,dotnet/roslyn,Visual-Studio-2017-Preview-6-Version-15.7,2018-04-30,OTHER,13055.0,5681190.0,459.0,611.0,2100.0,69670.0,14.0,6564.0,5378.0,15983.0,859771.0,2.0
86,dotnet/roslyn,version-2.8.0,2018-04-30,,,,,,,,,,,,,
87,dotnet/roslyn,Visual-Studio-2017-Version-15.7,2018-04-30,,,,,,,,,,,,,
88,dotnet/roslyn,Visual-Studio-2017-Version-15.7.2,2018-05-16,OTHER,13056.0,5681353.0,12.0,3.0,27.0,374.0,1.0,242.0,66.0,220.0,5830.0,1.0
89,dotnet/roslyn,version-2.8.2,2018-05-16,,,,,,,,,,,,,
90,dotnet/roslyn,Visual-Studio-2017-Version-15.8,2018-08-24,OTHER,13265.0,5877056.0,1036.0,1020.0,2592.0,258321.0,23.0,16043.0,5157.0,31899.0,4946363.0,7.0
91,dotnet/roslyn,version-2.9.0,2018-08-24,,,,,,,,,,,,,
92,dotnet/roslyn,Visual-Studio-2017-Version-15.9,2018-11-13,OTHER,13265.0,5879421.0,120.0,21.0,69.0,1093.0,3.0,2244.0,147.0,1166.0,12496.0,1.0
93,dotnet/roslyn,version-2.10.0,2018-11-13,,,,,,,,,,,,,
94,dotnet/roslyn,version-3.0.0,2019-04-17,OTHER,13758.0,6147260.0,1930.0,2056.0,9405.0,359292.0,27.0,28731.0,14488.0,137154.0,6311171.0,13.0
95,dotnet/roslyn,Visual-Studio-2019-Version-16.1,2019-05-21,OTHER,13942.0,6321499.0,1149.0,1126.0,3331.0,143805.0,24.0,14406.0,10030.0,28714.0,2025257.0,8.0
96,dotnet/roslyn,version-3.1.0,2019-05-21,,,,,,,,,,,,,
97,dotnet/roslyn,Visual-Studio-2019-Version-16.2-Preview-1,2019-05-21,OTHER,13942.0,6322925.0,119.0,51.0,636.0,26031.0,6.0,2288.0,702.0,11374.0,312906.0,1.0
98,dotnet/roslyn,Visual-Studio-2019-Version-16.2,2019-08-09,OTHER,14159.0,6411709.0,153.0,318.0,639.0,17902.0,12.0,2324.0,1746.0,8127.0,312150.0,3.0
99,dotnet/roslyn,version-3.2.0,2019-08-09,,,,,,,,,,,,,
100,dotnet/roslyn,perf-assets-v1,2019-10-21,OTHER,14326.0,6491962.0,94.0,1454.0,828.0,13975.0,3.0,23.0,2462.0,3.0,201.0,2.0
101,dotnet/roslyn,v3.6.0,2020-03-03,OTHER,14798.0,6549901.0,7.0,1339.0,111.0,5661.0,0.0,154.0,1339.0,2442.0,124542.0,1.0
