,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,dotnet/roslyn,Oss.Scan.2015.03.13,2015-03-23,,,,,,,,,,,,,,,,,,
1,dotnet/roslyn,VS.Tools.X86.Managed.V45.1.0.150513.2,2015-04-30,,,,1.0,946.0,1.0,2.0,1.0,,,,,,,,,,
2,dotnet/roslyn,toolset_1,2015-04-30,,,,,,,,,,,,,,,,,,
3,dotnet/roslyn,VS.Toolset.Roslyn.1.1.0-beta1-20150727-01,2015-07-27,RELEASE,10781.0,4264510.0,3.0,1754.0,3.0,12.0,3.0,,,,,,3.0,750.0,39.0,100.0,-1.0
4,dotnet/roslyn,toolset_2,2015-07-27,,,,,,,,,,,,,,,,,,
5,dotnet/roslyn,toolset_1_1,2015-08-03,,,,,,,,,,,,,,,,,,
6,dotnet/roslyn,NetFx.Toolset.150729,2015-08-03,,,,,,,,,,,,,,,,,,
7,dotnet/roslyn,toolset_3,2015-08-26,RELEASE,10441.0,4220419.0,4.0,2465.0,3.0,12.0,4.0,,,,,,4.0,1001.0,43.0,684.0,-1.0
8,dotnet/roslyn,Visual.Studio.2015.Update.1.CTP,2015-10-09,,,,,,,,,,,,,,,,,,
9,dotnet/roslyn,Visual.Studio.2015.Update.1.RC,2015-10-19,RELEASE,10783.0,4416010.0,1.0,886.0,,0.0,1.0,,,,,,1.0,296.0,1.0,2.0,-1.0
10,dotnet/roslyn,Visual-Studio-2015-CTP-5,2015-11-19,,,,,,,,,,,,,,,,,,
11,dotnet/roslyn,Visual-Studio-2015-CTP-6,2015-11-19,,,,,,,,,,,,,,,,,,
12,dotnet/roslyn,Visual-Studio-2015-Preview,2015-11-19,,,,,,,,,,,,,,,,,,
13,dotnet/roslyn,Visual-Studio-2015-RC,2015-11-19,,,,,,,,,,,,,,,,,,
14,dotnet/roslyn,Visual-Studio-2015,2015-11-19,RELEASE,10667.0,4251170.0,1.0,2120.0,1.0,2.0,1.0,,,,,,1.0,913.0,35.0,72.0,-1.0
15,dotnet/roslyn,version-1.0.0,2015-11-19,,,,,,,,,,,,,,,,,,
16,dotnet/roslyn,Visual-Studio-2015-Update-1-CTP,2015-11-19,RELEASE,10645.0,4312637.0,4.0,2300.0,3.0,12.0,4.0,,,,,,3.0,971.0,8.0,612.0,-1.0
17,dotnet/roslyn,Visual-Studio-2015-Update-1-RC,2015-11-19,RELEASE,10783.0,4416010.0,1.0,886.0,,0.0,1.0,,,,,,1.0,296.0,1.0,2.0,-1.0
18,dotnet/roslyn,version-1.0.0-beta1-20141031-01,2015-11-30,,,,,,,,,,,,,,,,,,
19,dotnet/roslyn,version-1.1.0,2015-11-30,,,,1.0,327.0,27.0,1452.0,1.0,,,,,,,,,,
20,dotnet/roslyn,version-1.1.0-rc1-20151109-01,2015-11-30,,,,,,,,,,,,,,,,,,
21,dotnet/roslyn,Visual-Studio-2015-Update-1,2015-11-30,,,,,,,,,,,,,,,,,,
22,dotnet/roslyn,version-1.1.1,2015-12-03,RELEASE,10831.0,4441490.0,7.0,7923.0,31.0,1466.0,7.0,,,,,,5.0,3518.0,44.0,686.0,-1.0
23,dotnet/roslyn,version-1.2.0-beta-20151211-01,2015-12-15,,,,,,,,,,,,,,,,,,
24,dotnet/roslyn,version-1.2.0-beta,2015-12-15,,,,,,,,,,,,,,,,,,
25,dotnet/roslyn,version-1.2.0-beta1-20160108-01,2016-01-07,RELEASE,10992.0,4492814.0,1.0,548.0,,0.0,1.0,,,,,,1.0,277.0,1.0,4.0,-1.0
26,dotnet/roslyn,toolset_5,2016-02-05,,,,1.0,485.0,,0.0,1.0,,,,,,,,,,
27,dotnet/roslyn,Visual-Studio-2015-Update-2-RC,2016-03-07,RELEASE,11156.0,4536899.0,1.0,461.0,15.0,30.0,1.0,,,,,,1.0,232.0,1.0,6.0,-1.0
28,dotnet/roslyn,Visual-Studio-2015-Update-2,2016-03-31,RELEASE,11215.0,4550445.0,2.0,269.0,40.0,80.0,2.0,,,,,,1.0,140.0,13.0,219.0,-1.0
29,dotnet/roslyn,version-1.2.0,2016-03-31,,,,,,,,,,,,,,,,,,
30,dotnet/roslyn,version-1.2.1,2016-03-31,,,,,,,,,,,,,,,,,,
31,dotnet/roslyn,Visual-Studio-2015-Update-2-Micro-Update-1,2016-03-31,,,,,,,,,,,,,,,,,,
32,dotnet/roslyn,version-2.0.0-beta1,2016-03-31,,,,2.0,1053.0,37.0,76.0,2.0,,,,,,,,,,
33,dotnet/roslyn,Visual-Studio-15-Preview,2016-03-31,,,,2.0,1053.0,37.0,76.0,2.0,,,,,,,,,,
34,dotnet/roslyn,version-1.3.0-beta1-20160429-01,2016-04-29,RELEASE,11201.0,4396281.0,,,,,,,,,,,1.0,322.0,1.0,4.0,-1.0
35,dotnet/roslyn,version-1.2.2,2016-05-23,,,,,,,,,,,,,,,,,,
36,dotnet/roslyn,Visual-Studio-2015-Update-2-Micro-Update-3,2016-05-23,,,,,,,,,,,,,,,,,,
37,dotnet/roslyn,Visual-Studio-2015-Update-3,2016-06-27,RELEASE,11302.0,4419553.0,3.0,1703.0,6.0,15.0,3.0,,,,,,2.0,832.0,1.0,4.0,-1.0
38,dotnet/roslyn,version-1.3.1,2016-06-27,,,,,,,,,,,,,,,,,,
39,dotnet/roslyn,version-1.3.2,2016-06-27,,,,,,,,,,,,,,,,,,
40,dotnet/roslyn,Visual-Studio-2015-Update-3-Micro-Update-1,2016-06-27,,,,,,,,,,,,,,,,,,
41,dotnet/roslyn,version-1.3.0,2016-06-29,,,,,,,,,,,,,,,,,,
42,dotnet/roslyn,Visual-Studio-15-Preview-3,2016-07-12,RELEASE,11523.0,4508006.0,5.0,1794.0,43.0,92.0,5.0,,,,,,2.0,784.0,2.0,13.0,-1.0
43,dotnet/roslyn,version-2.0.0-beta3,2016-07-12,,,,,,,,,,,,,,,,,,
44,dotnet/roslyn,Visual-Studio-15-Preview-4,2016-08-23,,,,6.0,791.0,8.0,470.0,6.0,59.0,7550.0,,0.0,59.0,,,,,
45,dotnet/roslyn,version-2.0.0-beta4,2016-08-23,,,,,,,,,,,,,,,,,,
46,dotnet/roslyn,Visual-Studio-15-Preview-5,2016-10-05,RELEASE,11960.0,4504709.0,2.0,1977.0,2.0,12.0,2.0,,,,,,1.0,1172.0,7.0,261.0,-1.0
47,dotnet/roslyn,version-2.0.0-beta5,2016-10-05,,,,,,,,,,,,,,,,,,
48,dotnet/roslyn,version-2.0.0-rc,2016-11-16,,,,,,,,,,,,,,,,,,
49,dotnet/roslyn,Visual-Studio-2017-RC,2016-11-16,RELEASE,11916.0,4540626.0,,,,,,118.0,20549.0,,0.0,118.0,3.0,717.0,3.0,6.0,-1.0
50,dotnet/roslyn,version-2.0.0-rc2,2016-12-12,,,,,,,,,,,,,,,,,,
