,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,SeleniumHQ/selenium,core-1.0-beta-1,2009-01-12,,,,,,,,,,,,,
1,SeleniumHQ/selenium,rc-1.0-beta-2,2009-01-12,,,,,,,,,,,,,
2,SeleniumHQ/selenium,rc-1.0,2009-03-06,,,,,,,,,,,,,
3,SeleniumHQ/selenium,core-1.0.1,2009-06-06,,,,,,,,,,,,,
4,SeleniumHQ/selenium,selenium-2.0-alpha-1,2009-12-11,FEATURE,3122.0,655390.0,5.0,3741.0,136.0,6262.0,1.0,2.0,3748.0,13.0,1357.0,2.0
5,SeleniumHQ/selenium,selenium-2.0-alpha-2,2010-02-03,,,,,,,,,,,,,
6,SeleniumHQ/selenium,selenium-2.0-alpha-3,2010-04-18,FEATURE,3910.0,896593.0,1.0,735.0,1.0,2.0,0.0,,,,,
7,SeleniumHQ/selenium,selenium-2.0-alpha-4,2010-04-22,,,,,,,,,,,,,
8,SeleniumHQ/selenium,selenium-2.0-alpha-5,2010-07-20,FEATURE,4362.0,957996.0,2.0,409.0,35.0,1477.0,1.0,1.0,409.0,10.0,462.0,1.0
9,SeleniumHQ/selenium,selenium-2.0-alpha-6,2010-10-08,,,,,,,,,,,,,
10,SeleniumHQ/selenium,selenium-2.0-alpha-7,2010-10-29,,,,,,,,,,,,,
11,SeleniumHQ/selenium,selenium-2.0-beta-1,2010-12-22,,,,,,,,,,,,,
12,SeleniumHQ/selenium,selenium-2.0-beta-2,2011-02-14,FEATURE,4853.0,1051953.0,1.0,520.0,2.0,85.0,0.0,1.0,520.0,2.0,85.0,1.0
13,SeleniumHQ/selenium,selenium-2.0-beta-3,2011-03-21,,,,,,,,,,,,,
14,SeleniumHQ/selenium,ide-1.0.11,2011-05-26,FEATURE,5274.0,1091988.0,1.0,464.0,6.0,46.0,0.0,1.0,464.0,6.0,46.0,1.0
15,SeleniumHQ/selenium,selenium-2.0-rc1,2011-06-01,,,,,,,,,,,,,
16,SeleniumHQ/selenium,selenium-2.0-rc-2,2011-06-02,FEATURE,5278.0,1093096.0,1.0,21.0,1.0,13.0,0.0,1.0,21.0,1.0,13.0,1.0
17,SeleniumHQ/selenium,selenium-2.0-rc-3,2011-06-20,,,,,,,,,,,,,
18,SeleniumHQ/selenium,selenium-2.0.0,2011-07-07,,,,,,,,,,,,,
19,SeleniumHQ/selenium,selenium-2.1.0,2011-07-18,,,,,,,,,,,,,
20,SeleniumHQ/selenium,selenium-2.2.0,2011-07-25,,,,,,,,,,,,,
21,SeleniumHQ/selenium,selenium-2.3.0,2011-08-01,,,,,,,,,,,,,
22,SeleniumHQ/selenium,selenium-2.4.0,2011-08-11,,,,,,,,,,,,,
23,SeleniumHQ/selenium,selenium-2.5.0,2011-08-23,,,,,,,,,,,,,
24,SeleniumHQ/selenium,selenium-2.6.0,2011-09-13,,,,,,,,,,,,,
25,SeleniumHQ/selenium,selenium-2.7.0,2011-09-23,,,,,,,,,,,,,
26,SeleniumHQ/selenium,selenium-2.8.0,2011-10-06,FEATURE,7251.0,1204305.0,1.0,120.0,12.0,184.0,1.0,,,,,
27,SeleniumHQ/selenium,android-froyo,2011-10-20,,,,,,,,,,,,,
28,SeleniumHQ/selenium,selenium-2.9.0,2011-10-20,,,,,,,,,,,,,
29,SeleniumHQ/selenium,selenium-2.10.0,2011-10-27,,,,,,,,,,,,,
30,SeleniumHQ/selenium,selenium-2.11.0,2011-10-27,,,,,,,,,,,,,
31,SeleniumHQ/selenium,selenium-2.12.0,2011-11-10,FEATURE,7398.0,1246008.0,1.0,184.0,2.0,45.0,1.0,,,,,
32,SeleniumHQ/selenium,selenium-2.13.0,2011-11-18,,,,,,,,,,,,,
33,SeleniumHQ/selenium,selenium-2.14.0,2011-11-29,,,,,,,,,,,,,
34,SeleniumHQ/selenium,selenium-2.15.0,2011-12-08,,,,,,,,,,,,,
35,SeleniumHQ/selenium,selenium-2.16.0,2012-01-04,FEATURE,8175.0,1354163.0,1.0,233.0,6.0,228.0,1.0,,,,,
36,SeleniumHQ/selenium,selenium-2.17.0,2012-01-16,,,,,,,,,,,,,
37,SeleniumHQ/selenium,selenium-2.18.0,2012-01-27,,,,,,,,,,,,,
