,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,SeleniumHQ/selenium,core-1.0-beta-1,2009-01-12,,,,,,,,,,,,,
1,SeleniumHQ/selenium,rc-1.0-beta-2,2009-01-12,,,,,,,,,,,,,
2,SeleniumHQ/selenium,rc-1.0,2009-03-06,,,,,,,,,,,,,
3,SeleniumHQ/selenium,core-1.0.1,2009-06-06,,,,,,,,,,,,,
4,SeleniumHQ/selenium,selenium-2.0-alpha-1,2009-12-11,REFACTOR,3122.0,655390.0,5.0,3703.0,55.0,3811.0,1.0,2.0,3710.0,26.0,2575.0,1.0
5,SeleniumHQ/selenium,selenium-2.0-alpha-2,2010-02-03,REFACTOR,3764.0,873419.0,1.0,242.0,5.0,554.0,0.0,1.0,245.0,5.0,554.0,1.0
6,SeleniumHQ/selenium,selenium-2.0-alpha-3,2010-04-18,REFACTOR,3910.0,896593.0,5.0,723.0,51.0,3080.0,1.0,4.0,723.0,48.0,2951.0,1.0
7,SeleniumHQ/selenium,selenium-2.0-alpha-4,2010-04-22,REFACTOR,3932.0,893849.0,1.0,19.0,42.0,894.0,1.0,,,,,
8,SeleniumHQ/selenium,selenium-2.0-alpha-5,2010-07-20,REFACTOR,4362.0,957996.0,4.0,407.0,167.0,4766.0,1.0,3.0,407.0,166.0,4508.0,2.0
9,SeleniumHQ/selenium,selenium-2.0-alpha-6,2010-10-08,REFACTOR,4473.0,973460.0,1.0,421.0,7.0,149.0,0.0,1.0,421.0,7.0,149.0,1.0
10,SeleniumHQ/selenium,selenium-2.0-alpha-7,2010-10-29,,,,,,,,,,,,,
11,SeleniumHQ/selenium,selenium-2.0-beta-1,2010-12-22,REFACTOR,4831.0,1025192.0,5.0,460.0,22.0,1055.0,1.0,1.0,460.0,1.0,31.0,1.0
12,SeleniumHQ/selenium,selenium-2.0-beta-2,2011-02-14,REFACTOR,4853.0,1051953.0,4.0,517.0,38.0,1157.0,2.0,2.0,517.0,18.0,1091.0,1.0
13,SeleniumHQ/selenium,selenium-2.0-beta-3,2011-03-21,REFACTOR,4973.0,1063679.0,2.0,255.0,7.0,218.0,0.0,2.0,255.0,7.0,218.0,2.0
14,SeleniumHQ/selenium,ide-1.0.11,2011-05-26,REFACTOR,5274.0,1091988.0,5.0,460.0,76.0,3650.0,0.0,5.0,460.0,76.0,3650.0,4.0
15,SeleniumHQ/selenium,selenium-2.0-rc1,2011-06-01,REFACTOR,5276.0,1092633.0,1.0,33.0,6.0,40.0,0.0,1.0,33.0,6.0,40.0,1.0
16,SeleniumHQ/selenium,selenium-2.0-rc-2,2011-06-02,,,,,,,,,,,,,
17,SeleniumHQ/selenium,selenium-2.0-rc-3,2011-06-20,REFACTOR,6911.0,1143055.0,4.0,181.0,88.0,1921.0,0.0,4.0,181.0,88.0,1921.0,3.0
18,SeleniumHQ/selenium,selenium-2.0.0,2011-07-07,REFACTOR,6950.0,1149357.0,1.0,235.0,57.0,1466.0,0.0,1.0,235.0,57.0,1466.0,1.0
19,SeleniumHQ/selenium,selenium-2.1.0,2011-07-18,REFACTOR,6983.0,1152559.0,1.0,94.0,21.0,909.0,1.0,,,,,
20,SeleniumHQ/selenium,selenium-2.2.0,2011-07-25,REFACTOR,7001.0,1162244.0,1.0,65.0,1.0,28.0,1.0,,,,,
21,SeleniumHQ/selenium,selenium-2.3.0,2011-08-01,REFACTOR,7029.0,1168042.0,1.0,65.0,3.0,62.0,1.0,,,,,
22,SeleniumHQ/selenium,selenium-2.4.0,2011-08-11,,,,,,,,,,,,,
23,SeleniumHQ/selenium,selenium-2.5.0,2011-08-23,,,,,,,,,,,,,
24,SeleniumHQ/selenium,selenium-2.6.0,2011-09-13,REFACTOR,7207.0,1195541.0,3.0,273.0,37.0,678.0,0.0,,,,,
25,SeleniumHQ/selenium,selenium-2.7.0,2011-09-23,,,,,,,,,,,,,
26,SeleniumHQ/selenium,selenium-2.8.0,2011-10-06,REFACTOR,7251.0,1204305.0,1.0,120.0,1.0,82.0,0.0,1.0,120.0,1.0,82.0,1.0
27,SeleniumHQ/selenium,android-froyo,2011-10-20,REFACTOR,7299.0,1223937.0,5.0,180.0,19.0,1470.0,1.0,3.0,180.0,9.0,1061.0,2.0
