,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,SeleniumHQ/selenium,core-1.0-beta-1,2009-01-12,,,,,,,,,,,,,
1,SeleniumHQ/selenium,rc-1.0-beta-2,2009-01-12,,,,,,,,,,,,,
2,SeleniumHQ/selenium,rc-1.0,2009-03-06,,,,,,,,,,,,,
3,SeleniumHQ/selenium,core-1.0.1,2009-06-06,,,,,,,,,,,,,
4,SeleniumHQ/selenium,selenium-2.0-alpha-1,2009-12-11,RELEASE,3122.0,655390.0,11.0,3708.0,37.0,1377.0,1.0,3.0,3715.0,6.0,69.0,2.0
5,SeleniumHQ/selenium,selenium-2.0-alpha-2,2010-02-03,,,,,,,,,,,,,
6,SeleniumHQ/selenium,selenium-2.0-alpha-3,2010-04-18,,,,,,,,,,,,,
7,SeleniumHQ/selenium,selenium-2.0-alpha-4,2010-04-22,,,,,,,,,,,,,
8,SeleniumHQ/selenium,selenium-2.0-alpha-5,2010-07-20,RELEASE,4362.0,957996.0,5.0,406.0,9.0,98.0,1.0,1.0,406.0,1.0,2.0,1.0
9,SeleniumHQ/selenium,selenium-2.0-alpha-6,2010-10-08,RELEASE,4473.0,973460.0,1.0,421.0,7.0,58.0,1.0,,,,,
10,SeleniumHQ/selenium,selenium-2.0-alpha-7,2010-10-29,,,,,,,,,,,,,
11,SeleniumHQ/selenium,selenium-2.0-beta-1,2010-12-22,RELEASE,4831.0,1025192.0,5.0,460.0,35.0,215.0,1.0,2.0,460.0,9.0,149.0,2.0
12,SeleniumHQ/selenium,selenium-2.0-beta-2,2011-02-14,RELEASE,4853.0,1051953.0,4.0,517.0,32.0,1852.0,1.0,1.0,517.0,1.0,2.0,1.0
13,SeleniumHQ/selenium,selenium-2.0-beta-3,2011-03-21,RELEASE,4973.0,1063679.0,2.0,255.0,12.0,205.0,0.0,2.0,255.0,12.0,205.0,1.0
14,SeleniumHQ/selenium,ide-1.0.11,2011-05-26,RELEASE,5274.0,1091988.0,2.0,463.0,14.0,32.0,1.0,1.0,463.0,9.0,18.0,1.0
15,SeleniumHQ/selenium,selenium-2.0-rc1,2011-06-01,RELEASE,5276.0,1092633.0,1.0,33.0,12.0,28.0,0.0,1.0,33.0,12.0,28.0,1.0
16,SeleniumHQ/selenium,selenium-2.0-rc-2,2011-06-02,,,,,,,,,,,,,
17,SeleniumHQ/selenium,selenium-2.0-rc-3,2011-06-20,RELEASE,6911.0,1143055.0,3.0,182.0,28.0,2942.0,1.0,2.0,182.0,27.0,2926.0,1.0
18,SeleniumHQ/selenium,selenium-2.0.0,2011-07-07,RELEASE,6950.0,1149357.0,3.0,233.0,16.0,32.0,1.0,1.0,233.0,1.0,2.0,1.0
19,SeleniumHQ/selenium,selenium-2.1.0,2011-07-18,RELEASE,6983.0,1152559.0,3.0,92.0,10.0,30.0,2.0,1.0,92.0,5.0,18.0,1.0
20,SeleniumHQ/selenium,selenium-2.2.0,2011-07-25,RELEASE,7001.0,1162244.0,1.0,65.0,16.0,40.0,0.0,1.0,65.0,16.0,40.0,1.0
21,SeleniumHQ/selenium,selenium-2.3.0,2011-08-01,,,,,,,,,,,,,
22,SeleniumHQ/selenium,selenium-2.4.0,2011-08-11,RELEASE,7051.0,1174555.0,1.0,148.0,4.0,16.0,0.0,1.0,148.0,4.0,16.0,1.0
23,SeleniumHQ/selenium,selenium-2.5.0,2011-08-23,RELEASE,7115.0,1180220.0,1.0,150.0,1.0,2.0,0.0,1.0,150.0,1.0,2.0,1.0
24,SeleniumHQ/selenium,selenium-2.6.0,2011-09-13,RELEASE,7207.0,1195541.0,3.0,273.0,10.0,38.0,1.0,2.0,273.0,8.0,32.0,1.0
25,SeleniumHQ/selenium,selenium-2.7.0,2011-09-23,RELEASE,7221.0,1199828.0,1.0,66.0,4.0,16.0,0.0,1.0,66.0,4.0,16.0,1.0
26,SeleniumHQ/selenium,selenium-2.8.0,2011-10-06,RELEASE,7251.0,1204305.0,5.0,116.0,26.0,210.0,0.0,5.0,116.0,26.0,210.0,4.0
27,SeleniumHQ/selenium,android-froyo,2011-10-20,RELEASE,7299.0,1223937.0,3.0,182.0,9.0,29.0,1.0,1.0,182.0,4.0,16.0,1.0
