,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,SeleniumHQ/selenium,core-1.0-beta-1,2009-01-12,SUPPORT,476.0,104160.0,,,,,,,,,,,53.0,1757.0,169.0,14155.0,-1.0
1,SeleniumHQ/selenium,rc-1.0-beta-2,2009-01-12,SUPPORT,1162.0,215901.0,,,,,,,,,,,74.0,2191.0,279.0,22178.0,-1.0
2,SeleniumHQ/selenium,rc-1.0,2009-03-06,SUPPORT,1163.0,216249.0,,,,,,,,,,,2.0,47.0,16.0,112.0,-1.0
3,SeleniumHQ/selenium,core-1.0.1,2009-06-06,SUPPORT,475.0,104309.0,,,,,,,,,,,54.0,1796.0,170.0,14276.0,-1.0
4,SeleniumHQ/selenium,selenium-2.0-alpha-1,2009-12-11,SUPPORT,3122.0,655390.0,43.0,3611.0,515.0,13108.0,43.0,17.0,3618.0,84.0,4327.0,17.0,76.0,2386.0,295.0,22290.0,-1.0
5,SeleniumHQ/selenium,selenium-2.0-alpha-2,2010-02-03,,,,,,,,,2.0,244.0,18.0,421.0,2.0,,,,,
6,SeleniumHQ/selenium,selenium-2.0-alpha-3,2010-04-18,SUPPORT,3910.0,896593.0,1.0,724.0,1.0,9.0,1.0,1.0,724.0,4.0,203.0,1.0,12.0,524.0,35.0,722.0,-1.0
7,SeleniumHQ/selenium,selenium-2.0-alpha-4,2010-04-22,,,,,,,,,,,,,,,,,,
8,SeleniumHQ/selenium,selenium-2.0-alpha-5,2010-07-20,,,,4.0,406.0,54.0,1725.0,4.0,1.0,406.0,2.0,37.0,1.0,,,,,
9,SeleniumHQ/selenium,selenium-2.0-alpha-6,2010-10-08,,,,7.0,404.0,39.0,1495.0,7.0,9.0,404.0,21.0,1504.0,9.0,,,,,
10,SeleniumHQ/selenium,selenium-2.0-alpha-7,2010-10-29,,,,4.0,197.0,9.0,226.0,4.0,2.0,197.0,26.0,1203.0,2.0,,,,,
11,SeleniumHQ/selenium,selenium-2.0-beta-1,2010-12-22,,,,7.0,452.0,28.0,435.0,7.0,2.0,452.0,21.0,756.0,2.0,,,,,
12,SeleniumHQ/selenium,selenium-2.0-beta-2,2011-02-14,,,,7.0,497.0,123.0,968.0,7.0,13.0,497.0,86.0,5437.0,13.0,,,,,
13,SeleniumHQ/selenium,selenium-2.0-beta-3,2011-03-21,,,,2.0,250.0,5.0,78.0,2.0,5.0,250.0,22.0,7483.0,5.0,,,,,
14,SeleniumHQ/selenium,ide-1.0.11,2011-05-26,,,,1.0,461.0,2.0,29.0,1.0,3.0,461.0,7.0,177.0,3.0,,,,,
15,SeleniumHQ/selenium,selenium-2.0-rc1,2011-06-01,,,,1.0,33.0,2.0,3.0,1.0,,,,,,,,,,
16,SeleniumHQ/selenium,selenium-2.0-rc-2,2011-06-02,,,,,,,,,1.0,21.0,2.0,28.0,1.0,,,,,
17,SeleniumHQ/selenium,selenium-2.0-rc-3,2011-06-20,,,,1.0,182.0,1.0,7.0,1.0,1.0,182.0,146.0,15864.0,1.0,,,,,
18,SeleniumHQ/selenium,selenium-2.0.0,2011-07-07,,,,,,,,,2.0,234.0,10.0,259.0,2.0,,,,,
19,SeleniumHQ/selenium,selenium-2.1.0,2011-07-18,,,,,,,,,1.0,94.0,107.0,4114.0,1.0,,,,,
20,SeleniumHQ/selenium,selenium-2.2.0,2011-07-25,,,,,,,,,1.0,65.0,1.0,908.0,1.0,,,,,
21,SeleniumHQ/selenium,selenium-2.3.0,2011-08-01,,,,1.0,65.0,14.0,196.0,1.0,,,,,,,,,,
22,SeleniumHQ/selenium,selenium-2.4.0,2011-08-11,,,,5.0,142.0,17.0,276.0,5.0,,,,,,,,,,
23,SeleniumHQ/selenium,selenium-2.5.0,2011-08-23,,,,1.0,147.0,1.0,2.0,1.0,1.0,147.0,6.0,24.0,1.0,,,,,
24,SeleniumHQ/selenium,selenium-2.6.0,2011-09-13,,,,,,,,,2.0,271.0,4.0,96.0,2.0,,,,,
25,SeleniumHQ/selenium,selenium-2.7.0,2011-09-23,,,,,,,,,2.0,65.0,6.0,286.0,2.0,,,,,
26,SeleniumHQ/selenium,selenium-2.8.0,2011-10-06,,,,1.0,118.0,5.0,10.0,1.0,2.0,118.0,13.0,261.0,2.0,,,,,
27,SeleniumHQ/selenium,android-froyo,2011-10-20,,,,1.0,180.0,5.0,121.0,1.0,3.0,180.0,12.0,266.0,3.0,,,,,
28,SeleniumHQ/selenium,selenium-2.9.0,2011-10-20,,,,1.0,2.0,1.0,6.0,1.0,,,,,,,,,,
29,SeleniumHQ/selenium,selenium-2.10.0,2011-10-27,,,,1.0,107.0,50.0,11843.0,1.0,,,,,,,,,,
30,SeleniumHQ/selenium,selenium-2.11.0,2011-10-27,,,,,,,,,,,,,,,,,,
31,SeleniumHQ/selenium,selenium-2.12.0,2011-11-10,,,,2.0,181.0,15.0,781.0,2.0,1.0,181.0,1.0,2.0,1.0,,,,,
32,SeleniumHQ/selenium,selenium-2.13.0,2011-11-18,,,,,,,,,2.0,96.0,8.0,46.0,2.0,,,,,
33,SeleniumHQ/selenium,selenium-2.14.0,2011-11-29,,,,3.0,127.0,20.0,101.0,3.0,6.0,127.0,21.0,1482.0,6.0,,,,,
34,SeleniumHQ/selenium,selenium-2.15.0,2011-12-08,,,,,,,,,3.0,127.0,18.0,743.0,3.0,,,,,
35,SeleniumHQ/selenium,selenium-2.16.0,2012-01-04,,,,4.0,225.0,37.0,2925.0,4.0,5.0,225.0,22.0,399.0,5.0,,,,,
36,SeleniumHQ/selenium,selenium-2.17.0,2012-01-16,,,,3.0,129.0,7.0,19.0,3.0,,,,,,,,,,
37,SeleniumHQ/selenium,selenium-2.18.0,2012-01-27,,,,1.0,137.0,6.0,12.0,1.0,,,,,,,,,,
38,SeleniumHQ/selenium,selenium-2.19.0,2012-02-08,,,,1.0,112.0,1.0,5.0,1.0,3.0,112.0,40.0,55224.0,3.0,,,,,
39,SeleniumHQ/selenium,selenium-2.20.0,2012-02-27,,,,1.0,133.0,1.0,11.0,1.0,,,,,,,,,,
40,SeleniumHQ/selenium,selenium-2.21.0,2012-04-11,,,,4.0,466.0,17.0,97.0,4.0,4.0,466.0,39.0,9581.0,4.0,,,,,
41,SeleniumHQ/selenium,selenium-2.22.0,2012-05-29,,,,5.0,436.0,27.0,1074.0,5.0,2.0,436.0,15.0,843.0,2.0,,,,,
42,SeleniumHQ/selenium,selenium-2.23.0,2012-06-07,,,,1.0,72.0,6.0,12.0,1.0,2.0,72.0,5.0,6.0,2.0,,,,,
43,SeleniumHQ/selenium,selenium-2.23.1,2012-06-08,,,,1.0,5.0,2.0,80.0,1.0,,,,,,,,,,
44,SeleniumHQ/selenium,selenium-2.24.1,2012-06-19,,,,,,,,,,,,,,,,,,
45,SeleniumHQ/selenium,selenium-2.25.0,2012-07-18,,,,1.0,237.0,6.0,12.0,1.0,6.0,237.0,32.0,568.0,6.0,,,,,
46,SeleniumHQ/selenium,selenium-2.26.0,2012-11-01,,,,4.0,489.0,14.0,83.0,4.0,7.0,489.0,71.0,4582.0,7.0,,,,,
47,SeleniumHQ/selenium,selenium-2.27.0,2012-12-05,,,,,,,,,3.0,192.0,25.0,477.0,3.0,,,,,
48,SeleniumHQ/selenium,selenium-2.28.0,2012-12-11,,,,,,,,,,,,,,,,,,
49,SeleniumHQ/selenium,selenium-2.29.0,2013-01-17,,,,1.0,156.0,6.0,12.0,1.0,1.0,156.0,1.0,5.0,1.0,,,,,
50,SeleniumHQ/selenium,selenium-2.29.0a,2013-01-17,,,,,,,,,,,,,,,,,,
51,SeleniumHQ/selenium,selenium-2.30.0,2013-02-18,SUPPORT,9547.0,1471208.0,,,,,,4.0,174.0,11.0,134.0,4.0,1.0,15.0,1.0,7.0,-1.0
52,SeleniumHQ/selenium,selenium-2.31.0,2013-02-27,,,,1.0,89.0,1.0,15.0,1.0,3.0,89.0,21.0,1058.0,3.0,,,,,
