,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,socketio/socket.io,0.2,2010-03-23,DOCS,20,1091,,,,,,,,,,,,,,,
1,socketio/socket.io,0.2.3,2010-04-03,DOCS,20,1107,,,,,,,,,,,,,,,
2,socketio/socket.io,0.2.2,2010-04-03,DOCS,20,1107,,,,,,,,,,,,,,,
3,socketio/socket.io,0.2.1,2010-04-03,DOCS,20,1107,,,,,,,,,,,,,,,
4,socketio/socket.io,0.3.1,2010-04-30,DOCS,17,865,,,,,,,,,,,,,,,
5,socketio/socket.io,0.3,2010-04-30,DOCS,17,865,,,,,,,,,,,,,,,
6,socketio/socket.io,0.3.2,2010-05-12,DOCS,17,879,,,,,,,,,,,,,,,
7,socketio/socket.io,0.3.3,2010-05-21,DOCS,17,882,,,,,,,,,,,,,,,
8,socketio/socket.io,0.3.4,2010-05-27,DOCS,17,891,,,,,,,,,,,,,,,
9,socketio/socket.io,0.3.6,2010-05-28,DOCS,17,895,,,,,,,,,,,,,,,
10,socketio/socket.io,0.3.5,2010-05-28,DOCS,17,895,,,,,,,,,,,,,,,
11,socketio/socket.io,0.3.8,2010-06-18,DOCS,17,1015,,,,,,,,,,,,,,,
12,socketio/socket.io,0.3.7,2010-06-18,DOCS,17,1015,,,,,,,,,,,,,,,
13,socketio/socket.io,0.3.9,2010-06-25,DOCS,17,1015,,,,,,,,,,,,,,,
14,socketio/socket.io,0.4,2010-06-26,DOCS,17,1020,,,,,,,,,,,,,,,
15,socketio/socket.io,0.4.1,2010-06-29,DOCS,17,1049,,,,,,,,,,,,,,,
16,socketio/socket.io,0.5,2010-07-29,DOCS,20,1097,,,,,,,,,,,,,,,
17,socketio/socket.io,0.5.1,2010-07-29,DOCS,20,1101,,,,,,,,,,,,,,,
18,socketio/socket.io,0.5.3,2010-08-01,DOCS,20,1101,,,,,,,,,,,,,,,
19,socketio/socket.io,0.5.2,2010-08-01,DOCS,20,1101,,,,,,,,,,,,,,,
20,socketio/socket.io,0.6,2010-11-01,DOCS,804,236650,,,,,,,,,,,2.0,142.0,3.0,22.0,-1.0
21,socketio/socket.io,0.6.2,2010-11-01,DOCS,804,236654,,,,,,,,,,,,,,,
22,socketio/socket.io,0.6.0,2010-11-01,DOCS,804,236670,,,,,,,,,,,,,,,
23,socketio/socket.io,0.6.1,2010-11-08,DOCS,805,236834,,,,,,,,,,,,,,,
24,socketio/socket.io,0.6.3,2010-12-23,DOCS,805,236961,,,,,,,,,,,,,,,
25,socketio/socket.io,0.6.4,2011-01-05,DOCS,805,236972,,,,,,,,,,,,,,,
26,socketio/socket.io,0.6.5,2011-01-09,DOCS,805,236979,,,,,,,,,,,,,,,
27,socketio/socket.io,0.6.6,2011-01-09,DOCS,805,236987,,,,,,,,,,,,,,,
28,socketio/socket.io,0.6.7,2011-01-09,DOCS,805,236991,,,,,,,,,,,,,,,
29,socketio/socket.io,0.6.8,2011-01-10,DOCS,805,236996,,,,,,,,,,,,,,,
30,socketio/socket.io,0.6.9,2011-02-06,DOCS,803,237155,,,,,,,,,,,,,,,
31,socketio/socket.io,0.6.10,2011-02-09,DOCS,807,237339,,,,,,,,,,,,,,,
32,socketio/socket.io,0.6.11,2011-02-15,DOCS,807,237355,,,,,,,,,,,,,,,
33,socketio/socket.io,0.6.12,2011-02-18,DOCS,807,237359,,,,,,,,,,,,,,,
34,socketio/socket.io,0.6.13,2011-02-18,DOCS,807,237364,,,,,,,,,,,,,,,
35,socketio/socket.io,0.6.14,2011-02-22,DOCS,807,237369,,,,,,,,,,,,,,,
36,socketio/socket.io,0.6.15,2011-02-23,DOCS,807,237372,,,,,,,,,,,,,,,
37,socketio/socket.io,0.6.16,2011-03-04,DOCS,807,237377,,,,,,,,,,,,,,,
38,socketio/socket.io,0.6.17,2011-03-30,DOCS,807,237406,,,,,,,,,,,,,,,
39,socketio/socket.io,0.7.0,2011-06-21,DOCS,63,12689,,,,,,,,,,,,,,,
40,socketio/socket.io,0.7.1,2011-06-21,DOCS,63,12758,,,,,,,,,,,,,,,
41,socketio/socket.io,0.7.2,2011-06-22,DOCS,63,12788,,,,,,,,,,,,,,,
42,socketio/socket.io,0.7.3,2011-06-30,DOCS,67,14152,,,,,,,,,,,1.0,125.0,1.0,1.0,-1.0
43,socketio/socket.io,0.7.4,2011-06-30,DOCS,67,14157,,,,,,,,,,,,,,,
44,socketio/socket.io,0.7.5,2011-06-30,DOCS,67,14164,,,,,,,,,,,,,,,
45,socketio/socket.io,0.7.6,2011-06-30,DOCS,67,14171,,,,,,,,,,,,,,,
46,socketio/socket.io,0.7.7,2011-07-12,DOCS,67,14359,,,,,,,,,,,,,,,
47,socketio/socket.io,0.7.8,2011-08-08,DOCS,68,14727,,,,,,,,,,,,,,,
48,socketio/socket.io,0.7.9,2011-08-12,DOCS,68,14734,,,,,,,,,,,,,,,
49,socketio/socket.io,0.7.10,2011-08-27,DOCS,68,14739,,,,,,,,,,,,,,,
50,socketio/socket.io,0.7.11,2011-08-27,DOCS,68,14744,,,,,,,,,,,,,,,
51,socketio/socket.io,0.8.0,2011-08-28,DOCS,74,16303,,,,,,,,,,,,,,,
52,socketio/socket.io,0.8.1,2011-08-29,DOCS,72,15655,,,,,,,,,,,,,,,
53,socketio/socket.io,0.8.2,2011-08-29,DOCS,72,15660,,,,,,,,,,,,,,,
54,socketio/socket.io,0.8.3,2011-09-03,DOCS,72,15728,,,,,,,,,,,,,,,
55,socketio/socket.io,0.8.4,2011-09-06,DOCS,72,15728,,,,,,,,,,,,,,,
56,socketio/socket.io,0.8.5,2011-10-07,DOCS,77,17640,,,,,,,,,,,,,,,
57,socketio/socket.io,0.8.6,2011-10-27,DOCS,80,18147,,,,,,,,,,,,,,,
58,socketio/socket.io,0.8.7,2011-11-05,DOCS,79,18047,,,,,,,,,,,,,,,
59,socketio/socket.io,0.9.0,2012-02-26,DOCS,80,18220,,,,,,,,,,,,,,,
60,socketio/socket.io,0.9.1,2012-03-02,DOCS,80,18226,,,,,,,,,,,,,,,
61,socketio/socket.io,0.9.1-1,2012-03-02,DOCS,80,18231,,,,,,,,,,,,,,,
62,socketio/socket.io,0.9.2,2012-03-13,DOCS,80,18242,,,,,,,,,,,,,,,
63,socketio/socket.io,0.9.3,2012-03-28,DOCS,80,18247,,,,,,,,,,,,,,,
64,socketio/socket.io,0.9.4,2012-04-01,DOCS,80,18303,,,,,,,,,,,,,,,
65,socketio/socket.io,0.9.5,2012-04-05,DOCS,80,18359,,,,,,,,,,,,,,,
66,socketio/socket.io,0.9.7,2012-07-24,DOCS,80,18416,,,,,,,,,,,,,,,
67,socketio/socket.io,0.9.8,2012-07-24,DOCS,80,18421,,,,,,,,,,,,,,,
68,socketio/socket.io,0.9.9,2012-08-01,DOCS,81,18465,,,,,,,,,,,,,,,
69,socketio/socket.io,0.9.10,2012-08-10,DOCS,81,18519,,,,,,,,,,,,,,,
70,socketio/socket.io,0.9.11,2012-11-02,DOCS,81,18527,,,,,,,,,,,,,,,
71,socketio/socket.io,0.9.12,2012-12-13,DOCS,81,18533,,,,,,,,,,,,,,,
72,socketio/socket.io,0.9.13,2012-12-13,DOCS,81,18539,,,,,,,,,,,,,,,
73,socketio/socket.io,0.9.14,2013-03-29,DOCS,81,18545,,,,,,,,,,,,,,,
74,socketio/socket.io,0.9.15,2013-06-06,DOCS,81,18551,,,,,,,,,,,,,,,
75,socketio/socket.io,1.0.0-pre,2014-03-15,DOCS,21,3382,,,,,,,,,,,2.0,255.0,2.0,23.0,-1.0
76,socketio/socket.io,1.0.0-pre2,2014-04-27,DOCS,21,3709,,,,,,,,,,,1.0,39.0,1.0,2.0,-1.0
77,socketio/socket.io,1.0.0-pre3,2014-05-17,DOCS,21,3713,,,,,,,,,,,,,,,
78,socketio/socket.io,1.0.0-pre4,2014-05-19,DOCS,21,3718,,,,,,,,,,,,,,,
79,socketio/socket.io,1.0.0-pre5,2014-05-22,DOCS,21,3724,,,,,,,,,,,,,,,
80,socketio/socket.io,0.9.17,2014-05-22,DOCS,81,18691,,,,,,,,,,,,,,,
81,socketio/socket.io,1.0.0,2014-05-28,DOCS,21,3784,,,,,,,,,,,3.0,309.0,3.0,25.0,-1.0
82,socketio/socket.io,1.0.1,2014-05-28,DOCS,21,3789,,,,,,,,,,,,,,,
83,socketio/socket.io,1.0.2,2014-05-28,DOCS,21,3794,,,,,,,,,,,,,,,
84,socketio/socket.io,1.0.3,2014-05-31,DOCS,23,177977,,,,,,,,,,,,,,,
85,socketio/socket.io,1.0.4,2014-06-02,DOCS,23,177982,,,,,,,,,,,,,,,
86,socketio/socket.io,1.0.5,2014-06-17,DOCS,23,178021,,,,,,,,,,,,,,,
87,socketio/socket.io,1.0.6,2014-06-19,DOCS,23,178044,,,,,,,,,,,,,,,
88,socketio/socket.io,1.1.0,2014-09-04,DOCS,23,178254,,,,,,,,,,,1.0,22.0,1.0,10.0,-1.0
89,socketio/socket.io,1.2.0,2014-10-27,DOCS,23,178339,,,,,,,,,,,,,,,
90,socketio/socket.io,1.2.1,2014-11-21,DOCS,23,178415,,,,,,,,,,,,,,,
91,socketio/socket.io,1.3.0,2015-01-19,DOCS,23,178698,,,,,,,,,,,,,,,
92,socketio/socket.io,1.3.1,2015-01-19,DOCS,23,178704,,,,,,,,,,,,,,,
93,socketio/socket.io,1.3.2,2015-01-19,DOCS,23,178709,,,,,,,,,,,,,,,
94,socketio/socket.io,1.3.3,2015-02-03,DOCS,23,178754,,,,,,,,,,,,,,,
95,socketio/socket.io,1.3.4,2015-02-14,DOCS,23,178759,,,,,,,,,,,,,,,
96,socketio/socket.io,1.3.5,2015-03-03,DOCS,23,178781,,,,,,,,,,,,,,,
97,socketio/socket.io,1.3.6,2015-07-14,DOCS,23,178786,,,,,,,,,,,,,,,
98,socketio/socket.io,1.3.7,2015-09-21,DOCS,23,178792,,,,,,,,,,,,,,,
99,socketio/socket.io,1.4.0,2016-01-05,DOCS,22,179252,,,,,,,,,,,1.0,42.0,1.0,5.0,-1.0
100,socketio/socket.io,1.4.1,2016-01-07,DOCS,22,179257,,,,,,,,,,,,,,,
101,socketio/socket.io,1.4.2,2016-01-07,DOCS,22,179262,,,,,,,,,,,,,,,
102,socketio/socket.io,1.4.3,2016-01-08,DOCS,22,179267,,,,,,,,,,,,,,,
103,socketio/socket.io,1.4.4,2016-01-10,DOCS,22,179272,,,,,,,,,,,,,,,
104,socketio/socket.io,1.4.5,2016-01-26,DOCS,23,179303,,,,,,,,,,,,,,,
105,socketio/socket.io,1.4.6,2016-05-02,DOCS,23,179308,,,,,,,,,,,,,,,
106,socketio/socket.io,1.4.7,2016-06-23,DOCS,23,179313,,,,,,,,,,,,,,,
107,socketio/socket.io,1.4.8,2016-06-23,DOCS,23,179318,,,,,,,,,,,,,,,
108,socketio/socket.io,1.5.0,2016-10-07,DOCS,23,179525,,,,,,2.0,309.0,,0.0,2.0,3.0,49.0,5.0,35.0,-1.0
109,socketio/socket.io,1.5.1,2016-10-24,DOCS,25,179580,2.0,10.0,2.0,4.0,2.0,,,,,,,,,,
110,socketio/socket.io,1.6.0,2016-11-20,DOCS,25,179812,,,,,,,,,,,,,,,
111,socketio/socket.io,1.7.0,2016-11-27,DOCS,25,179865,1.0,6.0,1.0,2.0,1.0,,,,,,,,,,
112,socketio/socket.io,1.7.1,2016-11-28,DOCS,25,179868,,,,,,,,,,,,,,,
113,socketio/socket.io,1.7.2,2016-12-11,DOCS,25,179876,,,,,,,,,,,,,,,
114,socketio/socket.io,1.7.3,2017-02-17,DOCS,25,179881,,,,,,,,,,,,,,,
115,socketio/socket.io,0.9.18,2017-05-07,DOCS,81,18696,,,,,,,,,,,,,,,
116,socketio/socket.io,1.7.4,2017-05-07,DOCS,25,179886,3.0,713.0,3.0,6.0,3.0,2.0,1769.0,,0.0,2.0,8.0,457.0,10.0,75.0,-1.0
117,socketio/socket.io,2.0.0,2017-05-09,DOCS,85,183230,5.0,24.0,6.0,49.0,5.0,590.0,488.0,3186.0,222017.0,590.0,3.0,6.0,13.0,192.0,-1.0
118,socketio/socket.io,2.0.1,2017-05-09,DOCS,85,183234,,,,,,,,,,,,,,,
119,socketio/socket.io,0.9.19,2017-05-16,DOCS,81,18701,,,,,,,,,,,,,,,
120,socketio/socket.io,2.0.2,2017-06-01,DOCS,85,183271,8.0,737.0,9.0,55.0,8.0,592.0,2373.0,3186.0,222017.0,592.0,11.0,463.0,23.0,267.0,-1.0
121,socketio/socket.io,2.0.3,2017-06-12,DOCS,86,183344,1.0,3.0,1.0,2.0,1.0,59.0,119.0,354.0,3422.0,59.0,,,,,
122,socketio/socket.io,2.0.4,2017-10-22,DOCS,83,182733,3.0,7.0,3.0,8.0,3.0,118.0,123.0,236.0,20237.0,118.0,,,,,
123,socketio/socket.io,2.1.0,2018-03-29,DOCS,84,183013,3.0,11.0,3.0,5.0,3.0,,,,,,,,,,
124,socketio/socket.io,2.1.1,2018-05-17,DOCS,84,183014,1.0,2.0,2.0,70.0,1.0,59.0,2.0,59.0,118.0,59.0,,,,,
125,socketio/socket.io,2.2.0,2018-11-29,DOCS,84,183028,3.0,7.0,3.0,60.0,3.0,,,,,,,,,,
126,socketio/socket.io,2.3.0,2019-09-20,DOCS,84,183028,,,,,,,,,,,,,,,
