,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,stylus/stylus,0.1.0,2011-02-01,SUPPORT,302.0,21585.0,,,,,,,,,,,1.0,35.0,1.0,21.0,-1.0
1,stylus/stylus,0.2.0,2011-02-01,SUPPORT,302.0,21644.0,,,,,,,,,,,1.0,10.0,1.0,23.0,-1.0
2,stylus/stylus,0.2.1,2011-02-02,,,,,,,,,,,,,,,,,,
3,stylus/stylus,0.3.0,2011-02-04,,,,,,,,,,,,,,,,,,
4,stylus/stylus,0.3.1,2011-02-04,,,,,,,,,,,,,,,,,,
5,stylus/stylus,0.4.0,2011-02-07,SUPPORT,327.0,22914.0,,,,,,,,,,,1.0,29.0,1.0,37.0,-1.0
6,stylus/stylus,0.4.1,2011-02-09,SUPPORT,331.0,23042.0,,,,,,,,,,,1.0,5.0,3.0,97.0,-1.0
7,stylus/stylus,0.5.0,2011-02-09,,,,,,,,,,,,,,,,,,
8,stylus/stylus,0.5.1,2011-02-11,,,,,,,,,,,,,,,,,,
9,stylus/stylus,0.5.2,2011-02-15,,,,,,,,,,,,,,,,,,
10,stylus/stylus,0.5.3,2011-02-17,,,,,,,,,,,,,,,,,,
11,stylus/stylus,0.6.0,2011-02-18,,,,,,,,,,,,,,,,,,
12,stylus/stylus,0.6.1,2011-02-18,,,,,,,,,,,,,,,,,,
13,stylus/stylus,0.6.2,2011-02-21,SUPPORT,353.0,23902.0,,,,,,,,,,,2.0,6.0,4.0,75.0,-1.0
14,stylus/stylus,0.6.3,2011-02-22,,,,,,,,,,,,,,,,,,
15,stylus/stylus,0.6.4,2011-02-24,,,,,,,,,,,,,,,,,,
16,stylus/stylus,0.6.5,2011-02-24,,,,,,,,,,,,,,,,,,
17,stylus/stylus,0.6.6,2011-03-01,SUPPORT,368.0,24421.0,,,,,,,,,,,1.0,22.0,3.0,15.0,-1.0
18,stylus/stylus,0.6.7,2011-03-01,,,,,,,,,,,,,,,,,,
19,stylus/stylus,0.7.0,2011-03-02,SUPPORT,368.0,24535.0,,,,,,,,,,,1.0,5.0,4.0,30.0,-1.0
20,stylus/stylus,0.7.1,2011-03-07,,,,,,,,,,,,,,,,,,
21,stylus/stylus,0.7.2,2011-03-08,SUPPORT,379.0,24558.0,,,,,,,,,,,2.0,24.0,6.0,36.0,-1.0
22,stylus/stylus,0.7.3,2011-03-09,,,,,,,,,,,,,,,,,,
23,stylus/stylus,0.7.4,2011-03-10,,,,,,,,,,,,,,,,,,
