,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,visionmedia/superagent,0.1.0,2011-08-09,REFACTOR,18,11216,,,,,,,,,,,2.0,10.0,2.0,15.0,-1.0
1,visionmedia/superagent,0.1.1,2011-08-20,REFACTOR,19,12472,,,,,,,,,,,,,,,
2,visionmedia/superagent,0.1.2,2011-09-24,REFACTOR,22,12372,,,,,,,,,,,2.0,33.0,3.0,28.0,-1.0
3,visionmedia/superagent,0.4.0,2012-03-04,REFACTOR,45,14165,,,,,,,,,,,12.0,118.0,17.0,315.0,-1.0
4,visionmedia/superagent,0.4.1,2012-04-13,REFACTOR,45,14227,,,,,,,,,,,,,,,
5,visionmedia/superagent,0.4.2,2012-06-02,REFACTOR,45,14237,,,,,,,,,,,,,,,
6,visionmedia/superagent,0.4.3,2012-06-15,REFACTOR,46,14298,,,,,,,,,,,,,,,
7,visionmedia/superagent,0.5.0,2012-06-16,REFACTOR,46,14349,,,,,,,,,,,,,,,
8,visionmedia/superagent,0.5.1,2012-07-16,REFACTOR,45,14364,,,,,,,,,,,,,,,
9,visionmedia/superagent,0.6.0,2012-07-17,REFACTOR,45,14454,,,,,,,,,,,,,,,
10,visionmedia/superagent,0.7.0,2012-08-03,REFACTOR,45,14465,1.0,4.0,1.0,10.0,1.0,,,,,,,,,,
11,visionmedia/superagent,0.8.0,2012-08-19,REFACTOR,47,14841,,,,,,,,,,,1.0,12.0,1.0,26.0,-1.0
12,visionmedia/superagent,0.8.1,2012-08-21,REFACTOR,47,14847,,,,,,,,,,,,,,,
13,visionmedia/superagent,0.8.2,2012-08-28,REFACTOR,47,14887,,,,,,,,,,,,,,,
14,visionmedia/superagent,0.9.0,2012-08-28,REFACTOR,48,14971,,,,,,,,,,,,,,,
15,visionmedia/superagent,0.9.1,2012-09-07,REFACTOR,49,14991,,,,,,,,,,,,,,,
16,visionmedia/superagent,0.9.2,2012-09-17,REFACTOR,49,15012,2.0,3.0,2.0,46.0,1.0,,,,,,,,,,
17,visionmedia/superagent,0.9.3,2012-09-18,REFACTOR,49,14991,,,,,,,,,,,,,,,
18,visionmedia/superagent,0.9.4,2012-09-20,REFACTOR,49,14998,1.0,4.0,1.0,8.0,1.0,,,,,,,,,,
19,visionmedia/superagent,0.9.5,2012-10-01,REFACTOR,50,14997,1.0,4.0,1.0,2.0,1.0,,,,,,,,,,
20,visionmedia/superagent,0.9.6,2012-10-17,REFACTOR,50,15044,,,,,,,,,,,1.0,7.0,1.0,12.0,-1.0
21,visionmedia/superagent,0.9.7,2012-10-19,REFACTOR,50,15071,,,,,,,,,,,,,,,
22,visionmedia/superagent,0.9.8,2012-11-03,REFACTOR,48,15102,,,,,,,,,,,2.0,14.0,2.0,24.0,-1.0
