,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,visionmedia/superagent,0.1.0,2011-08-09,RELEASE,18.0,11216.0,1.0,31.0,3.0,15.0,1.0,,,,,,1.0,11.0,4.0,283.0,-1.0
1,visionmedia/superagent,0.1.1,2011-08-20,,,,1.0,11.0,4.0,646.0,1.0,,,,,,,,,,
2,visionmedia/superagent,0.1.2,2011-09-24,RELEASE,22.0,12372.0,,,,,,,,,,,2.0,33.0,5.0,25.0,-1.0
3,visionmedia/superagent,0.4.0,2012-03-04,RELEASE,45.0,14165.0,,,,,,,,,,,4.0,126.0,17.0,319.0,-1.0
4,visionmedia/superagent,0.4.1,2012-04-13,RELEASE,45.0,14227.0,,,,,,,,,,,1.0,6.0,3.0,11.0,-1.0
5,visionmedia/superagent,0.4.2,2012-06-02,RELEASE,45.0,14237.0,,,,,,,,,,,1.0,8.0,3.0,10.0,-1.0
6,visionmedia/superagent,0.4.3,2012-06-15,RELEASE,46.0,14298.0,,,,,,,,,,,1.0,9.0,2.0,8.0,-1.0
7,visionmedia/superagent,0.5.0,2012-06-16,RELEASE,46.0,14349.0,,,,,,,,,,,1.0,1.0,4.0,17.0,-1.0
8,visionmedia/superagent,0.5.1,2012-07-16,RELEASE,45.0,14364.0,,,,,,,,,,,1.0,9.0,2.0,11.0,-1.0
9,visionmedia/superagent,0.6.0,2012-07-17,RELEASE,45.0,14454.0,,,,,,,,,,,1.0,7.0,4.0,31.0,-1.0
10,visionmedia/superagent,0.7.0,2012-08-03,,,,1.0,4.0,2.0,7.0,1.0,,,,,,,,,,
11,visionmedia/superagent,0.8.0,2012-08-19,,,,1.0,27.0,2.0,11.0,1.0,,,,,,,,,,
12,visionmedia/superagent,0.8.1,2012-08-21,,,,1.0,1.0,2.0,7.0,1.0,,,,,,,,,,
13,visionmedia/superagent,0.8.2,2012-08-28,RELEASE,47.0,14887.0,,,,,,,,,,,1.0,1.0,2.0,7.0,-1.0
14,visionmedia/superagent,0.9.0,2012-08-28,,,,1.0,1.0,2.0,7.0,1.0,,,,,,,,,,
15,visionmedia/superagent,0.9.1,2012-09-07,,,,1.0,5.0,2.0,10.0,1.0,,,,,,,,,,
16,visionmedia/superagent,0.9.2,2012-09-17,,,,1.0,4.0,3.0,10.0,1.0,,,,,,,,,,
17,visionmedia/superagent,0.9.3,2012-09-18,,,,1.0,5.0,3.0,9.0,1.0,,,,,,,,,,
18,visionmedia/superagent,0.9.4,2012-09-20,,,,1.0,4.0,3.0,10.0,1.0,,,,,,,,,,
19,visionmedia/superagent,0.9.5,2012-10-01,,,,1.0,4.0,2.0,10.0,1.0,,,,,,,,,,
20,visionmedia/superagent,0.9.6,2012-10-17,RELEASE,50.0,15044.0,,,,,,,,,,,1.0,7.0,2.0,9.0,-1.0
21,visionmedia/superagent,0.9.7,2012-10-19,RELEASE,50.0,15071.0,,,,,,,,,,,1.0,1.0,2.0,7.0,-1.0
22,visionmedia/superagent,0.9.8,2012-11-03,RELEASE,48.0,15102.0,,,,,,,,,,,1.0,15.0,2.0,12.0,-1.0
23,visionmedia/superagent,0.9.9,2012-11-14,RELEASE,49.0,15161.0,,,,,,,,,,,1.0,11.0,3.0,11.0,-1.0
24,visionmedia/superagent,0.9.10,2012-11-14,RELEASE,50.0,15330.0,,,,,,,,,,,1.0,4.0,3.0,9.0,-1.0
25,visionmedia/superagent,0.10.0,2012-11-14,RELEASE,50.0,15456.0,,,,,,,,,,,1.0,1.0,3.0,9.0,-1.0
26,visionmedia/superagent,0.11.0,2013-01-02,RELEASE,51.0,15567.0,,,,,,,,,,,1.0,11.0,4.0,190.0,-1.0
27,visionmedia/superagent,0.12.0,2013-01-04,,,,1.0,1.0,2.0,7.0,1.0,,,,,,,,,,
28,visionmedia/superagent,0.12.1,2013-01-10,,,,1.0,1.0,3.0,9.0,1.0,,,,,,,,,,
29,visionmedia/superagent,0.12.2,2013-02-04,,,,1.0,12.0,3.0,14.0,1.0,,,,,,,,,,
30,visionmedia/superagent,0.12.3,2013-02-11,,,,1.0,1.0,3.0,9.0,1.0,,,,,,,,,,
31,visionmedia/superagent,0.12.4,2013-02-11,,,,1.0,2.0,3.0,9.0,1.0,,,,,,,,,,
32,visionmedia/superagent,0.13.0,2013-03-13,,,,1.0,9.0,4.0,20.0,1.0,,,,,,,,,,
33,visionmedia/superagent,0.14.0,2013-04-02,RELEASE,54.0,16117.0,,,,,,,,,,,1.0,3.0,4.0,25.0,-1.0
34,visionmedia/superagent,0.14.1,2013-04-09,,,,1.0,1.0,4.0,11.0,1.0,,,,,,,,,,
35,visionmedia/superagent,0.14.2,2013-05-07,,,,1.0,3.0,4.0,41.0,1.0,,,,,,,,,,
36,visionmedia/superagent,0.14.3,2013-05-18,,,,1.0,2.0,2.0,7.0,1.0,,,,,,,,,,
37,visionmedia/superagent,0.14.4,2013-05-22,,,,1.0,6.0,3.0,12.0,1.0,,,,,,,,,,
38,visionmedia/superagent,0.14.5,2013-05-23,RELEASE,54.0,16201.0,,,,,,,,,,,1.0,2.0,3.0,9.0,-1.0
39,visionmedia/superagent,0.14.6,2013-05-23,RELEASE,54.0,16207.0,,,,,,,,,,,1.0,1.0,3.0,9.0,-1.0
40,visionmedia/superagent,0.14.7,2013-06-06,,,,1.0,4.0,2.0,7.0,1.0,,,,,,,,,,
41,visionmedia/superagent,0.14.8,2013-06-13,,,,1.0,2.0,3.0,10.0,1.0,,,,,,,,,,
42,visionmedia/superagent,0.14.9,2013-06-15,,,,1.0,2.0,3.0,10.0,1.0,,,,,,,,,,
43,visionmedia/superagent,0.15.0,2013-06-25,,,,1.0,3.0,3.0,9.0,1.0,,,,,,,,,,
44,visionmedia/superagent,0.15.1,2013-06-26,,,,1.0,1.0,3.0,9.0,1.0,,,,,,,,,,
45,visionmedia/superagent,0.15.2,2013-07-02,,,,1.0,6.0,3.0,9.0,1.0,,,,,,,,,,
46,visionmedia/superagent,0.15.3,2013-07-05,,,,1.0,17.0,3.0,12.0,1.0,,,,,,,,,,
47,visionmedia/superagent,0.15.4,2013-07-09,,,,1.0,2.0,3.0,9.0,1.0,,,,,,,,,,
48,visionmedia/superagent,0.15.5,2013-10-09,,,,1.0,9.0,2.0,8.0,1.0,,,,,,,,,,
49,visionmedia/superagent,0.15.6,2013-10-16,,,,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,
50,visionmedia/superagent,0.15.7,2013-10-19,,,,1.0,2.0,2.0,8.0,1.0,,,,,,,,,,
51,visionmedia/superagent,0.16.0,2014-01-07,RELEASE,55.0,16625.0,1.0,26.0,3.0,23.0,1.0,,,,,,1.0,15.0,1.0,8.0,-1.0
