,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,swagger-api/swagger-ui,v1.0.1,2012-07-11,,,,,,,,,,,,,
1,swagger-api/swagger-ui,v1.1.1,2012-10-11,,,,,,,,,,,,,
2,swagger-api/swagger-ui,v1.1.3,2012-11-15,,,,,,,,,,,,,
3,swagger-api/swagger-ui,v1.1.4,2012-11-19,,,,,,,,,,,,,
4,swagger-api/swagger-ui,v1.1.5,2012-11-25,,,,,,,,,,,,,
5,swagger-api/swagger-ui,v1.1.6,2012-11-27,,,,,,,,,,,,,
6,swagger-api/swagger-ui,v1.1.7,2012-12-04,,,,,,,,,,,,,
7,swagger-api/swagger-ui,v1.0.12,2013-03-05,,,,,,,,,,,,,
8,swagger-api/swagger-ui,v1.0.13,2013-03-08,,,,,,,,,,,,,
9,swagger-api/swagger-ui,v1.1.15,2013-06-26,,,,,,,,,,,,,
10,swagger-api/swagger-ui,v2.0.0,2013-08-19,,,,,,,,,,,,,
11,swagger-api/swagger-ui,v2.0.1,2013-08-29,,,,,,,,,,,,,
12,swagger-api/swagger-ui,v2.0.2,2013-09-26,,,,,,,,,,,,,
13,swagger-api/swagger-ui,v2.0.3,2013-11-29,,,,,,,,,,,,,
14,swagger-api/swagger-ui,v2.0.4,2014-01-23,,,,,,,,,,,,,
15,swagger-api/swagger-ui,v2.0.7,2014-02-12,,,,,,,,,,,,,
16,swagger-api/swagger-ui,v2.0.8,2014-02-13,,,,,,,,,,,,,
17,swagger-api/swagger-ui,v2.0.9,2014-02-16,,,,,,,,,,,,,
18,swagger-api/swagger-ui,v2.0.10,2014-02-16,,,,,,,,,,,,,
19,swagger-api/swagger-ui,v2.0.12,2014-02-19,,,,,,,,,,,,,
20,swagger-api/swagger-ui,v2.0.11,2014-02-19,,,,,,,,,,,,,
21,swagger-api/swagger-ui,v2.0.14,2014-03-19,,,,,,,,,,,,,
22,swagger-api/swagger-ui,v2.0.15,2014-04-27,,,,,,,,,,,,,
23,swagger-api/swagger-ui,v2.0.16,2014-04-29,,,,,,,,,,,,,
24,swagger-api/swagger-ui,v2.0.17,2014-05-19,,,,,,,,,,,,,
25,swagger-api/swagger-ui,v2.0.18,2014-07-12,,,,,,,,,,,,,
26,swagger-api/swagger-ui,v2.0.19,2014-08-01,,,,,,,,,,,,,
27,swagger-api/swagger-ui,v2.0.21,2014-08-02,,,,,,,,,,,,,
28,swagger-api/swagger-ui,v2.0.20,2014-08-02,,,,,,,,,,,,,
29,swagger-api/swagger-ui,v2.0.22,2014-08-12,,,,,,,,,,,,,
30,swagger-api/swagger-ui,v2.0.24,2014-09-12,,,,,,,,,,,,,
31,swagger-api/swagger-ui,v2.1.0-alpha.1,2014-10-06,,,,,,,,,,,,,
32,swagger-api/swagger-ui,v2.1.0-alpha.4,2014-11-11,,,,,,,,,,,,,
33,swagger-api/swagger-ui,v2.1.0-alpha.5,2014-11-17,,,,,,,,,,,,,
34,swagger-api/swagger-ui,v2.1.0-alpha.6,2014-11-22,,,,,,,,,,,,,
35,swagger-api/swagger-ui,v2.1.0-M1,2015-02-01,,,,,,,,,,,,,
36,swagger-api/swagger-ui,v2.1.1-M1,2015-02-02,,,,,,,,,,,,,
37,swagger-api/swagger-ui,v2.1.2-M1,2015-02-09,,,,,,,,,,,,,
38,swagger-api/swagger-ui,v2.1.3-M1,2015-02-11,,,,,,,,,,,,,
39,swagger-api/swagger-ui,v2.1.4-M1,2015-02-12,,,,,,,,,,,,,
40,swagger-api/swagger-ui,v2.1.5-M1,2015-02-18,,,,,,,,,,,,,
41,swagger-api/swagger-ui,v2.1.7-M1,2015-02-21,,,,,,,,,,,,,
42,swagger-api/swagger-ui,v2.1.6-M1,2015-02-21,,,,,,,,,,,,,
43,swagger-api/swagger-ui,v2.1.8-M1,2015-02-21,,,,,,,,,,,,,
44,swagger-api/swagger-ui,v2.1.0-M2,2015-03-30,,,,,,,,,,,,,
45,swagger-api/swagger-ui,v2.1.1-M2,2015-04-16,,,,,,,,,,,,,
46,swagger-api/swagger-ui,v2.1.2-M2,2015-05-08,,,,,,,,,,,,,
47,swagger-api/swagger-ui,v2.1.4-M2,2015-05-13,,,,,,,,,,,,,
48,swagger-api/swagger-ui,v2.1.3-M2,2015-05-13,,,,,,,,,,,,,
49,swagger-api/swagger-ui,v2.1.5-M2,2015-05-14,,,,,,,,,,,,,
50,swagger-api/swagger-ui,v2.1.0,2015-06-06,,,,,,,,,,,,,
51,swagger-api/swagger-ui,v2.1.1,2015-07-22,,,,,,,,,,,,,
52,swagger-api/swagger-ui,v2.1.2,2015-08-19,,,,,,,,,,,,,
53,swagger-api/swagger-ui,v2.1.3,2015-09-19,,,,,,,,,,,,,
54,swagger-api/swagger-ui,v2.1.4,2016-01-06,,,,,,,,,,,,,
55,swagger-api/swagger-ui,v2.1.5,2016-07-21,,,,,,,,,,,,,
56,swagger-api/swagger-ui,v2.2.0,2016-08-10,,,,,,,,,,,,,
57,swagger-api/swagger-ui,v2.2.1,2016-08-23,,,,,,,,,,,,,
58,swagger-api/swagger-ui,v2.2.2,2016-08-24,,,,,,,,,,,,,
59,swagger-api/swagger-ui,v2.2.3,2016-09-01,,,,,,,,,,,,,
60,swagger-api/swagger-ui,v2.2.4,2016-09-20,,,,,,,,,,,,,
61,swagger-api/swagger-ui,v2.2.5,2016-09-26,,,,,,,,,,,,,
62,swagger-api/swagger-ui,v2.2.6,2016-10-14,,,,,,,,,,,,,
63,swagger-api/swagger-ui,v2.2.8,2016-11-23,,,,,,,,,,,,,
64,swagger-api/swagger-ui,v2.2.7,2016-11-23,,,,,,,,,,,,,
65,swagger-api/swagger-ui,v2.2.9,2017-01-04,,,,,,,,,,,,,
66,swagger-api/swagger-ui,v2.2.10,2017-01-05,,,,,,,,,,,,,
67,swagger-api/swagger-ui,v3.0.0,2017-03-17,,,,,,,,,,,,,
68,swagger-api/swagger-ui,v3.0.1,2017-03-18,,,,,,,,,,,,,
69,swagger-api/swagger-ui,v3.0.2,2017-03-19,,,,,,,,,,,,,
70,swagger-api/swagger-ui,v3.0.3,2017-03-25,,,,,,,,,,,,,
71,swagger-api/swagger-ui,v3.0.4,2017-03-31,BUG,160.0,12942.0,2.0,20.0,,0.0,0.0,118.0,310.0,,0.0,1.0
72,swagger-api/swagger-ui,v3.0.5,2017-04-07,BUG,161.0,13108.0,8.0,36.0,,0.0,0.0,472.0,964.0,,0.0,1.0
73,swagger-api/swagger-ui,v3.0.6,2017-04-14,BUG,163.0,13273.0,6.0,29.0,3.0,12.0,2.0,177.0,319.0,,0.0,1.0
74,swagger-api/swagger-ui,v3.0.7,2017-04-21,BUG,169.0,13422.0,6.0,26.0,2.0,6.0,1.0,236.0,432.0,,0.0,1.0
75,swagger-api/swagger-ui,v3.0.8,2017-04-28,BUG,171.0,13487.0,4.0,39.0,,0.0,0.0,236.0,967.0,,0.0,1.0
76,swagger-api/swagger-ui,v3.0.9,2017-05-05,BUG,172.0,13596.0,4.0,14.0,,0.0,0.0,236.0,246.0,,0.0,1.0
77,swagger-api/swagger-ui,v3.0.10,2017-05-14,BUG,172.0,13691.0,6.0,9.0,,0.0,0.0,354.0,125.0,,0.0,1.0
78,swagger-api/swagger-ui,v3.0.11,2017-05-19,BUG,172.0,13730.0,2.0,15.0,,0.0,0.0,118.0,363.0,,0.0,1.0
79,swagger-api/swagger-ui,v3.0.12,2017-05-26,BUG,173.0,13740.0,1.0,9.0,,0.0,0.0,59.0,125.0,,0.0,1.0
80,swagger-api/swagger-ui,v3.0.13,2017-06-03,BUG,176.0,20806.0,4.0,25.0,,0.0,0.0,236.0,431.0,,0.0,1.0
81,swagger-api/swagger-ui,v3.0.14,2017-06-09,BUG,177.0,13847.0,5.0,56.0,,0.0,0.0,295.0,810.0,,0.0,1.0
82,swagger-api/swagger-ui,v3.0.15,2017-06-16,BUG,179.0,13935.0,3.0,22.0,,0.0,0.0,177.0,428.0,,0.0,1.0
83,swagger-api/swagger-ui,v3.0.16,2017-06-17,,,,,,,,,,,,,
84,swagger-api/swagger-ui,v3.0.17,2017-06-23,BUG,181.0,13983.0,4.0,29.0,5.0,14.0,1.0,59.0,1073.0,,0.0,1.0
85,swagger-api/swagger-ui,v3.0.18,2017-07-07,BUG,181.0,14566.0,12.0,53.0,,0.0,0.0,708.0,517.0,,0.0,1.0
86,swagger-api/swagger-ui,v3.0.19,2017-07-14,BUG,193.0,15060.0,5.0,67.0,,0.0,0.0,295.0,821.0,,0.0,1.0
87,swagger-api/swagger-ui,v3.0.20,2017-07-21,BUG,192.0,15038.0,15.0,34.0,2.0,10.0,1.0,767.0,904.0,,0.0,1.0
88,swagger-api/swagger-ui,v3.0.21,2017-07-24,,,,,,,,,,,,,
89,swagger-api/swagger-ui,v3.1.0,2017-07-29,BUG,208.0,16036.0,2.0,64.0,5.0,38.0,1.0,59.0,354.0,,0.0,1.0
90,swagger-api/swagger-ui,v3.1.1,2017-07-29,,,,,,,,,,,,,
91,swagger-api/swagger-ui,v3.1.2,2017-07-31,,,,,,,,,,,,,
92,swagger-api/swagger-ui,v3.1.3,2017-08-04,BUG,208.0,16139.0,7.0,39.0,1.0,2.0,0.0,355.0,735.0,1.0,2.0,2.0
93,swagger-api/swagger-ui,v3.1.4,2017-08-05,,,,,,,,,,,,,
94,swagger-api/swagger-ui,v3.1.5,2017-08-11,BUG,220.0,18877.0,7.0,80.0,,0.0,0.0,413.0,776.0,,0.0,1.0
95,swagger-api/swagger-ui,v3.1.6,2017-08-18,BUG,221.0,19062.0,1.0,5.0,,0.0,0.0,59.0,121.0,,0.0,1.0
96,swagger-api/swagger-ui,v3.1.7,2017-08-25,BUG,224.0,19125.0,3.0,11.0,1.0,0.0,1.0,118.0,301.0,,0.0,1.0
97,swagger-api/swagger-ui,v3.2.0,2017-09-09,BUG,229.0,19733.0,1.0,10.0,1.0,2.0,1.0,,,,,
98,swagger-api/swagger-ui,v3.2.1,2017-09-15,BUG,230.0,20061.0,6.0,20.0,1.0,2.0,1.0,295.0,136.0,,0.0,1.0
99,swagger-api/swagger-ui,v3.2.2,2017-09-23,BUG,232.0,20208.0,5.0,32.0,1.0,2.0,1.0,236.0,322.0,,0.0,1.0
100,swagger-api/swagger-ui,v3.3.0,2017-09-29,BUG,235.0,20663.0,3.0,38.0,,0.0,0.0,177.0,560.0,,0.0,1.0
101,swagger-api/swagger-ui,3.3.1,2017-10-02,BUG,235.0,20667.0,3.0,4.0,2.0,6.0,1.0,118.0,120.0,,0.0,1.0
102,swagger-api/swagger-ui,v3.3.1,2017-10-02,,,,,,,,,,,,,
103,swagger-api/swagger-ui,v3.3.2,2017-10-13,BUG,238.0,20786.0,7.0,20.0,,0.0,0.0,413.0,484.0,,0.0,1.0
104,swagger-api/swagger-ui,v3.4.0,2017-10-20,BUG,242.0,21202.0,4.0,20.0,2.0,6.0,1.0,177.0,368.0,,0.0,1.0
105,swagger-api/swagger-ui,v3.4.1,2017-10-28,BUG,243.0,21244.0,8.0,18.0,,0.0,0.0,472.0,598.0,,0.0,1.0
106,swagger-api/swagger-ui,v3.4.2,2017-10-30,BUG,243.0,21308.0,1.0,5.0,,0.0,0.0,59.0,63.0,,0.0,1.0
107,swagger-api/swagger-ui,v3.4.3,2017-11-03,BUG,247.0,21591.0,7.0,48.0,,0.0,0.0,413.0,976.0,,0.0,1.0
108,swagger-api/swagger-ui,v3.4.4,2017-11-10,BUG,249.0,21896.0,10.0,44.0,1.0,2.0,1.0,531.0,450.0,,0.0,1.0
109,swagger-api/swagger-ui,v3.4.5,2017-11-17,BUG,250.0,22293.0,11.0,55.0,8.0,44.0,1.0,295.0,635.0,,0.0,1.0
110,swagger-api/swagger-ui,v3.5.0,2017-11-23,BUG,253.0,22461.0,3.0,36.0,,0.0,0.0,177.0,384.0,,0.0,1.0
111,swagger-api/swagger-ui,v3.6.0,2017-12-02,BUG,257.0,23196.0,4.0,45.0,2.0,17.0,0.0,178.0,335.0,2.0,17.0,2.0
112,swagger-api/swagger-ui,v3.6.1,2017-12-09,BUG,271.0,24154.0,6.0,62.0,8.0,83.0,1.0,118.0,1106.0,,0.0,1.0
113,swagger-api/swagger-ui,v3.7.0,2017-12-16,BUG,273.0,24289.0,5.0,61.0,5.0,16.0,1.0,59.0,931.0,,0.0,1.0
114,swagger-api/swagger-ui,v3.8.0,2017-12-23,BUG,272.0,24339.0,3.0,17.0,1.0,6.0,1.0,118.0,191.0,,0.0,1.0
115,swagger-api/swagger-ui,v3.8.1,2017-12-30,,,,,,,,,,,,,
116,swagger-api/swagger-ui,v3.9.0,2018-01-06,BUG,272.0,24737.0,2.0,17.0,5.0,14.0,1.0,59.0,481.0,118.0,295.0,1.0
117,swagger-api/swagger-ui,v3.9.1,2018-01-13,BUG,273.0,24786.0,4.0,5.0,6.0,13.0,1.0,59.0,121.0,118.0,413.0,1.0
118,swagger-api/swagger-ui,v3.9.2,2018-01-20,BUG,273.0,24895.0,5.0,4.0,12.0,190.0,1.0,118.0,178.0,472.0,10679.0,1.0
119,swagger-api/swagger-ui,v3.9.3,2018-01-26,BUG,273.0,24917.0,6.0,9.0,8.0,69.0,1.0,59.0,125.0,177.0,2537.0,1.0
120,swagger-api/swagger-ui,v3.10.0,2018-02-09,BUG,273.0,24922.0,1.0,6.0,2.0,7.0,1.0,,,,,
121,swagger-api/swagger-ui,v3.11.0,2018-02-23,BUG,274.0,25264.0,2.0,6.0,3.0,7.0,1.0,,,,,
122,swagger-api/swagger-ui,v3.12.0,2018-03-02,BUG,285.0,26713.0,7.0,8.0,20.0,1181.0,1.0,295.0,182.0,944.0,65726.0,1.0
123,swagger-api/swagger-ui,v3.12.1,2018-03-09,,,,,,,,,,,,,
124,swagger-api/swagger-ui,v3.13.0,2018-03-17,BUG,289.0,27201.0,3.0,5.0,3.0,14.0,0.0,177.0,237.0,177.0,826.0,1.0
125,swagger-api/swagger-ui,v3.13.1,2018-03-24,BUG,289.0,27212.0,2.0,5.0,2.0,27.0,0.0,118.0,63.0,118.0,1593.0,1.0
