,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,swagger-api/swagger-ui,v1.0.1,2012-07-11,OTHER,41,12312,,,,,,,,,,,22.0,,35.0,746.0,-1.0
1,swagger-api/swagger-ui,v1.1.1,2012-10-11,OTHER,256,51036,,,,,,,,,,,34.0,2.0,372.0,68855.0,-1.0
2,swagger-api/swagger-ui,v1.1.3,2012-11-15,OTHER,45,8364,,,,,,,,,,,16.0,3.0,32.0,1238.0,-1.0
3,swagger-api/swagger-ui,v1.1.4,2012-11-19,OTHER,49,8687,,,,,,,,,,,7.0,,25.0,389.0,-1.0
4,swagger-api/swagger-ui,v1.1.5,2012-11-25,OTHER,49,8748,,,,,,,,,,,8.0,3.0,20.0,162.0,-1.0
5,swagger-api/swagger-ui,v1.1.6,2012-11-27,OTHER,51,8857,,,,,,,,,,,6.0,,6.0,137.0,-1.0
6,swagger-api/swagger-ui,v1.1.7,2012-12-04,OTHER,51,8859,,,,,,,,,,,3.0,2.0,2.0,24.0,-1.0
7,swagger-api/swagger-ui,v1.0.12,2013-03-05,OTHER,70,14698,,,,,,,,,,,22.0,1.0,63.0,8228.0,-1.0
8,swagger-api/swagger-ui,v1.0.13,2013-03-08,OTHER,70,14698,,,,,,,,,,,,,,,
9,swagger-api/swagger-ui,v1.1.15,2013-06-26,OTHER,70,15140,,,,,,,,,,,17.0,2.0,13.0,420.0,-1.0
10,swagger-api/swagger-ui,v2.0.0,2013-08-19,OTHER,79,23326,,,,,,,,,,,26.0,5.0,72.0,18853.0,-1.0
11,swagger-api/swagger-ui,v2.0.1,2013-08-29,OTHER,79,23451,,,,,,,,,,,1.0,,3.0,324.0,-1.0
12,swagger-api/swagger-ui,v2.0.2,2013-09-26,OTHER,79,23567,,,,,,,,,,,10.0,2.0,21.0,372.0,-1.0
13,swagger-api/swagger-ui,v2.0.3,2013-11-29,OTHER,82,23456,,,,,,,,,,,9.0,1.0,10.0,6731.0,-1.0
14,swagger-api/swagger-ui,v2.0.4,2014-01-23,OTHER,82,23814,,,,,,,,,,,11.0,2.0,16.0,446.0,-1.0
15,swagger-api/swagger-ui,v2.0.7,2014-02-12,OTHER,82,23769,,,,,,,,,,,4.0,,14.0,2789.0,-1.0
16,swagger-api/swagger-ui,v2.0.8,2014-02-13,OTHER,82,23606,,,,,,,,,,,1.0,,3.0,2715.0,-1.0
17,swagger-api/swagger-ui,v2.0.9,2014-02-16,OTHER,82,23610,,,,,,,,,,,1.0,,3.0,66.0,-1.0
18,swagger-api/swagger-ui,v2.0.10,2014-02-16,OTHER,82,23610,,,,,,,,,,,,,,,
19,swagger-api/swagger-ui,v2.0.12,2014-02-19,OTHER,82,23620,,,,,,,,,,,1.0,,3.0,12.0,-1.0
20,swagger-api/swagger-ui,v2.0.11,2014-02-19,OTHER,82,23620,,,,,,,,,,,1.0,,3.0,24.0,-1.0
21,swagger-api/swagger-ui,v2.0.14,2014-03-19,OTHER,83,23927,,,,,,,,,,,16.0,3.0,33.0,984.0,-1.0
22,swagger-api/swagger-ui,v2.0.15,2014-04-27,OTHER,92,25344,,,,,,,,,,,9.0,,45.0,4329.0,-1.0
23,swagger-api/swagger-ui,v2.0.16,2014-04-29,OTHER,92,25395,,,,,,,,,,,2.0,,7.0,66.0,-1.0
24,swagger-api/swagger-ui,v2.0.17,2014-05-19,OTHER,92,25410,,,,,,,,,,,3.0,,5.0,9.0,-1.0
25,swagger-api/swagger-ui,v2.0.18,2014-07-12,OTHER,92,25508,,,,,,,,,,,9.0,1.0,9.0,213.0,-1.0
26,swagger-api/swagger-ui,v2.0.19,2014-08-01,OTHER,92,25621,,,,,,,,,,,14.0,1.0,20.0,782.0,-1.0
27,swagger-api/swagger-ui,v2.0.21,2014-08-02,OTHER,92,25629,,,,,,,,,,,1.0,,4.0,175.0,-1.0
28,swagger-api/swagger-ui,v2.0.20,2014-08-02,OTHER,92,25634,,,,,,,,,,,3.0,,8.0,59.0,-1.0
29,swagger-api/swagger-ui,v2.0.22,2014-08-12,OTHER,92,25629,,,,,,,,,,,,,,,
30,swagger-api/swagger-ui,v2.0.24,2014-09-12,OTHER,92,25762,,,,,,,,,,,6.0,2.0,15.0,247.0,-1.0
31,swagger-api/swagger-ui,v2.1.0-alpha.1,2014-10-06,OTHER,94,28782,,,,,,,,,,,55.0,1.0,106.0,18895.0,-1.0
32,swagger-api/swagger-ui,v2.1.0-alpha.4,2014-11-11,OTHER,98,29441,,,,,,,,,,,30.0,,73.0,7561.0,-1.0
33,swagger-api/swagger-ui,v2.1.0-alpha.5,2014-11-17,OTHER,98,29433,,,,,,,,,,,2.0,,3.0,18.0,-1.0
34,swagger-api/swagger-ui,v2.1.0-alpha.6,2014-11-22,OTHER,98,29443,,,,,,,,,,,8.0,1.0,2.0,950.0,-1.0
35,swagger-api/swagger-ui,v2.1.0-M1,2015-02-01,OTHER,120,27539,,,,,,,,,,,19.0,1.0,111.0,26790.0,-1.0
36,swagger-api/swagger-ui,v2.1.1-M1,2015-02-02,OTHER,121,27606,,,,,,,,,,,90.0,9.0,176.0,38435.0,-1.0
37,swagger-api/swagger-ui,v2.1.2-M1,2015-02-09,OTHER,121,27662,,,,,,,,,,,3.0,1.0,5.0,528.0,-1.0
38,swagger-api/swagger-ui,v2.1.3-M1,2015-02-11,OTHER,121,27698,,,,,,,,,,,4.0,,14.0,1136.0,-1.0
39,swagger-api/swagger-ui,v2.1.4-M1,2015-02-12,OTHER,121,27711,,,,,,,,,,,3.0,,8.0,566.0,-1.0
40,swagger-api/swagger-ui,v2.1.5-M1,2015-02-18,OTHER,121,27785,,,,,,,,,,,12.0,1.0,34.0,4870.0,-1.0
41,swagger-api/swagger-ui,v2.1.7-M1,2015-02-21,OTHER,121,27976,,,,,,,,,,,1.0,,3.0,280.0,-1.0
42,swagger-api/swagger-ui,v2.1.6-M1,2015-02-21,OTHER,121,27976,,,,,,,,,,,10.0,,21.0,1602.0,-1.0
43,swagger-api/swagger-ui,v2.1.8-M1,2015-02-21,OTHER,121,28380,,,,,,,,,,,1.0,,,0.0,-1.0
44,swagger-api/swagger-ui,v2.1.0-M2,2015-03-30,OTHER,134,11572,,,,,,,,,,,138.0,16.0,329.0,67773.0,-1.0
45,swagger-api/swagger-ui,v2.1.1-M2,2015-04-16,OTHER,134,14265,,,,,,,,,,,16.0,1.0,27.0,59.0,-1.0
