,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,systemjs/systemjs,0.1.1,2013-07-23,DOCS,31,1115,,,,,,,,,,,1.0,13.0,1.0,6.0,-1.0
1,systemjs/systemjs,0.1.2,2013-08-30,DOCS,1219,73470,,,,,,,,,,,1.0,66.0,1.0,51.0,-1.0
2,systemjs/systemjs,0.2.0,2013-09-23,DOCS,1223,73583,,,,,,,,,,,,,,,
3,systemjs/systemjs,0.2.1,2013-10-01,DOCS,1224,73653,,,,,,,,,,,,,,,
4,systemjs/systemjs,0.2.2,2013-11-07,DOCS,1226,73677,,,,,,,,,,,,,,,
5,systemjs/systemjs,0.2.3,2013-11-12,DOCS,1230,73762,,,,,,,,,,,,,,,
6,systemjs/systemjs,0.2.4,2013-11-23,DOCS,1231,73771,,,,,,,,,,,,,,,
7,systemjs/systemjs,0.3.0,2013-12-05,DOCS,1233,73928,,,,,,,,,,,,,,,
8,systemjs/systemjs,0.3.1,2013-12-06,DOCS,1233,73959,,,,,,,,,,,,,,,
9,systemjs/systemjs,0.4.0,2014-02-05,DOCS,1264,76064,,,,,,,,,,,4.0,77.0,14.0,345.0,-1.0
10,systemjs/systemjs,0.4.1,2014-02-09,DOCS,1264,76070,,,,,,,,,,,,,,,
11,systemjs/systemjs,0.4.2,2014-02-11,DOCS,1268,76140,,,,,,,,,,,,,,,
12,systemjs/systemjs,0.4.3,2014-02-14,DOCS,1269,76217,,,,,,,,,,,,,,,
13,systemjs/systemjs,0.5.0,2014-03-04,DOCS,1271,76577,,,,,,,,,,,,,,,
14,systemjs/systemjs,0.5.2,2014-03-04,DOCS,1272,76622,,,,,,,,,,,,,,,
15,systemjs/systemjs,0.5.3,2014-03-10,DOCS,1273,76767,,,,,,,,,,,,,,,
16,systemjs/systemjs,0.5.4,2014-03-10,DOCS,1273,76800,,,,,,,,,,,,,,,
17,systemjs/systemjs,0.5.5,2014-03-27,DOCS,1273,76794,,,,,,,,,,,,,,,
18,systemjs/systemjs,0.6.0,2014-05-07,DOCS,115,6434,1.0,38.0,1.0,4.0,1.0,2.0,73.0,2.0,8.0,2.0,,,,,
19,systemjs/systemjs,0.5.6,2014-05-14,DOCS,1273,76836,,,,,,,,,,,,,,,
20,systemjs/systemjs,0.4.4,2014-05-16,DOCS,1269,76259,,,,,,,,,,,,,,,
21,systemjs/systemjs,0.6.1,2014-05-18,DOCS,118,7537,2.0,105.0,2.0,24.0,2.0,4.0,198.0,4.0,48.0,4.0,1.0,8.0,1.0,2.0,-1.0
22,systemjs/systemjs,0.6.3,2014-05-19,DOCS,118,7543,,,,,,,,,,,,,,,
23,systemjs/systemjs,0.6.2,2014-05-19,DOCS,118,7543,,,,,,,,,,,,,,,
24,systemjs/systemjs,0.6.5,2014-05-23,DOCS,120,7648,,,,,,,,,,,,,,,
25,systemjs/systemjs,0.6.6,2014-05-23,DOCS,120,7652,,,,,,,,,,,,,,,
26,systemjs/systemjs,0.6.4,2014-05-23,DOCS,121,7689,,,,,,,,,,,,,,,
27,systemjs/systemjs,0.6.7,2014-06-26,DOCS,126,7861,,,,,,,,,,,,,,,
28,systemjs/systemjs,0.6.8,2014-08-02,DOCS,135,8263,,,,,,,,,,,,,,,
