,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,systemjs/systemjs,0.1.1,2013-07-23,,,,,,,,,,,,,
1,systemjs/systemjs,0.1.2,2013-08-30,,,,,,,,,,,,,
2,systemjs/systemjs,0.2.0,2013-09-23,,,,,,,,,,,,,
3,systemjs/systemjs,0.2.1,2013-10-01,,,,,,,,,,,,,
4,systemjs/systemjs,0.2.2,2013-11-07,,,,,,,,,,,,,
5,systemjs/systemjs,0.2.3,2013-11-12,,,,,,,,,,,,,
6,systemjs/systemjs,0.2.4,2013-11-23,,,,,,,,,,,,,
7,systemjs/systemjs,0.3.0,2013-12-05,,,,,,,,,,,,,
8,systemjs/systemjs,0.3.1,2013-12-06,,,,,,,,,,,,,
9,systemjs/systemjs,0.4.0,2014-02-05,OTHER,1264.0,76064.0,10.0,29.0,33.0,486.0,1.0,20.0,32.0,66.0,972.0,1.0
10,systemjs/systemjs,0.4.1,2014-02-09,OTHER,1264.0,76070.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0
11,systemjs/systemjs,0.4.2,2014-02-11,OTHER,1268.0,76140.0,1.0,4.0,1.0,2.0,1.0,2.0,8.0,2.0,4.0,1.0
12,systemjs/systemjs,0.4.3,2014-02-14,OTHER,1269.0,76217.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0
13,systemjs/systemjs,0.5.0,2014-03-04,OTHER,1271.0,76577.0,5.0,5.0,14.0,54.0,1.0,10.0,10.0,28.0,108.0,1.0
14,systemjs/systemjs,0.5.2,2014-03-04,,,,,,,,,,,,,
15,systemjs/systemjs,0.5.3,2014-03-10,OTHER,1273.0,76767.0,7.0,2.0,20.0,292.0,1.0,14.0,4.0,40.0,584.0,1.0
16,systemjs/systemjs,0.5.4,2014-03-10,OTHER,1273.0,76800.0,1.0,2.0,6.0,45.0,1.0,2.0,4.0,12.0,90.0,1.0
17,systemjs/systemjs,0.5.5,2014-03-27,OTHER,1273.0,76794.0,7.0,7.0,25.0,244.0,1.0,14.0,14.0,50.0,488.0,1.0
18,systemjs/systemjs,0.6.0,2014-05-07,OTHER,115.0,6434.0,14.0,24.0,76.0,12521.0,1.0,28.0,46.0,152.0,25042.0,1.0
19,systemjs/systemjs,0.5.6,2014-05-14,,,,,,,,,,,,,
20,systemjs/systemjs,0.4.4,2014-05-16,,,,,,,,,,,,,
21,systemjs/systemjs,0.6.1,2014-05-18,OTHER,118.0,7537.0,46.0,56.0,189.0,14229.0,2.0,90.0,106.0,376.0,28452.0,1.0
22,systemjs/systemjs,0.6.3,2014-05-19,OTHER,118.0,7543.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0
23,systemjs/systemjs,0.6.2,2014-05-19,OTHER,118.0,7543.0,4.0,,17.0,38.0,1.0,,,,,
24,systemjs/systemjs,0.6.5,2014-05-23,OTHER,120.0,7648.0,1.0,,6.0,59.0,1.0,,,,,
25,systemjs/systemjs,0.6.6,2014-05-23,,,,,,,,,,,,,
26,systemjs/systemjs,0.6.4,2014-05-23,OTHER,121.0,7689.0,3.0,2.0,2.0,4.0,1.0,6.0,3.0,4.0,8.0,1.0
27,systemjs/systemjs,0.6.7,2014-06-26,OTHER,126.0,7861.0,14.0,3.0,56.0,546.0,1.0,28.0,5.0,112.0,1092.0,1.0
28,systemjs/systemjs,0.6.8,2014-08-02,OTHER,135.0,8263.0,20.0,18.0,53.0,1556.0,1.0,40.0,32.0,106.0,3112.0,1.0
29,systemjs/systemjs,0.7.0,2014-08-05,OTHER,135.0,8262.0,2.0,1.0,9.0,73.0,1.0,4.0,2.0,18.0,146.0,1.0
30,systemjs/systemjs,0.8.0,2014-08-11,OTHER,140.0,8216.0,4.0,2.0,12.0,139.0,1.0,8.0,4.0,24.0,278.0,1.0
31,systemjs/systemjs,0.8.1,2014-08-13,OTHER,140.0,8201.0,2.0,,8.0,43.0,1.0,,,,,
32,systemjs/systemjs,0.8.2,2014-08-20,OTHER,141.0,8341.0,4.0,2.0,9.0,87.0,1.0,8.0,3.0,18.0,174.0,1.0
33,systemjs/systemjs,0.9.0,2014-09-26,OTHER,143.0,8579.0,5.0,7.0,18.0,412.0,1.0,10.0,14.0,36.0,824.0,1.0
34,systemjs/systemjs,0.9.1,2014-10-03,OTHER,146.0,8597.0,4.0,3.0,21.0,8826.0,1.0,8.0,6.0,42.0,17652.0,1.0
35,systemjs/systemjs,0.9.2,2014-10-21,OTHER,148.0,8837.0,4.0,1.0,17.0,972.0,1.0,8.0,2.0,34.0,1944.0,1.0
36,systemjs/systemjs,0.9.3,2014-10-21,,,,,,,,,,,,,
37,systemjs/systemjs,0.10.0,2014-11-18,OTHER,156.0,8899.0,10.0,8.0,31.0,209.0,1.0,20.0,15.0,62.0,418.0,1.0
