,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,systemjs/systemjs,0.1.1,2013-07-23,UPGRADE,31,1115,,,,,,,,,,,,,,,
1,systemjs/systemjs,0.1.2,2013-08-30,UPGRADE,1219,73470,,,,,,,,,,,1.0,66.0,1.0,10.0,-1.0
2,systemjs/systemjs,0.2.0,2013-09-23,UPGRADE,1223,73583,,,,,,,,,,,,,,,
3,systemjs/systemjs,0.2.1,2013-10-01,UPGRADE,1224,73653,,,,,,,,,,,,,,,
4,systemjs/systemjs,0.2.2,2013-11-07,UPGRADE,1226,73677,,,,,,,,,,,,,,,
5,systemjs/systemjs,0.2.3,2013-11-12,UPGRADE,1230,73762,,,,,,,,,,,,,,,
6,systemjs/systemjs,0.2.4,2013-11-23,UPGRADE,1231,73771,,,,,,,,,,,,,,,
7,systemjs/systemjs,0.3.0,2013-12-05,UPGRADE,1233,73928,,,,,,,,,,,,,,,
8,systemjs/systemjs,0.3.1,2013-12-06,UPGRADE,1233,73959,,,,,,,,,,,,,,,
9,systemjs/systemjs,0.4.0,2014-02-05,UPGRADE,1264,76064,,,,,,,,,,,,,,,
10,systemjs/systemjs,0.4.1,2014-02-09,UPGRADE,1264,76070,,,,,,,,,,,,,,,
11,systemjs/systemjs,0.4.2,2014-02-11,UPGRADE,1268,76140,,,,,,,,,,,,,,,
12,systemjs/systemjs,0.4.3,2014-02-14,UPGRADE,1269,76217,,,,,,,,,,,,,,,
13,systemjs/systemjs,0.5.0,2014-03-04,UPGRADE,1271,76577,,,,,,,,,,,,,,,
14,systemjs/systemjs,0.5.2,2014-03-04,UPGRADE,1272,76622,,,,,,,,,,,,,,,
15,systemjs/systemjs,0.5.3,2014-03-10,UPGRADE,1273,76767,,,,,,,,,,,,,,,
16,systemjs/systemjs,0.5.4,2014-03-10,UPGRADE,1273,76800,,,,,,,,,,,,,,,
17,systemjs/systemjs,0.5.5,2014-03-27,UPGRADE,1273,76794,,,,,,,,,,,,,,,
18,systemjs/systemjs,0.6.0,2014-05-07,UPGRADE,115,6434,,,,,,,,,,,,,,,
19,systemjs/systemjs,0.5.6,2014-05-14,UPGRADE,1273,76836,,,,,,,,,,,,,,,
20,systemjs/systemjs,0.4.4,2014-05-16,UPGRADE,1269,76259,,,,,,,,,,,,,,,
21,systemjs/systemjs,0.6.1,2014-05-18,UPGRADE,118,7537,1.0,107.0,1.0,6.0,1.0,,,,,,,,,,
22,systemjs/systemjs,0.6.3,2014-05-19,UPGRADE,118,7543,,,,,,,,,,,,,,,
23,systemjs/systemjs,0.6.2,2014-05-19,UPGRADE,118,7543,,,,,,,,,,,,,,,
24,systemjs/systemjs,0.6.5,2014-05-23,UPGRADE,120,7648,,,,,,,,,,,,,,,
25,systemjs/systemjs,0.6.6,2014-05-23,UPGRADE,120,7652,,,,,,,,,,,,,,,
26,systemjs/systemjs,0.6.4,2014-05-23,UPGRADE,121,7689,,,,,,,,,,,,,,,
27,systemjs/systemjs,0.6.7,2014-06-26,UPGRADE,126,7861,,,,,,,,,,,,,,,
28,systemjs/systemjs,0.6.8,2014-08-02,UPGRADE,135,8263,,,,,,,,,,,,,,,
29,systemjs/systemjs,0.7.0,2014-08-05,UPGRADE,135,8262,,,,,,,,,,,,,,,
30,systemjs/systemjs,0.8.0,2014-08-11,UPGRADE,140,8216,,,,,,,,,,,,,,,
31,systemjs/systemjs,0.8.1,2014-08-13,UPGRADE,140,8201,,,,,,,,,,,,,,,
32,systemjs/systemjs,0.8.2,2014-08-20,UPGRADE,141,8341,,,,,,,,,,,,,,,
33,systemjs/systemjs,0.9.0,2014-09-26,UPGRADE,143,8579,,,,,,,,,,,,,,,
34,systemjs/systemjs,0.9.1,2014-10-03,UPGRADE,146,8597,,,,,,,,,,,,,,,
35,systemjs/systemjs,0.9.2,2014-10-21,UPGRADE,148,8837,,,,,,,,,,,,,,,
36,systemjs/systemjs,0.9.3,2014-10-21,UPGRADE,148,8855,,,,,,,,,,,,,,,
37,systemjs/systemjs,0.10.0,2014-11-18,UPGRADE,156,8899,,,,,,,,,,,,,,,
38,systemjs/systemjs,0.10.1,2014-11-24,UPGRADE,159,8929,,,,,,,,,,,,,,,
39,systemjs/systemjs,0.10.2,2014-12-01,UPGRADE,159,8945,,,,,,,,,,,,,,,
40,systemjs/systemjs,0.11.0,2014-12-23,UPGRADE,164,8779,,,,,,,,,,,,,,,
41,systemjs/systemjs,0.11.1,2015-01-03,UPGRADE,164,8788,,,,,,,,,,,,,,,
42,systemjs/systemjs,0.11.2,2015-01-15,UPGRADE,168,8869,,,,,,,,,,,,,,,
43,systemjs/systemjs,0.11.3,2015-01-19,UPGRADE,168,8845,,,,,,,,,,,,,,,
44,systemjs/systemjs,0.12.0,2015-01-28,UPGRADE,175,9041,,,,,,,,,,,,,,,
45,systemjs/systemjs,0.12.1,2015-01-30,UPGRADE,175,9199,,,,,,,,,,,,,,,
46,systemjs/systemjs,0.13.0,2015-02-01,UPGRADE,177,9240,,,,,,,,,,,,,,,
47,systemjs/systemjs,0.13.1,2015-02-04,UPGRADE,177,9240,,,,,,,,,,,,,,,
48,systemjs/systemjs,0.13.2,2015-02-12,UPGRADE,177,9245,,,,,,,,,,,,,,,
49,systemjs/systemjs,0.14.0,2015-02-18,UPGRADE,177,9242,,,,,,,,,,,,,,,
50,systemjs/systemjs,0.14.1,2015-02-18,UPGRADE,177,9248,,,,,,,,,,,,,,,
51,systemjs/systemjs,0.15.0,2015-03-04,UPGRADE,178,9295,,,,,,,,,,,,,,,
52,systemjs/systemjs,0.16.0,2015-03-24,UPGRADE,178,9222,,,,,,,,,,,,,,,
53,systemjs/systemjs,0.16.1,2015-03-25,UPGRADE,179,9265,2.0,6.0,2.0,4.0,1.0,4.0,12.0,4.0,8.0,1.0,,,,,
54,systemjs/systemjs,0.16.3,2015-03-26,UPGRADE,179,9282,,,,,,,,,,,,,,,
55,systemjs/systemjs,0.16.2,2015-03-26,UPGRADE,179,9284,,,,,,,,,,,,,,,
56,systemjs/systemjs,0.16.4,2015-03-26,UPGRADE,179,9294,,,,,,,,,,,,,,,
57,systemjs/systemjs,0.16.5,2015-03-27,UPGRADE,179,9309,,,,,,,,,,,,,,,
58,systemjs/systemjs,0.16.6,2015-03-28,UPGRADE,179,9318,,,,,,,,,,,,,,,
59,systemjs/systemjs,0.16.7,2015-04-08,UPGRADE,179,9366,,,,,,,,,,,,,,,
60,systemjs/systemjs,0.16.8,2015-04-23,UPGRADE,182,9624,,,,,,,,,,,,,,,
61,systemjs/systemjs,0.16.9,2015-04-25,UPGRADE,182,9645,,,,,,,,,,,,,,,
62,systemjs/systemjs,0.16.10,2015-04-28,UPGRADE,182,9612,,,,,,,,,,,,,,,
63,systemjs/systemjs,0.16.11,2015-05-04,UPGRADE,183,9628,,,,,,,,,,,,,,,
64,systemjs/systemjs,0.17.1,2015-06-04,UPGRADE,224,15762,,,,,,,,,,,,,,,
65,systemjs/systemjs,0.17.0,2015-06-04,UPGRADE,224,15764,1.0,101.0,5.0,13.0,1.0,2.0,202.0,10.0,26.0,1.0,,,,,
66,systemjs/systemjs,0.18.0,2015-06-16,UPGRADE,230,16262,,,,,,,,,,,,,,,
67,systemjs/systemjs,0.18.1,2015-06-16,UPGRADE,230,16277,,,,,,,,,,,,,,,
68,systemjs/systemjs,0.18.2,2015-06-23,UPGRADE,232,16547,,,,,,,,,,,,,,,
69,systemjs/systemjs,0.18.3,2015-06-24,UPGRADE,232,16531,,,,,,,,,,,,,,,
70,systemjs/systemjs,0.18.4,2015-06-30,UPGRADE,232,16582,,,,,,,,,,,,,,,
71,systemjs/systemjs,0.18.5,2015-08-03,UPGRADE,237,17240,,,,,,,,,,,,,,,
72,systemjs/systemjs,0.18.6,2015-08-04,UPGRADE,237,17246,,,,,,,,,,,,,,,
73,systemjs/systemjs,0.18.8,2015-08-06,UPGRADE,239,17298,,,,,,,,,,,,,,,
74,systemjs/systemjs,0.18.7,2015-08-06,UPGRADE,239,17298,,,,,,,,,,,,,,,
75,systemjs/systemjs,0.18.9,2015-08-09,UPGRADE,239,17353,,,,,,,,,,,,,,,
76,systemjs/systemjs,0.18.10,2015-08-13,UPGRADE,239,17506,,,,,,,,,,,,,,,
77,systemjs/systemjs,0.18.11,2015-08-18,UPGRADE,244,17728,,,,,,,,,,,,,,,
78,systemjs/systemjs,0.18.12,2015-08-24,UPGRADE,246,18114,,,,,,,,,,,,,,,
79,systemjs/systemjs,0.18.14,2015-08-24,UPGRADE,246,18132,,,,,,,,,,,,,,,
80,systemjs/systemjs,0.18.13,2015-08-24,UPGRADE,246,18132,,,,,,,,,,,,,,,
81,systemjs/systemjs,0.18.16,2015-08-26,UPGRADE,247,18170,,,,,,,,,,,,,,,
82,systemjs/systemjs,0.18.15,2015-08-26,UPGRADE,247,18170,,,,,,,,,,,,,,,
83,systemjs/systemjs,0.18.17,2015-08-27,UPGRADE,248,18308,,,,,,,,,,,,,,,
84,systemjs/systemjs,0.19.0,2015-09-18,UPGRADE,255,19121,,,,,,,,,,,,,,,
85,systemjs/systemjs,0.19.1,2015-09-22,UPGRADE,256,19369,,,,,,,,,,,,,,,
86,systemjs/systemjs,0.19.2,2015-09-23,UPGRADE,256,19450,,,,,,,,,,,,,,,
87,systemjs/systemjs,0.19.3,2015-09-24,UPGRADE,256,19454,,,,,,,,,,,,,,,
88,systemjs/systemjs,0.19.4,2015-10-08,UPGRADE,256,19554,,,,,,,,,,,,,,,
89,systemjs/systemjs,0.19.5,2015-10-19,UPGRADE,256,19595,,,,,,,,,,,,,,,
90,systemjs/systemjs,0.19.6,2015-11-16,UPGRADE,257,19734,,,,,,,,,,,,,,,
91,systemjs/systemjs,0.19.7,2015-12-15,UPGRADE,268,20140,,,,,,,,,,,,,,,
92,systemjs/systemjs,0.19.8,2015-12-15,UPGRADE,268,20143,,,,,,,,,,,,,,,
93,systemjs/systemjs,0.19.9,2015-12-17,UPGRADE,268,20183,,,,,,,,,,,,,,,
94,systemjs/systemjs,0.19.10,2016-01-05,UPGRADE,265,20511,,,,,,,,,,,,,,,
95,systemjs/systemjs,0.19.11,2016-01-06,UPGRADE,265,20511,,,,,,,,,,,,,,,
96,systemjs/systemjs,0.19.12,2016-01-06,UPGRADE,265,20520,,,,,,,,,,,,,,,
97,systemjs/systemjs,0.19.13,2016-01-07,UPGRADE,265,20550,,,,,,,,,,,,,,,
98,systemjs/systemjs,0.19.14,2016-01-09,UPGRADE,265,20565,,,,,,,,,,,,,,,
99,systemjs/systemjs,0.19.15,2016-01-12,UPGRADE,265,20565,,,,,,,,,,,,,,,
100,systemjs/systemjs,0.19.16,2016-01-13,UPGRADE,265,20556,,,,,,,,,,,,,,,
101,systemjs/systemjs,0.19.17,2016-01-20,UPGRADE,265,20630,,,,,,,,,,,,,,,
102,systemjs/systemjs,0.19.18,2016-02-01,UPGRADE,266,20866,,,,,,,,,,,,,,,
103,systemjs/systemjs,0.19.20,2016-02-04,UPGRADE,267,20898,,,,,,,,,,,,,,,
104,systemjs/systemjs,0.19.19,2016-02-04,UPGRADE,267,20901,,,,,,,,,,,,,,,
105,systemjs/systemjs,0.19.21,2016-02-15,UPGRADE,267,20843,,,,,,,,,,,,,,,
106,systemjs/systemjs,0.19.22,2016-02-16,UPGRADE,267,20852,,,,,,,,,,,,,,,
107,systemjs/systemjs,0.19.23,2016-02-25,UPGRADE,269,20858,,,,,,,,,,,,,,,
108,systemjs/systemjs,0.19.24,2016-03-09,UPGRADE,271,21143,,,,,,,,,,,,,,,
109,systemjs/systemjs,0.19.25,2016-03-30,UPGRADE,271,21285,,,,,,,,,,,,,,,
110,systemjs/systemjs,0.19.26,2016-04-11,UPGRADE,271,21382,,,,,,,,,,,,,,,
111,systemjs/systemjs,0.19.27,2016-04-29,UPGRADE,271,21397,,,,,,,,,,,,,,,
112,systemjs/systemjs,0.19.28,2016-05-19,UPGRADE,274,21648,,,,,,,,,,,,,,,
113,systemjs/systemjs,0.19.29,2016-05-25,UPGRADE,275,21727,,,,,,,,,,,,,,,
114,systemjs/systemjs,0.19.30,2016-06-11,UPGRADE,288,23752,,,,,,,,,,,,,,,
115,systemjs/systemjs,0.19.31,2016-06-12,UPGRADE,288,26101,,,,,,,,,,,,,,,
116,systemjs/systemjs,0.19.32,2016-07-25,UPGRADE,291,27162,,,,,,,,,,,,,,,
117,systemjs/systemjs,0.19.33,2016-07-26,UPGRADE,291,27162,,,,,,,,,,,,,,,
118,systemjs/systemjs,0.19.35,2016-07-26,UPGRADE,291,27163,,,,,,,,,,,,,,,
119,systemjs/systemjs,0.19.34,2016-07-26,UPGRADE,291,27167,,,,,,,,,,,,,,,
120,systemjs/systemjs,0.19.36,2016-08-01,UPGRADE,291,27155,,,,,,,,,,,,,,,
121,systemjs/systemjs,0.19.37,2016-08-21,UPGRADE,293,27197,,,,,,,,,,,,,,,
122,systemjs/systemjs,0.19.38,2016-09-06,UPGRADE,293,27190,,,,,,,,,,,,,,,
123,systemjs/systemjs,0.19.39,2016-09-26,UPGRADE,293,27190,,,,,,,,,,,,,,,
124,systemjs/systemjs,0.19.40,2016-10-25,UPGRADE,293,27208,,,,,,,,,,,,,,,
125,systemjs/systemjs,0.19.41,2016-11-10,UPGRADE,293,27179,,,,,,,,,,,,,,,
126,systemjs/systemjs,0.20.0-alpha.1,2016-11-15,UPGRADE,248,14727,,,,,,,,,,,1.0,36.0,95.0,22806.0,-1.0
127,systemjs/systemjs,0.20.0-rc.1,2016-12-08,UPGRADE,293,27260,,,,,,,,,,,,,,,
128,systemjs/systemjs,0.20.0-rc.2,2017-01-13,UPGRADE,263,16871,1.0,69.0,95.0,22806.0,1.0,2.0,93.0,190.0,45612.0,1.0,,,,,
129,systemjs/systemjs,0.20.0-rc.3,2017-01-13,UPGRADE,264,16893,,,,,,,,,,,,,,,
130,systemjs/systemjs,0.20.0-rc.4,2017-01-14,UPGRADE,264,16890,,,,,,,,,,,,,,,
131,systemjs/systemjs,0.20.0-rc.6,2017-01-17,UPGRADE,264,16896,,,,,,,,,,,,,,,
132,systemjs/systemjs,0.20.0-rc.5,2017-01-17,UPGRADE,264,16906,1.0,76.0,95.0,22806.0,1.0,2.0,107.0,190.0,45612.0,1.0,,,,,
133,systemjs/systemjs,0.19.42,2017-01-17,UPGRADE,293,26040,,,,,,,,,,,,,,,
134,systemjs/systemjs,0.20.0-rc.7,2017-01-18,UPGRADE,264,16907,,,,,,,,,,,,,,,
135,systemjs/systemjs,0.19.43,2017-01-20,UPGRADE,293,27310,,,,,,,,,,,,,,,
136,systemjs/systemjs,0.20.0-rc.8,2017-01-24,UPGRADE,265,16931,1.0,84.0,95.0,22856.0,1.0,2.0,107.0,190.0,45712.0,1.0,,,,,
137,systemjs/systemjs,0.20.0,2017-01-24,UPGRADE,267,16964,,,,,,,,,,,,,,,
138,systemjs/systemjs,0.20.1,2017-01-26,UPGRADE,270,17143,1.0,92.0,95.0,22856.0,1.0,2.0,119.0,190.0,45712.0,1.0,,,,,
139,systemjs/systemjs,0.19.44,2017-01-26,UPGRADE,293,27269,,,,,,,,,,,,,,,
140,systemjs/systemjs,0.20.2,2017-01-27,UPGRADE,273,17246,1.0,99.0,95.0,22856.0,1.0,2.0,130.0,190.0,45712.0,1.0,,,,,
141,systemjs/systemjs,0.19.45,2017-01-27,UPGRADE,293,27268,,,,,,,,,,,,,,,
142,systemjs/systemjs,0.20.3,2017-01-30,UPGRADE,273,17293,,,,,,,,,,,,,,,
143,systemjs/systemjs,0.20.4,2017-01-31,UPGRADE,273,17317,1.0,108.0,95.0,22856.0,1.0,2.0,148.0,190.0,45712.0,1.0,,,,,
144,systemjs/systemjs,0.19.46,2017-01-31,UPGRADE,293,27268,,,,,,,,,,,,,,,
145,systemjs/systemjs,0.20.5,2017-02-01,UPGRADE,277,17376,,,,,,,,,,,,,,,
146,systemjs/systemjs,0.20.6,2017-02-09,UPGRADE,281,17403,,,,,,,,,,,,,,,
147,systemjs/systemjs,0.20.7,2017-02-09,UPGRADE,281,17412,,,,,,,,,,,,,,,
148,systemjs/systemjs,0.20.8,2017-02-16,UPGRADE,281,17448,,,,,,,,,,,,,,,
