,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,tensorflow/tensorflow,0.6.0,2015-12-09,BUG,2012,440338,7.0,62.0,172.0,17090.0,2.0,,,,,,2.0,16.0,291.0,1491.0,-1.0
1,tensorflow/tensorflow,v0.6.0,2016-02-10,BUG,2012,440338,,,,,,,,,,,,,,,
2,tensorflow/tensorflow,v0.7.0,2016-02-16,BUG,1841,369424,168.0,851.0,772.0,9535.0,5.0,11.0,851.0,67.0,484.0,6.0,37.0,68.0,102.0,514.0,-1.0
3,tensorflow/tensorflow,v0.7.1,2016-02-19,BUG,1842,369585,6.0,27.0,11.0,108.0,1.0,,,,,,3.0,3.0,3.0,6.0,-1.0
4,tensorflow/tensorflow,v0.8.0rc0,2016-04-13,BUG,2407,495986,81.0,1667.0,90.0,862.0,8.0,184.0,1671.0,614.0,17729.0,6.0,190.0,639.0,505.0,14943.0,-1.0
5,tensorflow/tensorflow,v0.8.0,2016-04-22,BUG,2409,496843,2.0,15.0,1.0,2.0,2.0,,,,,,3.0,4.0,9.0,306.0,-1.0
6,tensorflow/tensorflow,v0.9.0rc0,2016-06-05,BUG,3461,644601,44.0,1187.0,63.0,695.0,6.0,143.0,1187.0,487.0,12053.0,2.0,32.0,197.0,77.0,1150.0,-1.0
7,tensorflow/tensorflow,v0.9.0,2016-06-21,BUG,3481,647478,3.0,30.0,8.0,59.0,3.0,,,,,,5.0,17.0,8.0,85.0,-1.0
8,tensorflow/tensorflow,v0.10.0rc0,2016-07-29,BUG,3905,770820,32.0,1236.0,62.0,842.0,10.0,389.0,3714.0,375.0,16264.0,8.0,59.0,268.0,97.0,1526.0,-1.0
9,tensorflow/tensorflow,v0.10.0,2016-09-08,BUG,4084,808559,4.0,272.0,11.0,233.0,3.0,322.0,1606.0,418.0,7039.0,2.0,9.0,39.0,13.0,268.0,-1.0
10,tensorflow/tensorflow,v0.11.0rc0,2016-09-30,BUG,4622,961283,33.0,1476.0,45.0,708.0,7.0,1164.0,6754.0,496.0,13892.0,4.0,50.0,169.0,93.0,1089.0,-1.0
11,tensorflow/tensorflow,v0.11.0rc1,2016-10-20,BUG,4625,961824,2.0,23.0,2.0,12.0,2.0,,,,,,2.0,11.0,3.0,11.0,-1.0
12,tensorflow/tensorflow,v0.11.0rc2,2016-10-31,BUG,4625,961839,,,,,,59.0,298.0,,0.0,1.0,5.0,3.0,9.0,114.0,-1.0
13,tensorflow/tensorflow,v0.11.0,2016-11-09,BUG,4625,961840,,,,,,,,,,,,,,,
14,tensorflow/tensorflow,0.12.0-rc0,2016-11-28,BUG,5112,1101699,45.0,2250.0,122.0,554.0,10.0,1276.0,8456.0,755.0,19592.0,3.0,117.0,448.0,227.0,4269.0,-1.0
15,tensorflow/tensorflow,0.12.0-rc1,2016-12-09,BUG,5114,1102072,1.0,29.0,1.0,2.0,1.0,177.0,609.0,,0.0,1.0,6.0,15.0,8.0,34.0,-1.0
16,tensorflow/tensorflow,v0.12.0,2016-12-19,BUG,5115,1102621,1.0,9.0,1.0,2.0,1.0,1.0,67.0,1.0,2.0,1.0,,,,,
17,tensorflow/tensorflow,0.12.1,2016-12-25,BUG,5115,1102628,,,,,,,,,,,2.0,6.0,2.0,23.0,-1.0
18,tensorflow/tensorflow,v1.0.0-alpha,2017-01-09,BUG,5485,1222445,14.0,1321.0,23.0,150.0,6.0,1031.0,4279.0,357.0,7439.0,4.0,164.0,755.0,314.0,6717.0,-1.0
19,tensorflow/tensorflow,v1.0.0-rc0,2017-01-26,BUG,6194,1382989,11.0,318.0,12.0,84.0,3.0,504.0,1652.0,731.0,12515.0,2.0,9.0,52.0,13.0,371.0,-1.0
20,tensorflow/tensorflow,v1.0.0-rc1,2017-02-03,BUG,6198,1384685,8.0,28.0,13.0,359.0,1.0,,,,,,,,,,
21,tensorflow/tensorflow,v1.0.0-rc2,2017-02-08,BUG,6223,1391438,5.0,86.0,9.0,146.0,1.0,,,,,,11.0,52.0,29.0,1040.0,-1.0
22,tensorflow/tensorflow,v1.0.0,2017-02-10,BUG,6223,1391484,2.0,13.0,4.0,754.0,1.0,,,,,,1.0,1.0,1.0,2.0,-1.0
23,tensorflow/tensorflow,v1.0.1,2017-03-07,BUG,6225,1390177,5.0,54.0,47.0,1084.0,3.0,118.0,866.0,,0.0,1.0,7.0,19.0,9.0,61.0,-1.0
24,tensorflow/tensorflow,v1.1.0-rc0,2017-03-23,BUG,5759,1397828,31.0,1865.0,78.0,1376.0,9.0,1159.0,6157.0,1779.0,20314.0,2.0,187.0,676.0,377.0,6832.0,-1.0
25,tensorflow/tensorflow,v1.1.0-rc1,2017-04-04,BUG,5911,1433371,7.0,436.0,10.0,413.0,3.0,168.0,2002.0,166.0,5184.0,2.0,50.0,176.0,93.0,1279.0,-1.0
26,tensorflow/tensorflow,v1.1.0-rc2,2017-04-14,BUG,6190,1465454,9.0,238.0,11.0,74.0,2.0,36.0,876.0,114.0,4012.0,1.0,5.0,24.0,39.0,1295.0,-1.0
27,tensorflow/tensorflow,v1.1.0,2017-04-20,BUG,5764,1400386,4.0,48.0,27.0,1384.0,2.0,59.0,976.0,,0.0,1.0,8.0,24.0,12.0,200.0,-1.0
28,tensorflow/tensorflow,v1.2.0-rc0,2017-05-19,BUG,6773,1634213,58.0,1607.0,123.0,3257.0,9.0,668.0,6769.0,618.0,18642.0,2.0,95.0,391.0,222.0,3408.0,-1.0
29,tensorflow/tensorflow,v1.2.0-rc1,2017-05-26,BUG,6783,1635587,2.0,21.0,3.0,61.0,1.0,60.0,427.0,1.0,92.0,2.0,1.0,8.0,1.0,8.0,-1.0
30,tensorflow/tensorflow,v1.2.0-rc2,2017-06-05,BUG,6783,1636131,8.0,15.0,25.0,710.0,2.0,,,,,,1.0,2.0,1.0,4.0,-1.0
31,tensorflow/tensorflow,v1.2.0,2017-06-14,BUG,6786,1636116,,,,,,118.0,191.0,,0.0,1.0,2.0,12.0,6.0,25.0,-1.0
32,tensorflow/tensorflow,v1.2.1,2017-06-29,BUG,6786,1636134,,,,,,,,,,,1.0,3.0,1.0,4.0,-1.0
33,tensorflow/tensorflow,v1.3.0-rc0,2017-07-19,BUG,6612,1638858,81.0,1688.0,254.0,2323.0,9.0,2029.0,7257.0,1498.0,20817.0,2.0,139.0,391.0,771.0,5206.0,-1.0
34,tensorflow/tensorflow,v1.3.0-rc1,2017-07-26,BUG,6617,1640845,4.0,25.0,15.0,978.0,2.0,118.0,315.0,,0.0,1.0,2.0,12.0,7.0,117.0,-1.0
35,tensorflow/tensorflow,v1.3.0-rc2,2017-08-03,BUG,6617,1640803,,,,,,177.0,487.0,,0.0,1.0,1.0,10.0,1.0,2.0,-1.0
36,tensorflow/tensorflow,v1.3.0,2017-08-16,BUG,6615,1641172,2.0,15.0,3.0,29.0,1.0,177.0,363.0,59.0,354.0,1.0,4.0,8.0,4.0,304.0,-1.0
37,tensorflow/tensorflow,v1.3.1,2017-09-26,BUG,6613,1640565,1.0,34.0,1.0,2.0,1.0,118.0,904.0,,0.0,1.0,6.0,8.0,13.0,71.0,-1.0
38,tensorflow/tensorflow,v1.4.0-rc0,2017-10-10,BUG,7533,1868719,95.0,2600.0,166.0,3317.0,11.0,1761.0,9966.0,829.0,17861.0,4.0,109.0,426.0,238.0,3669.0,-1.0
39,tensorflow/tensorflow,v1.4.0-rc1,2017-10-20,BUG,7534,1868767,1.0,18.0,1.0,2.0,1.0,59.0,308.0,,0.0,1.0,3.0,7.0,9.0,708.0,-1.0
40,tensorflow/tensorflow,v1.4.0,2017-11-01,BUG,7541,1870339,,,,,,59.0,125.0,,0.0,1.0,2.0,4.0,2.0,14.0,-1.0
41,tensorflow/tensorflow,v1.4.1,2017-12-08,BUG,7544,1870617,2.0,17.0,2.0,4.0,1.0,1.0,423.0,1.0,19.0,1.0,,,,,
42,tensorflow/tensorflow,v1.5.0-rc0,2018-01-02,BUG,9532,2147528,110.0,2503.0,216.0,3829.0,10.0,2065.0,10048.0,2766.0,45479.0,3.0,111.0,359.0,190.0,2542.0,-1.0
43,tensorflow/tensorflow,v1.5.0-rc1,2018-01-12,BUG,9520,2146001,,,,,,59.0,125.0,236.0,1121.0,1.0,,,,,
44,tensorflow/tensorflow,v1.5.0,2018-01-25,BUG,9522,2146533,,,,,,,,,,,2.0,13.0,5.0,77.0,-1.0
45,tensorflow/tensorflow,v1.6.0-rc0,2018-02-04,BUG,9964,2511369,104.0,1700.0,230.0,3574.0,10.0,1606.0,6016.0,501.0,261744.0,3.0,130.0,466.0,210.0,8866.0,-1.0
46,tensorflow/tensorflow,v1.6.0-rc1,2018-02-13,BUG,10052,2533705,15.0,395.0,41.0,458.0,5.0,152.0,1033.0,159.0,2925.0,2.0,92.0,167.0,266.0,3019.0,-1.0
47,tensorflow/tensorflow,v1.6.0,2018-02-28,BUG,9964,2511601,6.0,37.0,16.0,200.0,2.0,708.0,791.0,236.0,826.0,1.0,9.0,13.0,11.0,83.0,-1.0
48,tensorflow/tensorflow,v1.7.0-rc0,2018-03-12,BUG,10468,2576613,34.0,1336.0,87.0,1261.0,6.0,1034.0,5749.0,696.0,12510.0,5.0,139.0,349.0,380.0,5409.0,-1.0
49,tensorflow/tensorflow,v1.5.1,2018-03-20,BUG,9522,2146610,6.0,19.0,8.0,101.0,2.0,59.0,367.0,,0.0,1.0,,,,,
50,tensorflow/tensorflow,v1.7.0-rc1,2018-03-20,BUG,10468,2576703,145.0,3065.0,334.0,5061.0,14.0,2699.0,12432.0,1315.0,274844.0,6.0,275.0,821.0,601.0,14363.0,-1.0
51,tensorflow/tensorflow,v1.7.0,2018-03-28,BUG,10468,2576773,2.0,13.0,2.0,6.0,1.0,59.0,361.0,,0.0,1.0,1.0,5.0,1.0,8.0,-1.0
52,tensorflow/tensorflow,v1.8.0-rc0,2018-04-12,BUG,10952,2695617,64.0,1277.0,99.0,864.0,7.0,1566.0,4245.0,796.0,13095.0,3.0,58.0,176.0,91.0,1233.0,-1.0
53,tensorflow/tensorflow,v1.8.0-rc1,2018-04-19,BUG,10971,2698279,,,,,,178.0,906.0,3.0,193.0,2.0,6.0,20.0,7.0,89.0,-1.0
54,tensorflow/tensorflow,tflite-v0.1.7,2018-04-27,BUG,10952,2695616,,,,,,,,,,,,,,,
55,tensorflow/tensorflow,v1.8.0,2018-04-27,BUG,10971,2698472,1.0,24.0,5.0,167.0,1.0,59.0,952.0,,0.0,1.0,3.0,8.0,7.0,143.0,-1.0
56,tensorflow/tensorflow,v1.7.1,2018-05-04,BUG,10477,2577388,1.0,24.0,3.0,71.0,1.0,118.0,430.0,,0.0,1.0,,,,,
57,tensorflow/tensorflow,v1.9.0-rc0,2018-06-06,BUG,11395,2815529,140.0,3500.0,334.0,3547.0,13.0,5234.0,15004.0,1795.0,26421.0,6.0,255.0,710.0,460.0,5001.0,-1.0
58,tensorflow/tensorflow,v1.9.0-rc1,2018-06-14,BUG,11410,2816583,1.0,30.0,2.0,7.0,1.0,118.0,726.0,,0.0,1.0,2.0,17.0,2.0,64.0,-1.0
59,tensorflow/tensorflow,v1.9.0-rc2,2018-07-02,BUG,11808,2896976,31.0,1451.0,50.0,800.0,7.0,1026.0,6106.0,592.0,7644.0,3.0,92.0,306.0,195.0,3615.0,-1.0
60,tensorflow/tensorflow,v1.9.0,2018-07-09,BUG,11415,2817675,1.0,81.0,2.0,7.0,1.0,354.0,1821.0,,0.0,1.0,11.0,47.0,19.0,171.0,-1.0
61,tensorflow/tensorflow,v1.10.0-rc0,2018-07-20,BUG,11949,2944476,42.0,1963.0,75.0,879.0,8.0,1198.0,8707.0,728.0,8842.0,3.0,118.0,407.0,245.0,4462.0,-1.0
62,tensorflow/tensorflow,v1.10.0-rc1,2018-07-30,BUG,11949,2944657,1.0,14.0,3.0,12.0,1.0,118.0,362.0,,0.0,1.0,1.0,8.0,1.0,7.0,-1.0
63,tensorflow/tensorflow,v1.10.0,2018-08-07,BUG,11949,2944947,1.0,9.0,1.0,5.0,1.0,354.0,125.0,,0.0,1.0,3.0,7.0,5.0,24.0,-1.0
64,tensorflow/tensorflow,v1.10.1,2018-08-23,BUG,11949,2944978,,,,,,118.0,241.0,,0.0,1.0,1.0,5.0,1.0,10.0,-1.0
65,tensorflow/tensorflow,v1.11.0-rc0,2018-09-11,BUG,12811,3086579,12.0,2486.0,15.0,67.0,4.0,836.0,5402.0,1348.0,16179.0,6.0,174.0,594.0,305.0,5720.0,-1.0
66,tensorflow/tensorflow,v1.11.0-rc1,2018-09-14,BUG,12811,3086611,,,,,,59.0,59.0,118.0,3304.0,1.0,,,,,
67,tensorflow/tensorflow,v1.11.0-rc2,2018-09-20,BUG,12811,3086620,1.0,1.0,1.0,27.0,1.0,,,,,,,,,,
68,tensorflow/tensorflow,v1.11.0,2018-09-25,BUG,12811,3086623,2.0,2.0,4.0,5.0,1.0,,,,,,,,,,
69,tensorflow/tensorflow,v1.12.0-rc0,2018-10-08,BUG,13171,3166638,4.0,1388.0,4.0,72.0,2.0,398.0,2904.0,615.0,11276.0,4.0,112.0,287.0,176.0,3098.0,-1.0
70,tensorflow/tensorflow,v1.12.0-rc1,2018-10-16,BUG,13171,3167215,1.0,13.0,1.0,2.0,1.0,177.0,593.0,295.0,2950.0,1.0,,,,,
71,tensorflow/tensorflow,v1.12.0-rc2,2018-10-25,BUG,13172,3167884,,,,,,177.0,1129.0,177.0,2006.0,1.0,,,,,
