,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,tensorflow/tensorflow,0.6.0,2015-12-09,DOCS,2012.0,440338.0,2.0,68.0,86.0,2786.0,1.0,,,,,
1,tensorflow/tensorflow,v0.6.0,2016-02-10,,,,,,,,,,,,,
2,tensorflow/tensorflow,v0.7.0,2016-02-16,DOCS,1841.0,369424.0,30.0,1030.0,127.0,7426.0,3.0,2.0,1031.0,15.0,944.0,1.0
3,tensorflow/tensorflow,v0.7.1,2016-02-19,,,,,,,,,,,,,
4,tensorflow/tensorflow,v0.8.0rc0,2016-04-13,DOCS,2407.0,495986.0,42.0,2072.0,102.0,4937.0,2.0,39.0,2076.0,90.0,4673.0,1.0
5,tensorflow/tensorflow,v0.8.0,2016-04-22,,,,,,,,,,,,,
6,tensorflow/tensorflow,v0.9.0rc0,2016-06-05,DOCS,3461.0,644601.0,187.0,1208.0,14326.0,37340.0,3.0,177.0,1208.0,14293.0,36227.0,2.0
7,tensorflow/tensorflow,v0.9.0,2016-06-21,DOCS,3481.0,647478.0,4.0,33.0,43.0,1510.0,3.0,22.0,33.0,,0.0,1.0
8,tensorflow/tensorflow,v0.10.0rc0,2016-07-29,DOCS,3905.0,770820.0,171.0,1292.0,812.0,32873.0,3.0,187.0,2265.0,804.0,32787.0,2.0
9,tensorflow/tensorflow,v0.10.0,2016-09-08,DOCS,4084.0,808559.0,32.0,280.0,194.0,12811.0,1.0,73.0,826.0,214.0,12848.0,2.0
10,tensorflow/tensorflow,v0.11.0rc0,2016-09-30,DOCS,4622.0,961283.0,197.0,1532.0,1236.0,79381.0,4.0,192.0,3800.0,1213.0,79191.0,1.0
11,tensorflow/tensorflow,v0.11.0rc1,2016-10-20,,,,,,,,,,,,,
12,tensorflow/tensorflow,v0.11.0rc2,2016-10-31,,,,,,,,,,,,,
13,tensorflow/tensorflow,v0.11.0,2016-11-09,,,,,,,,,,,,,
14,tensorflow/tensorflow,0.12.0-rc0,2016-11-28,DOCS,5112.0,1101699.0,431.0,2172.0,3292.0,100157.0,4.0,430.0,4776.0,3221.0,98972.0,2.0
15,tensorflow/tensorflow,0.12.0-rc1,2016-12-09,,,,,,,,,,,,,
16,tensorflow/tensorflow,v0.12.0,2016-12-19,,,,,,,,,,,,,
17,tensorflow/tensorflow,0.12.1,2016-12-25,,,,,,,,,,,,,
18,tensorflow/tensorflow,v1.0.0-alpha,2017-01-09,DOCS,5485.0,1222445.0,98.0,1408.0,622.0,30575.0,1.0,118.0,2794.0,621.0,30569.0,2.0
19,tensorflow/tensorflow,v1.0.0-rc0,2017-01-26,DOCS,6194.0,1382989.0,39.0,332.0,222.0,15460.0,2.0,35.0,983.0,193.0,12763.0,1.0
20,tensorflow/tensorflow,v1.0.0-rc1,2017-02-03,DOCS,6198.0,1384685.0,1.0,35.0,2.0,6.0,1.0,,,,,
