,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,tensorflow/tensorflow,0.6.0,2015-12-09,FEATURE,2012,440338,,,,,,,,,,,,,,,
1,tensorflow/tensorflow,v0.6.0,2016-02-10,FEATURE,2012,440338,,,,,,,,,,,,,,,
2,tensorflow/tensorflow,v0.7.0,2016-02-16,FEATURE,1841,369424,1.0,1066.0,4.0,39.0,1.0,,,,,,,,,,
3,tensorflow/tensorflow,v0.7.1,2016-02-19,FEATURE,1842,369585,,,,,,,,,,,,,,,
4,tensorflow/tensorflow,v0.8.0rc0,2016-04-13,FEATURE,2407,495986,1.0,2115.0,,0.0,1.0,3.0,2119.0,56.0,1824.0,1.0,3.0,826.0,5.0,32.0,-1.0
5,tensorflow/tensorflow,v0.8.0,2016-04-22,FEATURE,2409,496843,,,,,,,,,,,,,,,
6,tensorflow/tensorflow,v0.9.0rc0,2016-06-05,FEATURE,3461,644601,3.0,1392.0,16.0,4470.0,3.0,10.0,1392.0,30.0,4994.0,2.0,1.0,228.0,,0.0,-1.0
7,tensorflow/tensorflow,v0.9.0,2016-06-21,FEATURE,3481,647478,,,,,,,,,,,1.0,21.0,1.0,2.0,-1.0
8,tensorflow/tensorflow,v0.10.0rc0,2016-07-29,FEATURE,3905,770820,1.0,1474.0,1.0,3.0,1.0,7.0,4184.0,65.0,2701.0,1.0,2.0,325.0,4.0,70.0,-1.0
9,tensorflow/tensorflow,v0.10.0,2016-09-08,FEATURE,4084,808559,1.0,313.0,2.0,44.0,1.0,3.0,1937.0,4.0,183.0,1.0,,,,,
10,tensorflow/tensorflow,v0.11.0rc0,2016-09-30,FEATURE,4622,961283,,,,,,16.0,7984.0,45.0,1864.0,1.0,1.0,218.0,8.0,334.0,-1.0
11,tensorflow/tensorflow,v0.11.0rc1,2016-10-20,FEATURE,4625,961824,,,,,,,,,,,,,,,
12,tensorflow/tensorflow,v0.11.0rc2,2016-10-31,FEATURE,4625,961839,,,,,,,,,,,,,,,
13,tensorflow/tensorflow,v0.11.0,2016-11-09,FEATURE,4625,961840,,,,,,,,,,,,,,,
14,tensorflow/tensorflow,0.12.0-rc0,2016-11-28,FEATURE,5112,1101699,1.0,2624.0,1.0,4.0,1.0,75.0,9816.0,58.0,3517.0,2.0,2.0,563.0,9.0,741.0,-1.0
15,tensorflow/tensorflow,0.12.0-rc1,2016-12-09,FEATURE,5114,1102072,,,,,,,,,,,,,,,
16,tensorflow/tensorflow,v0.12.0,2016-12-19,FEATURE,5115,1102621,,,,,,,,,,,,,,,
17,tensorflow/tensorflow,0.12.1,2016-12-25,FEATURE,5115,1102628,,,,,,,,,,,,,,,
18,tensorflow/tensorflow,v1.0.0-alpha,2017-01-09,FEATURE,5485,1222445,,,,,,3.0,5481.0,9.0,213.0,1.0,4.0,915.0,9.0,682.0,-1.0
19,tensorflow/tensorflow,v1.0.0-rc0,2017-01-26,FEATURE,6194,1382989,1.0,373.0,3.0,255.0,1.0,4.0,2171.0,29.0,1761.0,1.0,,,,,
20,tensorflow/tensorflow,v1.0.0-rc1,2017-02-03,FEATURE,6198,1384685,,,,,,,,,,,,,,,
21,tensorflow/tensorflow,v1.0.0-rc2,2017-02-08,FEATURE,6223,1391438,,,,,,,,,,,,,,,
22,tensorflow/tensorflow,v1.0.0,2017-02-10,FEATURE,6223,1391484,,,,,,,,,,,,,,,
23,tensorflow/tensorflow,v1.0.1,2017-03-07,FEATURE,6225,1390177,,,,,,,,,,,,,,,
24,tensorflow/tensorflow,v1.1.0-rc0,2017-03-23,FEATURE,5759,1397828,1.0,2304.0,2.0,12.0,1.0,6.0,7524.0,23.0,1851.0,1.0,3.0,860.0,11.0,543.0,-1.0
25,tensorflow/tensorflow,v1.1.0-rc1,2017-04-04,FEATURE,5911,1433371,,,,,,3.0,2223.0,11.0,147.0,1.0,1.0,225.0,2.0,15.0,-1.0
26,tensorflow/tensorflow,v1.1.0-rc2,2017-04-14,FEATURE,6190,1465454,,,,,,4.0,922.0,72.0,4175.0,1.0,,,,,
27,tensorflow/tensorflow,v1.1.0,2017-04-20,FEATURE,5764,1400386,,,,,,,,,,,,,,,
28,tensorflow/tensorflow,v1.2.0-rc0,2017-05-19,FEATURE,6773,1634213,,,,,,19.0,7565.0,138.0,10057.0,1.0,6.0,480.0,22.0,879.0,-1.0
29,tensorflow/tensorflow,v1.2.0-rc1,2017-05-26,FEATURE,6783,1635587,2.0,24.0,5.0,383.0,1.0,,,,,,,,,,
30,tensorflow/tensorflow,v1.2.0-rc2,2017-06-05,FEATURE,6783,1636131,,,,,,,,,,,,,,,
31,tensorflow/tensorflow,v1.2.0,2017-06-14,FEATURE,6786,1636116,,,,,,,,,,,,,,,
32,tensorflow/tensorflow,v1.2.1,2017-06-29,FEATURE,6786,1636134,,,,,,,,,,,,,,,
33,tensorflow/tensorflow,v1.3.0-rc0,2017-07-19,FEATURE,6612,1638858,1.0,2130.0,1.0,43.0,1.0,6.0,9497.0,13.0,1099.0,1.0,2.0,528.0,4.0,207.0,-1.0
34,tensorflow/tensorflow,v1.3.0-rc1,2017-07-26,FEATURE,6617,1640845,,,,,,,,,,,2.0,12.0,2.0,22.0,-1.0
35,tensorflow/tensorflow,v1.3.0-rc2,2017-08-03,FEATURE,6617,1640803,,,,,,,,,,,,,,,
36,tensorflow/tensorflow,v1.3.0,2017-08-16,FEATURE,6615,1641172,,,,,,,,,,,,,,,
37,tensorflow/tensorflow,v1.3.1,2017-09-26,FEATURE,6613,1640565,,,,,,,,,,,,,,,
38,tensorflow/tensorflow,v1.4.0-rc0,2017-10-10,FEATURE,7533,1868719,1.0,3102.0,4.0,125.0,1.0,11.0,11918.0,32.0,2800.0,1.0,1.0,534.0,2.0,142.0,-1.0
39,tensorflow/tensorflow,v1.4.0-rc1,2017-10-20,FEATURE,7534,1868767,,,,,,,,,,,,,,,
40,tensorflow/tensorflow,v1.4.0,2017-11-01,FEATURE,7541,1870339,,,,,,,,,,,,,,,
41,tensorflow/tensorflow,v1.4.1,2017-12-08,FEATURE,7544,1870617,,,,,,,,,,,,,,,
